Nome: CAETITE
Codigo Estacao: 83339
Latitude: -14.07277777
Longitude: -42.48722221
Altitude: 876.29
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2019-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5;12;0;29,8;23,3;17,4;57,8;null;null;
2015-01-02;5,6;11,9;0;30,7;24,2;18,1;56,3;null;null;
2015-01-03;5,7;12;0;29,7;24,1;19,1;59,5;null;0;
2015-01-04;5,2;11,6;0;28,4;23;18;59,8;null;0;
2015-01-05;5,4;null;0;28,8;22,6;17,6;55,5;42;null;
2015-01-06;4,6;11,2;0;28,4;23,1;18,2;63,5;null;null;
2015-01-07;4,7;11,1;0;28,6;22,7;19,2;65;null;null;
2015-01-08;3,8;11,7;0;29,4;22,8;17,4;50,3;null;null;
2015-01-09;6;7;0;28,8;22,9;18,4;65,5;null;null;
2015-01-10;4,3;10,3;0;28,8;23,3;18,2;56;null;null;
2015-01-11;5,2;10,8;0;29,8;23,9;19;56;null;null;
2015-01-12;6,3;11,6;0;30,8;24,2;19;53,5;null;null;
2015-01-13;6,6;10,8;0;29,9;23,4;18,6;52,3;null;null;
2015-01-14;7,6;4,6;0;27,7;22,5;18,6;64,3;null;null;
2015-01-15;4,7;6;0;28,4;23,4;19;62,5;null;null;
2015-01-16;4,8;10,5;0;29,2;23,4;18,8;58,3;null;null;
2015-01-17;5,7;12;0;30,8;24,3;18,4;51,5;null;null;
2015-01-18;7,3;null;0;31,2;24,9;18,8;51,3;null;null;
2015-01-19;6,2;11,3;0;32,2;24,8;18,8;50;null;null;
2015-01-20;1;11,9;0;30,2;23,7;18,2;52;null;null;
2015-01-21;6,9;9,9;0;32,4;24,7;18,4;47,8;null;null;
2015-01-22;6,3;7,5;0;31,6;24,3;18,6;59,3;null;null;
2015-01-23;4,5;7,7;0;30,6;23,7;20;63;null;null;
2015-01-24;9,9;11,7;0;30;24;18;45,8;null;null;
