Nome: VITORIA DA CONQUISTA
Codigo Estacao: 83344
Latitude: -14.88638888
Longitude: -40.80138888
Altitude: 879.47
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4;10,4;0;28,7;20,8;13,6;74;49;1,5;
2015-01-02;3,4;7,3;0;28,3;21;14,8;76;58;,4;
2015-01-03;3;11,6;0;27,9;21,5;14,4;67;46;2;
2015-01-04;4,6;11,6;0;28,1;21,4;15,6;69,3;47;2,1;
2015-01-05;4,7;8,5;0;26,1;20,6;13,4;76,5;62;2,5;
2015-01-06;3,1;6,2;0;27,3;20,9;15,4;77,3;58;2,5;
2015-01-07;3;7,9;2,1;26,1;20,4;16,3;81,3;64;3,2;
2015-01-08;3,2;12;2,8;27,4;21,3;17,1;72,8;51;2,5;
2015-01-09;4,6;4,4;0;24,9;20;14,6;84,3;77;3,2;
2015-01-10;2,8;8,9;0;28,1;21,1;14,6;81,8;76;2,2;
2015-01-11;4,4;10,1;0;27,5;21,3;15,4;77,3;58;2,2;
2015-01-12;4,1;11,2;0;30,2;21,7;14,4;71,8;43;3;
2015-01-13;4,9;10,5;0;28,3;21,3;14,4;64,5;39;2,7;
2015-01-14;5,4;2,9;0;26,3;20,9;16,8;75,8;59;3,7;
2015-01-15;3,8;4,1;0;28,3;20,6;16;80,8;62;3,9;
2015-01-16;3,4;9,1;,1;28,5;21,2;15,4;70,5;45;2,6;
2015-01-17;5;10,1;0;28,9;21,6;15;71,5;44;2,4;
2015-01-18;6;9,2;0;28,5;21,2;14,8;73,3;51;2,5;
2015-01-19;3,8;11,3;0;29,2;21,6;13,7;68,3;49;3,3;
2015-01-20;5,5;8,7;0;28,2;21,4;16,6;77;59;3,5;
2015-01-21;3,7;11,8;0;29,3;21,3;13,6;63,5;43;3,2;
2015-01-22;5,5;8,6;0;29,5;22;15,2;71,8;45;1,3;
2015-01-23;4,6;3;0;25,1;20,7;16,3;76,3;64;3,4;
2015-01-24;2,8;11,2;1,8;28,6;21,6;17,6;65,3;42;2,6;
2015-01-25;5,8;5,6;0;27,5;20,9;15,2;81,8;67;2,2;
2015-01-26;2,1;7,7;,6;29,3;21,9;15;77;59;4,2;
2015-01-27;3,3;8,3;0;29,7;22;15,6;75,3;55;2,2;
2015-01-28;4,6;8,2;0;29,1;21,9;17;67,3;47;2,1;
2015-01-29;5,3;null;0;28,9;22,5;17;71;54;2,2;
2015-01-30;5,1;11,4;0;30,5;22,7;14,2;65,8;43;1,7;
2015-01-31;5,6;10,3;0;29,7;22,6;16,5;70,8;48;3,1;
2015-02-01;6;11,4;0;29,7;22,5;14,6;65,5;42;3,3;
2015-02-02;5,8;10,2;0;29,1;22;14;69,5;55;2,1;
2015-02-03;5,6;9,6;0;29,7;21,8;13,8;71,3;45;1,8;
2015-02-04;6,1;10,1;0;30,7;23;15,5;65,8;43;2,5;
2015-02-05;5,1;2,9;,3;28,3;21,4;16,7;73,3;50;2,2;
2015-02-06;2,4;3,4;25,3;26,9;21,9;15,6;81;68;2,1;
2015-02-07;1,8;0;13,6;25,5;21,1;16,3;84,5;67;,9;
2015-02-08;1,6;,6;24,3;27,5;20,9;16,1;86,3;66;0;
2015-02-09;1,6;9,3;2,7;27,1;21,4;16,1;80,3;67;2,6;
2015-02-10;3,1;11,4;1,7;28;21,3;13,8;76,3;55;3,2;
2015-02-11;4,1;11,5;0;28,1;21,6;16,3;64;42;2,1;
2015-02-12;5,2;11,3;0;28,1;21,8;16;68;49;2,5;
2015-02-13;4,4;11;0;28,3;21,9;17,9;69,3;51;1,7;
2015-02-14;4,7;9,4;0;28,1;20,7;12,2;71,5;48;1,4;
2015-02-15;3,5;2,7;,6;26,9;20,4;13,2;88,3;75;1,4;
2015-02-16;1,8;9,7;14,1;27,5;20,8;12,2;80,5;66;3,2;
2015-02-17;2,8;7,6;0;27,9;20,4;13,4;83,5;68;2,7;
2015-02-18;3;9,3;,2;28,3;20,9;12;74;51;2,4;
2015-02-19;5,5;8,7;0;27,4;20,8;13,7;79,8;64;3,2;
2015-02-20;4,6;7,7;0;26,9;20,4;12;73,3;64;3,3;
2015-02-21;4,7;2,9;,7;26,7;20,3;12,2;81;64;3,2;
