Nome: POXOREU
Codigo Estacao: 83358
Latitude: -15.82749999
Longitude: -54.39555555
Altitude: 374.35
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;1,9;13;33;26,8;20,6;78;65;1;
2015-01-02;null;3,1;0;34,3;26,7;21,4;81;71;,7;
2015-01-03;null;5,3;0;34;24,8;21;81;50;1;
2015-01-04;null;4,5;95;34,3;27,2;19,8;73,3;53;1,5;
2015-01-05;null;,7;15;33;24,7;21;87;74;0;
2015-01-06;null;5,8;7;34,4;25,9;20,4;76,5;65;0;
2015-01-07;null;5,8;0;34;25,4;20,2;79;50;1;
2015-01-08;null;5,5;4;34,3;26,2;20,6;84;61;1;
2015-01-09;null;1,1;0;34,5;25,1;21;83,8;63;1;
2015-01-10;null;1,3;8;34;25,8;19,2;81,5;64;1;
2015-01-11;null;4,1;0;35,5;27;20,6;73,8;48;1;
2015-01-12;null;1,7;0;34;26,1;22;71,5;57;1;
2015-01-13;null;0;28;29;23,8;19,4;90;74;0;
2015-01-14;null;5,7;7,2;35;25,4;20,6;75,3;44;1,7;
2015-01-15;null;2,4;0;30,5;25,4;21,6;86,8;83;1;
2015-01-16;null;1,6;7,4;33;24,6;20,2;82,3;58;1;
2015-01-17;null;0;0;32,5;24,8;20;87;76;0;
2015-01-18;null;3,9;0;33,5;26,1;20;77,5;65;1,4;
2015-01-19;null;,2;2,2;35,5;24,9;20,8;83,5;59;1;
2015-01-20;null;2,5;0;33,5;24,3;20,4;91;87;1;
2015-01-21;null;5,3;14,4;31;25,3;18,6;76,5;60;1;
2015-01-22;null;3,4;0;34;27,1;21,2;74;61;0;
2015-01-23;null;1,8;0;32;25,3;21,6;82,3;61;1;
2015-01-24;null;2,6;0;32;25,1;20,4;76,8;62;3,1;
2015-01-25;null;,6;0;30;24,4;20;81,3;60;2,1;
2015-01-26;null;,9;2;31;25,7;21,8;84,5;67;2,4;
2015-01-27;null;,3;2,2;29,5;24,8;22;92;87;,7;
2015-01-28;null;1,5;11;31,5;25,1;21,8;86,3;85;,7;
2015-01-29;null;0;2;32;25,8;21,8;84,8;78;,7;
2015-01-30;null;5,2;0;35,5;27,5;20,4;72;50;1;
2015-01-31;null;5,2;0;37;27,9;21,2;66,5;49;1,7;
2015-02-01;null;3,1;0;34,3;26,1;21,6;76,8;48;2,7;
2015-02-02;null;5,3;0;34;24,8;19,6;80;63;1;
2015-02-03;null;6;0;36,5;27,1;19,8;68;49;1,7;
2015-02-04;null;1,2;0;34;26,4;22,8;81,3;64;1;
2015-02-05;null;2,1;10,4;32,5;24,7;21;92;84;1;
2015-02-06;null;0;3;30,6;25,5;21;83,5;74;1,4;
2015-02-07;null;0;0;31,5;25,6;22,4;82;66;2,1;
2015-02-08;null;1,7;0;31,5;25,7;22;78,8;66;2,7;
2015-02-09;null;,6;0;31,5;25,4;22,4;90;83;1,7;
2015-02-10;null;4,4;7;33;25,8;22,2;84,3;61;1,7;
2015-02-11;null;2,7;54,6;33;24,8;21,6;86;62;1;
2015-02-12;null;3,6;4;33,5;24,8;21;88;62;1;
2015-02-13;null;6,1;14;35;26,1;21,6;79;53;1;
2015-02-14;null;5,9;2;34;27;21,2;70,8;55;1;
2015-02-15;null;4,2;0;33;26,3;21;81,3;69;1;
2015-02-16;null;1,7;0;33,7;26,3;21,6;81,3;58;1;
