Nome: CUIABA
Codigo Estacao: 83361
Latitude: -15.61999999
Longitude: -56.10888888
Altitude: 157.7
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;7,7;0;34,2;29,1;24,8;61,8;47;null;
2015-01-02;null;8,9;0;36,5;28,9;23,8;71,3;57;null;
2015-01-03;null;5;16,6;33,6;27,4;22,1;74;62;null;
2015-01-04;null;7,9;0;35,6;28,6;23;62;38;null;
2015-01-05;null;8,4;36,6;34,8;28;22,2;70;65;null;
2015-01-06;null;10,6;0;36,1;29,6;23,8;48,8;51;null;
2015-01-07;null;6,2;0;33,3;27,5;24,8;87,8;38;null;
2015-01-08;null;7,6;45,8;35,3;28,6;23,9;89,5;77;null;
2015-01-09;null;4,3;18,8;34,2;27,3;23,8;83,3;83;null;
2015-01-10;null;7,4;16,2;34,9;28,3;22,2;66,3;53;null;
2015-01-11;null;8,4;0;36,9;29,4;24,2;73;45;null;
2015-01-12;null;,3;5;29,2;25,6;21,8;84,3;82;null;
2015-01-13;null;7,3;13,2;35,7;26,6;22,4;74,8;31;null;
2015-01-14;null;8,2;39,9;33,9;25,6;21,8;79,5;49;null;
2015-01-15;null;4,2;46,7;34;26,5;22,8;75,8;51;0;
2015-01-16;null;10,1;0;34,3;27,5;21,5;59,5;51;null;
2015-01-17;null;5;0;33,8;26;22;80,5;54;null;
2015-01-18;null;1,9;4;32,1;26,3;22,7;81,3;72;0;
2015-01-19;null;6,7;0;35,4;29,1;22,7;63,5;47;null;
2015-01-20;null;4,9;0;34,5;26,4;24;83,5;68;null;
2015-01-21;null;8;7,6;32,6;26,7;20,4;70,5;55;null;
2015-01-22;null;6,7;1;33,4;27,9;23,2;71,3;56;null;
2015-01-23;null;7,9;0;36,3;27,9;23,6;68,3;46;null;
2015-01-24;null;7,3;,2;33,2;26,6;22,4;74,8;71;null;
2015-01-25;null;8,2;2,1;33,2;27,4;23,6;70,5;52;null;
2015-01-26;null;8,2;0;32,7;27,5;23,6;70;52;null;
2015-01-27;null;,8;0;29,1;26,3;24,6;84,3;77;null;
2015-01-28;null;1,4;10,8;31,2;26,3;23,4;85;80;null;
2015-01-29;null;3,3;1,2;33,5;28,1;23,4;69,3;53;null;
2015-01-30;null;9,8;0;36;29,2;24,4;67,5;46;null;
2015-01-31;null;6,6;5,2;37,5;27,8;24,2;70,3;43;null;
2015-02-01;null;8,9;14,2;36,5;28;22,4;69,5;null;null;
2015-02-02;null;5;26,5;33,6;28;22,8;68,5;null;null;
2015-02-03;null;8,2;0;37,1;30,4;24;59,8;null;null;
2015-02-04;null;6,5;0;34,9;29,2;25;72;null;null;
2015-02-05;null;3,6;0;33,5;27,5;25;77;null;null;
2015-02-06;null;,1;3,6;30,5;26,1;24;81,8;null;null;
2015-02-07;null;null;3,4;33,5;28;24;72,5;null;null;
2015-02-08;null;7,3;0;33,5;28,3;24,4;72;null;null;
2015-02-09;null;null;0;29,4;26,4;23,6;78,3;null;null;
2015-02-10;null;3,4;38;35,3;28,4;24,5;76;null;null;
2015-02-11;null;9,9;0;30,5;28,4;23,2;68,5;null;null;
2015-02-12;null;1,9;13,2;33;27,9;23,2;78,8;60;null;
2015-02-13;null;6,9;0;35,4;27,8;24,6;75,3;null;0;
2015-02-14;null;9,6;,8;35,8;27,8;22,4;73,8;null;null;
2015-02-15;null;5,4;9,6;33,5;27;22,6;73,3;null;null;
2015-02-16;null;5,3;0;35;28,4;23,2;69,3;null;null;
2015-02-17;null;4,4;0;33;27,8;25,2;77,8;null;null;
2015-02-18;null;3,2;null;32,7;null;null;74;null;null;
2015-02-19;null;1,3;21,4;31,5;25,8;24,2;89,8;null;null;
2015-02-20;null;2,4;93,2;31,2;25,9;22,3;84,8;null;null;
2015-02-21;null;,8;25,2;29,1;25,5;22,8;80,8;null;null;
2015-02-22;null;2,3;,2;32,7;27;22,4;77;null;null;
2015-02-23;null;3,8;11;31,5;25,3;22,6;92;null;null;
2015-02-24;null;4,2;23,3;33,4;25,6;21,2;81,8;null;null;
2015-02-25;null;7,8;0;34,7;27,5;21,8;72,3;null;null;
2015-02-26;null;5,2;0;34,1;27,2;23,8;82,5;null;null;
2015-02-27;null;7;33,4;34,4;27,6;21,3;71,8;null;0;
2015-02-28;null;5,9;0;33,8;27,3;23,6;81,8;null;null;
2015-03-01;null;null;,8;33,7;27;22,8;78,3;55;null;
2015-03-02;null;2,3;0;32,4;26,6;23,2;85,5;83;null;
2015-03-03;null;7,4;3,4;34,9;28,2;23,4;74;57;null;
2015-03-04;null;1,3;null;31,4;null;null;73;80;2,1;
2015-03-05;null;3,1;7,2;33,3;27;22,4;74,5;62;null;
2015-03-06;null;5;0;33,8;26,8;23;84,8;74;null;
2015-03-07;null;5,8;4,8;33,8;28,1;23,4;72,5;59;null;
2015-03-08;null;7,2;11,6;34,3;28,1;23;72,3;52;null;
