Nome: SAO VICENTE
Codigo Estacao: 83363
Latitude: -15.82305554
Longitude: -55.41888888
Altitude: 786.99
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-02-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;7,2;0;33,8;25,9;20,5;68;46;,7;
2015-01-02;null;6,2;0;33;25,7;20,3;71,3;50;,5;
2015-01-03;null;5,3;0;33;23,5;20,3;81,5;52;,3;
2015-01-04;null;8,5;32,6;32;24,9;18;69,5;48;,5;
2015-01-05;null;2,4;0;30;23,1;18,5;87;75;,5;
2015-01-06;null;10,5;2,6;32,4;25,3;18;79,5;70;1,2;
2015-01-07;null;6,7;0;29,8;24,5;19,3;81,8;72;1,2;
2015-01-08;null;,9;0;32,6;26,1;19,5;72,3;61;1;
2015-01-09;null;5,7;0;33;26;23,1;79,3;61;1,2;
2015-01-10;null;5;0;33;25,2;19,7;68,3;56;,9;
2015-01-11;null;3,3;0;32,2;26,3;22,1;76,5;68;,5;
2015-01-12;null;,6;2;29,2;22,7;20,3;82,3;65;,3;
2015-01-13;null;4,5;0;32;23,7;18,5;82;66;,9;
2015-01-14;null;5,9;0;31;24;18;83;72;,7;
2015-01-15;null;1,7;2,2;30,8;23,2;18,7;81,8;71;,5;
2015-01-16;null;4,8;49;30,2;22,8;17,2;79,5;72;1;
2015-01-17;null;3,7;8,7;30;22;17;82;74;,7;
2015-01-18;null;,8;8,2;30;23,7;17,4;79,5;67;,5;
2015-01-19;null;5,4;0;30;23,8;20,1;83,5;76;,5;
2015-01-20;null;4,5;0;31;23,4;18,7;81,8;77;2,6;
2015-01-21;null;8,1;0;29,8;24,1;18,3;73,3;58;,7;
2015-01-22;null;7,8;0;33,6;24,1;17,3;80,5;61;,5;
2015-01-23;null;4,4;4;30,6;23,8;20,1;85,8;73;,3;
2015-01-24;null;7,2;5;33;23,3;16;81,5;69;1,4;
2015-01-25;null;1,5;0;30,2;23,1;19,3;82,8;60;1;
2015-01-26;null;3,5;0;31,4;23,3;16,8;83,3;71;1;
2015-01-27;null;1,6;0;30;22,8;19,3;93,8;88;1,2;
2015-01-28;null;1,8;5,2;31,4;22,8;17,2;91;84;,5;
2015-01-29;null;5,1;33,1;32;24,3;19,5;77,8;66;,3;
2015-01-30;null;8,6;0;37,8;27,1;19,5;64,8;49;,7;
2015-01-31;null;6,9;0;36;26,9;23,1;66,3;58;,7;
2015-02-01;null;6,2;0;35,8;24,9;19,1;74,8;63;,7;
2015-02-02;null;5,3;null;33,4;null;null;82;78;0;
2015-02-03;null;8,2;4;34,2;26,5;20,4;72,3;63;,3;
2015-02-04;null;6,7;0;33;24,9;20,7;82,3;61;,7;
2015-02-05;null;2,3;0;30;23,4;20,1;85,5;74;,5;
2015-02-06;null;,2;0;26,4;22,8;19,7;90;82;,9;
2015-02-07;null;4,2;0;29,2;23,7;19,7;81,5;70;,9;
