Nome: PADRE RICARDO REMETTER
Codigo Estacao: 83364
Latitude: -15.7761111
Longitude: -56.07194443
Altitude: 207
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;8,4;0;33,8;28,3;24,5;66,8;48;,9;
2015-01-02;null;8,1;0;35,8;29,1;23,8;70,8;48;,2;
2015-01-03;null;5,4;3,5;33,4;27,2;23,2;79,3;60;,9;
2015-01-04;null;8,2;0;35;29,5;22,7;65,5;48;0;
2015-01-05;null;6,7;21,7;35,4;27,6;22,8;80;63;,3;
2015-01-06;null;10;0;35,9;29,1;23,9;77,3;60;0;
2015-01-07;null;7,5;0;33,8;27,5;25,6;86,3;70;1;
2015-01-08;null;7,7;0;35,8;28,2;24;75,5;49;,5;
2015-01-09;null;4,2;0;33,6;26,8;23,1;79;62;,2;
2015-01-10;null;9,1;0;34,6;27,4;22,2;81,3;60;,2;
2015-01-11;null;8,1;0;37;29,1;23,4;72,3;44;,3;
2015-01-12;null;3,8;0;30,4;26,4;22,8;73,8;67;,3;
2015-01-13;null;5,5;0;34,8;26,3;21,7;79,5;54;,2;
2015-01-14;null;10;0;35,4;26,7;22;77,8;50;,3;
2015-01-15;null;4,1;6,9;34,2;25,7;23,2;84;55;0;
2015-01-16;null;10,6;0;34;26,9;20,4;64,8;51;,7;
2015-01-17;null;5,9;0;33,6;26,5;21;75,3;56;,3;
2015-01-18;null;3,2;0;32,8;26,4;22,5;80,8;66;,2;
2015-01-19;null;8,1;0;35,4;28,2;21,8;69,5;52;,3;
2015-01-20;null;5,3;0;34,8;26;23,7;89,5;75;,7;
2015-01-21;null;9,6;24,7;32,2;25,8;20,6;81;59;,2;
2015-01-22;null;7,9;,8;33,8;26,6;22,4;82,8;61;0;
2015-01-23;null;8;0;35,9;27;23,1;81,3;47;,3;
2015-01-24;null;9,9;7,9;34,2;27,3;21,6;71,3;59;1,2;
2015-01-25;null;6,6;0;32,6;28,1;23,4;68;59;1;
2015-01-26;null;8,8;0;32,6;27;23,6;79,5;55;,9;
2015-01-27;null;2;1,3;30,4;26,2;24,2;86,3;79;1;
2015-01-28;null;3,8;0;31,8;26,8;23,9;76,5;68;,9;
2015-01-29;null;3,3;0;33,2;27;23,5;78,5;54;,2;
2015-01-30;null;10,8;0;36,4;29,9;24,1;63,8;47;,3;
2015-01-31;null;9,2;0;38,2;27,9;25,6;74,3;42;,3;
2015-02-01;null;8,1;6;35,8;28,1;21,4;71,5;49;,2;
2015-02-02;null;5,4;0;33,4;27,6;22,6;79;78;,8;
2015-02-03;null;8,4;0;36,4;29,3;22,9;71,8;50;0;
2015-02-04;null;5,7;0;35;28,1;24,2;86;68;,5;
2015-02-05;null;2,2;11,6;32,2;26,6;24,7;91,5;84;,3;
2015-02-06;null;1,1;3,8;29;26;24;91,8;88;,7;
2015-02-07;null;6,6;1,5;32;27,5;24;90;84;,3;
2015-02-08;null;5,2;9,3;32;27,2;24,3;82,3;78;,3;
2015-02-09;null;3,6;0;30;25,7;23,7;82,5;70;1;
2015-02-10;null;7,7;0;34,6;27,5;24,1;78,5;61;1,2;
2015-02-11;null;null;68;null;null;22,1;null;69;,3;
2015-02-12;null;null;1,8;31,6;27;22,8;85;95;,3;
2015-02-13;null;null;null;null;null;null;null;89;null;
2015-02-14;null;null;null;null;null;null;null;null;null;
2015-02-15;null;6,4;54,4;33,2;27,9;23,5;86;98;,5;
2015-02-16;null;null;0;null;null;24,7;null;80;,5;
2015-02-17;null;3,9;,2;32,6;27,3;25,1;90;79;,5;
2015-02-18;null;1,9;9;31,6;26;22,9;95;80;,5;
2015-02-19;null;null;12;null;null;24,5;null;90;,5;
2015-02-20;null;3,4;64,1;30,5;25,9;22,7;82;97;,5;
2015-02-21;null;1,1;10,8;30,2;25,3;22,9;89;75;,3;
2015-02-22;null;7;8,8;33;26,4;22,9;88;71;,3;
2015-02-23;null;5,1;6,8;31,4;25,4;23,1;93;91;,3;
2015-02-24;null;6,9;18,3;33,6;25,2;22,3;84,5;57;,5;
2015-02-25;null;8,5;0;34,4;27;21,9;77,5;48;,3;
2015-02-26;null;8,2;0;36,2;27;23,5;85,3;67;,3;
2015-02-27;null;7;4,2;33,4;26,1;21,9;83;62;,5;
2015-02-28;null;6,9;0;33,5;27;24,5;81,3;62;,7;
2015-03-01;null;7,1;0;34,2;null;null;76,8;66;,7;
2015-03-02;null;5;0;32;26;23,5;91,3;73;,5;
2015-03-03;null;8,4;,3;34,6;27,8;23,9;79,8;56;,7;
2015-03-04;null;3;1,7;30,6;26;24;82,3;67;1,2;
2015-03-05;null;6,1;2,8;32,6;26,8;22,9;78,5;60;,7;
2015-03-06;null;4,1;0;33,4;25,2;19,6;85,3;62;,7;
2015-03-07;null;5,7;0;33,6;26,2;23,5;90,8;78;,5;
2015-03-08;null;7,2;30;34;27,2;23,3;84,5;58;,5;
2015-03-09;null;7,5;0;34,4;27,7;24,2;82;60;,7;
2015-03-10;null;3;0;33,6;27,1;24,7;94,8;94;,5;
2015-03-11;null;6,9;13,2;33;27,7;24,3;80;61;,5;
2015-03-12;null;8,5;0;34;26,3;20,5;78,3;57;,7;
2015-03-13;null;10,9;0;33,4;27,8;23,3;73,3;58;,9;
2015-03-14;null;7,2;0;32,9;26,7;23,5;83,8;64;,5;
2015-03-15;null;9,4;9,1;33,6;27,2;24;84;68;,7;
