Nome: ARAGARCAS
Codigo Estacao: 83368
Latitude: -15.9025
Longitude: -52.24527777
Altitude: 327.03
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-07-02
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,3;8,5;28,4;32,6;26,9;21;77;63;,3;
2015-01-02;,5;9,3;0;35;28,1;22,2;72,3;63;,3;
2015-01-03;4,4;7,3;1,8;35,2;27,8;22,2;73,8;53;,7;
2015-01-04;4,6;8;0;33,8;27,8;22,6;66,5;47;,3;
2015-01-05;,6;6,3;0;33,6;27,1;22,8;70,3;53;,7;
2015-01-06;5,4;6,1;0;33;25,8;21,8;86,8;73;,3;
2015-01-07;2,8;9,6;10,2;34,4;27;20,5;77,8;51;0;
2015-01-08;6,4;9,1;0;35;28,7;22,2;68;48;,3;
2015-01-09;5;7,6;0;34,6;28;23,1;71,5;50;,3;
2015-01-10;5,4;7,7;,4;34,6;28,3;22;67;52;,3;
2015-01-11;5,2;9,8;0;36,8;29,6;22,4;54,3;31;,3;
2015-01-12;6,5;10,3;0;36,3;28,1;23,7;67,8;43;,7;
2015-01-13;5,7;8,5;8;33;26,7;20,9;69,3;53;,7;
2015-01-14;4,7;8,1;0;35,4;28,1;21,6;66;55;,7;
2015-01-15;6;10,6;0;35;28,6;22;64,5;45;,7;
2015-01-16;,8;6,1;0;34,7;26,8;23,4;73,8;59;1;
2015-01-17;4,3;1,6;0;35,6;26,4;21,2;80,8;66;,3;
2015-01-18;2;8;2;36;28;22;69;48;,7;
2015-01-19;4,8;10,3;0;37,6;29,9;22,2;61,5;45;,7;
2015-01-20;7,5;11;0;37,2;29,4;22,7;59,3;47;,7;
2015-01-21;6,2;10,9;2,8;36,2;25,7;21,2;76,3;43;1;
2015-01-22;8,5;6,8;71,9;32;26;19,6;73,8;67;,7;
2015-01-23;8,4;5,3;0;33;26,6;22,2;69,3;55;,3;
2015-01-24;5,3;5,9;1,1;32,2;26;22,4;73;52;,3;
2015-01-25;4,8;,8;0;28,6;24,8;22;81;74;,7;
2015-01-26;4;2,8;10,4;30,5;25,5;21,7;81,5;64;,7;
2015-01-27;4;6;0;33;26,6;22,2;79,8;62;,7;
2015-01-28;6,2;5,4;0;32,2;26,3;22,6;86;77;0;
2015-01-29;3,2;9;7;34,8;28;22;64,5;46;,7;
2015-01-30;5,9;11;0;36,5;29,4;22;59,3;44;,3;
2015-01-31;9,5;9,5;,2;37;29,8;22,8;63,8;46;,3;
2015-02-01;7;7,9;16,7;34,4;27,2;21,8;72,8;57;,7;
2015-02-02;4,2;8,1;2;36,8;28,4;23,2;67;47;0;
2015-02-03;6,2;8,5;0;37;29,1;22,5;61,5;42;1;
2015-02-04;6,3;4,7;0;33,1;26,9;23,6;84;69;,4;
2015-02-05;2,8;6,1;20;34,6;26,3;22;75,8;49;,6;
2015-02-06;3,5;3,4;0;32,8;26,4;22;83;83;,7;
2015-02-07;3;1,8;25,4;29,6;25,8;22,9;84,3;78;,7;
2015-02-08;2;1,2;9,8;29,2;24,5;22,6;88;87;0;
2015-02-09;1,9;4,1;12,6;32,6;25,6;22,2;82,5;58;,3;
2015-02-10;2,6;6,5;38;33;27;22,2;80,5;73;,7;
2015-02-11;3,4;2,1;0;30,8;25,4;22,3;82;60;,7;
2015-02-12;1;9,5;13,4;34,4;27;20;72,8;50;,3;
2015-02-13;5,1;10,9;0;36,4;29,3;21,4;62,5;42;,7;
2015-02-14;7;5,3;0;34,8;27,5;21,5;68,5;63;,7;
2015-02-15;5,5;8;0;33,8;26,7;21,9;76,3;69;1;
2015-02-16;4;4,4;14,6;33,6;27,1;21,8;72;52;,3;
2015-02-17;4;4,5;15,2;30,6;25,4;21,4;81;73;,7;
2015-02-18;3,5;1,9;60,8;27,8;24;21,4;87;82;,3;
2015-02-19;1,7;,4;5,8;26,8;23,4;21,2;91,3;84;,7;
2015-02-20;1;0;18,2;25,8;23,4;22;90,3;79;,3;
2015-02-21;1,7;8;19,8;31;25,4;21;75;55;,7;
2015-02-22;4,4;10;0;34;27,2;21,2;67,3;42;,7;
2015-02-23;7;10,1;7,2;32,4;26,5;21;68,8;55;1;
2015-02-24;4,5;6,5;0;33;26,8;21,2;72,3;53;,3;
2015-02-25;4,5;8;0;32,8;27;22;74,3;68;,7;
2015-02-26;5,4;5,8;1;33,8;27,4;22,2;69,5;52;,3;
2015-02-27;3,6;6,6;54,6;30,6;25,1;21;80,5;65;,7;
2015-02-28;2,5;7,4;9,2;33,2;25,8;21,6;78,8;55;,3;
2015-03-01;3,5;6,9;0;33;26,7;22;79,8;null;,7;
2015-03-02;3;2,5;2;31;25,5;21,8;84;null;,3;
2015-03-03;3;3,1;6,6;33,4;25,6;21,8;81,3;54;,7;
2015-03-04;2,1;4,1;10,4;32,6;24,8;22;83,3;null;,7;
2015-03-05;2,4;8,5;27,6;32,8;24,6;19,8;78,8;null;,7;
2015-03-06;3,4;9,3;0;33,6;25,7;19,6;75,5;null;,7;
2015-03-07;4,1;7,7;0;34;26,5;21,8;76,5;null;,7;
2015-03-08;4,2;4,8;3,4;32;26,2;22;77,8;null;,7;
2015-03-09;2,5;6,8;2,2;32,6;27,2;21,4;81;null;0;
2015-03-10;2,5;3,2;16,2;30;24,2;22;88,3;null;,7;
2015-03-11;1,3;5,8;28,8;33,2;25,7;22;80,8;null;,7;
2015-03-12;2,7;,1;19,9;26,6;23;21;82,5;null;,7;
2015-03-13;1;0;44,4;28,2;23,2;20,2;88,3;null;0;
2015-03-14;1;5,8;6;32,1;25,3;21;87,8;null;0;
2015-03-15;2,5;2;18,8;27;23,6;21;88,3;null;0;
2015-03-16;1,1;10,1;4,5;34,2;27;20;70,5;null;,7;
2015-03-17;,5;2,6;0;30,6;25,2;20;80,3;null;,7;
2015-03-18;2,8;1,2;16;27;23,2;20;86,3;null;1;
2015-03-19;2,3;4,6;0;29,4;24,4;20,6;83,3;null;1;
2015-03-20;3,4;5,3;22,8;28,4;24,1;18,8;80,8;null;,7;
2015-03-21;2,5;5,4;27,2;30,6;24,5;18,6;82,3;null;,7;
2015-03-22;2,5;3,4;,8;30;24,9;21;82;null;,3;
2015-03-23;2,3;3,5;1,8;29,8;24,8;21;91,8;null;,7;
2015-03-24;2,1;8,9;1;33;27,5;22;70,8;null;,7;
2015-03-25;5,1;4,8;0;33;26,9;22,2;76;null;,7;
2015-03-26;3;3,5;20,4;29,8;24,5;21,4;85,8;null;,3;
2015-03-27;2;1,5;0;31,2;25,1;21,4;81;null;,7;
2015-03-28;3,3;10,2;0;34,4;27,2;21;70,3;null;,3;
2015-03-29;5,7;5,4;0;34,6;26,2;23;81,3;null;0;
2015-03-30;3,5;0;1,4;33;26,6;21,6;77,5;null;,3;
2015-03-31;3,5;7,1;0;35;26,9;22;74,5;null;,3;
2015-04-01;4,5;8,7;0;35;28,3;22;70,5;52;,7;
2015-04-02;4,2;6,2;0;35,4;27,6;23;76,8;55;,7;
2015-04-03;4,3;6,9;2,4;33,4;27;22,6;71,5;55;1;
2015-04-04;4,4;3,9;0;34,5;27,5;23;73,3;60;,7;
2015-04-05;4;3;0;33;27;23,6;77,5;61;1;
2015-04-06;3;5,8;0;33;26,9;22,6;77,3;70;,3;
2015-04-07;3,6;4,5;0;32,6;26,8;23;78;57;1;
2015-04-08;3,9;2,1;0;31,6;26,7;23;82;67;,7;
2015-04-09;2,9;7,8;0;33;27;21,6;71,3;53;,7;
2015-04-10;4,8;8,5;0;34,8;28,2;22;63;50;,7;
2015-04-11;5,6;3;51;32,2;24;21,4;85,8;60;,7;
2015-04-12;1,8;6,9;14,2;33,6;25,2;20,6;77;59;1;
2015-04-13;2,9;6,9;2;33,1;27,3;21,8;77,8;67;,7;
2015-04-14;3,1;2,4;1,6;31;25,4;22,6;88;76;,3;
2015-04-15;2,1;3;1;32;26,1;23,4;85,5;74;,7;
2015-04-16;2,1;8,9;1,6;33,2;27,3;22,6;74,5;59;,7;
2015-04-17;4,3;5,4;0;33,4;26,5;23;78,3;55;,7;
2015-04-18;3;8,6;0;35,4;28,7;21,6;65,3;47;1;
2015-04-19;4,5;8,4;0;35,2;27,4;22;76,5;58;,3;
2015-04-20;3,7;9,8;0;35,1;27,6;22,2;71,3;48;,7;
2015-04-21;5,5;6,2;0;33,4;26,3;22,8;81,5;64;,7;
2015-04-22;3,4;6,2;4;32;25,5;22,3;81,3;61;,7;
2015-04-23;3,6;8;3,4;33,8;26;21,8;79,8;50;,7;
2015-04-24;2;6,8;11,4;37;27,5;22;78,8;56;,3;
2015-04-25;5,8;9,3;0;34;28,2;23;71,3;53;,7;
2015-04-26;4,9;7,9;2;34,2;27,9;23;76,5;59;,7;
2015-04-27;4,8;5,7;0;32,2;27;23,1;75;57;,7;
2015-04-28;6,9;6,5;0;32,5;26,8;22,5;73,5;55;,7;
2015-04-29;6,6;8,6;0;33,6;28,1;22,6;65;46;,7;
2015-04-30;6,3;9,1;0;33,4;26,9;21,4;66,8;50;,7;
2015-05-01;6;9,9;0;32;25,9;20;71,3;54;,7;
2015-05-02;5;9,6;0;32;26,1;19,2;66,5;51;1;
2015-05-03;5,8;6,9;0;32;26;22;73,8;56;,7;
