Nome: RONCADOR
Codigo Estacao: 83373
Latitude: -15.94638888
Longitude: -47.88416666
Altitude: 1104.94
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2017-09-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,4;10,8;0;30,6;22,9;14,7;61;47;1;
2015-01-02;6,8;null;0;null;null;null;null;61;0;
2015-01-03;5;8,8;null;29,5;23;16,7;79,8;65;1,3;
2015-01-04;4,4;9,5;4;27,8;21,6;17,5;75,3;58;3;
2015-01-05;4,1;9,6;0;29,1;21,5;13,4;65;45;1;
2015-01-06;7,1;9,3;0;30,1;21,9;14,7;65,8;38;1,3;
2015-01-07;7,9;9,2;0;29;21,6;13,8;69,3;54;2,3;
2015-01-08;6,2;null;0;null;null;15,1;null;50;0;
2015-01-09;6,2;12,2;null;29,4;21,8;15;60,3;42;1,7;
2015-01-10;7,9;11,3;0;30,2;21,9;13,8;57,5;46;1,7;
2015-01-11;5,9;12,3;0;31;23,1;14,3;59;41;2;
2015-01-12;8,7;null;null;null;null;16;null;56;2;
2015-01-13;8,8;12,3;0;31,5;22,6;14,2;63,8;42;1,3;
2015-01-14;7,6;12,2;0;31,5;23,1;17,3;57;40;0;
2015-01-15;9,5;10,6;0;30,1;22;14,3;71,5;49;2,3;
2015-01-16;null;null;null;null;null;null;54,5;72;2;
2015-01-17;8,1;11,8;null;32,2;23,7;null;54,5;32;2;
2015-01-18;8,1;10,2;0;31,5;23,7;17,1;54,8;36;1,7;
2015-01-19;9,5;11,7;0;32,7;23,6;14,8;51,3;36;4,3;
2015-01-20;9,6;null;0;null;null;14,7;null;30;3;
2015-01-21;9,3;11,6;null;32,2;23,5;14,1;63,3;45;2,3;
2015-01-22;8,8;8;26,2;29,4;20,2;16,1;77;47;1,3;
2015-01-23;4,9;5,4;0;28,2;20,3;15,8;80;61;,7;
2015-01-24;null;null;null;null;null;null;null;93;null;
2015-01-25;null;1,6;null;25,1;19,5;16,7;89;79;1;
2015-01-26;2,1;3,2;20,6;26,1;20,9;16,7;81,3;62;,2;
2015-01-27;3,4;4,5;2,2;27,2;20,4;14,8;87,3;80;1,3;
2015-01-28;2,6;null;0;null;null;14,8;null;81;3,5;
2015-01-29;2,2;4,2;null;27,5;20,5;14,9;82,8;70;1,3;
2015-01-30;3,6;9,1;1,2;30,2;23,1;17,3;69,5;60;2;
2015-01-31;6,3;12;0;32,8;24,3;17,3;58;40;3;
2015-02-01;null;null;null;null;null;null;null;66;null;
2015-02-02;null;12,1;null;30,5;null;null;55;41;1;
2015-02-03;7,8;7,7;0;30,1;22,4;15,7;71,8;62;2,7;
2015-02-04;4,7;2,8;3;27,4;21,3;18,1;82,8;60;2;
2015-02-05;3,8;null;,4;null;null;16,8;null;60;5;
2015-02-06;4,2;,1;null;23;19,6;16,8;93;89;3,7;
2015-02-07;1,2;0;57;20,8;18,8;16,5;94;89;3,3;
2015-02-08;1,5;,6;7,2;24,3;19,2;15,9;89,5;83;5;
2015-02-09;2,3;3,9;,8;26,4;20,9;16,5;81,8;64;,7;
2015-02-10;3,3;null;0;null;null;17,8;null;61;2;
2015-02-11;3,2;7,4;null;28,6;22,1;17,3;75;50;4;
2015-02-12;5,1;11,2;0;29,1;22,4;17,8;66,3;48;3;
2015-02-13;6,7;11,7;0;30,8;22,8;14,3;52,8;39;2,7;
2015-02-14;8,3;11,8;0;31,4;23,1;15,5;58;39;1,7;
2015-02-15;8,4;10;0;30,1;22,6;16,7;69,3;53;3,3;
2015-02-16;6,1;4,6;0;27,9;21,5;16,5;null;76;1;
2015-02-17;3,3;2,6;,8;25,6;21,1;17,7;81,8;75;1;
2015-02-18;null;null;null;null;null;null;null;88;null;
2015-02-19;null;,4;null;23;20,5;19,5;85;72;,7;
2015-02-20;1,4;5,5;0;26,2;20,8;17,5;83,3;63;3;
2015-02-21;3,4;9,6;0;27,8;21,1;16,5;75;49;3;
2015-02-22;null;null;null;null;null;null;null;87;null;
2015-02-23;null;12,4;null;27,5;22;19,5;73,5;56;2;
2015-02-24;5,8;7,7;0;26,3;20,6;16;81,5;69;2,3;
2015-02-25;4;8,7;0;28,9;21,9;17;73;52;3,3;
2015-02-26;5,7;null;0;null;null;16,9;null;68;1,5;
2015-02-27;2,7;1,8;null;24,6;21,2;17,6;85,3;72;0;
2015-02-28;3,4;5,1;0;28;21,2;16,1;89,3;72;2;
2015-03-01;2;3,9;45,4;26,6;20,3;16,2;85,8;66;1,7;
2015-03-02;2,5;1,7;63,8;25,9;20,8;16,6;86,5;84;2,7;
2015-03-03;2;9,7;null;28,2;21,6;15,8;77,5;55;3,3;
2015-03-04;5,1;8,2;0;28,2;21,4;16,4;85,3;71;1,7;
2015-03-05;3,4;1,6;12,4;23,9;19,8;16,7;91;80;1,3;
2015-03-06;1,3;4,4;1,2;27,1;20,1;15,4;87;72;0;
2015-03-07;2,4;5,9;2,2;27,8;20,6;15,3;84,8;63;1,7;
2015-03-08;3,1;3,5;0;25,9;20,1;15,6;87,5;73;,3;
2015-03-09;2,4;3,3;0;27,3;20,7;14,2;82,8;64;,7;
2015-03-10;3;2,6;4;26,7;20,3;17,1;92,3;84;,3;
2015-03-11;,6;9,6;22,4;27,4;20,7;16,3;88,5;72;2,7;
2015-03-12;2,4;,2;45;23,7;19,7;17;93;85;0;
2015-03-13;1,5;1,5;0;25,3;20,5;16,4;90;77;1;
2015-03-14;2;2,5;12;27;21,7;17,9;85,3;67;1;
2015-03-15;2,3;3;6,8;27,2;20,8;17,3;88,8;77;1,7;
2015-03-16;2,7;2,6;0;26,8;20,4;15,5;79,5;60;1,7;
2015-03-17;2,9;2,4;0;23,6;19,1;14,6;85;78;,3;
2015-03-18;2,4;1;8,2;25,1;19,9;16,4;84,3;62;,7;
2015-03-19;1,8;0;12,4;21,3;17,9;16;95;92;0;
2015-03-20;1,4;,4;18,4;21,9;18,6;15,5;null;97;0;
2015-03-21;1,3;2,2;,2;24,3;18,9;15,1;92,8;87;2,3;
2015-03-22;2;3,7;38,6;25,5;20;15,7;88,5;82;1,3;
2015-03-23;2,2;8,8;4,8;28,1;21,3;16,4;80,3;61;,3;
2015-03-24;3,9;2,2;0;24,6;20,7;17,1;88,5;79;0;
2015-03-25;1,3;6,1;5,8;28,8;21,6;15,7;80,8;66;1,3;
2015-03-26;3,2;null;0;null;null;14,8;null;68;,5;
2015-03-27;2,8;4,7;0;23,6;20,3;16,8;93,3;86;0;
2015-03-28;1,5;9;28,9;29;22,1;15,1;77,8;58;1,7;
2015-03-29;4,1;8,8;0;29,5;22,5;14,7;73,5;52;1,3;
2015-03-30;4,6;7,6;1,6;29,2;22,1;15,1;77,8;61;0;
2015-03-31;4,2;3,4;0;28,3;21,1;17,8;82,8;60;0;
2015-04-01;3,4;8,2;0;30,1;22,2;15,4;73;52;,7;
2015-04-02;5,1;5,6;0;29;22,1;16,6;88,3;70;1,7;
2015-04-03;2,1;4,1;10,8;26,3;20,9;16,1;85,8;72;,7;
2015-04-04;2,6;7,7;0;28,4;21,7;18;81,8;58;2;
2015-04-05;3,6;3,3;0;25,7;20,5;16,8;88,5;76;0;
2015-04-06;1,7;9,4;14;29,1;21,5;15,2;77,5;54;3;
2015-04-07;5;3,7;0;27,3;21,8;15,5;82,3;70;3,7;
2015-04-08;3,2;2,6;0;26,8;20,9;17,4;88,5;79;0;
2015-04-09;1,7;2,3;4,2;25,6;20,5;16,3;88,3;70;3,7;
2015-04-10;3,2;8,5;0;27,6;21,4;16,8;78;58;1,7;
2015-04-11;3,3;9,1;0;27,2;21,6;16,1;76;60;1,7;
2015-04-12;3,6;4,9;0;27,4;21,4;16,8;78,5;60;0;
2015-04-13;3,6;4,8;0;27,6;21,7;16,3;77;58;0;
2015-04-14;4;3,7;0;27,5;20,8;16;80,5;53;,3;
2015-04-15;3;5,2;24,4;26,4;20,9;16,1;78,8;69;,7;
2015-04-16;5,2;5,7;8,6;26,3;20,4;16,5;88,5;79;1;
2015-04-17;1,8;8,5;14;27,8;21;13;83;60;,3;
2015-04-18;3,8;7,1;0;27,8;21,5;15,9;86,3;70;1;
2015-04-19;3;5,7;0;28,5;22;15,3;83;72;1,3;
2015-04-20;2,8;7,8;15;28,3;21,9;16,6;80,3;57;0;
2015-04-21;3,2;null;null;28,2;21,1;16,8;87;57;,3;
2015-04-22;3,5;null;0;null;null;17,1;null;78;0;
2015-04-23;2,7;4,3;1;26,5;20,1;14,8;85,5;67;0;
2015-04-24;2,5;6,5;0;28,2;21,2;15;81,5;63;0;
2015-04-25;2,1;4,9;4,8;27,6;20,8;14,8;83,5;62;2;
2015-04-26;2,6;4,8;1,4;26,8;21;16,1;88;83;1;
2015-04-27;2,5;9,4;0;25,2;20,2;15,6;81,3;66;,7;
2015-04-28;2,9;5,2;0;25,7;20;14,7;88,3;72;1,7;
2015-04-29;1,9;7,4;2;25,9;19,4;12,2;83,3;65;0;
2015-04-30;2,6;6,9;0;25,7;19,2;14,4;82;63;0;
2015-05-01;2,5;8,5;0;23,6;18,2;13,3;85,3;67;,3;
2015-05-02;2,4;11;0;25,2;19,5;14,2;81,3;62;0;
2015-05-03;2,8;6,9;0;26;18,9;12,9;83,8;64;2;
2015-05-04;3;4,5;0;25,2;19,7;13,5;88,3;81;,2;
2015-05-05;2;2,5;14,4;23,8;20,1;16,2;87,5;78;,3;
2015-05-06;,7;2;1,2;24,6;20,1;16,3;89,8;77;0;
2015-05-07;1,3;null;null;26,1;19,9;13,3;84,5;67;1,3;
2015-05-08;2,8;10,1;0;25,8;20,5;16,1;80,3;64;2,3;
2015-05-09;3,4;2,8;0;23;18,5;15,7;87;74;1;
2015-05-10;1,5;9,1;0;27,7;20,6;14,3;76,3;54;0;
2015-05-11;3,9;0;8,8;19,6;16;13,5;92,3;80;0;
2015-05-12;,7;8,8;1,8;24,8;18,3;11,3;84,3;68;1,3;
2015-05-13;2,6;3,2;0;23,5;18,1;11,3;86,3;77;1,7;
2015-05-14;2,1;2,1;0;22;18,2;13,4;90;78;0;
2015-05-15;1,5;2,5;0;22,8;18,1;13,4;87,3;73;,1;
2015-05-16;1,9;4,3;0;23,2;17,7;12,3;80,3;69;3;
2015-05-17;2,6;9,1;0;25,3;18,5;11;80;61;1,7;
2015-05-18;3,5;10,1;0;24,7;18;13,2;78,3;61;,7;
2015-05-19;3,3;8,4;0;25;18,7;13,6;80,5;63;1,7;
2015-05-20;3,4;5;0;24,5;18;12,7;80,3;62;1,3;
2015-05-21;2,7;7;0;25,1;18,3;12,9;83,5;62;2,3;
2015-05-22;3,3;7,1;0;24,3;18,2;13;79,5;66;,4;
2015-05-23;2,8;8,3;0;25,2;17,8;10,3;75,3;59;2,3;
2015-05-24;3,1;8,4;0;26,8;18,5;10,5;77,5;52;,7;
2015-05-25;4,1;10,5;0;26,3;18,1;10;69,8;49;,7;
2015-05-26;5,3;10,4;0;26,8;18,4;10,3;71,8;45;4;
2015-05-27;5;10,4;0;28;18,6;10;66,3;39;,7;
2015-05-28;5,4;7,1;0;27,2;18,9;10,6;77,3;59;,3;
2015-05-29;3,5;9;2,2;25,2;18,7;13,8;83,8;68;1,3;
2015-05-30;3,2;7,5;,2;26,4;20;12,8;78,3;57;0;
2015-05-31;2,8;9,7;0;27;19,8;11,6;72,8;52;3;
2015-06-01;4,7;10,2;0;27,1;19,9;11,5;68;53;1,7;
2015-06-02;4,9;10,5;0;26,8;19,5;11,8;67,8;49;1,3;
2015-06-03;5,4;null;0;null;null;13,6;null;59;3,5;
2015-06-04;3;10,4;null;24,6;18,1;12,6;75,5;58;3;
2015-06-05;3,8;9,9;0;25,2;18,1;11,8;75,8;56;3,7;
2015-06-06;3,8;10,2;0;25,3;17,9;12,5;78,8;58;1,7;
2015-06-07;3,8;10,1;0;25;18,5;12,9;78,8;63;4;
2015-06-08;3,8;10;0;24,3;17,4;11,6;74,5;55;3;
2015-06-09;4,1;9,6;0;25,9;18;9,7;67,8;51;1;
2015-06-10;5,1;10,7;0;26,6;18,3;9,8;63,8;46;,3;
2015-06-11;5,8;10,7;0;26,2;18,8;11;67,8;52;,7;
2015-06-12;5,3;8,1;0;26,7;19,5;10,8;67;51;1,7;
2015-06-13;4,4;8,8;0;26,7;18,6;11,5;62,8;41;3;
2015-06-14;null;null;null;null;null;null;null;72;null;
