Nome: GOIAS
Codigo Estacao: 83374
Latitude: -15.93972221
Longitude: -50.14194444
Altitude: 508.68
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2017-10-02
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,7;9,7;0;33,2;27,1;22,1;78,3;70;2,3;
2015-01-02;3,4;8,6;4,7;35,4;27,6;22,7;null;74;2;
2015-01-03;4,7;6,4;7,2;34,3;26,8;22,4;null;72;1;
2015-01-04;4,8;7,9;,2;35,3;25,3;22,5;null;72;3;
2015-01-05;6,1;9,1;,6;33,7;25,8;20,6;null;73;0;
2015-01-06;4,8;8,3;0;34;26,2;21,3;null;74;0;
2015-01-07;4,4;10,8;0;35,3;28,2;20,7;null;68;0;
2015-01-08;7,1;11,1;1,2;36,4;29,2;22,8;null;54;2;
2015-01-09;7,8;10,4;,2;34,9;28,6;23,3;null;55;2,5;
2015-01-10;6;8,9;0;35,6;28,5;23,4;null;67;2;
2015-01-11;6,4;11,1;0;36,5;28,9;22,7;null;60;2;
2015-01-12;8,6;8,6;0;35,5;26,3;22,2;null;57;2,1;
2015-01-13;5,6;5,3;8,4;31,1;24,9;22,3;null;79;3;
2015-01-14;2,8;8,1;2,4;33,9;25,6;21;null;75;2;
2015-01-15;2,7;10,5;31;34,3;25,8;19,6;null;84;1,5;
2015-01-16;4,1;10,8;,3;35,6;26,4;19,7;null;70;1;
2015-01-17;7,2;6,4;0;34;25,7;22,3;null;68;1;
2015-01-18;3,3;8,5;,2;34,7;26,9;20,5;null;74;0;
2015-01-19;4,1;9,7;1,3;37;27,7;21;null;73;2,5;
2015-01-20;5,3;9,4;0;35;27,9;21;null;74;3;
2015-01-21;5,7;7;0;34,5;25,2;20,9;null;64;3;
2015-01-22;4,4;5,5;20,6;30,7;24,5;19;null;80;2;
2015-01-23;3,8;6,7;1;33,4;25,3;20,7;null;74;2;
2015-01-24;4,4;4,7;,4;31,2;25,2;22,4;null;84;2;
2015-01-25;4,3;,2;37,2;24,8;22;19,9;null;74;2,5;
2015-01-26;,9;4,7;8,2;28,7;23,8;20,3;null;86;2,5;
2015-01-27;1,9;7,2;1,3;31,7;25,4;20,4;null;72;2,5;
2015-01-28;3,7;7,2;13,6;33,5;26,3;20,8;null;81;2;
2015-01-29;4,9;7;0;33,6;25,5;22,4;null;77;1,5;
2015-01-30;4,6;9,9;4,8;36,4;28,9;22,3;null;69;3,5;
2015-01-31;6,4;10,2;8,3;35,3;26,7;21,3;null;66;1,5;
2015-02-01;6,3;9,7;1,1;34,7;26,9;20,2;61;51;2;
2015-02-02;6,7;10,6;0;35,6;28,1;22,1;60,5;38;1;
2015-02-03;6,6;8,7;,4;34,5;26,8;21,6;65;38;1,7;
2015-02-04;6,2;1,8;0;29,6;24,7;22,3;79,5;69;3,3;
2015-02-05;2,4;4,9;6;30,4;24,5;22,2;81,8;66;2,7;
2015-02-06;2,7;3,4;21,2;30;24,3;21,4;93,3;89;2,7;
2015-02-07;1,2;0;49,2;29,4;23,3;20,8;94,8;94;2;
2015-02-08;,4;,3;81,8;32;24,1;21;85,5;76;3,3;
2015-02-09;2,2;2,4;,2;30,6;23,6;20,1;83,3;61;2;
2015-02-10;2;9,7;86,3;31;25,5;19,9;77,3;58;2,3;
2015-02-11;3,6;1,4;10;26,8;23,7;22,4;91;83;3,3;
2015-02-12;1,2;11,2;1,2;34,7;27,4;22,2;65,3;39;3;
2015-02-13;6,2;9;0;34,7;27,5;22,1;67,8;49;2;
2015-02-14;8,1;9,8;14,4;34,4;26,8;20,6;71,5;49;2,7;
2015-02-15;4,4;9,1;0;32,7;26,5;21,6;72;61;3;
2015-02-16;4,6;9,1;0;34,4;26,8;22,2;72;53;2,7;
2015-02-17;4,3;2,8;5;30,7;25,7;22,5;74,5;59;2,3;
2015-02-18;3,5;1;38,2;27,8;23,6;20,9;86;70;2,7;
2015-02-19;2,1;,9;0;25,8;23,9;22,2;91,5;87;2,7;
2015-02-20;,7;1,5;77,6;27,4;23,1;20,8;87,5;81;2;
2015-02-21;1,3;6;5,6;30,2;24;20,5;87,5;69;2,3;
2015-02-22;2,7;10,4;1;33,4;26,3;19,7;65;49;2,7;
2015-02-23;6,7;8,7;0;32,4;25;21,4;78,8;58;3;
2015-02-24;3,5;6,8;,8;30,8;24,1;19,8;77,8;60;3;
2015-02-25;4,9;8,6;2,7;32;26,3;20,7;68;53;2,7;
2015-02-26;5,2;7,3;0;35;25,2;21,3;81,5;68;3,7;
2015-02-27;4,1;5,9;40,2;31,8;25;20,6;75,3;52;2,7;
2015-02-28;13,1;4,7;0;32,6;25,1;22,3;80,3;54;3;
2015-03-01;2,6;6,1;18,7;31,1;25,4;20,7;85,8;82;2,7;
