Nome: PIRENOPOLIS
Codigo Estacao: 83376
Latitude: -15.85472222
Longitude: -48.96611111
Altitude: 766.92
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,7;8,8;0;33,8;25,6;18,7;67;43;1,4;
2015-01-02;4,9;4,8;0;32,2;24,8;19,4;77,8;67;1;
2015-01-03;3,5;7,6;0;33,6;24,8;20;84,5;64;3;
2015-01-04;3,7;8,3;17;32;24,6;19,6;71,5;50;3,3;
2015-01-05;5,7;9,9;0;32,6;24,8;17,6;63,5;39;1,4;
2015-01-06;6,9;8,7;0;32,6;23,7;18,6;73,8;44;1,7;
2015-01-07;4,7;8,5;5;33,2;25,2;18,9;67,3;43;1,4;
2015-01-08;6;10,5;0;34;26,2;20,2;62,3;42;2;
2015-01-09;7,1;9,9;0;33,4;26,7;19,8;60,3;43;2,3;
2015-01-10;6,9;7,5;0;33,2;24,8;19,5;61,5;34;1,4;
2015-01-11;6,8;10,6;0;35,4;25,8;17,1;54,5;23;1,4;
2015-01-12;8,3;9,8;0;34,9;27;19,6;57,5;35;,7;
2015-01-13;7;6,4;0;31,9;23,9;19,5;85;64;1;
2015-01-14;2,7;8,9;24,5;34,1;24,3;18;70,5;35;1,3;
2015-01-15;4,5;9;,6;33,8;24,4;15,8;59,5;39;2;
2015-01-16;6,7;9,1;0;33,8;25,3;17,5;59,8;33;1;
2015-01-17;7,1;8;0;33,6;25,2;18,9;67,8;43;1,7;
2015-01-18;4,5;10;0;35;25,8;18,6;64;39;,7;
2015-01-19;6;10,5;0;35,1;26,3;17,8;56,5;30;2,4;
2015-01-20;8,5;8,9;0;33,3;24,9;19,1;74;67;1,3;
2015-01-21;4,6;9,7;,2;32,2;23,4;18,2;78,8;56;1,4;
2015-01-22;4;5,6;29,7;30;21,9;17,4;73,8;57;2,3;
2015-01-23;2,9;6,6;3,1;31,8;23,2;17,4;73,3;48;2,7;
2015-01-24;4,5;4,8;2,1;30,8;23,3;20,3;74,5;50;1;
2015-01-25;3,2;2;12,6;27,1;21,6;18,6;83,8;64;1;
2015-01-26;2,1;3,9;0;30;23,1;19,5;82,3;56;1,4;
2015-01-27;2,9;2,6;6,7;28;23,5;19,4;87,3;74;1;
2015-01-28;1,8;1,4;11,3;30,6;24,3;20,2;71;51;2,3;
2015-01-29;3;5,4;1,4;31,5;24,6;19,7;74;49;2;
2015-01-30;4,2;10;0;34,3;25,2;19,6;71,3;44;1,7;
2015-01-31;5,3;10,2;3,6;34,9;26,1;18,8;64;41;2,3;
2015-02-01;5,9;7,9;0;33;24,1;19,1;75;48;1;
2015-02-02;4;10,7;,4;34,4;25,2;17,5;60,3;32;1,4;
2015-02-03;6,6;6,7;0;32,4;25,1;19,4;68,8;52;1,3;
2015-02-04;4,4;,5;0;28,9;23,5;20,8;83,5;73;2;
2015-02-05;2,4;4;,7;28,1;22,9;20,4;84,3;68;1,4;
2015-02-06;2,3;,8;17,7;25,8;22,3;20,9;91;83;2;
2015-02-07;,9;0;32,2;23,6;21,5;20,5;92;87;1,7;
2015-02-08;2,3;0;7,6;24,7;21,3;19,8;90;83;2,7;
2015-02-09;3,9;2,7;,3;28,2;22,6;18,7;81,3;61;1;
2015-02-10;2,7;4,9;0;30,7;23,8;19,9;81,5;60;1,3;
2015-02-11;3,1;2;23,3;29,8;23,9;20,2;85;62;1;
2015-02-12;2,5;8,7;0;33,2;26,1;19,5;62,5;38;2;
2015-02-13;5,9;9,6;0;34;25,6;17,6;64,3;43;1;
2015-02-14;6;10,5;0;34;25,1;18,6;66,3;39;1;
2015-02-15;6,7;6;0;32,1;24;18,9;76,8;65;,7;
2015-02-16;3;7;5,9;31;24,3;19;76,8;72;2;
2015-02-17;3,6;5,3;22,7;31,6;23,5;19,4;76;53;1,3;
2015-02-18;3,3;,1;8,7;27,6;22,1;19,3;87,8;69;1,7;
2015-02-19;1,4;0;4,8;25,1;22,3;20,7;86,5;76;1,7;
2015-02-20;1,5;3;7,2;28,6;22,9;20,3;84,3;58;1;
2015-02-21;2,3;5,9;1,9;30,6;22,9;19,2;85,3;60;1,3;
2015-02-22;3,5;9;3;32;22,7;17,5;73,5;46;3;
