Nome: BRASILIA
Codigo Estacao: 83377
Latitude: -15.78972221
Longitude: -47.92583332
Altitude: 1161.42
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4;10,3;0;30;24,1;17,9;52,8;41;,7;
2015-01-02;7,2;7;0;29,6;24;18,4;68;57;0;
2015-01-03;4,3;7,2;0;30,1;23,8;19,3;74,8;61;0;
2015-01-04;5,1;8,7;15,2;27,2;22,4;17,3;68,5;56;3,3;
2015-01-05;4;9,5;0;28,6;23,1;16,5;58;35;2;
2015-01-06;6,8;8,6;0;29,2;23,8;18,2;55,3;38;1,3;
2015-01-07;6,3;9,7;0;28,2;22,8;17,2;61,3;49;2,7;
2015-01-08;6,9;11,4;0;28,8;24;19,6;57,3;41;3,3;
2015-01-09;6,8;11,3;0;29;24,3;19,8;47,3;41;2,3;
2015-01-10;7,3;9,2;0;28,6;23,4;16,8;47,5;33;0;
2015-01-11;7,3;11,3;0;30,2;25;17,7;47;35;,3;
2015-01-12;8;11,3;0;30,9;25,9;20,2;46,3;37;3;
2015-01-13;8,7;10,2;0;31;24;18,2;57,5;32;1,3;
2015-01-14;5,5;11,4;0;30,3;24,6;18;42,3;32;,3;
2015-01-15;9;8,7;0;29,6;23,5;18,2;48,5;36;1,7;
2015-01-16;8,7;8,6;0;28,9;24,3;18,3;50,3;37;1;
2015-01-17;7,3;10,5;0;30,5;23,5;17,1;59;36;,7;
2015-01-18;6,4;9,8;0;31,1;25;18;47,3;33;2;
2015-01-19;8,8;11,2;0;31,7;25,9;18,6;40,8;30;3,7;
2015-01-20;10,5;11;0;31,9;24,5;18,7;53,8;30;1,3;
2015-01-21;6,8;10;0;30,8;23,7;18,2;56,8;39;1,7;
2015-01-22;5;6,6;2;28,8;20,8;17,2;73,3;47;1,3;
2015-01-23;3,3;3,9;30,2;27,6;20,6;16,5;77,5;58;1;
2015-01-24;2,9;2,4;3,4;25,5;19,7;16,9;79;56;1;
2015-01-25;2,8;1,6;2,3;25,7;20,3;16;76,8;58;0;
2015-01-26;2,7;5,8;0;26,8;21,8;18;68,8;56;1,3;
2015-01-27;1,6;4,3;0;25,2;21,6;18;76,8;70;,3;
2015-01-28;1,5;3,6;2,2;27,8;21,6;18;82;61;0;
2015-01-29;1,6;4,1;36,8;28,8;21,5;17,5;76,3;50;0;
2015-01-30;2,8;8,2;1,8;30;23,6;18;63,3;48;2,7;
2015-01-31;4,2;11;0;31,5;25,5;18,4;49;36;3;
2015-02-01;5,7;11,3;0;29,6;24,2;18,8;45,5;38;2;
2015-02-02;6;11,3;0;30,2;24,4;17,2;45,5;35;2;
2015-02-03;4,8;7,1;0;29,2;22,9;18,2;64;50;1,3;
2015-02-04;3,2;2,2;,4;26,7;21,5;18,9;71,8;41;1,3;
2015-02-05;2,2;6,2;10;26,4;20,9;18,3;77,8;59;4,3;
2015-02-06;1,6;0;9,8;21,6;19,5;18,7;95;79;2,3;
2015-02-07;,9;0;33,2;19,8;18,6;17,2;93,3;91;3,3;
2015-02-08;,4;,2;7,5;22,2;19,1;17,8;89,8;83;4;
2015-02-09;2,2;7;1,1;25,6;21,1;17,4;76,5;67;2;
2015-02-10;3,1;4,2;0;26,2;22,7;18,8;69,3;63;2;
2015-02-11;3,2;7,3;,3;28,7;23,4;18,7;63,5;44;3;
2015-02-12;6,4;11,2;0;29;24,1;19,9;56;46;1,7;
2015-02-13;6,6;11,2;0;30,7;24,4;16,8;41,3;35;2;
2015-02-14;8,5;10,4;0;30,8;24,2;16,7;49,8;31;,3;
2015-02-15;7,7;7,9;0;29,4;22,8;18;62,5;54;1;
2015-02-16;4,3;5,9;3,6;27,8;22,4;18,7;72;54;0;
2015-02-17;4,5;2,9;,6;26,3;22;18,4;73;61;,7;
2015-02-18;2,2;,5;38,3;23,4;19,9;17;82;65;1,3;
2015-02-19;2;,6;1,4;23,2;20,2;18,7;84;69;1;
2015-02-20;2;5,8;,4;25,6;21,2;17;72,5;59;1,3;
2015-02-21;3,7;9,9;,1;27,8;22,2;18;65;44;2;
2015-02-22;6,3;9,5;0;28,3;22,9;17,9;60,8;45;5;
2015-02-23;6,3;11;0;27;22,5;18;59,3;46;1,7;
2015-02-24;6,4;6,3;0;25,8;21,1;18;77,3;57;4;
2015-02-25;4,6;8,7;,6;27,8;23;18,9;68,3;52;3,7;
2015-02-26;5,3;6;0;28,2;22,6;19,5;76,5;65;2,3;
2015-02-27;2,9;2,6;19,7;26,3;21,5;18;80,5;60;0;
2015-02-28;2,5;5,6;0;27,4;21,6;18;83,5;70;0;
2015-03-01;2;4,9;5,8;26,2;21,2;18,2;78,5;59;0;
2015-03-02;2,6;1,2;5,3;25,9;21,5;18,7;80,3;70;2;
2015-03-03;3;7,7;2,3;27,2;22,5;18,2;70;59;2;
2015-03-04;2,8;8,1;,6;26,6;22,5;19;74,5;60;1,3;
2015-03-05;3,2;1,6;,1;24,6;21;18,6;81;70;0;
2015-03-06;1,5;4,4;2,9;26,7;21,2;18;80;65;,3;
2015-03-07;2,3;5,1;1;27,6;24,7;16,3;57,3;63;,3;
2015-03-08;2,3;1,8;37,4;25,1;20,7;18;87;37;0;
2015-03-09;1,9;3,4;10,8;27,6;21,5;17,2;81,3;64;0;
2015-03-10;1;2,2;26,2;26,8;21;17,9;90,8;77;0;
2015-03-11;1,5;2,1;41,1;27,4;20,7;17,7;83,5;71;2,3;
2015-03-12;1,5;0;60,8;23,9;20,1;17,6;86,5;71;,3;
2015-03-13;,5;1,7;,5;25,5;21;17,8;84,3;64;1;
2015-03-14;2,2;1,7;1,7;26,6;21,6;19,1;81,8;59;0;
2015-03-15;2,6;1,6;25,8;26,8;20,9;18,8;81,5;59;0;
2015-03-16;3;2,7;0;27,1;20,8;17,5;76,8;54;2;
2015-03-17;2,3;2,1;0;23,9;20,1;17,1;82,3;75;1,3;
2015-03-18;2,2;1,4;18,4;24,6;19,9;17,4;81,5;60;0;
2015-03-19;1,5;0;8,1;20,6;18;16,8;92,8;90;0;
2015-03-20;1;,5;24,9;21,8;18,6;16;90,3;84;1;
2015-03-21;1;2,9;1,1;25,5;19,1;16,1;89,8;81;3;
2015-03-22;1,8;2,6;39,1;24;19,3;16,7;88,5;74;1;
2015-03-23;1,7;9,2;3;26,8;21,8;17,9;74,5;60;0;
2015-03-24;2,8;null;9,3;25,1;21,1;18,6;91,5;78;0;
2015-03-25;1;5,4;2,7;28,3;21,6;18;79,8;52;1;
2015-03-26;2,7;5,4;,5;27,2;21,6;17,5;87;73;,7;
2015-03-27;1,6;,1;14,2;23,6;20,8;18,7;87,5;78;0;
2015-03-28;,6;9,1;1,9;28,7;23,5;19,8;69,8;52;2,7;
2015-03-29;4,3;8,4;0;29,5;22,8;18;71,8;50;2;
2015-03-30;4,4;8,3;0;28,6;22,8;18,5;75;54;1,3;
2015-03-31;3,6;3,1;0;29;22,4;19,6;72,8;51;0;
2015-04-01;2,1;7,1;,1;29,9;23,6;18,6;69,8;46;1;
2015-04-02;4,1;5,6;0;28,5;22,6;19,1;84;74;,3;
2015-04-03;2,6;4;1,2;26,4;21,3;19,1;80,8;64;0;
2015-04-04;2,6;6,4;7,4;27,4;21,7;18,2;78,8;60;0;
2015-04-05;3,1;3,2;,2;25,9;21,4;18,8;85,5;74;0;
2015-04-06;,6;8;23,2;27,6;22,8;18,2;71;57;2;
2015-04-07;3,4;5,4;0;27,6;22,8;19,3;76,3;59;3,3;
2015-04-08;2,8;3,4;18,8;25,6;21,3;19,3;85,5;76;0;
2015-04-09;1,5;1;23;25;20,5;17,3;86;63;,3;
2015-04-10;2,2;9,2;,3;26,8;22,1;18,5;72,8;59;,7;
2015-04-11;4,5;7,1;0;27,6;22,6;18,8;71,8;57;3,3;
2015-04-12;3;3,4;0;26,6;22;19,7;76,3;61;,3;
2015-04-13;3;3,5;,2;27,2;21,9;18,9;76,8;52;0;
2015-04-14;3,5;4,4;2,3;27,2;21,6;18,9;77,3;50;0;
2015-04-15;2,4;3,1;9,1;25,3;21,1;17,5;85,3;77;0;
2015-04-16;2,1;2,9;34,2;26,2;20,4;16,5;88,8;82;1,3;
2015-04-17;1,3;3,9;5,5;27;21,8;16,8;77,3;58;,3;
2015-04-18;2,1;5,5;0;26;21,2;16,6;83;65;1,7;
2015-04-19;2,6;4,4;,3;28,4;22,5;18;99,5;93;0;
2015-04-20;2,6;8,2;21,3;28,4;22,8;19;89,8;75;0;
2015-04-21;3,7;7,1;10,4;27;21,7;18,9;78;53;,3;
2015-04-22;3,1;5,5;0;27,6;22,8;20,1;77,8;66;1,3;
2015-04-23;1,8;5,1;11,4;26,4;21,4;18,6;84,3;66;0;
2015-04-24;3;6,3;,7;27,8;21,8;17,2;80;67;0;
2015-04-25;1,7;4,4;6,5;28,3;21,6;18;80,8;56;,3;
2015-04-26;2,3;3,6;12,7;27,2;21,3;19,2;89,5;81;,7;
2015-04-27;1,7;8,7;10,8;24,6;20,9;17,8;76,8;65;2;
2015-04-28;3,1;5,6;0;25;21,2;18,3;80,8;71;1,3;
2015-04-29;2,3;5,9;5,4;25,3;20,1;16;79,5;59;0;
2015-04-30;2,6;5,3;1,8;25,8;19,7;17,1;83,5;66;0;
2015-05-01;2,1;7,4;15,2;23,3;19,5;15,4;79,8;65;1;
2015-05-02;2,5;9,3;0;25;20,2;16;75,3;59;2,7;
2015-05-03;3,8;7,5;0;19,8;19,4;17,5;76;59;3;
2015-05-04;3,3;4;0;25;20,7;17,4;84,5;73;1;
2015-05-05;1,3;1,3;1,5;24,3;20,8;18,5;83,8;74;,3;
2015-05-06;1,2;1,7;5,1;25,2;21;18,8;82,5;66;0;
2015-05-07;1,3;8,1;7,3;25,8;21;16,9;78,3;64;,3;
2015-05-08;2,7;8,2;0;25,6;21;16,9;76,5;61;3,3;
2015-05-09;3,5;4;0;23,2;19,5;17;81,5;73;1;
2015-05-10;2,5;7,4;0;27,2;20,4;17,3;81,3;58;,7;
2015-05-11;3;0;12,4;19,8;16,8;15,8;93,3;81;1;
2015-05-12;,5;7,5;2,1;24,6;18,9;13,8;80,8;65;,7;
2015-05-13;2,4;3,9;0;23,2;19,5;16,5;79,8;69;1,7;
2015-05-14;2,4;3,7;0;23,2;19,2;16,5;86;71;1;
2015-05-15;2,2;3;0;22,3;19;16,5;80,3;66;,3;
2015-05-16;2,5;3,6;0;22;18,7;15,5;73;62;4,3;
2015-05-17;3;8,8;0;24,6;19,4;15,2;74,8;57;1;
2015-05-18;3,9;9,2;0;24,4;19,5;16;69,3;55;2;
2015-05-19;3,2;8,5;0;25,2;20,1;16,4;70,8;53;1,7;
2015-05-20;4,5;4,4;0;24,4;19,3;17,3;76;55;1;
2015-05-21;2,8;6,9;0;24,7;19,6;15,9;74;59;1,7;
2015-05-22;3,8;6,5;0;23,3;18,9;15,7;72,5;59;2,7;
2015-05-23;3,6;8,9;0;24,8;19,4;14,5;68,3;54;2,3;
2015-05-24;2,4;8;0;26,3;20,2;14;65;48;,7;
2015-05-25;4;9,1;0;26,2;19,7;13,6;61,3;40;0;
2015-05-26;4,6;9,1;0;26,6;20,3;13,8;58,3;43;2,3;
2015-05-27;5,6;9,3;0;27,9;20,8;14,8;55,8;37;1;
2015-05-28;4,7;8,1;0;27,6;20,6;15,5;69,3;46;,7;
2015-05-29;3,9;6,3;4,4;25,2;19,9;16,3;76,5;61;,7;
2015-05-30;2,4;7,3;,3;26,8;20,9;15,6;74;47;0;
2015-05-31;3,4;7,6;0;27,1;21,6;15,6;63,5;49;1,3;
2015-06-01;4,2;8,8;0;27,4;21,7;15,6;58;43;2,7;
2015-06-02;4,9;9;0;26,4;21,1;15,3;59;47;3,8;
2015-06-03;5,1;5,8;0;24,3;19,6;16;69,3;56;1,3;
2015-06-04;4;7,8;0;24,8;19,1;15,4;70;57;3,7;
2015-06-05;4;8,7;0;25,1;19,5;14,9;65,5;48;3;
2015-06-06;4,6;8,8;0;24,8;19,7;15,8;67;51;2,3;
2015-06-07;4,2;8,6;0;24,6;19,9;16,4;71;58;4;
2015-06-08;4;9,1;0;24,8;19,6;15;62;46;1,7;
2015-06-09;4,9;8,9;0;26;20;14;57,3;40;1,3;
2015-06-10;5,1;8,9;0;26,5;20,2;14,4;58,8;40;1,7;
2015-06-11;5,2;7,8;0;26,4;19,7;14;63,3;44;,3;
2015-06-12;4,5;7,4;0;26,3;20,6;14,2;53,5;50;1,7;
2015-06-13;4,8;7,7;0;27,2;20,2;15;54,8;36;1,3;
2015-06-14;6;8,7;0;27,8;20,6;14,4;54,8;35;1;
2015-06-15;5,6;7,9;0;null;null;14,3;null;51;1;
2015-06-16;5,4;7,9;0;27,4;21,3;16;61,5;46;0;
2015-06-17;4,8;8,8;0;26,2;21,1;16,8;63,8;49;3,7;
2015-06-18;5,4;7,7;0;26,8;21;17,2;62,3;47;3,3;
2015-06-19;5;8,5;0;26,7;20,1;14,6;59,8;38;2,3;
2015-06-20;5;8,8;0;24,6;18,4;15,4;62,5;48;4,7;
2015-06-21;5,5;1,5;0;21,4;16,4;14;80,8;65;2,3;
2015-06-22;2,6;5,5;0;23,7;17,8;13,7;70,8;52;2,7;
2015-06-23;2,4;8;0;25,5;18,2;11,7;61,3;37;0;
2015-06-24;4,8;8,8;0;25,5;19,5;13,6;54,8;38;2;
2015-06-25;6,2;7,7;0;25;19;14,6;66;53;3,7;
2015-06-26;5;5,3;0;22,6;17,2;14,3;72,5;58;5,3;
2015-06-27;3,1;8,7;0;22,8;16,4;11,7;61,5;46;2,3;
2015-06-28;5,4;7,5;0;23,2;16,9;12,2;62,3;48;2;
2015-06-29;4,5;6,6;0;23,8;17,5;12,3;62,5;47;1,7;
2015-06-30;3;9,1;0;26,8;18,6;12;59;35;2;
2015-07-01;5,5;8,6;0;27,6;19,8;13;50,3;32;0;
2015-07-02;5,7;8,5;0;26,7;20,1;13,8;57;43;,7;
2015-07-03;4,5;8,7;0;28;19,9;14;56,5;35;3,3;
2015-07-04;5;7,9;,2;30,1;21,6;15,6;52;35;1;
2015-07-05;5,7;8,6;0;28,8;21,7;15,3;50;32;1,4;
2015-07-06;7;5,7;0;27,7;20,2;13,2;61,3;42;,7;
