Nome: FORMOSA
Codigo Estacao: 83379
Latitude: -15.54916666
Longitude: -47.33888888
Altitude: 938.68
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5,7;11,9;0;31,6;26,2;20,3;54,8;40;0;
2015-01-02;7,4;8,2;0;32,9;25,7;21,2;62;40;0;
2015-01-03;5,9;8,4;,3;32,5;26,3;21,6;64,8;54;0;
2015-01-04;6,2;6,9;0;29;23,9;19,8;77;56;1,1;
2015-01-05;6,6;10,1;0;30,4;24,8;19,8;60,3;41;1,2;
2015-01-06;7,3;8,7;0;30,8;25,3;20,2;50,5;42;1,3;
2015-01-07;7,7;10,2;,5;31,1;24,8;18,8;59;43;1,8;
2015-01-08;8,2;11,4;0;31;25,2;20;57,5;46;1,4;
2015-01-09;9;11,7;0;31;25,5;20,6;46;38;1,4;
2015-01-10;9,3;10,2;0;30,8;25,6;19,8;54,3;42;1;
2015-01-11;8,3;10;0;32,2;26,7;20,3;48,8;43;1,4;
2015-01-12;9,1;11,3;0;32,6;27,3;21,4;44,3;38;2;
2015-01-13;10,3;10,8;0;31,7;26,7;21;52,8;39;1,4;
2015-01-14;8,6;11;0;31,6;26,1;20,2;45;34;1,7;
2015-01-15;11,2;9;0;30,6;25,1;20,9;47,3;37;1,5;
2015-01-16;10,6;8,2;0;30,9;25,9;20,1;47,3;42;,9;
2015-01-17;8,7;8,6;0;32;26,3;20,2;53,8;40;0;
2015-01-18;7,7;9,5;0;34;26,4;21,2;51,3;32;,3;
2015-01-19;9,9;10,7;0;33,8;27,7;21,1;40,5;30;1,2;
2015-01-20;10,3;10,8;0;33,5;27,3;21,7;46,3;33;,3;
2015-01-21;9,7;10,2;0;33;25,4;20;51,3;36;,7;
2015-01-22;8,8;6,5;,1;30,4;23,3;18,6;66;46;1;
2015-01-23;5,4;5,5;1,4;29;21,9;18,6;79;61;1;
2015-01-24;3,5;3,7;5,4;28,9;21,6;19,2;82;58;,7;
2015-01-25;2,9;1,5;49,7;26,4;21,5;18,4;81,8;72;,3;
2015-01-26;2,4;2;0;26,1;22,1;19,8;86,5;85;1,3;
2015-01-27;2;3,8;3,8;28;21,8;18,8;87;84;,3;
2015-01-28;2,7;6,8;2,9;29,4;23;18,6;78,3;56;1,4;
2015-01-29;3,9;6,8;34,3;30,6;23,2;18,8;73,5;50;0;
2015-01-30;4,8;8,9;0;31,4;25,1;19,8;62,5;52;1,2;
2015-01-31;6;11,6;0;32,8;26,7;19,7;49,5;38;,8;
2015-02-01;10,8;11,6;0;31,2;26;20,6;45,5;43;1,7;
2015-02-02;9,5;10,7;0;31,4;25,9;18,6;46,8;38;1,4;
2015-02-03;9,8;8;0;31,8;24,4;19,6;63,5;39;1,2;
2015-02-04;5,9;3,6;,8;28,2;23,2;20,6;81,3;73;,9;
2015-02-05;3,1;4;14;27,6;22,1;20;84,3;63;1,5;
2015-02-06;2,6;0;13;21;20,1;19,7;98;96;,3;
2015-02-07;,3;0;67;20,2;19,6;19,1;96,5;94;,7;
2015-02-08;,4;,9;25,5;23,5;20,4;18,7;88,8;85;,5;
2015-02-09;1,6;2,2;,9;27,1;22,5;19,4;80,3;68;,7;
2015-02-10;2,3;6,4;0;29,3;23;19,8;80,5;59;1,1;
2015-02-11;3,2;5,9;5,5;29,2;24,4;20,5;64,8;49;1,4;
2015-02-12;6,7;11,5;0;30,8;25,7;20,2;48,5;40;1,7;
2015-02-13;8,2;11,1;0;31;25,5;19,7;43,5;36;1,3;
2015-02-14;9,9;11,5;0;31,5;24,7;18,2;56;37;,3;
2015-02-15;8,1;11,4;0;31,8;24,8;20;53,5;37;,3;
2015-02-16;8,1;6,8;,8;30,3;24,3;20,9;66,3;46;1;
2015-02-17;4,5;4,6;46,7;28,5;22,7;19,2;75,5;63;,7;
2015-02-18;3,4;0;12,7;24,7;21,2;18,3;87,3;75;0;
2015-02-19;1,7;2,7;,2;27,1;21,5;18,6;83;59;,3;
