Nome: ARINOS
Codigo Estacao: 83384
Latitude: -15.91527777
Longitude: -46.10722222
Altitude: 523
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5,8;null;0;36,5;28,7;22;55,8;35;,2;
2015-01-02;7,2;null;0;36,7;29,3;22,2;50,8;29;1;
2015-01-03;9,1;null;0;37,1;30,3;23,8;54,8;41;,3;
2015-01-04;8,8;null;2,1;34,1;27,8;23,4;59,3;41;,7;
2015-01-05;7,8;null;0;35,3;27,7;20,6;48,3;33;1;
2015-01-06;9,1;null;0;34,5;27,6;20;49;31;,5;
2015-01-07;9,6;null;0;33,5;27,8;21,2;55,3;45;1;
2015-01-08;9,6;null;0;34,1;27,9;22,2;51,8;43;1,2;
2015-01-09;9,1;null;0;34,7;27,6;21,4;49;32;1,3;
2015-01-10;9;null;0;34,9;27,5;20,2;54,5;37;,3;
2015-01-11;6,8;null;,3;35,7;28,7;22,6;49,8;40;,5;
2015-01-12;9,2;null;0;36,5;29,1;21,8;44,5;35;,9;
2015-01-13;9,7;null;0;36,3;29;21,6;45;34;,7;
2015-01-14;10;null;0;34,7;27,5;20,8;47,8;35;,9;
2015-01-15;9,9;null;0;33,7;27,3;21,8;52,8;37;1,2;
2015-01-16;9,2;null;0;35,1;28,2;21,4;53;39;,7;
2015-01-17;9,3;null;0;36,7;28,6;20,8;45,5;32;,5;
2015-01-18;10,5;null;0;37,7;29,5;23;43,3;28;,7;
2015-01-19;12,2;null;0;37,3;29,5;22,4;46,3;31;,5;
2015-01-20;11,4;null;0;37,1;29,4;22,4;42,5;29;,5;
2015-01-21;10,5;null;0;37,7;28,5;21,6;43,3;47;1;
2015-01-22;12,4;null;,5;36,3;27,6;21;50;34;1,2;
2015-01-23;9;null;0;32,7;26,1;21,6;61,3;47;1,5;
2015-01-24;6,3;null;0;33,1;24,4;21;77,3;65;1;
2015-01-25;4,4;null;2,7;31,5;25;21;63;45;,3;
2015-01-26;5,3;null;0;30,7;25;22;77,8;66;1,2;
2015-01-27;4,2;null;0;34,5;25,4;21,6;71,8;40;,5;
2015-01-28;5,9;null;,5;33,5;27;21,8;66;48;1,7;
2015-01-29;5,1;null;6,2;35,3;28,6;22,4;58,5;43;,9;
2015-01-30;8,1;null;0;36,9;29,6;22,6;48,3;31;1,5;
2015-01-31;9,5;null;0;37,9;29,7;21,8;44,8;30;1,2;
2015-02-01;11,7;null;0;34,9;28,4;22,4;48,5;32;1,2;
2015-02-02;10,1;null;0;35,7;28,5;21,4;49;35;1;
2015-02-03;9,8;null;0;37,3;28,1;21;46;29;1,9;
2015-02-04;9,8;null;0;34,9;26,4;21,2;76,5;54;,2;
2015-02-05;4,2;null;,5;31,1;24,7;21,6;80,5;71;1,7;
2015-02-06;2,3;null;25,9;24,5;23;21,8;86;80;,9;
2015-02-07;1,4;null;42,5;23,5;22,1;21;88,5;86;1;
2015-02-08;,9;null;15,3;28,5;24;21;74,5;62;,7;
2015-02-09;3,6;null;0;30,5;25,7;21,8;74,8;64;,3;
2015-02-10;3,9;null;0;32,5;26,9;22,8;71,3;54;,2;
2015-02-11;4,6;null;0;32,7;27,1;21,8;66;49;1;
2015-02-12;5,5;null;0;34,7;27,5;21,6;60,5;38;,8;
2015-02-13;8,8;null;0;35,1;27,3;19,8;47,8;28;,9;
2015-02-14;8,1;null;0;35,3;27,6;20,6;55,3;39;,5;
2015-02-15;8;null;0;35,5;28;20,4;53,8;32;0;
2015-02-16;7,9;null;0;34,7;28,1;22,8;60;43;,5;
2015-02-17;6,5;null;,2;32,7;26,7;22,6;70,5;50;0;
2015-02-18;4,5;null;27,2;30,1;23,6;21;83;71;0;
2015-02-19;2,3;null;,2;30,3;23,6;21,2;84;62;,5;
2015-02-20;2,3;null;28;29,7;24,3;20,2;79,8;67;1;
2015-02-21;4,3;null;0;31,7;25,5;20;63,5;45;,7;
2015-02-22;6,6;null;0;32,5;26,8;21,8;62;47;,8;
2015-02-23;8;null;0;31,7;26;22;65,8;49;,8;
2015-02-24;6;null;0;29,5;24,9;21;74,3;69;1,5;
2015-02-25;4,8;null;2,2;33,1;26,6;20,8;66,5;49;2,1;
2015-02-26;5;null;0;33,7;27,6;21,8;65,8;48;,5;
2015-02-27;6,2;null;11,4;30,5;24;20;76,3;64;,7;
2015-02-28;2,8;null;3,6;30,7;25,6;21;77;59;0;
2015-03-01;3,9;null;13,3;30,1;24,3;20,6;82,3;71;,9;
2015-03-02;2,7;null;7;31,7;25;21,4;80;60;,3;
2015-03-03;3,9;null;0;31,3;25,9;20,8;74;58;,5;
2015-03-04;4,7;null;0;32,9;25,1;21,8;77,5;49;,5;
2015-03-05;4,7;null;9,4;28,1;24,3;21,2;82,8;69;1;
2015-03-06;2,6;null;0;32,7;25,7;20,4;69,8;53;,3;
