Nome: JANUARIA
Codigo Estacao: 83386
Latitude: -15.44805555
Longitude: -44.36638888
Altitude: 480
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,6;11,8;0;36;26,4;18,4;54,3;33;1,8;
2015-01-02;5,5;12;0;36,1;27,2;18,7;55,3;34;1,4;
2015-01-03;5,8;12,1;0;36,3;27,7;20,2;45,5;31;2,4;
2015-01-04;7,1;12;0;34,6;25,9;18,2;51,8;28;1,7;
2015-01-05;5,9;11,8;0;34,6;25,7;17,6;52;31;2,4;
2015-01-06;5,7;9,6;0;34,3;26,6;17,4;57,5;38;1,5;
2015-01-07;5,7;10,9;0;34,6;27,5;20,7;55,8;40;2,8;
2015-01-08;5,5;11,9;0;34;25,4;20;56,5;31;2,9;
2015-01-09;6,1;12,1;0;35,3;26,1;18,2;55,8;33;2;
2015-01-10;5,9;11,3;0;34,7;26,6;20,9;63;38;1,8;
2015-01-11;5,2;11,8;0;36;27,2;20,5;55,3;33;1,7;
2015-01-12;6,1;12;0;36,4;28,4;19;47,5;30;2,5;
2015-01-13;6,8;11,4;0;36,3;27,9;20,2;38,8;27;2,4;
2015-01-14;7,9;8,5;0;33,3;25,5;18,6;50,3;37;1,2;
2015-01-15;6,3;8,3;0;34,6;26,3;20;59,5;35;2,8;
2015-01-16;6;10,2;0;35,3;26,5;19,8;57,3;32;2,9;
2015-01-17;5,9;11,7;0;36;27,2;19,1;50,8;31;1,5;
2015-01-18;6,1;10,9;0;36,7;27,6;20,5;52,8;31;1,3;
2015-01-19;6,5;11,9;0;36,6;28,2;22;48,8;30;1,8;
2015-01-20;6,8;12;0;36,8;27,6;20,7;49,3;30;1,6;
2015-01-21;6,5;11,3;0;37,7;27,9;18,5;41,5;25;1,9;
2015-01-22;7,7;12,2;9,1;35,5;27;19,9;51,5;33;1,6;
2015-01-23;5,9;8,8;0;35;26,4;21,2;65,8;35;1;
2015-01-24;4,6;6,8;0;33,5;24,8;19,8;71,8;51;2,6;
2015-01-25;4,1;5,2;11,2;32,2;25,4;21;67,5;45;1,4;
2015-01-26;3,6;8,1;0;33,4;25,8;19,8;68,3;53;2,2;
2015-01-27;4,1;7,8;,4;35,6;27;20,8;67,5;43;1,2;
2015-01-28;4,5;10;0;36,2;27,2;21,2;63,3;39;1,3;
2015-01-29;5,6;10,8;0;37,4;28,6;21,1;53;25;1,5;
2015-01-30;6,5;11,5;0;38,2;28,5;19,4;50,5;26;2,2;
2015-01-31;7;12;0;38,5;27,7;19,6;43,3;15;1,9;
2015-02-01;9,7;11,9;0;36,5;27,3;19,2;47,8;27;1,9;
2015-02-02;8;11,1;0;36,7;27,4;19,1;48,8;30;2,3;
2015-02-03;7,1;10,9;0;37,3;28,1;19;44,5;23;2,8;
2015-02-04;8;8,3;0;36,4;26,3;20,9;68,3;44;3,6;
2015-02-05;4,1;,1;148,8;24,6;21,9;19,9;95;88;,7;
2015-02-06;,3;,1;29,2;25,5;22,4;20,7;94,8;91;1;
2015-02-07;,5;0;32,9;24,1;22,6;20,7;94,3;91;1,7;
2015-02-08;,5;,1;14,2;26,8;22,8;19,4;91,8;89;1,3;
2015-02-09;1;3,5;,2;31,2;25;20;78;60;1;
2015-02-10;2,5;10,9;,4;32;25,5;22,1;70;51;2,1;
2015-02-11;3,9;7,5;0;32,4;25,3;19,9;72,5;48;1,5;
2015-02-12;3,4;11,6;0;34,8;25;17,9;61,8;34;1,9;
2015-02-13;4,4;11,6;0;34,5;25,5;17;64;35;1,5;
2015-02-14;8,6;11,6;0;34,8;25,4;17,4;62,3;38;1,5;
2015-02-15;4,3;11,4;0;33,8;25,8;18,3;65,5;41;1,8;
2015-02-16;4;7,9;0;33,3;26;19,9;71,3;51;1,5;
2015-02-17;3,9;10,2;0;33,5;26,7;20,1;69,3;45;2,3;
2015-02-18;4,1;2,3;0;29,6;25,1;20,5;74,8;68;2,3;
2015-02-19;2,3;2,4;6;31;25,7;21,8;73;57;1,8;
2015-02-20;2,8;2,1;9,1;30;24,6;20,7;80,8;56;,6;
2015-02-21;2,5;11;0;32,6;25,6;18,9;66,3;47;1,4;
2015-02-22;4;11,3;0;33,2;25,8;19,6;63,5;42;2,3;
2015-02-23;5,1;5;0;30,5;23,3;18,4;80,3;56;1,5;
2015-02-24;2,2;1;33,8;26,5;22,9;19,9;88,5;80;1,8;
2015-02-25;1,5;10,2;,5;32,6;25,4;19,6;74,3;52;1,3;
2015-02-26;3;11,3;0;33,8;26,3;20,1;69,3;48;1,3;
2015-02-27;3,7;7,9;0;31,8;25,2;21,8;76,8;55;2,3;
2015-02-28;2,8;9,1;0;34;26,9;19,9;62,5;46;1,7;
2015-03-01;3,5;3;23,2;29,5;24,5;21,1;87,5;70;1,1;
2015-03-02;1,5;9,4;0;32;25,9;21,6;77,5;55;1,3;
2015-03-03;2,9;11,3;0;31,4;25,5;20,1;76,3;63;2;
2015-03-04;2,9;10;0;31,8;25,8;21,1;71,5;52;2;
2015-03-05;3,2;6,8;0;30,4;25,1;20,3;68,5;60;1,3;
2015-03-06;3;10;0;33,8;25,7;19,5;67;45;,9;
2015-03-07;3,6;11,2;0;33,9;26;19,9;71,8;48;1,8;
2015-03-08;3,6;9,6;0;35,1;26,7;20,9;66,5;42;2,1;
2015-03-09;4,4;10,9;0;35,3;26,4;20,2;68,3;42;1,1;
2015-03-10;4,1;6,5;0;33,2;25,5;18,9;71;57;1,3;
2015-03-11;3,5;10,5;0;35,5;27,4;20,5;62,8;40;1,8;
2015-03-12;5;8,9;0;33,2;27,1;22,1;69,8;53;1,7;
2015-03-13;3,6;10,8;0;34,8;27,1;20,9;64,5;40;,9;
2015-03-14;4,1;9,2;0;35,2;26,6;18,8;58,8;32;2;
2015-03-15;5;5,4;0;33,2;25,3;19,2;70;45;,9;
2015-03-16;3,3;3,1;0;31,8;24,3;19,1;71;48;1,3;
2015-03-17;3,2;6,1;0;34,2;25,5;19,7;64;42;1,2;
2015-03-18;4,3;5,8;0;32,5;24,5;20,9;77,5;52;1,2;
2015-03-19;2,7;3,9;4,8;30,4;24,8;20,7;80,8;65;1,7;
