Nome: MONTE AZUL
Codigo Estacao: 83388
Latitude: -15.160374
Longitude: -42.866344
Altitude: 623.22
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2016-01-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;6,6;10,8;0;36,1;27,9;21,1;45;30;1,9;
2015-01-02;7,4;10,7;0;36,9;28,4;20,6;46,3;27;2,1;
2015-01-03;7,1;10,7;0;36,1;28,2;21,5;44,3;26;2;
2015-01-04;8,3;10,9;0;34,7;27,4;21,5;45,5;27;3,1;
2015-01-05;8;10,5;0;33,5;26,8;21,4;47,3;31;1,5;
2015-01-06;7,2;5,5;0;31,5;26,8;20,9;50,3;43;3,3;
2015-01-07;7;8,7;0;33,1;27,1;23,4;53,5;39;2,7;
2015-01-08;7,5;10,9;0;34,3;26,9;21,1;39,5;22;3,9;
2015-01-09;9,4;9,7;0;34,1;28,1;23;47;31;2,5;
2015-01-10;7,3;10,6;0;34,3;27,9;22,8;47,5;34;2,5;
2015-01-11;7,9;10,3;0;34,5;28,1;22,8;46,5;31;3;
2015-01-12;8;11,1;0;35,1;28,1;22,1;40;26;3;
2015-01-13;9,2;10,1;0;34,5;27,7;23,6;43;21;3,9;
2015-01-14;9,8;5,4;0;32,9;27;22,8;45,5;28;3,4;
2015-01-15;7,6;4,1;0;33,1;27,6;24;47;39;2,8;
2015-01-16;7,8;8,8;0;33,1;27,2;22,8;47,8;36;2;
2015-01-17;7,6;10,8;0;35,3;28,6;23;40,3;29;2,7;
2015-01-18;9;10,5;0;35,7;29,3;24;37,8;27;1,3;
2015-01-19;8,8;11,1;0;35,1;28,7;23,2;41,5;28;2,7;
2015-01-20;9,2;11,2;0;36,1;28,9;23,2;35;20;2,6;
2015-01-21;8,6;11,2;0;37,5;29,2;20,4;38;23;2,2;
2015-01-22;9,4;6,7;0;33,5;26,7;23,5;60;40;1,9;
2015-01-23;4,5;2,4;1,6;28,3;24,5;22;75;56;2,2;
2015-01-24;3,3;10,4;20,8;32,7;26,2;20,3;47,8;33;2,2;
2015-01-25;4,2;7,1;0;32,3;26,3;21,5;52,5;40;1,6;
2015-01-26;6,2;3,4;0;31,7;26,2;21,3;56,3;43;,8;
2015-01-27;4,8;9;0;34,9;28,5;22,5;48;33;,7;
2015-01-28;7,8;10,6;0;36,3;28,4;24,2;53,3;35;2,4;
2015-01-29;8,2;11,1;,2;36,3;29,8;23,7;37,5;24;3,1;
2015-01-30;8,8;11,2;0;37,1;30,4;23,4;35,8;22;1,7;
2015-01-31;9,6;10,6;0;37,1;29,5;24,4;41,3;24;3,4;
2015-02-01;9,8;11;0;35,5;28,2;23,4;43,3;25;3,4;
2015-02-02;9,5;10,8;0;34,9;28,6;23,4;39;28;1,9;
2015-02-03;9,3;9,3;0;35,3;29,4;23,7;35,8;26;2,8;
2015-02-04;8,2;7,6;0;34,1;27,2;22,5;61;35;3,5;
2015-02-05;4,2;,2;7;29,5;27;22,9;54;50;2;
2015-02-06;2,6;0;21,4;28,8;23,3;21,5;86,3;49;2,2;
2015-02-07;1,2;,3;3,6;27,5;22,8;21,1;93,8;87;,4;
2015-02-08;,8;1,3;34,3;28,5;23,4;19,9;82;67;,4;
2015-02-09;2,5;1,5;0;30,7;24,6;21,1;83,3;69;1,9;
2015-02-10;2,4;10,6;3,4;32,1;26;21,8;57,3;29;2,5;
2015-02-11;6;10,6;0;32,9;27,1;23,6;48,8;37;2,2;
2015-02-12;7,3;11;0;33,7;27;20,9;38,8;23;1,9;
2015-02-13;7,5;9,3;0;33,1;27,1;21,4;48,8;45;2,2;
2015-02-14;6,2;9,2;0;33,9;27,5;22,8;48,5;38;1,5;
2015-02-15;5,7;8,1;0;32,9;26,5;21,7;60;48;2,7;
2015-02-16;4,3;10,2;0;33,1;26,7;21,8;56,3;40;2,2;
2015-02-17;6;10,4;0;33,1;27,4;22,8;51,5;37;2,6;
2015-02-18;6,7;7,8;0;32,9;27,4;22,6;49,5;40;1,7;
2015-02-19;6,5;8,5;0;32,9;27,2;23,5;51,5;35;3,4;
2015-02-20;7,2;9;0;33,9;27,1;22,4;43,8;33;3,1;
2015-02-21;7,7;10;0;33,5;27;21,7;49,3;35;3,3;
2015-02-22;7,5;8,1;0;34,1;26,3;23,8;54,3;33;5,8;
2015-02-23;7,8;4,2;0;31,9;25,8;22,3;57,3;44;3,3;
2015-02-24;5,5;2,3;0;30,7;25,8;22,9;57,8;44;1,9;
2015-02-25;4,6;10,5;0;32,9;27,2;22;51,3;38;3;
2015-02-26;6,9;10,8;0;36,5;28,9;22,6;48,5;34;1,2;
2015-02-27;6,8;4,6;0;33,5;25,9;23;69;51;1,2;
2015-02-28;3,5;7,2;0;35,7;26;21,3;65,3;33;1,1;
2015-03-01;4,1;3,7;18,2;31,3;25,7;21,7;70,3;56;1,4;
2015-03-02;3,6;9,1;0;32,7;26,9;24;62,8;48;4,3;
2015-03-03;6;8,7;0;32,5;26,7;22,6;59,8;48;4,5;
2015-03-04;5,8;10,4;0;34,1;28;22,8;50,5;38;5;
2015-03-05;7;9,8;0;33,7;27,8;23,4;49,8;36;3,1;
2015-03-06;6,7;10,1;0;34,7;28,3;22,8;49;38;2;
2015-03-07;7,3;10,2;0;34,3;28,1;23;52,3;39;2,6;
2015-03-08;7;9,6;0;35,7;28,8;23,4;49,3;39;3,3;
2015-03-09;8;10,5;0;35,9;28,9;23,4;49,8;43;2,1;
2015-03-10;7,5;7,3;0;35,5;28,9;23;55,8;46;1,4;
2015-03-11;7,5;10,3;0;34,5;29;24,2;61,3;51;3,3;
2015-03-12;7,7;3,3;0;33,5;28,1;24;63,8;53;2,9;
2015-03-13;6,5;10,4;0;36,7;29,3;23,8;49,8;43;1,8;
2015-03-14;9,7;10;0;35,3;28,7;23,8;45,8;33;3,9;
2015-03-15;8,3;4,2;0;32,9;28,1;24;44,5;36;2,7;
