Nome: PEDRA AZUL
Codigo Estacao: 83393
Latitude: -16.00944444
Longitude: -41.2811111
Altitude: 647.97
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,3;10,2;0;null;null;20,8;60,3;40;1;
2015-01-02;4,3;6;0;null;null;18,2;65,8;45;,8;
2015-01-03;2,9;11,7;0;null;null;19,4;53,5;38;1,7;
2015-01-04;1,1;11,1;0;null;null;20;58;35;2,1;
2015-01-05;1,1;10,2;0;null;null;20;61,5;41;1,6;
2015-01-06;1,2;10,7;0;null;null;20;65,5;44;2,4;
2015-01-07;1,4;7;9,7;null;null;20;63,8;49;2,2;
2015-01-08;,7;10,8;0;null;null;17,2;67,8;45;2,1;
2015-01-09;4,9;8,1;0;null;null;19,4;72;57;2,8;
2015-01-10;4,2;8,9;0;null;null;20,2;60,8;46;1,6;
2015-01-11;4,8;10,8;0;null;null;20,6;62;44;1,4;
2015-01-12;2,8;9,2;0;null;null;20,4;61,8;41;1,6;
2015-01-13;5,5;10;0;null;null;20,6;50,3;26;1,9;
2015-01-14;5,7;4,8;0;null;null;18,8;71,5;51;2,4;
2015-01-15;4;4,1;0;null;null;20,2;68,8;58;2,9;
2015-01-16;3,7;10;0;null;null;20;61,3;38;3,4;
2015-01-17;5,1;9,6;0;null;null;19,8;61;39;1,7;
2015-01-18;5,7;11,3;0;null;null;20,6;60,3;35;2,1;
2015-01-19;6;11,5;0;null;null;20;52,5;38;2,6;
2015-01-20;6;10,9;0;null;null;18,6;56;44;2,1;
2015-01-21;5,9;11,4;0;null;null;19,2;50,3;37;2,1;
2015-01-22;6;10;0;null;null;20,8;61,3;41;2,3;
2015-01-23;5,9;7,7;0;null;null;21,4;57,5;40;1,9;
2015-01-24;5,6;10,9;0;null;null;18,2;58;34;2,6;
2015-01-25;5,9;4,5;0;null;null;19,6;53,5;40;1,4;
2015-01-26;4,1;7,3;0;null;null;20,4;67,8;53;2;
2015-01-27;4;8,4;0;null;null;21,9;61;42;1,5;
2015-01-28;5,5;8,1;0;null;null;22;56,8;42;1,9;
2015-01-29;5,5;11,2;0;null;null;18,8;59;41;2,4;
2015-01-30;5,5;11,3;0;null;null;19,8;47,8;32;,8;
2015-01-31;6,6;11,3;0;null;null;19,6;53;28;1,4;
2015-02-01;7,2;7,9;0;null;null;20,2;63,5;47;1,7;
2015-02-02;4,8;10,7;0;null;null;19,8;57,8;38;2,4;
2015-02-03;5,7;10,3;0;null;null;19,6;57;31;2,2;
2015-02-04;6,2;10,1;0;null;null;19,6;53,5;39;2,6;
2015-02-05;6,6;1,5;3;null;null;21,4;88,3;57;,3;
2015-02-06;1,4;1,1;8,5;null;null;20,8;81,3;64;1;
2015-02-07;2;1,2;53,4;21,1;21,2;19,6;83,8;66;,7;
2015-02-08;1,3;,1;18,6;null;null;19,8;83,3;68;,2;
2015-02-09;1,7;5,8;2;null;null;20,8;73,8;54;2,2;
2015-02-10;3,5;10,1;0;null;null;19,2;71,5;53;2,2;
2015-02-11;3,3;11,1;,4;null;null;19,8;61;41;1;
2015-02-12;4,1;11,4;0;null;null;17;60,5;51;,8;
2015-02-13;4;11,8;0;null;null;19,2;60,5;45;,8;
2015-02-14;4;11,9;0;null;null;18,4;69;48;,7;
2015-02-15;4,3;5,4;0;null;null;20,2;75,5;62;1,4;
2015-02-16;2,4;8,9;2,3;null;null;19,6;70,3;52;1,2;
2015-02-17;4,3;9,3;0;null;null;20,8;71,5;53;2,2;
2015-02-18;3,8;7,7;0;null;null;20;65,3;47;1;
2015-02-19;4,5;7,8;0;null;null;21,4;71;50;1,5;
2015-02-20;4,1;10,8;0;null;null;20,2;61,5;43;2,1;
2015-02-21;5;8,5;0;null;null;19,8;68,8;62;2,6;
2015-02-22;4,4;9,8;0;null;null;20,2;76;56;2,1;
2015-02-23;2,4;5,6;4,4;null;null;19;76,8;65;3,1;
2015-02-24;2,6;3,7;0;null;null;20,2;75;57;2,2;
2015-02-25;2,6;9,4;,3;null;null;19,4;72;52;1,7;
2015-02-26;3,4;11,8;0;null;null;20,2;65;46;1;
2015-02-27;4,2;6,9;0;null;null;21,8;76,5;49;1,4;
2015-02-28;2,4;8,3;9;null;null;19,6;76;54;1,5;
2015-03-01;3,3;,9;,9;null;null;21;83;69;1,3;
2015-03-02;2,2;,9;,4;null;null;21;84,8;65;1;
2015-03-03;1,4;4,5;13,9;null;null;20,6;82;62;1,7;
2015-03-04;2,2;9,5;0;null;null;20;76,5;59;2,1;
2015-03-05;3,4;8,6;0;null;null;19,2;74,5;52;1,2;
2015-03-06;3,2;10,4;0;null;null;19,6;73,8;51;2,1;
2015-03-07;3,6;8,6;0;null;null;20,4;72,3;57;2,1;
2015-03-08;3,6;6,9;0;null;null;21,4;65,5;46;1;
2015-03-09;4,3;11,4;0;null;null;21,6;61,5;42;,8;
2015-03-10;4,7;6,8;0;null;null;21,4;65;48;,7;
2015-03-11;4,3;8,7;0;null;null;22;63,3;45;1,3;
2015-03-12;4,3;7,4;0;null;null;19,4;65;45;,7;
2015-03-13;4;10,9;0;null;null;20;63;45;2,1;
2015-03-14;4,7;10;0;null;null;20,4;65,5;46;1,2;
2015-03-15;5;10,4;0;null;null;19,2;57,5;46;2,8;
2015-03-16;4,5;9,2;0;null;null;20;64,5;39;1,5;
2015-03-17;4,4;6;0;null;null;19,8;61,8;49;1,9;
2015-03-18;4,1;11,2;0;null;null;20,2;63,3;41;1,7;
2015-03-19;5,4;8,8;0;null;null;19,2;68,5;47;1,4;
2015-03-20;4,1;6,4;0;null;null;20;68,8;50;1,7;
2015-03-21;4;1,7;0;null;null;21,4;69,3;60;1,9;
2015-03-22;3,2;2,2;0;null;null;21,6;70,5;54;1,5;
2015-03-23;3,2;5,9;0;null;null;22;70,3;43;,5;
2015-03-24;2,6;6,8;122,2;null;null;19;85,8;70;,2;
2015-03-25;1,1;3,6;8,4;null;null;19,2;84,8;80;2,2;
2015-03-26;1,6;6,6;9,3;null;null;20,6;77,5;57;,3;
2015-03-27;2,3;11,4;0;null;null;19;66,8;47;,7;
2015-03-28;3,9;11,2;0;null;null;19,4;64,5;52;,3;
2015-03-29;4;11,3;0;null;null;18,2;68,3;48;,5;
2015-03-30;3,4;8,2;0;null;null;18,8;70;45;,4;
2015-03-31;3,8;11,2;0;null;null;19;59,8;34;,5;
2015-04-01;4,3;10,8;0;null;null;17;63,8;42;,5;
2015-04-02;4,4;10;0;null;null;17;66;47;,8;
2015-04-03;4,4;1,4;0;null;null;21,2;77,3;70;1,2;
2015-04-04;2,5;4,4;0;null;null;20,2;72,3;63;1,2;
2015-04-05;3,1;10;0;null;null;21;69,8;48;,3;
2015-04-06;3,7;5,5;0;null;null;22;74;56;1;
2015-04-07;2,6;4,8;0;null;null;21,4;84,8;66;1,5;
2015-04-08;1,5;,7;25,8;null;null;20,2;83,8;78;2,1;
2015-04-09;1,9;2,4;0;null;null;19;73;58;1,5;
2015-04-10;1,8;1,9;0;null;null;19,2;80,3;70;2,4;
2015-04-11;2;8;,6;null;null;19,2;66,5;57;1,2;
2015-04-12;3,7;10,9;0;null;null;18,4;67,3;50;,7;
2015-04-13;3,5;10,6;0;null;null;18,6;69;53;1,5;
2015-04-14;3,7;7,1;0;null;null;20;67,3;53;,7;
2015-04-15;3,1;3;0;null;null;19,2;80,3;66;,7;
2015-04-16;1,8;5,3;0;null;null;17,6;72;52;,5;
2015-04-17;2,9;10,5;0;null;null;19,2;71;54;1,7;
2015-04-18;3,8;10,7;0;null;null;20;65;48;1;
2015-04-19;3,3;6,4;0;null;null;20;73,5;56;,2;
2015-04-20;2,3;10,7;0;null;null;19,8;67,3;45;,3;
2015-04-21;3,9;9,1;0;null;null;18,8;66,3;41;,2;
2015-04-22;3,6;5,4;0;null;null;18,6;70,8;63;,7;
2015-04-23;3,1;5,9;0;null;null;21,9;77,8;68;,5;
2015-04-24;3;6,9;7;null;null;21;82,3;72;,5;
2015-04-25;2,2;8,6;,1;null;null;21;73,5;51;1,7;
2015-04-26;2,8;0;25,6;null;null;19,6;84,3;81;2,4;
2015-04-27;1,5;,5;0;null;null;19,2;78,3;66;,7;
2015-04-28;1,8;1,2;0;null;null;18,8;74,3;61;,3;
2015-04-29;1,9;2,1;0;null;null;19,2;80,5;64;,9;
2015-04-30;2,9;0;2,5;null;null;19,2;94,3;88;2,2;
2015-05-01;,2;,6;3;null;null;18,2;85,3;74;2,1;
2015-05-02;1,1;1,3;1,1;null;null;18,4;86,5;72;1,9;
2015-05-03;1,3;5,2;13,4;null;null;18,2;83,8;72;1,7;
2015-05-04;1,7;7,2;0;null;null;18;79,8;59;,7;
2015-05-05;2,1;7;0;null;null;18,4;75,3;59;1;
2015-05-06;2,5;7,8;0;null;null;21;72,5;52;,7;
2015-05-07;3,2;8,7;0;null;null;19,6;74,5;59;,7;
2015-05-08;2,6;0;0;null;null;18,4;87,5;81;1,9;
2015-05-09;,9;,2;4,1;null;null;17,4;91;84;1,4;
2015-05-10;1,1;7,7;,9;null;null;17;73,3;53;1,7;
2015-05-11;2,7;5,3;0;null;null;17,6;76,5;59;0;
2015-05-12;2,2;8,4;0;null;null;18,2;76,3;61;,2;
2015-05-13;2;0;,1;null;null;19,2;88,5;86;1,9;
2015-05-14;1,2;,3;21,3;null;null;18,4;83,8;81;2,4;
2015-05-15;1,6;4,7;,6;null;null;17,2;72,8;64;2,3;
2015-05-16;2,2;,9;0;null;null;16,8;83,5;76;2,2;
2015-05-17;1,6;5,4;0;null;null;17,4;79,5;68;,8;
2015-05-18;1,8;2,9;1,3;null;null;17,2;76,5;69;1,9;
2015-05-19;1,6;4,3;0;null;null;15;82,5;69;,5;
2015-05-20;2,3;5,4;,2;null;null;19;80,5;64;2,7;
2015-05-21;2,1;5,3;,4;null;null;18,2;76,5;59;2,5;
2015-05-22;3,1;7,5;0;null;null;17;77,3;65;2,2;
2015-05-23;2,3;10,2;,9;null;null;14,8;76,5;64;2,1;
2015-05-24;2,5;5,1;0;null;null;14,8;78,3;56;,7;
2015-05-25;1,9;9,8;0;null;null;17;71;48;,8;
2015-05-26;2,5;9,4;0;null;null;16;75,5;52;,7;
2015-05-27;2,4;6,6;,5;null;null;20;81,8;63;1,7;
2015-05-28;2,5;9,1;0;null;null;20;75,3;61;1;
2015-05-29;2,7;10;0;null;null;16;69,3;45;1,4;
2015-05-30;2,8;9,9;0;null;null;18,2;74;58;1,7;
2015-05-31;2,9;8,9;0;null;null;19,2;74,3;55;1,2;
2015-06-01;3;5,6;,2;null;null;19;75,3;54;,3;
2015-06-02;2,1;6,4;0;null;null;17;75,5;55;1,5;
2015-06-03;3;7,4;0;null;null;18,8;74;61;2,1;
2015-06-04;2,9;6,1;0;null;null;14,2;79,5;59;1,2;
2015-06-05;2,4;5,8;0;null;null;18;82,3;77;2,2;
