Nome: JANAUBA
Codigo Estacao: 83395
Latitude: -15.802909
Longitude: -43.297092
Altitude: 534.61
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2016-08-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,1;10,7;0;35,5;27,3;18,8;46,5;29;1,3;
2015-01-02;6,3;10,8;0;36,4;27;19,2;49,5;31;0;
2015-01-03;5,8;10,6;0;36,1;27,4;18,2;46,5;29;1,7;
2015-01-04;7;10,9;0;34,5;27,5;20;40,3;27;1;
2015-01-05;6,1;10,4;0;34,3;25,8;17,4;46,8;28;,7;
2015-01-06;6,7;8,7;0;34,5;27,6;20,4;49,8;35;1;
2015-01-07;6,4;8;0;34,5;27,9;22,4;49,5;38;2,7;
2015-01-08;6,6;10,9;0;34,5;27;19,8;40;25;2,7;
2015-01-09;7,1;10,4;0;34,9;27,5;21;49;30;1;
2015-01-10;6,9;10,7;0;35,1;28,4;21;43;32;1;
2015-01-11;6,1;10,7;0;35,7;26,9;19,6;47,8;26;2;
2015-01-12;6,3;10,4;0;36,2;27;18,4;43,5;26;1,7;
2015-01-13;6,8;10,2;0;36,4;27,9;18;33,5;22;2,3;
2015-01-14;7,9;8,7;0;34,3;25,7;17,8;48,5;27;2,7;
2015-01-15;7;3,6;0;34,5;26,3;18;53,5;38;2,7;
2015-01-16;5,7;10,5;0;35,3;27,7;19,8;40,8;28;3;
2015-01-17;7,2;9,1;0;35,9;28,1;19,2;39,8;30;1,7;
2015-01-18;7;10,7;0;36,8;29,2;20,2;35,5;26;3;
2015-01-19;7,7;10,8;0;37;28,2;19,4;40,5;25;1;
2015-01-20;7,2;10,7;0;36,8;28,2;19,2;36,8;20;2;
2015-01-21;7,9;10,6;0;38;28,8;20;40;23;2;
2015-01-22;7,1;9,8;0;37;26,7;18,2;48,3;23;2,7;
2015-01-23;6,1;4,1;0;32,7;25,5;19,4;65,8;52;2;
2015-01-24;5,6;8,6;0;33,9;27;19,4;42,3;35;3;
2015-01-25;6,8;6,6;0;34,1;25,9;18,6;52,3;35;2;
2015-01-26;5,4;4,1;0;33,5;26,2;18,8;53,8;37;1,7;
2015-01-27;5,1;7,8;0;36,1;27,9;20,4;53;37;2,3;
2015-01-28;5,2;10,2;0;37;29,6;22,6;45;32;3,3;
2015-01-29;6,9;10,7;0;37,6;28,3;20;36;20;1,7;
2015-01-30;8,6;10,7;0;38,6;28,9;19;38;20;1,3;
2015-01-31;8,9;10,7;0;38,2;28,2;21,6;35;35;2,3;
2015-02-01;10,2;10,7;0;36,4;29,3;22,6;37,8;25;2;
2015-02-02;8,3;10,6;0;35,9;28;22,2;41,5;26;2,3;
2015-02-03;7,7;10,8;0;37;28,5;19,6;35;19;0;
2015-02-04;7,5;9,6;0;36,8;27,7;20,6;51;25;3,7;
2015-02-05;6,9;,4;1,1;27,1;24,4;22,2;76,5;64;0;
2015-02-06;1,5;,2;13,3;26,7;23,1;20,6;91,5;81;2,3;
2015-02-07;,9;,1;7,6;26,9;23;21;86;80;0;
2015-02-08;1,1;,6;17,6;28,1;23,8;19,6;76,3;62;0;
2015-02-09;1,9;1,8;0;30,9;25,3;22,2;75;59;0;
2015-02-10;2,9;10,4;0;33,9;27,1;21,4;49,5;32;1;
2015-02-11;6;7,1;0;34,1;27,2;23,8;51,3;38;1;
2015-02-12;5,6;10,9;0;35,9;26,5;19,8;41,8;20;2,3;
2015-02-13;7,3;10,8;0;35,7;27,2;20,6;49,3;29;,3;
2015-02-14;6,2;10,7;0;36,2;26,9;18,2;46,5;25;0;
2015-02-15;6,2;10,2;0;35,1;27,5;20,2;51,8;38;,7;
2015-02-16;5,3;8,6;0;34,9;26,7;19,4;57;45;,7;
2015-02-17;5,6;9,7;0;35,1;27,6;21,8;47,8;34;,3;
2015-02-18;6,8;7;0;33,3;27,3;22,2;54,5;43;2,7;
2015-02-19;5,2;7,5;0;33,9;27,7;21,2;53,3;52;,7;
2015-02-20;5;8,5;0;34,9;27,8;20;41,3;32;1;
2015-02-21;5,8;10,3;0;34,3;27,1;19,4;45,8;35;2,3;
2015-02-22;7,4;10,7;0;35,1;27,8;22,6;45,3;31;4,3;
2015-02-23;7,5;3,6;0;31,3;25,1;21,6;66,8;46;1,7;
2015-02-24;3,8;1,4;0;31,3;25,7;19,8;58,3;45;2,3;
2015-02-25;4,5;9,8;0;32,6;27,4;20,2;46,8;38;1;
2015-02-26;6,1;10,1;0;36,6;28,6;21,2;45,5;30;,7;
2015-02-27;6,3;4,8;0;35,7;26;20,2;70,3;45;1,7;
2015-02-28;3,4;9,6;25,6;34,9;26,2;20;66,3;39;2,7;
2015-03-01;4,2;4,5;0;32,3;26,2;21,8;63,5;46;1,3;
2015-03-02;3,9;10,3;0;33,1;27;22,4;59;46;3,7;
2015-03-03;5,6;9,8;0;33,5;27,1;21,8;58,3;41;2;
2015-03-04;4,2;10,2;0;34,5;27,1;19,8;53,5;37;2;
2015-03-05;5,5;10,2;0;33,3;26,3;21;56,3;37;3;
2015-03-06;5;9,4;0;35,3;27,6;19,4;49;37;2,3;
2015-03-07;5,6;10;0;35,5;27,5;21,2;54;41;1,3;
2015-03-08;5,2;9,3;0;36,2;28,6;20,2;46,3;37;2,7;
2015-03-09;6,5;10,4;0;37,2;28,1;19,2;44;26;0;
2015-03-10;6,2;8,9;0;36,6;28,4;19,2;48,3;32;2;
2015-03-11;6,8;10;0;36,8;29;22,8;46,3;28;,3;
2015-03-12;7,1;5,2;0;34,5;26,5;20,6;52,8;31;2,3;
2015-03-13;5,8;10,5;0;37,6;28,8;18,8;38,3;19;,7;
2015-03-14;7,5;9,7;0;37,8;28,4;19,4;42,3;29;3;
2015-03-15;6,7;4,6;0;34,3;27,5;20,2;44;29;1;
2015-03-16;6,7;6,7;0;33,7;27,1;22,6;59;35;,7;
2015-03-17;5,4;4,4;0;35,7;27,9;21,4;46,8;32;0;
2015-03-18;5,9;6,7;0;34,9;26,6;20,6;60,5;34;1,7;
2015-03-19;4,2;5,8;1,2;33,7;25,8;21,4;55;36;0;
2015-03-20;5,3;4,2;0;33,5;27,2;21,4;54,8;38;2,7;
2015-03-21;5,1;4;5,4;30,9;25,1;21,6;71,8;44;0;
2015-03-22;7,7;2,8;0;29,3;24,5;20,6;81;69;,7;
2015-03-23;1,3;4,8;23,6;31,3;24,3;20;79,8;51;2,3;
2015-03-24;2,2;5,3;1,6;32,3;26,5;21,6;67;66;1,4;
2015-03-25;2,4;10;,7;33,9;26,7;21,4;59,5;40;1,3;
2015-03-26;5,2;10,2;0;33,7;27;22,2;57,3;41;3;
2015-03-27;4,5;9,8;0;35,5;28,5;20,6;43,5;30;1,3;
2015-03-28;6,5;10,3;0;36,4;28,7;22,2;42;29;2,3;
2015-03-29;7,5;10;0;36,1;28,6;21,6;43,8;30;1;
2015-03-30;6,2;9,9;0;36,6;29;19,6;38;26;2,3;
2015-03-31;6,9;10,1;0;37,8;29,4;19,8;36,3;23;1,3;
2015-04-01;6,9;10,1;0;37,8;28,2;19,4;41,3;22;2,3;
2015-04-02;7,1;10;0;37,8;29,4;19,4;38;24;3,7;
2015-04-03;8,6;8,5;0;34,7;27,3;22;54;37;4,3;
2015-04-04;6,7;10,1;0;33,9;27,1;22,2;53;40;4,3;
2015-04-05;6;9,4;0;36,1;27,9;21,8;49,8;30;2,3;
2015-04-06;5,3;8,8;0;35,7;28;21,6;55;37;3;
2015-04-07;4,9;6,3;0;32,3;25,3;20,8;79,5;61;3;
2015-04-08;2,2;5,5;51,8;31,3;24,5;20,8;71;61;3,7;
2015-04-09;3,8;9,4;0;31,3;24,5;20,6;67,3;52;4;
2015-04-10;4,4;10,2;0;33,1;26,1;22;60,8;48;4,7;
2015-04-11;5;9,7;0;31,3;25,1;21;61;45;2,7;
2015-04-12;4,6;10,1;0;31,9;25,7;20,6;52;39;1,7;
2015-04-13;5,3;9,5;0;36;26,5;19,6;47,5;26;2;
2015-04-14;6,9;8,5;0;32,5;26,5;20,8;54,8;46;1;
2015-04-15;3,9;7,3;0;32,1;25,6;20;54,8;40;3,3;
2015-04-16;4,8;6,7;0;33,7;26,9;21,4;72;53;0;
2015-04-17;3,9;7,9;0;35,5;26,1;20;67;38;0;
2015-04-18;4,6;9,9;18,4;33,3;26,5;21,8;63,5;41;,7;
2015-04-19;3,6;9,5;0;34,5;27,6;21,4;53;39;2,3;
2015-04-20;5;9,7;0;34,1;27,1;20,4;51,8;37;1;
2015-04-21;5;7,7;0;34,3;25,6;20,2;65,8;36;0;
2015-04-22;4,1;9,1;0;35,7;28,7;21,8;49,5;36;,7;
2015-04-23;5,8;5,8;0;34,1;28,2;23,6;57;41;3,3;
2015-04-24;5,6;5,3;0;32,3;27,3;24;59,5;52;,7;
2015-04-25;3,9;8,6;0;34,9;26,4;20,4;63;37;1,3;
2015-04-26;5,3;5,7;0;32,1;26,3;22,4;60;53;3,3;
2015-04-27;4;2,5;0;29,7;24,4;21,8;66,8;54;3;
2015-04-28;3,2;4,5;0;31,5;24,1;19,8;67,5;47;,3;
2015-04-29;3,1;5,6;0;31,9;24,5;19;70,8;45;,7;
2015-04-30;3,9;0;2,8;24,9;22,2;21,4;87,8;78;0;
2015-05-01;1,1;2,5;0;27,1;22,9;19;71,8;60;2;
2015-05-02;3;8,4;0;30,7;24,3;18,4;59,5;44;2;
2015-05-03;4,5;9,1;0;30,9;24,7;19,8;57,3;45;2,7;
2015-05-04;4,5;8,7;0;33,3;25,5;18,8;55,8;36;,7;
2015-05-05;4,5;8,6;0;33,5;25,7;18,8;53;33;1,3;
2015-05-06;4,4;3,6;0;33,7;25,8;19,8;66,3;47;0;
2015-05-07;3;7,2;1,3;33,3;26,7;21,4;60,5;42;,7;
2015-05-08;4,1;3;0;31,9;24,5;20,6;71,5;67;3,7;
2015-05-09;3,8;8,5;2,5;29,9;23,8;20,2;63,5;48;5,3;
2015-05-10;4,2;9,9;0;31,9;25,2;20;55,5;37;,3;
2015-05-11;4,1;8,2;0;33,3;25,7;18,2;57,8;40;2;
2015-05-12;4,4;9,4;0;32,9;24,5;19,8;62,3;39;0;
2015-05-13;3,8;7,7;0;33,5;25,4;18;59,5;44;4,3;
2015-05-14;6,1;9,2;0;29,9;23,7;21;63,3;47;3,7;
2015-05-15;4,9;9;0;28,5;22,9;19,6;56,8;41;4;
2015-05-16;5,1;9,3;0;29,7;23,3;18,8;56,5;39;3,7;
2015-05-17;5,2;9,7;0;30,7;23,8;19,4;56,5;38;3,3;
2015-05-18;4,9;8,1;0;30,1;24,2;20,4;58,3;44;3,7;
2015-05-19;5,5;9,8;0;31,3;24;20;54,8;34;4;
2015-05-20;6,2;7,7;0;30,7;24,4;20,6;58,3;42;3,7;
2015-05-21;5,6;9,5;0;30,1;24,1;20,2;54;45;4,7;
2015-05-22;5,7;9,7;0;30,1;24;19,6;43,5;33;4,3;
2015-05-23;7;9,6;0;30,7;23,6;18,8;48,5;36;3,7;
2015-05-24;5,5;6,3;0;30,7;22,9;15,4;55,3;39;0;
2015-05-25;4;9,5;0;31,9;24,3;17;47,8;31;1,3;
2015-05-26;5,4;9,6;0;32,5;24;16,4;48,8;31;1,7;
2015-05-27;5,2;9,7;0;33,5;25,6;18,6;58;35;,7;
2015-05-28;5,1;9,5;0;34,3;26,1;17,6;46;30;,8;
2015-05-29;5,3;7,5;0;33,9;25,5;17,2;51;33;1,7;
2015-05-30;5,4;8,9;0;35,3;27,3;19,8;46,8;30;1;
2015-05-31;6;9,4;0;34,7;25,8;20,6;51;31;1;
2015-06-01;5,2;9,6;0;33,7;26,3;19,8;43,8;25;1;
2015-06-02;7;9,7;0;31,1;25,1;19,6;47,5;36;3,7;
2015-06-03;6;9,6;0;30,9;24,2;20,4;51,5;36;2,7;
2015-06-04;6;9,8;0;30,1;23,3;18;56,3;38;5;
2015-06-05;5,4;9,8;0;30,9;24,5;19,6;55,5;42;4,7;
2015-06-06;5,9;5,3;0;29,9;25;20,6;53,8;45;2,7;
2015-06-07;4,8;4,9;0;28,7;23,2;19,2;57,5;45;5;
2015-06-08;3,9;9,8;0;29,9;23,2;17;50,3;39;3,3;
2015-06-09;5,2;6,9;0;32,1;25;19,4;51,5;32;1,7;
2015-06-10;4,7;3,7;0;31,3;24,1;21;67,8;46;,7;
2015-06-11;3,8;8,2;0;32,5;25,4;17,8;48;35;,7;
2015-06-12;4,7;8,9;0;33,7;24,9;15,6;40,3;27;,7;
2015-06-13;6,7;9,9;0;32,3;22,9;16,2;50,3;26;2,3;
2015-06-14;5,4;9,6;0;33,9;22,7;14,2;52,8;25;0;
2015-06-15;5,2;9,9;0;34,9;23,5;15,8;54,5;25;0;
2015-06-16;5,1;7,2;0;36,1;26,3;14,6;43,5;23;3;
2015-06-17;7,6;3,4;0;30,5;24,5;22,4;61,8;48;2;
2015-06-18;3,8;8,8;0;30,3;22,3;17;55;37;,7;
2015-06-19;4,4;9,9;0;33,5;25,3;17;35;19;1;
2015-06-20;7,9;9,4;0;30,1;24,1;20;51,8;35;4;
2015-06-21;5,5;5;0;27,3;21,9;18,6;60,5;47;5,3;
2015-06-22;4,2;4,8;0;28,7;22,6;18,4;50,5;37;4;
2015-06-23;4,5;9,4;0;30,5;23,8;18,4;50,3;33;1,3;
2015-06-24;5;7,7;0;30,9;24,3;19,8;53,3;41;5,3;
2015-06-25;6,3;9,5;0;28,5;22,2;19,2;58,3;48;4,7;
2015-06-26;5,8;8,6;0;27,3;21,1;17,6;53,5;35;5,3;
2015-06-27;6;9,9;0;26,9;20,7;17;53,3;38;3,7;
