Nome: CANAVIEIRAS
Codigo Estacao: 83398
Latitude: -15.67333332
Longitude: -38.96111111
Altitude: 4.71
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-07-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,8;11,5;0;30,6;26,2;20,2;81,3;null;2;
2015-01-02;5;11,6;0;30,5;26,3;20,4;78,3;null;2;
2015-01-03;5;9,8;0;30,4;26,2;21,4;78,5;null;2,7;
2015-01-04;5;9,9;5,1;30,4;25,7;19,6;78;null;1;
2015-01-05;4,5;9,2;0;30,7;25,8;20,2;81,8;null;1,7;
2015-01-06;3,7;11,6;1,9;30,4;26;21;83,3;null;2;
2015-01-07;3,8;8,7;2,3;30,2;25,6;21,6;79,5;null;2,3;
2015-01-08;4,3;6,1;3,7;29,8;25,2;19,6;85,5;null;1;
2015-01-09;3,8;4,4;4,6;30;25,1;19,6;88,5;null;1,7;
2015-01-10;3,5;2,5;0;29,8;25,3;19,6;84;null;,7;
2015-01-11;4,9;10;0;30,6;26,4;20,4;79;null;2,3;
2015-01-12;5,2;10,3;0;30,6;26,6;21,2;82,8;null;2,3;
2015-01-13;5,8;10,1;0;30,4;26,5;20,4;72,5;null;1,1;
2015-01-14;5,5;7,7;2,1;30,4;26,1;21,6;79,8;null;1;
2015-01-15;4;4;5,5;29,8;25;20,8;87,3;null;1;
2015-01-16;2,7;10,3;14,5;30,4;26,2;20,2;81,3;null;2;
2015-01-17;4,5;9,1;0;30,2;26,4;20,4;77,8;null;2;
2015-01-18;5,4;8,4;17,7;29,8;25,7;21,2;84,8;77;1;
2015-01-19;4,6;11,6;0;30,2;26,5;21;74,8;null;1;
2015-01-20;5;9,8;0;30,4;26,4;21;77;null;1;
2015-01-21;5,5;10,5;1,4;30,4;26,2;20,2;80,8;null;1;
2015-01-22;5,5;6,6;0;30,8;27,1;22;75,5;null;1,7;
2015-01-23;6,5;5,2;0;30,8;27,2;23,2;78,5;null;2,3;
2015-01-24;4,4;5,5;1,7;30,6;26,2;20,4;82,8;null;1,7;
2015-01-25;5;9,8;0;30,6;27;21;75;null;2;
2015-01-26;5,3;8,5;0;31,2;26,8;21,2;78,5;null;1;
2015-01-27;5;11,3;0;31,4;27,2;21,6;77,3;null;3;
2015-01-28;6,8;12;0;31,2;27,7;24;74;null;1,7;
2015-01-29;5,8;10,8;4,1;30,6;26,9;21,6;77,5;null;1;
2015-01-30;5,6;10,3;0;31,2;26,7;20,2;82,8;null;2,3;
2015-01-31;4,9;11,2;0;31,6;27,1;20,8;73,5;null;1;
2015-02-01;5,7;8,3;0;32;26,5;22,2;83,8;null;1;
2015-02-02;3,8;10,3;3,1;31,6;27,2;22,2;70,3;null;,7;
2015-02-03;5,4;10,8;0;31;26,7;21,7;74;null;,3;
2015-02-04;5,6;5,8;0;31,2;26,7;22;74,8;null;,7;
2015-02-05;5,2;7,5;0;31,5;27,2;21,4;75,5;null;1,7;
2015-02-06;5,7;5,2;0;31,6;27,8;23,6;78,5;null;,2;
2015-02-07;4,3;,4;53,3;30;25,6;22;91,5;null;,3;
2015-02-08;2;5,2;3;30,8;27,4;23,4;82;null;,3;
2015-02-09;3,8;10,6;0;30,8;27,3;22,6;76,5;null;2;
2015-02-10;5;4,9;7,8;30,8;25,7;21,7;88,5;null;1;
2015-02-11;2,5;10,5;0;30,8;26,4;21,6;83,3;null;,7;
2015-02-12;3,5;8,4;25,6;31,2;26,5;21,8;80,5;72;1,3;
2015-02-13;4,7;11,3;6,6;30,6;26,8;21,2;73,3;null;1,3;
2015-02-14;5,4;,5;3,1;28,8;24,8;21,4;92,5;null;0;
2015-02-15;1,8;10,2;2,4;30,6;26,8;21,2;78,5;null;2,3;
2015-02-16;5;10,4;4,7;30,4;26,9;21,9;76,8;null;,3;
2015-02-17;4,7;5,4;2;30,4;26,3;22,9;87,8;null;,7;
2015-02-18;3,9;8,6;1,1;30,8;27,5;23,9;75,8;null;,7;
2015-02-19;5,1;9,4;0;31;26,9;23,2;81;null;1;
2015-02-20;3,9;9,6;2;31,2;25,9;22,3;79,5;null;,7;
2015-02-21;3,2;2,7;35,2;30,2;25,7;21,7;90;null;0;
2015-02-22;1,7;,4;12,6;28,8;24,4;22,1;89,8;null;0;
2015-02-23;1,4;,3;36,3;29,8;24,3;21,2;93,8;null;0;
2015-02-24;1,6;6,7;12,8;30,6;25,9;21;85,8;null;1,3;
2015-02-25;3,8;8,8;4,8;30,6;27;22;82,3;null;1,3;
2015-02-26;4,1;7,5;3,9;30,6;26,8;22,2;83,3;null;1,7;
2015-02-27;4,4;5,5;0;31,2;27,1;21,8;83,8;null;1,7;
2015-02-28;4,7;4,5;0;31,2;27,2;22,4;85,5;null;1,3;
2015-03-01;4,4;7,9;0;31,8;26,4;22;86,3;null;2;
2015-03-02;2,9;4,9;7,5;30,4;26,2;22,9;87,8;null;,7;
2015-03-03;2,3;8,2;0;30,4;26,4;22,9;83,5;null;,3;
2015-03-04;3,2;8,3;9,3;30,2;26,8;22,5;78,8;null;0;
2015-03-05;3,8;8,2;2,8;30,4;26,4;22,1;83,3;null;,3;
2015-03-06;2,8;2,5;1,2;29,4;26;22,6;86,3;null;,3;
2015-03-07;2,5;9,3;11,2;30,4;27,3;22,5;71;null;,7;
2015-03-08;5,7;8,8;0;30,4;27,2;21,7;71;null;1;
2015-03-09;6;9,4;0;30,5;27,1;21,5;72,5;null;1;
2015-03-10;6,3;8,8;0;30,6;27,2;22,5;76,3;null;1,7;
2015-03-11;4,6;4,4;0;30,8;27;22,3;77,8;null;1;
2015-03-12;5;5,3;0;30,4;26,9;21,3;79;null;,3;
2015-03-13;4,5;8,6;0;30,8;27,5;23,1;76,3;null;,7;
2015-03-14;4,9;7,2;5,4;30,2;26,5;22,6;78;null;,3;
2015-03-15;5,1;8,4;0;30,4;26,7;21;73,5;69;,3;
2015-03-16;4,4;7;2,8;30;26,3;22;75;null;,3;
2015-03-17;5,5;1,2;0;29,8;25,1;19,3;83,3;null;,3;
2015-03-18;4;9,1;0;30,6;27;21,9;73,8;null;,7;
2015-03-19;4,4;7,4;3,6;30,4;26,5;21,7;null;null;0;
2015-03-20;3,8;6,7;0;30,6;26,8;21,8;null;null;0;
2015-03-21;4,1;7,2;0;30,6;27;22,3;null;null;0;
2015-03-22;5;4,6;0;30,3;26,6;22,6;null;null;0;
2015-03-23;3,2;5,9;2,9;31,2;27,6;23,7;null;null;0;
2015-03-24;3,8;4,3;0;32,2;27,1;23,3;null;null;0;
2015-03-25;3;0;9,1;30;25,8;22,8;null;null;0;
2015-03-26;2,5;7,1;11,1;31,4;25,9;22,9;null;null;0;
2015-03-27;2,5;8,9;0;31;26,8;21,1;null;null;0;
2015-03-28;3,8;8,9;0;31,2;27,5;22,1;null;null;0;
2015-03-29;4,4;8,6;0;31,2;26,6;20,3;null;null;0;
2015-03-30;5,7;8,8;0;31,2;26,9;20,7;null;null;0;
2015-03-31;5,7;8,5;0;32,2;27,6;22,3;null;null;1;
2015-04-01;5,9;8,9;0;31,4;25;20,3;null;null;0;
2015-04-02;5,4;7,3;0;31,5;25,5;18,7;null;null;0;
2015-04-03;4,6;5,3;0;31,2;26,1;22,5;null;null;0;
2015-04-04;2,2;4,4;15,2;30,6;25,7;21,3;null;null;1;
2015-04-05;1,8;7,1;0;31,2;26,9;22,1;null;null;,5;
2015-04-06;2,5;8,6;0;31,8;27,8;22,4;null;null;1;
2015-04-07;5;4,1;0;32,6;27,2;23,8;null;null;,5;
2015-04-08;2,2;0;10,4;24,8;23,7;22,5;null;null;1;
2015-04-09;,9;1,3;7,4;29,6;25;21,3;null;null;1,5;
2015-04-10;2,3;5;2,6;30,6;25,6;21,9;null;null;1,5;
2015-04-11;3,5;7,6;0;30,8;25,6;21;null;null;1;
2015-04-12;2,7;4,4;0;28,6;25,6;19,4;null;null;,5;
2015-04-13;2,9;7,5;0;31;25,3;19,5;null;null;0;
2015-04-14;3,3;4,4;0;29,8;24,2;19,6;null;null;,5;
2015-04-15;2,8;3,1;0;30,8;24,7;19,8;null;null;,5;
2015-04-16;2,3;8,6;0;32;26,5;20,3;null;null;,5;
2015-04-17;3,6;6;0;31,3;26,4;21,9;null;null;,5;
2015-04-18;2,9;8,1;0;31,8;26,3;22,3;null;null;,5;
2015-04-19;2,7;8,7;0;31,6;26,7;20,9;null;null;0;
2015-04-20;3,7;8,2;0;31,2;26,6;21;null;null;0;
2015-04-21;3,5;7,4;0;31,6;27,3;21,1;null;null;0;
2015-04-22;2,7;8;0;32,4;28,1;23;null;null;1,5;
2015-04-23;4,1;4,9;0;32,6;27,2;23,3;null;null;0;
2015-04-24;2;4,3;4,2;30,8;25,7;22,7;null;null;,1;
2015-04-25;2;7,1;,9;30,9;27;22;null;null;0;
2015-04-26;3,1;,8;0;27,7;24,5;22,3;null;null;,5;
2015-04-27;2,3;1,9;0;29,9;25,7;21,6;84,3;75;,7;
2015-04-28;2,5;6,7;0;31,8;26;21,8;88,3;null;2;
2015-04-29;1,5;4,4;0;31,2;25,5;21,8;91,3;null;1;
2015-04-30;2,4;0;21,6;26,2;22,9;20,4;95,5;null;1;
2015-05-01;1,2;0;10,3;26;22,9;20,4;97;null;0;
2015-05-02;,9;0;33,6;25,6;22,8;20,2;98;null;1;
2015-05-03;,7;5,8;5,7;29,8;24,6;20,2;90,5;null;1;
2015-05-04;4,4;7,9;1,2;30,4;25,2;20,9;87,8;null;,3;
2015-05-05;2,3;6,2;0;30,8;25,3;21,3;89,8;null;,3;
2015-05-06;2,3;7,1;0;31;26;20,9;83;null;,7;
2015-05-07;2,2;5,6;0;29,6;25;20,8;88,8;null;,3;
2015-05-08;2,3;1;0;27,6;24,1;21,7;84,3;null;3;
2015-05-09;2,2;5,5;3,4;28,4;23,5;19,8;88,8;null;,7;
2015-05-10;2;7,2;0;29,6;25,1;19,3;73,3;null;1,3;
2015-05-11;2,9;4,5;0;29,6;25;21,3;86,3;null;,7;
2015-05-12;2,6;7,3;0;31,2;25,3;20,5;88,3;null;1;
2015-05-13;3,1;2,5;0;29;24,5;20,9;90;null;1;
2015-05-14;1,4;,5;31,9;27,2;22,9;21,1;84,8;null;,7;
2015-05-15;1,6;3,8;5,8;28;22,6;19,2;90,8;null;2,3;
2015-05-16;2,9;,4;2,1;25;22,4;19;96,5;null;,3;
2015-05-17;,7;7;29,4;28,6;23,7;19,6;89,3;null;1,3;
2015-05-18;2,1;7,4;2,3;29,2;24,4;20,5;80;null;1,3;
2015-05-19;3;7,7;0;29,6;23,9;19,6;92;null;,7;
2015-05-20;1,9;,5;120,2;26,8;23,1;20,2;99,5;null;1;
2015-05-21;,8;3,7;77;28,8;23,3;20,2;95,8;null;1;
2015-05-22;2;7,5;28,6;28,6;22,5;19,2;89,3;null;1,3;
2015-05-23;2,5;2,5;0;27,8;22;17,6;90,5;null;1,3;
2015-05-24;2;3,1;0;29,4;22,9;18;91,3;77;0;
2015-05-25;2;6,9;0;29,4;23,2;18;90,3;null;1;
2015-05-26;2;0;8,7;26;23,1;19,6;98;null;,3;
2015-05-27;1;5,7;13,6;28,7;25;20,5;84,8;null;1;
2015-05-28;3,1;7,8;0;28,6;23,4;19,2;85,5;null;,3;
2015-05-29;2,6;8;0;28,8;23,7;17,8;89;null;,7;
2015-05-30;2,5;7,9;0;29,2;24,5;18,6;87,3;null;,3;
2015-05-31;2,1;6,8;0;29,2;24,6;19,8;87,3;null;,3;
2015-06-01;2;7,1;,5;27,6;23,2;19,6;90,8;null;1;
2015-06-02;2,7;8;0;29,6;23,4;18;89,5;null;1;
2015-06-03;2;5,9;0;null;null;18,8;89,8;null;3;
2015-06-04;2,4;3,9;2,7;null;null;19,2;93,3;null;1;
2015-06-05;1,1;3,9;19,8;null;null;19,4;93,8;null;2;
2015-06-06;1,5;,8;55,8;null;null;20,2;96;null;1,3;
2015-06-07;2;4;31,7;null;null;21,6;89,8;null;1,7;
2015-06-08;1,7;6,2;4,4;null;null;20,7;89,3;null;,3;
2015-06-09;1,7;3,1;6,1;null;null;21,7;88;null;,7;
2015-06-10;,9;4,5;7,2;null;null;22;93,5;null;,3;
2015-06-11;1,2;7,9;1;null;null;20,7;88,8;null;,3;
2015-06-12;2,2;7,7;0;null;null;18,2;88,8;null;,7;
2015-06-13;2,2;3,6;0;null;null;20,2;94,8;null;1,3;
2015-06-14;,9;5,3;0;null;null;20,7;84,3;null;,7;
2015-06-15;2,7;7,4;0;null;null;21,7;87,8;null;,3;
2015-06-16;3,1;6,6;0;null;null;20,2;91,3;null;1,7;
2015-06-17;2,3;5,9;0;null;null;21,2;89,3;null;,7;
2015-06-18;2,2;6,3;0;null;null;20,4;88,5;null;,7;
2015-06-19;1,9;8;0;null;null;18;93,5;null;1;
2015-06-20;2,4;7,4;0;null;null;18,3;90,8;null;1,7;
2015-06-21;1,2;6,1;0;null;null;21;90,3;null;2;
2015-06-22;2,7;3,9;0;null;null;19,2;90,5;null;,3;
2015-06-23;1,1;1,9;8,6;null;null;20,6;92,3;78;,7;
2015-06-24;1,4;0;8,3;null;null;20,9;96;null;,4;
2015-06-25;,6;3;19,8;null;null;20,3;92,5;null;,7;
2015-06-26;1,5;3,7;30,3;null;null;19;86;null;3;
2015-06-27;3,1;,2;31,1;null;null;18,8;96,8;null;2,3;
2015-06-28;,4;0;53,8;null;null;19,2;98;null;,7;
2015-06-29;,9;5,8;130,9;null;null;19,8;85,5;null;,3;
2015-06-30;2;5;3,1;null;null;19,6;91,8;null;0;
2015-07-01;1,7;6,2;6,1;null;null;19,3;92;null;1;
2015-07-02;2,4;7,8;2,9;null;null;18;93,5;null;1,3;
2015-07-03;1,9;6,4;3,1;null;null;18;91,5;80;2;
2015-07-04;2,1;7,3;0;null;null;18,4;90,3;null;1,3;
2015-07-05;2,3;7,8;0;null;null;18,7;90,3;null;1,3;
2015-07-06;2,1;4;0;null;null;19,8;88;null;3,3;
2015-07-07;1,7;5,4;1,1;null;null;19,4;90,8;null;1;
2015-07-08;1,7;6,8;1,6;null;null;18;85,8;null;,3;
2015-07-09;2,1;5;0;null;null;19,4;90,5;null;0;
2015-07-10;1,6;6,7;0;null;null;20,8;87,5;null;,3;
2015-07-11;1,7;1,9;13,6;null;null;20,2;93;null;1;
2015-07-12;1,5;4,7;0;null;null;17,2;94;null;1;
2015-07-13;2,3;2,1;5,7;null;null;18;91;null;2;
2015-07-14;2,5;6;5,3;null;null;19,6;90,5;null;1;
2015-07-15;2,8;5,1;7,6;null;null;19,5;88,5;null;2,7;
2015-07-16;3,7;6,5;9,7;null;null;20,2;90,8;null;2,7;
2015-07-17;5,5;0;1,6;null;null;20,2;87,3;null;2;
2015-07-18;4;4,8;2,3;null;null;18,4;93,8;null;,7;
2015-07-19;3,5;7,4;5,3;null;null;20,5;77;null;2;
2015-07-20;3,9;7,1;,6;null;null;18,2;84,8;null;,3;
2015-07-21;3,6;7,8;0;null;null;18;90,3;null;,7;
2015-07-22;2;7,7;0;null;null;17,5;89,5;null;,3;
2015-07-23;2,3;2,4;14,5;null;null;20,4;90,8;null;1;
2015-07-24;1,5;6,8;0;null;null;18,4;84,8;null;,7;
2015-07-25;1,9;7,1;0;null;null;18,6;87,3;null;,3;
