Nome: CARINHANHA
Codigo Estacao: 83408
Latitude: -14.29749999
Longitude: -43.77138888
Altitude: 455.25
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2020-10-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,6;null;0;32,9;26,7;19,8;null;56;2,7;
2015-01-02;5,6;null;0;34,3;27;19,8;null;61;1,5;
2015-01-03;5,6;null;0;34,2;26,9;21,1;null;61;2,9;
2015-01-04;8,4;null;0;32,9;26;19,3;null;56;2,8;
2015-01-05;6,4;null;0;33,1;25,6;18,8;null;59;2,7;
2015-01-06;6;null;0;33,6;26,2;19,7;null;63;1,5;
2015-01-07;6,1;null;0;32,9;26,7;22;null;66;3,3;
2015-01-08;7,9;null;0;32,9;26,4;22,8;null;62;3,2;
2015-01-09;9,5;null;0;33,5;27,1;22,3;null;57;2,2;
2015-01-10;6,3;null;0;33,7;27,4;21,6;null;60;2,1;
2015-01-11;6,5;null;0;34,9;28;21,7;null;59;3,2;
2015-01-12;8,1;null;0;35,8;28,3;21,9;null;52;3,1;
2015-01-13;9,5;null;0;34,8;27,4;21,8;null;50;3,4;
2015-01-14;11,2;null;0;32,2;26,3;21,1;null;41;3;
2015-01-15;8,7;null;0;35,1;27,2;22,1;null;57;2,1;
2015-01-16;7,9;null;0;34,7;26,9;20,1;null;58;2,1;
2015-01-17;7,5;null;0;36,5;28,3;21,9;null;57;2,8;
2015-01-18;9,2;null;0;36,4;29,4;22;null;49;2,4;
2015-01-19;9,8;null;0;36,1;28,7;22;null;43;2,7;
2015-01-20;10;null;0;36,4;28,6;22,2;null;44;2,2;
2015-01-21;10,3;null;0;36,7;28,8;20,5;null;42;3;
2015-01-22;8,2;null;,5;35,3;26,8;21,1;null;48;2,7;
2015-01-23;7,1;null;0;34,7;26,3;21,1;null;56;3;
2015-01-24;5,3;null;0;35,3;28,1;21,1;null;54;3,6;
2015-01-25;9,3;null;0;34,1;27,6;21,8;null;41;2,1;
2015-01-26;6,7;null;0;34,8;26,5;21,5;null;59;1,8;
2015-01-27;5,7;null;0;36,6;29,1;22,2;null;57;2,4;
2015-01-28;8,1;null;0;36,5;28,7;22,5;null;52;3,7;
2015-01-29;11,4;null;0;37,7;29,1;22,1;null;43;2,7;
2015-01-30;10,5;null;0;39,3;30,3;22,1;null;48;1,6;
2015-01-31;10,4;null;0;38,1;30,9;22,5;null;44;2,9;
2015-02-01;12,1;null;0;35,7;29;25,1;null;null;2,4;
2015-02-02;8,4;null;0;36,5;29,1;22,7;null;null;2,7;
2015-02-03;10,5;null;0;36,8;27,9;22,8;null;null;1,6;
2015-02-04;7,1;null;0;32,6;25,8;22,5;null;null;2;
2015-02-05;3,2;null;33,6;31,4;24,5;22,1;null;null;2,6;
2015-02-06;2,7;null;18,4;27,4;23,2;21,7;null;null;1,6;
2015-02-07;,8;null;8,5;28,1;23,4;21,6;null;null;1,6;
2015-02-08;1;null;49,9;29,1;24;20,2;null;null;1;
2015-02-09;2,1;null;0;32,5;25,9;22,6;null;null;1,5;
2015-02-10;3,4;null;1,8;32,8;26,4;21,7;null;null;2,4;
2015-02-11;6,8;null;0;33,8;27,6;22,1;null;63;2,8;
2015-02-12;6,2;null;0;35,2;26,4;19,3;null;null;1,5;
2015-02-13;7,9;null;0;35,3;26,8;18,8;null;null;2,6;
2015-02-14;5,4;null;0;36;27,1;19,6;null;null;1,7;
2015-02-15;7,5;null;0;35,7;27,5;20,2;null;null;1,9;
2015-02-16;7,1;null;,6;35,1;27,7;21,1;null;null;2,1;
2015-02-17;6,6;null;0;28,3;25,9;22,6;null;null;3;
2015-02-18;7;null;0;32,6;25,6;22,4;null;null;2,2;
2015-02-19;4,4;null;0;33,4;26,9;22,1;null;null;3,5;
2015-02-20;6,2;null;1,3;31,9;24,5;21,2;null;null;2,5;
2015-02-21;5;null;2,4;33,9;26,5;20,1;null;null;3,6;
2015-02-22;8,7;null;0;34,7;27,2;22,3;null;null;3,7;
2015-02-23;7,7;null;0;31,3;24,9;22,3;null;null;2;
2015-02-24;3,1;null;15,8;25,9;23,2;22;null;null;1,5;
2015-02-25;1,4;null;,4;34,3;26,6;20,1;null;null;2,1;
2015-02-26;6,6;null;0;36,4;28,8;21,1;null;null;1,8;
2015-02-27;6,3;null;0;33,1;26,3;23;null;null;2,1;
2015-02-28;7,2;null;0;36,5;27,1;21;null;null;1,6;
2015-03-01;5,6;null;17,1;32,7;26,3;21,5;null;null;1,4;
2015-03-02;3,4;null;,8;33,6;28;23,1;null;null;3;
2015-03-03;6;null;0;33,6;27,6;22,4;null;null;1,9;
2015-03-04;6,4;null;0;34,4;27,3;22,1;null;null;2,1;
2015-03-05;7,7;null;0;33,4;26,8;21,1;null;null;1,5;
2015-03-06;5,3;null;0;35,2;28,1;20,6;null;null;1,6;
2015-03-07;7,5;null;0;35,5;28,5;22,6;null;null;2,1;
2015-03-08;7;null;0;36,2;29,3;22,5;null;null;2,3;
2015-03-09;8,1;null;0;36,6;28,9;22,1;null;null;1,9;
2015-03-10;8,8;null;0;36,4;29,4;20,8;null;null;1,8;
2015-03-11;8,4;null;0;36,8;29,1;23,1;null;null;3,1;
2015-03-12;7,3;null;0;36,3;28,8;21,8;null;null;1,8;
2015-03-13;7;null;0;37,4;29,8;22,3;null;null;2,1;
2015-03-14;9;null;0;37,2;29,1;21,7;null;null;2,2;
2015-03-15;10,4;null;0;34,9;28,1;21,9;null;null;1,6;
2015-03-16;7,3;null;0;34,4;27,6;21,4;null;null;1,2;
