Nome: RONDONOPOLIS
Codigo Estacao: 83410
Latitude: -16.4625
Longitude: -54.58027777
Altitude: 289.88
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2016-01-28
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;0;34,5;26,1;21,4;86;86;,3;
2015-01-02;null;null;0;34,7;25,8;22,4;91;83;,5;
2015-01-03;null;null;60,5;35,1;26,3;20,9;86;95;1,5;
2015-01-04;null;null;26,9;34,3;26,6;20,4;83;80;,8;
2015-01-05;null;null;0;34,3;24,8;21,9;98;80;1,3;
2015-01-06;null;null;20;33,3;25,8;21,4;85;88;,8;
2015-01-07;null;null;4,2;33,9;27;21,4;84;83;,5;
2015-01-08;null;null;0;34,5;27,1;22,9;88;83;,3;
2015-01-09;null;null;0;35,3;26,3;22,9;89;87;1;
2015-01-10;null;null;0;34,1;26,9;22,4;83;92;,3;
2015-01-11;null;null;0;36,3;27,6;23,4;86;77;,5;
2015-01-12;null;null;21,4;32,3;23,9;21,4;95;84;1;
2015-01-13;null;null;2,7;31,7;25,1;20,4;94;95;,8;
2015-01-14;null;null;0;35,5;26,8;22,4;79;92;,8;
2015-01-15;null;null;0;33,5;26,6;22,9;86;69;,8;
2015-01-16;null;null;0;34,5;24,7;21,9;94;85;,8;
2015-01-17;null;null;1,5;33,6;25,5;21,4;91;92;,5;
2015-01-18;null;null;0;34,7;26,5;21,9;86;87;1;
2015-01-19;null;null;0;35,5;27;22,9;87;80;,3;
2015-01-20;null;null;0;35,7;25;22,4;95;87;,5;
