Nome: GOIANIA
Codigo Estacao: 83423
Latitude: -16.67305554
Longitude: -49.26388888
Altitude: 748.53
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,9;null;,6;34;26,4;20,8;60,8;38;,7;
2015-01-02;6,1;null;0;31,8;26,5;21,5;67,8;55;,9;
2015-01-03;3,4;null;30,8;34,1;25,9;20,9;70,8;54;,7;
2015-01-04;4,8;null;3,7;31,8;25,4;19,6;64,3;52;1,5;
2015-01-05;5,3;null;0;34,2;26,9;19,5;58,3;34;2,1;
2015-01-06;7,7;null;0;32,2;25,7;21,3;62,3;40;,4;
2015-01-07;5;null;0;33,6;27,2;20;51;42;,9;
2015-01-08;7,2;null;0;34,8;28,5;21,3;45,8;32;1,6;
2015-01-09;9;null;0;35,2;29;23,2;44,3;34;,9;
2015-01-10;8,9;null;0;35;28,3;21,9;46,3;27;1,2;
2015-01-11;8,6;null;0;35,6;28,5;21,5;47,5;33;,9;
2015-01-12;9,1;null;0;36,3;29,6;23;42,5;28;1;
2015-01-13;9,3;null;0;35,6;27;22,1;58;39;1,9;
2015-01-14;6,8;null;0;36,4;27,8;20,2;52;27;1,1;
2015-01-15;10,6;null;0;36;28,9;21,4;40,5;28;1,4;
2015-01-16;10,4;null;0;34,8;28,4;21,4;41,8;28;1,2;
2015-01-17;9,4;null;0;34,4;26,9;20,7;56,8;39;,7;
2015-01-18;6,2;null;,3;36,4;29;20,4;43;27;1,1;
2015-01-19;8,8;null;0;37,8;29,9;21,4;35,5;22;1,3;
2015-01-20;11,6;null;0;36,2;28;21,4;51;29;1;
2015-01-21;8;null;0;36,2;26,1;21,8;62,5;30;1,3;
2015-01-22;6,3;null;9,6;33,6;24,6;19,4;64;37;1,6;
2015-01-23;5,7;null;3,9;31,7;25,3;19,9;63,8;46;1,1;
2015-01-24;5,9;null;,7;31,4;23,5;20,4;72,3;42;,6;
2015-01-25;4,4;null;6,9;28;22,9;19,6;72;57;1,5;
2015-01-26;3,8;null;0;30,9;24,6;20,1;68,3;53;1;
2015-01-27;4,3;null;,3;30,9;25;20,9;72;57;1;
2015-01-28;4,2;null;9,2;31,6;25,2;21,3;67;47;,9;
2015-01-29;3,7;null;6,3;32,4;25;20,7;70,3;52;1,1;
2015-01-30;4,6;null;1,3;35,3;28;21;51,8;36;1,1;
2015-01-31;7;null;0;36,3;28,6;21,5;47,5;31;1,4;
2015-02-01;8,2;null;0;35,4;27;22;56,3;35;,7;
2015-02-02;6,5;null;0;33,8;26,1;19,4;61;31;,8;
2015-02-03;5,5;null;15,8;34,2;26,2;20,6;63;40;1,2;
2015-02-04;4,3;null;1;26,8;23,5;21,3;73,5;69;1,6;
