Nome: UNAI
Codigo Estacao: 83428
Latitude: -16.36638888
Longitude: -46.88944444
Altitude: 595.59
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,4;null;0;36,3;29,2;22,5;52,5;33;1;
2015-01-02;6,4;null;0;37,3;29,2;22,3;54,5;36;2;
2015-01-03;6,6;null;0;36,1;28,8;23,1;57,5;46;2;
2015-01-04;5,4;null;20,8;31,7;26,2;21,3;69,3;53;2;
2015-01-05;3,5;null;0;34,5;27,4;19,5;53,5;40;1;
2015-01-06;6,1;null;0;35,3;28,3;20,9;50;35;2,3;
2015-01-07;6,1;null;0;32,5;27;20,7;60,8;49;1,7;
2015-01-08;5,2;null;0;34,3;28,6;22,3;51,3;40;2,7;
2015-01-09;6,3;null;0;34,9;28,1;20,9;45,8;34;3;
2015-01-10;6,7;null;0;36,5;28,3;19,9;47;33;1,7;
2015-01-11;6,8;null;0;35,9;29,2;22,7;50,3;38;1,7;
2015-01-12;7;null;0;36,7;29,3;20,5;45;33;1,7;
2015-01-13;8,1;null;0;37,1;29,7;21,3;43,5;31;,7;
2015-01-14;8,1;null;0;34,9;28,4;21,3;45,5;34;2,3;
2015-01-15;7,1;null;0;33,5;27,2;21,7;51,8;43;3;
2015-01-16;6;null;0;35,7;28,6;20,7;50,5;38;2;
2015-01-17;6;null;0;36,9;29,4;20,9;42,5;31;2;
2015-01-18;7,5;null;0;37,9;29,8;21,3;41;28;1,3;
2015-01-19;8,8;null;0;37,1;30,2;21,9;41,3;32;2;
2015-01-20;8,7;null;0;37,3;30;22,3;40;28;3;
2015-01-21;9,1;null;0;37,9;30;21,9;38,3;25;2;
2015-01-22;9,8;null;4,4;36,1;26,2;22,3;59,8;34;1,7;
2015-01-23;5,3;null;0;32,9;25,8;20,5;60,8;44;4;
2015-01-24;5,3;null;0;31,3;24,2;21,5;79,5;64;2;
2015-01-25;2,6;null;1,3;32,9;24,4;20,7;75,5;45;1;
2015-01-26;3,2;null;8,2;28,1;24,2;21,1;83,5;79;1,3;
2015-01-27;2;null;,4;33,5;24,2;20,9;78;57;2,7;
2015-01-28;3,3;null;15,7;28,9;24,4;19,9;81;69;1,3;
2015-01-29;2,5;null;28,8;33,5;27,1;21,3;70,3;57;1,7;
2015-01-30;3,7;null;0;35,1;28,6;22,3;62,5;46;1,7;
2015-01-31;4,4;null;0;36,9;29,7;22,1;49,8;36;1;
2015-02-01;7,3;null;0;35,7;29,2;23,1;48,5;27;1,7;
2015-02-02;7,5;null;0;36,3;29;20,3;49,3;38;1,3;
2015-02-03;6;null;0;35,7;28,8;21,9;49,5;39;1,7;
2015-02-04;6,4;null;3,2;32,5;25,1;21,8;77;49;1,7;
2015-02-05;2,6;null;2,1;31,5;24,6;21,1;77,5;53;1,3;
2015-02-06;2,9;null;48,6;27,5;22,2;20,1;85,5;65;2,3;
2015-02-07;1,8;null;42,6;25,1;22,2;19,7;90,8;94;1,7;
2015-02-08;1,3;null;4,5;28,9;23,6;19,5;74,8;60;4,3;
2015-02-09;2,6;null;1,8;29,7;23,9;21,1;84,3;76;1;
2015-02-10;2,3;null;3,5;30,3;24,5;21,3;92;89;1;
2015-02-11;1,3;null;14;33,1;26,4;20,7;66,3;49;1;
2015-02-12;4,1;null;0;34,5;28;21,9;52,5;38;2,7;
2015-02-13;5,7;null;0;35,3;27,5;19,9;52,8;38;1;
2015-02-14;5,7;null;0;35,5;27,8;19,7;52,5;38;1;
2015-02-15;5,6;null;0;35,9;28,4;21,3;55,3;41;1;
2015-02-16;6,4;null;0;34,9;27,2;22,5;67,5;51;2;
2015-02-17;4,1;null;0;29,1;25,6;22,3;76,3;74;1;
2015-02-18;2,3;null;22,8;28,1;24;21,1;81;73;2,3;
2015-02-19;1,5;null;7,2;29,3;23,5;20,3;88,3;79;3,7;
2015-02-20;1,2;null;18,8;30,3;24,6;20,3;72,5;59;1;
2015-02-21;2,8;null;0;31,9;26,1;20,1;61,8;52;2,7;
2015-02-22;4,5;null;0;32,5;26,7;20,5;60,5;46;3;
2015-02-23;5,1;null;0;32,1;25,6;19,9;63,3;48;1;
2015-02-24;5,4;null;2,2;31,3;25,3;21,3;80,3;67;1,3;
2015-02-25;2,6;null;1,2;32,7;26,3;21,7;70,3;55;1;
2015-02-26;3,7;null;,1;34,3;27,8;21,7;64,5;50;2,7;
2015-02-27;4;null;1,7;31,7;24,6;20,5;78,8;54;1;
2015-02-28;2,8;null;9,3;33,1;25,3;21,1;77,3;59;1,7;
2015-03-01;2,7;null;,2;31,9;25,3;21,3;73,3;56;1,3;
2015-03-02;3,1;null;11,4;29,7;23,7;20,3;83,3;68;1;
2015-03-03;1,8;null;1,9;32,1;26;20,3;70;50;1;
2015-03-04;3,9;null;0;33,9;27,3;21,9;63,3;45;2;
2015-03-05;4,1;null;5;26,9;22,2;19,3;88,3;70;1;
2015-03-06;,9;null;1,8;31,3;24,2;18,7;82,5;72;1;
2015-03-07;2,2;null;0;33,5;25,9;20,1;67;57;2,3;
2015-03-08;3,5;null;16,4;27,7;23,4;21,7;86;66;1,3;
2015-03-09;1;null;3,2;32,3;25,7;19,7;78,3;63;1;
2015-03-10;2,7;null;7,2;31,7;23,4;20,9;83,8;56;1;
2015-03-11;1,6;null;14,6;31,7;24,6;20,3;77,5;58;1,7;
2015-03-12;2,1;null;15,2;31,5;23,7;20,5;87;71;1;
2015-03-13;1,4;null;9,6;30,3;25;20,1;76,3;60;1;
2015-03-14;2,7;null;,2;32,7;26,8;21,9;67,8;51;1,7;
2015-03-15;4;null;0;32,9;25,8;21,9;69,3;54;1,3;
2015-03-16;3,3;null;0;32,5;25,4;21,5;75;56;1;
2015-03-17;3,6;null;0;31,3;24;20,1;87;73;1;
2015-03-18;1,8;null;22,4;28,7;23,9;20,3;76,8;63;1;
2015-03-19;2,4;null;10,8;26,1;21,8;20,3;90,8;76;1,3;
2015-03-20;1;null;24,8;23,9;21,4;19,3;93;90;1;
2015-03-21;,8;null;9,4;27,3;22,4;20,1;89,5;83;1;
2015-03-22;1,6;null;9,3;30,3;23,2;19,7;78;58;1;
2015-03-23;2,6;null;5,2;33,1;26,4;20,3;69,8;46;1;
2015-03-24;4;null;50,4;30,3;24,8;20,7;87,5;76;1,3;
2015-03-25;1,8;null;0;31,7;25,9;20,9;76,8;57;1;
2015-03-26;3,7;null;0;33,1;26,7;21,1;70,8;52;1;
2015-03-27;2,9;null;0;32,1;25,7;21,9;80,3;72;1,3;
2015-03-28;2,8;null;0;33,5;26,8;21,1;71;51;1;
2015-03-29;4;null;0;34,3;27,7;21,5;66,5;54;1;
2015-03-30;4,5;null;0;34,7;27,9;21,7;64,8;50;1,3;
2015-03-31;4,2;null;0;32,3;26,9;22,9;71,8;57;1,3;
2015-04-01;3,3;null;0;33,7;27,8;22,7;68,8;51;1,3;
2015-04-02;3,9;null;0;33,9;26,2;22,9;75,8;55;2;
2015-04-03;2,5;null;18,8;31,1;25,4;21,5;77,3;57;1,3;
2015-04-04;2,9;null;0;31,9;26,5;22,9;68;52;1,3;
2015-04-05;3,3;null;,3;33,1;25,7;22,5;76,5;57;2;
2015-04-06;2,6;null;,2;32,3;25,4;21,7;88,3;82;1;
2015-04-07;2,2;null;13,6;28,9;24,1;22,1;85,3;70;2;
2015-04-08;1,4;null;3,6;29,5;22,7;20,3;87;67;1,3;
2015-04-09;2,2;null;49,6;26,3;23;19,7;86,3;78;2,3;
2015-04-10;1,1;null;0;30,5;25,4;21,1;69,8;59;1,3;
2015-04-11;3,3;null;0;30,7;25,5;20,7;69,5;56;1,3;
2015-04-12;3,2;null;0;31,9;25,6;20,1;67,5;52;1;
2015-04-13;8,6;null;0;32,9;26,2;20,3;65,3;50;1;
2015-04-14;4,8;null;0;31,9;25,8;19,5;66;53;1,3;
2015-04-15;4,1;null;6;30,5;25,4;21,3;75;61;1;
2015-04-16;2,5;null;1,7;32,5;25,2;21,1;74,3;53;1;
2015-04-17;3;null;0;32,1;25,9;20,7;76,5;66;1;
2015-04-18;2,7;null;0;32,3;25,4;22,3;72,5;57;2;
2015-04-19;3,5;null;,1;33,1;26;20,3;70,3;53;2;
2015-04-20;3,4;null;0;34,3;27,1;20,7;68,3;51;1;
2015-04-21;3,8;null;33,2;32,3;25,8;20,9;80,5;62;1,3;
2015-04-22;2,3;null;0;32,5;25,8;19,1;74;60;1;
2015-04-23;3,1;null;0;31,3;24,9;21,7;83,3;64;1,3;
2015-04-24;1,9;null;12,9;30,3;24,1;21,3;90;85;1;
2015-04-25;1,5;null;15,5;31,9;25,7;21,1;76,5;62;1;
2015-04-26;2,2;null;0;30,1;25,5;22,1;76,5;63;1;
2015-04-27;3;null;4,9;29,5;24,8;22,1;76;60;1,7;
2015-04-28;2,5;null;0;29,7;24,2;21,1;77,5;59;1;
2015-04-29;2,7;null;0;29,7;24,1;20,7;79,3;64;2,7;
2015-04-30;2,4;null;0;30,1;24,2;20,3;73,3;58;1;
2015-05-01;3;null;0;29,1;23,2;19,1;79,5;59;1,3;
2015-05-02;2,3;null;0;29,3;22,8;17,3;76;57;1;
2015-05-03;2,5;null;0;30,7;24,3;18,3;69,5;52;1,7;
2015-05-04;3,2;null;0;32,1;25;17,5;71,3;54;1;
2015-05-05;3,7;null;0;29,1;24,8;22,1;79,3;64;1,7;
2015-05-06;2,1;null;0;28,7;24,1;21,5;90,5;83;1;
2015-05-07;1,7;null;7,8;29,9;24,6;21,1;78,8;63;1,7;
2015-05-08;2,6;null;0;29,5;24,4;20,5;70,5;64;1,7;
2015-05-09;3,8;null;0;27,3;23,4;19,7;77,5;69;1,3;
2015-05-10;2,1;null;0;31,3;24,3;18,3;72;56;1;
2015-05-11;3,1;null;17,4;24,9;20,1;17,1;91,3;75;2;
2015-05-12;,6;null;6,4;28,1;21,6;16,3;82;65;1;
2015-05-13;2,2;null;0;25,7;21,8;18,3;82;71;1,3;
2015-05-14;2;null;0;26,1;22,2;17,9;79,3;75;1,3;
2015-05-15;2,7;null;0;27,9;23;19,1;72;62;2,3;
2015-05-16;2,9;null;0;27,9;22,2;18,1;71,3;55;2;
2015-05-17;3,5;null;0;28,7;22,4;17,5;72;54;2,3;
2015-05-18;2,9;null;0;28,5;22,4;16,3;72;55;1;
2015-05-19;3,5;null;0;29,3;23,8;19,3;70;57;1,7;
2015-05-20;3,1;null;0;26,5;21,5;18,5;78,5;63;1;
2015-05-21;2,6;null;0;29,9;23;17,1;70,8;54;2;
2015-05-22;4,2;null;0;28,3;23;19,5;68,3;56;1;
2015-05-23;3;null;0;29,1;22,6;16,1;64,5;49;1,3;
2015-05-24;3,3;null;0;29,5;22,4;16,7;71,5;51;1;
2015-05-25;3,1;null;0;29,5;22,2;16,1;72,3;49;1,3;
2015-05-26;2,9;null;0;30,3;22,6;15,7;67,8;47;1;
2015-05-27;3,4;null;0;31,3;23,2;15,9;67,3;44;1,3;
2015-05-28;3,3;null;0;32,7;24,3;17,3;61,8;36;1;
2015-05-29;3,9;null;0;28,9;22,8;20,3;74,3;52;1,7;
2015-05-30;2,8;null;7,6;30,3;23,3;18,5;74,8;52;1;
2015-05-31;2,4;null;0;32,7;24,4;18,1;69,3;42;1,3;
2015-06-01;2,9;null;0;31,9;24,5;17,3;66,3;46;1;
2015-06-02;3,6;null;0;31,1;24;18,3;68,8;45;1,3;
2015-06-03;3,4;null;0;29,1;23,3;19,7;68,3;49;1,3;
2015-06-04;3,7;null;0;28,1;22,2;17,5;65;50;2,3;
2015-06-05;3,4;null;0;28,7;22,4;15,9;65,8;51;1,3;
2015-06-06;3,1;null;0;29,7;23,1;16,7;64,3;45;1,7;
2015-06-07;3,5;null;0;29,9;23,4;17,1;68,5;52;1;
2015-06-08;3,4;null;0;28,9;22,6;17,3;63,5;47;1,7;
2015-06-09;3,4;null;0;29,7;22,3;14,7;62,3;45;1;
2015-06-10;3,8;null;0;30,7;22,8;15,5;63,5;47;1,3;
