Nome: MONTES CLAROS
Codigo Estacao: 83437
Latitude: -16.68638888
Longitude: -43.84388888
Altitude: 645.87
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5,8;10,6;0;35,6;28,2;19,6;44,3;29;1,7;
2015-01-02;7;9,8;0;36,7;28,4;20,9;50;32;2,1;
2015-01-03;7,5;11,4;0;36,6;28,4;20,2;40,5;26;2,4;
2015-01-04;10,6;11,5;0;34,4;26,7;19,9;42,8;31;1,7;
2015-01-05;7,3;11,8;0;33,8;26,3;18,7;41,5;26;2,3;
2015-01-06;9,1;6,2;0;33,5;26,4;18,4;47;31;1,7;
2015-01-07;7,1;10;0;33,2;26,8;20,6;53,5;36;1,9;
2015-01-08;7,4;11,8;0;33,5;26,1;19,2;42,8;28;2;
2015-01-09;8,8;11,3;0;34,2;27,1;18,4;44,3;28;2,1;
2015-01-10;9,2;11,1;0;35;28;22;45,8;31;2,3;
2015-01-11;7,5;10,8;0;34,5;27,8;20,7;40,8;28;2,5;
2015-01-12;9;11,2;0;35,2;27,7;19,9;43,8;29;2,1;
2015-01-13;9,7;11,6;0;34,8;27,5;20,1;40,3;26;1,5;
2015-01-14;10;8,6;0;33,7;25,9;18,4;41,3;28;2,1;
2015-01-15;9,6;6,9;0;33,4;27,2;19,9;46,3;38;2;
2015-01-16;9,4;10,6;0;34,7;27,9;21,4;39,5;26;1,6;
2015-01-17;9,2;11,4;0;35,4;27,9;20,8;44,5;27;1,4;
2015-01-18;8,8;11,3;0;35,9;28,7;21,9;41,3;27;1,2;
2015-01-19;10,3;11;0;35,5;28;20,9;41,5;27;1,8;
2015-01-20;9,2;11,3;0;35,8;28,2;21;39,8;26;1,4;
2015-01-21;10;11,5;0;37;28,1;21,3;41,3;21;2;
2015-01-22;9,1;11;0;35,8;27,3;19,7;41,8;25;2,1;
2015-01-23;8,5;4,3;0;30;25,5;21,3;63,8;47;2,3;
2015-01-24;4,6;6,6;0;32,8;26,8;20,4;40,3;28;2,3;
2015-01-25;9,9;6,8;0;33,3;26,7;21,2;44,3;32;1,8;
2015-01-26;7,7;3,3;0;33,9;25,9;20,2;58;33;2,4;
2015-01-27;7;5,5;0;34,6;27,4;21,7;55,5;46;2,4;
2015-01-28;6,6;6,8;0;34,8;27,3;21,8;56,5;34;2,2;
2015-01-29;7,3;10,7;0;36,3;28,7;20,5;35,3;27;1,4;
2015-01-30;9,2;11,7;0;37,7;28,9;19,8;38,8;26;1,4;
2015-01-31;10,3;12;0;37,7;29,2;20,8;29;38;2,6;
2015-02-01;14;12;0;34,4;27,5;20,4;40,8;26;2,2;
