Nome: ARACUAI
Codigo Estacao: 83442
Latitude: -16.84888888
Longitude: -42.06083333
Altitude: 317.67
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,4;null;0;35,9;27,1;19;62,3;42;,7;
2015-01-02;5,1;null;0;36,3;27;18,2;62,5;44;,7;
2015-01-03;5,4;null;0;37;27,5;18,2;54,5;35;,7;
2015-01-04;7,4;null;0;35,7;27,8;21,3;51;42;,7;
2015-01-05;6,5;null;0;36,9;27,8;19,3;52,3;35;,3;
2015-01-06;6,7;null;0;34,9;27,4;20,3;62;53;1;
2015-01-07;5,4;null;,6;34,9;27,6;22,8;55;45;,7;
2015-01-08;5,9;null;0;35,5;26,4;20,1;57,3;36;,7;
2015-01-09;6,1;null;0;35,3;26,8;20,4;64;42;1;
2015-01-10;5,6;null;,5;35,9;28;22,7;56;40;,7;
2015-01-11;6;null;0;37,3;28,4;20,5;53,3;35;,7;
2015-01-12;5,7;null;0;37,7;29,6;23,3;45,8;31;1;
2015-01-13;8,8;null;0;37,7;28,7;21,6;46,5;31;,7;
2015-01-14;8;null;0;37,1;28,1;20,3;48,3;29;1;
2015-01-15;7,5;null;0;36;28,4;22,7;52,8;39;1;
2015-01-16;6,6;null;0;36,7;28,9;22,4;49;41;1;
2015-01-17;7,6;null;0;38,4;29,1;21,3;45;28;,7;
2015-01-18;8,3;null;0;38,8;30;22,1;41,8;29;,3;
2015-01-19;8,9;null;0;38,8;29,4;23,2;45,8;29;1;
2015-01-20;9,3;null;0;38,9;29,3;21,6;46,8;32;1;
2015-01-21;8,8;null;0;39,6;29,9;21,9;42;33;1;
2015-01-22;8,6;null;0;38,7;29,3;20,8;45,5;34;,7;
2015-01-23;8,9;null;0;37,7;26,6;21,8;69,3;35;1;
2015-01-24;5,2;null;7,4;35,3;27,4;20,3;51;34;1;
2015-01-25;7;null;0;34,7;27,7;21,7;56,3;38;,7;
2015-01-26;6,2;null;0;38,5;28,4;20,4;59,3;32;,7;
2015-01-27;7,6;null;0;38,7;30,6;23,6;49,5;36;,7;
2015-01-28;8,4;null;0;37,9;30,6;24,3;48,3;38;1;
2015-01-29;8,2;null;0;39,1;29,8;21,5;43;26;,3;
2015-01-30;8,6;null;0;40,6;30,7;21,6;40,5;25;,7;
2015-01-31;10,4;null;0;40,1;29,7;20,2;41,8;22;0;
2015-02-01;10,6;null;0;37,3;29,4;21,5;46,3;34;,7;
2015-02-02;8,7;null;0;38,1;29,9;22,7;45,5;29;1;
2015-02-03;8,7;null;0;39,2;30,1;22,4;41,3;27;1;
2015-02-04;8,5;null;0;38,7;28,8;22,7;55,3;32;,7;
2015-02-05;6,3;null;7;30,1;24,4;21,5;91,3;69;0;
2015-02-06;1,3;null;6,4;28,3;23,7;21,5;92,5;76;,3;
2015-02-07;1;null;13,4;28,5;23,3;20,2;96;92;1;
2015-02-08;1;null;5,7;25,8;22,5;20,9;91,8;87;,7;
2015-02-09;,7;null;24,7;32,3;24,4;19,9;88,3;66;,7;
2015-02-10;2,2;null;,3;34,9;27,7;21,5;60,3;44;1;
2015-02-11;4,9;null;8,8;34,5;26,7;21,1;66,8;44;,7;
2015-02-12;4,3;null;0;35,5;27,8;20,3;56;40;,7;
2015-02-13;5,5;null;0;35,5;27,4;20,1;60;44;,7;
2015-02-14;4,9;null;0;36,1;27,6;19,5;59,5;44;,3;
2015-02-15;5,1;null;0;35,9;27,3;19,9;62;43;,3;
2015-02-16;5,2;null;0;36;28;21,5;61;41;,3;
2015-02-17;5,5;null;0;36,1;27,7;22,4;61,3;41;1;
2015-02-18;5,2;null;0;34,7;27,8;21,6;61,8;45;,3;
2015-02-19;5,5;null;0;35,9;28,7;23,5;57;42;,7;
2015-02-20;5,6;null;0;36,3;27,8;21,1;56,8;37;,3;
2015-02-21;6,6;null;0;34,3;27,3;20,7;57,8;46;,7;
2015-02-22;6,2;null;0;34,7;25,6;20,7;74,3;40;1;
2015-02-23;4,6;null;6,4;33,9;26,1;19,1;68,5;48;,3;
2015-02-24;4,9;null;0;33,7;27,3;21,2;62,3;48;1;
2015-02-25;5,1;null;1,6;34,7;27,7;21,4;59;45;,3;
2015-02-26;6;null;0;37,7;29,4;22,7;54,8;39;,7;
2015-02-27;6,7;null;0;36;27,7;23,1;71,3;58;,3;
2015-02-28;4,6;null;0;38,3;28;21,1;62,8;36;,3;
2015-03-01;5,5;null;20,3;30,4;25,2;21,6;83,3;70;0;
2015-03-02;3,4;null;0;33,2;27,1;22,4;64,3;55;,3;
2015-03-03;4,2;null;0;30,5;24,9;21,3;84,8;71;,3;
2015-03-04;4,8;null;6;34,2;26,5;20,7;67;47;0;
2015-03-05;5,2;null;0;34,8;27,5;22,1;58,5;41;1;
2015-03-06;6;null;0;34,5;27,1;20,8;63,3;42;,7;
2015-03-07;5,4;null;0;34,7;28,1;23,1;60;40;,3;
2015-03-08;5,8;null;0;35,1;27,8;22,1;60,8;46;,3;
2015-03-09;5;null;0;35,5;27,8;21,9;60,8;43;,3;
2015-03-10;5,7;null;0;34,9;27,6;21,1;63,3;43;0;
2015-03-11;5;null;0;36,9;28,6;21,1;54,3;38;,7;
2015-03-12;7,1;null;0;35,5;28,2;22,1;55;40;0;
2015-03-13;6;null;0;38,5;29;21,4;48,8;32;,7;
2015-03-14;7,6;null;0;37,3;28,9;21,7;52,3;34;,7;
2015-03-15;7,8;null;0;37,5;29,2;21,9;50,3;35;,7;
2015-03-16;7,4;null;0;33,7;28,4;21,7;54,5;29;0;
2015-03-17;7,5;null;0;35,3;27,3;20,3;53;37;0;
2015-03-18;7;null;0;37,7;28,5;20,4;50,3;33;,3;
2015-03-19;7,7;null;0;35,5;28,4;21,6;52,8;38;,7;
2015-03-20;7,2;null;0;36,3;28,6;22,7;55,5;37;,7;
2015-03-21;6,6;null;0;33,1;25,5;21,6;73;50;0;
2015-03-22;3,2;null;11,6;30;24,6;20,5;86,5;82;0;
2015-03-23;1,5;null;1,6;34,1;26,5;22,1;79,8;54;0;
2015-03-24;3,5;null;87,2;32,9;25,2;20,2;78,8;64;,3;
2015-03-25;2,5;null;0;28,1;24,7;22,3;87,5;77;,7;
2015-03-26;1,8;null;5,4;33,1;26,2;20,9;68,8;50;0;
2015-03-27;3,8;null;0;35,3;27,3;19,7;62,3;43;,7;
2015-03-28;4,6;null;0;35,9;27,2;19,8;60,5;44;,3;
2015-03-29;5,1;null;0;35,5;26;18,6;61,8;41;0;
2015-03-30;4,7;null;0;34,3;26,1;17,8;67,5;48;,3;
2015-03-31;4,5;null;0;35,7;27,2;20,1;57,3;39;1;
2015-04-01;4,7;null;0;36,3;27,6;19,3;57;39;1;
2015-04-02;5,6;null;0;35,5;27,3;20,9;59,8;43;0;
2015-04-03;6;null;0;27,3;24,7;22,3;72,8;65;,7;
2015-04-04;3,2;null;0;30,3;25,1;21,3;73;64;0;
2015-04-05;3,5;null;0;35,3;27;20,3;65,5;46;,3;
2015-04-06;5,8;null;0;36,5;27,8;21;70;47;,3;
2015-04-07;4,5;null;0;37,2;26,8;22,1;79;52;,7;
2015-04-08;3,8;null;10,9;27,4;23,4;20,6;77,5;74;1;
2015-04-09;3,6;null;0;29,6;25;21;70,8;68;0;
2015-04-10;3,8;null;0;28;24,8;22,3;74,5;68;,3;
2015-04-11;3,5;null;1;33,4;25,6;19,6;61;46;,7;
2015-04-12;4,3;null;0;33;25,5;17,7;59,3;49;0;
2015-04-13;4,4;null;0;32,7;25;18,7;64,3;49;,3;
2015-04-14;4,4;null;0;33,2;25,5;19,1;57,3;41;,7;
2015-04-15;5,1;null;0;32,7;25,1;18,5;60,8;46;,3;
2015-04-16;4,8;null;0;33,7;26,1;21,1;60,5;45;,3;
2015-04-17;3,9;null;0;35,9;27,9;20,7;62,3;62;1;
2015-04-18;5,5;null;0;34,8;27,2;21,2;62;44;,7;
2015-04-19;4,8;null;0;34,3;26,8;19,7;62,3;46;0;
2015-04-20;4,3;null;0;35,1;27,1;18,9;59,5;42;0;
2015-04-21;5,2;null;0;35,7;28,2;20,1;55,8;40;,3;
2015-04-22;5,4;null;0;35,9;27,5;22,1;67,8;47;,3;
2015-04-23;5,1;null;0;30,5;26,5;23,9;71,8;64;,7;
2015-04-24;3,6;null;,4;32,9;26,7;23,2;69,5;54;,3;
2015-04-25;3,5;null;0;35;27,3;20,3;62,8;44;,3;
2015-04-26;4,3;null;15;29,5;24,1;20,1;76,5;62;,3;
2015-04-27;2,6;null;0;32,1;24,9;20,2;68,5;48;,7;
2015-04-28;4,9;null;0;32,1;26;21,3;62,5;47;0;
2015-04-29;4,8;null;0;31,9;25;18,1;63,8;49;0;
2015-04-30;4,9;null;0;28,9;24,1;21,3;75,8;62;,7;
2015-05-01;2,9;null;0;27,9;22,7;18,9;77,3;62;,3;
2015-05-02;3,2;null;0;27,7;23,2;18,7;75,8;61;,3;
2015-05-03;3,3;null;0;31;24,1;17,6;68,8;51;0;
2015-05-04;4,4;null;0;31,1;24,9;19,7;69,3;53;,7;
2015-05-05;4,1;null;0;31,9;25,1;18,2;69,5;53;,3;
2015-05-06;3,9;null;0;33,7;27,1;21,5;62,3;45;,7;
2015-05-07;5,7;null;0;33,2;27,1;22,7;62,3;52;,7;
2015-05-08;4,2;null;7,4;26,8;22,1;19,9;93,3;69;1;
2015-05-09;1;null;,8;26,6;22,3;19,1;78,8;66;0;
2015-05-10;2,4;null;0;30;22,9;17,1;72,3;50;0;
2015-05-11;3,3;null;0;30,7;23,5;17;76,8;59;,3;
2015-05-12;3,1;null;0;33,2;25,5;19,9;68,8;43;0;
2015-05-13;4;null;0;29,7;24,1;20,7;73,8;62;,7;
2015-05-14;3,9;null;0;26,4;22,8;19,9;72,3;63;,3;
2015-05-15;4,2;null;0;27,9;22,2;19,3;63,5;45;,7;
2015-05-16;4,3;null;0;27,7;22;16,4;69,8;59;,3;
2015-05-17;3,2;null;0;29,1;23,4;18,2;66,8;56;,7;
2015-05-18;3,7;null;0;28,7;23,6;20,5;72;68;,7;
2015-05-19;3,2;null;0;28,9;23;16,4;67,8;54;1;
2015-05-20;4,1;null;0;29,6;24,2;20,4;66,5;53;,7;
2015-05-21;3,8;null;0;28,1;23,6;20,2;66;48;,3;
2015-05-22;4,5;null;0;30,1;23,6;19,2;60;41;,7;
2015-05-23;5,4;null;0;29,7;22,4;17,5;61,3;41;,3;
2015-05-24;3,9;null;0;29,3;21,2;14,7;71,5;54;0;
2015-05-25;3;null;0;30,4;22;14,9;63,5;45;0;
2015-05-26;3,6;null;0;31,5;22,6;13,4;62;42;,3;
2015-05-27;4,8;null;0;31,1;24;18,3;70,8;52;0;
2015-05-28;3,9;null;0;31,7;25,2;21,1;64,5;48;,3;
2015-05-29;4,2;null;0;33,7;25,5;17,7;58;40;,7;
2015-05-30;5,3;null;0;32,7;25,5;19,7;64,5;47;,3;
2015-05-31;4,9;null;0;32,7;26,8;20,2;56;46;,3;
2015-06-01;4,8;null;0;32,3;25;19,7;63,5;46;,3;
2015-06-02;null;null;0;30,3;23,8;18,1;65;45;,3;
2015-06-03;5,3;null;0;28,5;22,8;20,1;67,5;51;1;
2015-06-04;4,6;null;0;28,5;21,9;15,1;74,8;74;,3;
2015-06-05;3,1;null;0;29,6;23,6;18,9;72,8;55;,3;
2015-06-06;3;null;3;30,5;23,7;19,5;71,3;52;,3;
2015-06-07;3,7;null;0;29,5;22,5;16,6;68,5;52;,7;
2015-06-08;3,7;null;0;29,5;21,9;14,7;70;53;,7;
2015-06-09;3,4;null;0;31,1;23,6;14,4;62,3;47;,3;
2015-06-10;4,7;null;0;33,1;25,6;20,9;66,3;44;,3;
2015-06-11;4,7;null;0;33,3;25,7;21;60,5;42;,7;
2015-06-12;4,8;null;0;33,5;24,4;16,6;54,3;35;0;
2015-06-13;5,5;null;0;31,6;23,4;14,3;57,3;38;,3;
2015-06-14;4,4;null;0;32,9;25,3;19,9;56;39;,7;
2015-06-15;5,5;null;0;34;25,2;17,6;59;43;,3;
2015-06-16;5,8;null;0;33,5;24,5;16,3;63,8;44;,3;
2015-06-17;6,2;null;0;27,7;24;21,9;72,3;64;,3;
2015-06-18;3,4;null;0;31,3;23,6;18,5;62,3;43;,3;
2015-06-19;4,8;null;0;31,5;22,8;13,1;60,3;44;,3;
2015-06-20;6,8;null;0;28,9;23,9;21,3;59,8;49;1;
2015-06-21;6,2;null;0;25,6;22,1;19,3;65;55;,3;
2015-06-22;3,7;null;0;29,7;22,8;16,7;61,8;44;,7;
2015-06-23;5,1;null;0;29,4;23,8;18,7;64;54;,7;
2015-06-24;3,6;null;0;29,7;23,3;18,9;65,3;46;,7;
2015-06-25;6,2;null;0;23,9;21,8;20,3;63;60;2;
2015-06-26;4,3;null;0;24,6;20,7;17,7;62;53;1;
2015-06-27;4,2;null;0;27,3;20,8;16,3;58,8;47;1;
2015-06-28;4,6;null;0;28,3;21,4;13,6;57;44;,7;
2015-06-29;5,2;null;0;25,5;21,3;18,5;77;62;,3;
2015-06-30;2;null;1,4;27,9;22,2;16,6;72,3;58;,3;
2015-07-01;3,2;null;0;29,7;22,8;17,9;68;47;,3;
2015-07-02;3,4;null;0;30,7;24;18,3;58,3;39;,3;
2015-07-03;5,2;null;0;29,7;21,8;17;59,8;41;,3;
2015-07-04;3,7;null;0;32,5;22,4;13,3;58,5;40;0;
2015-07-05;4,7;null;0;34;23,6;15,7;60,3;45;,3;
2015-07-06;5,9;null;0;25;21,7;19,4;69,8;61;1;
2015-07-07;3,7;null;0;25;21,5;17,9;70,3;59;,3;
2015-07-08;3,4;null;0;27,3;21,8;18,1;63,5;51;,3;
2015-07-09;3,6;null;0;30,5;23,7;16,5;62,5;44;0;
2015-07-10;4,3;null;0;30,9;24,5;18,5;59;44;1;
2015-07-11;5,4;null;0;30,1;23,7;17,6;67,5;54;0;
2015-07-12;4,6;null;0;32,1;24;18,9;57,8;35;,7;
2015-07-13;6;null;0;29,3;22,6;16,6;66,3;49;,3;
2015-07-14;4,4;null;0;27,8;24,1;20,5;62,5;56;,7;
2015-07-15;4;null;0;31,5;23,2;16,9;68,5;44;1;
2015-07-16;5;null;0;28,5;22,2;16,9;63;49;,7;
2015-07-17;4,5;null;0;29,1;21,9;17,1;71,3;45;1,3;
2015-07-18;4,6;null;1;29,3;22,6;16,6;61,8;38;,3;
2015-07-19;4,9;null;0;24,2;21,1;18,7;86,3;64;0;
2015-07-20;1;null;9,5;27,5;20,7;14,5;69,8;47;,3;
2015-07-21;3,5;null;0;29,3;22,5;18,6;61,8;35;0;
2015-07-22;4,4;null;0;30,1;22,6;14,5;58,3;36;1;
2015-07-23;5,6;null;0;30,1;24,1;19,5;56,8;43;1;
2015-07-24;4,7;null;0;30,9;23,4;18,3;59,8;39;,3;
2015-07-25;4,4;null;0;31,7;24,1;17,3;61;40;,3;
2015-07-26;4,9;null;0;32,1;24,1;17,3;60,3;34;,3;
2015-07-27;5,1;null;0;31,5;25;19,7;55,8;41;,3;
2015-07-28;5,3;null;0;32,1;24,3;18,3;57,5;41;,7;
2015-07-29;5,5;null;0;31,9;24,1;17;54,8;34;,7;
2015-07-30;6,7;null;0;30,2;23,7;17;59,3;41;,3;
2015-07-31;4,9;null;0;29,7;23,5;19,1;60,3;47;1;
2015-08-01;5,1;null;0;31,3;23,7;15,5;52,3;29;,7;
2015-08-02;7,1;null;0;30,9;23,4;17,4;48,8;31;1;
2015-08-03;7,3;null;0;31,3;22,5;13,1;49;29;,3;
2015-08-04;6,4;null;0;31,7;22,5;13;52,3;35;,3;
2015-08-05;6,4;null;0;30,7;22,5;13,7;47,8;31;,3;
2015-08-06;6,3;null;0;31,7;23;14,1;49;32;0;
2015-08-07;6,1;null;0;30,3;23,1;17;51,3;40;0;
2015-08-08;5,7;null;0;31,1;24;16,8;48,8;32;1;
2015-08-09;7,7;null;0;29,5;22,8;17,8;61,3;41;1;
2015-08-10;5,9;null;0;28,9;22,8;19,8;59,8;43;1,7;
2015-08-11;6,3;null;0;28,7;21,5;16;55,5;34;,7;
2015-08-12;6,6;null;0;28,5;21,6;15,8;57,5;37;1,7;
2015-08-13;6,5;null;0;27,4;22,5;16,1;54;42;,7;
2015-08-14;5,9;null;0;29,7;23,4;18,4;49,8;34;1;
2015-08-15;6,4;null;0;28,7;23;16,7;58,5;48;,3;
2015-08-16;5,2;null;0;29,8;24;20;54,5;32;1,3;
2015-08-17;5,9;null;0;28,9;22,5;16,9;62,3;50;,7;
2015-08-18;4,9;null;0;27,5;23;19,1;75,3;65;,3;
2015-08-19;1,9;null;2;31,2;24,2;18,4;58,8;39;,3;
2015-08-20;4,8;null;0;34,5;25,4;15,9;55;33;,3;
2015-08-21;5,7;null;0;30,3;23,9;20,1;61,3;48;,7;
2015-08-22;4,4;null;0;31,7;23,8;19,4;59,3;41;,7;
2015-08-23;4,8;null;0;33,5;25,2;19,8;54,8;34;,3;
2015-08-24;5,7;null;0;34,4;25,6;17,1;46,3;30;,3;
2015-08-25;7,5;null;0;32,9;23,9;15,8;49;28;,7;
2015-08-26;6,7;null;0;34,1;25,8;17,1;51,3;32;,3;
2015-08-27;6,4;null;0;34,5;25,9;16,9;51,5;29;,3;
2015-08-28;6,4;null;0;34,9;26,9;19,5;47;29;,3;
2015-08-29;8,2;null;0;31,7;24,9;21,5;62,8;42;,3;
2015-08-30;5,5;null;0;32,5;25,5;20,4;56;39;,7;
2015-08-31;5,5;null;0;33,7;25,2;17,5;51;30;,3;
2015-09-01;7;null;0;35,7;26,2;17,7;42,3;22;,3;
2015-09-02;7;null;0;32,1;24,5;15;49,3;35;,7;
2015-09-03;7,4;null;0;34,5;25,5;15,6;45,5;28;,7;
2015-09-04;7,2;null;0;38,3;28,1;17,3;32,8;17;1,3;
2015-09-05;8,8;null;0;38,3;27,8;19,5;46;26;1;
2015-09-06;8,7;null;0;35,7;28,2;22,9;49;32;1,7;
2015-09-07;8;null;0;37,1;28,5;21,6;45,3;28;1,7;
2015-09-08;8,8;null;0;36,3;28,1;21,9;40,5;23;1,7;
2015-09-09;9,6;null;0;36;28,6;21,7;45;30;,7;
2015-09-10;8,7;null;0;37,7;29,2;22,5;42,3;26;1,3;
2015-09-11;9,7;null;0;null;null;21,3;33,8;19;1;
2015-09-12;9,6;null;0;null;null;22,2;46;30;,3;
2015-09-13;8;null;0;null;null;23,5;48,3;26;,7;
2015-09-14;8,7;null;0;null;null;23,5;59,3;42;,3;
2015-09-15;5,3;null;0;null;null;21,9;55,8;42;,7;
2015-09-16;6,5;null;0;null;null;21,5;50,5;29;,7;
2015-09-17;7,5;null;0;null;null;18,7;43;26;1,3;
2015-09-18;8;null;0;null;null;19,6;42,3;25;,3;
2015-09-19;8;null;0;null;null;19,3;35,8;20;1,3;
2015-09-20;9;null;0;null;null;20,1;43;24;,3;
2015-09-21;9,4;null;0;null;null;20,4;46,5;28;,7;
2015-09-22;9,3;null;0;null;null;20,7;43;27;,7;
2015-09-23;10,1;null;0;null;null;18,4;34;18;,7;
2015-09-24;10,5;null;0;null;null;21,3;40,3;26;1;
2015-09-25;10,3;null;0;null;null;22,1;35,8;22;1;
2015-09-26;11,3;null;0;null;null;22,8;35,5;16;1,3;
2015-09-27;12,3;null;0;null;null;21,7;37,3;23;,7;
