Nome: GUARATINGA
Codigo Estacao: 83446
Latitude: -16.58081
Longitude: -39.783182
Altitude: 197.88
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,8;11,4;0;33,4;26,4;20,7;62,8;null;null;
2015-01-02;4,9;9,7;0;33,9;27,1;23,1;67,8;null;null;
2015-01-03;4,4;10,8;0;33,4;26,5;22,8;66,8;null;null;
2015-01-04;4;10,7;0;31,4;25,6;21,4;67,3;null;null;
2015-01-05;6,1;6,3;0;30,4;25,1;19,5;73,8;null;null;
2015-01-06;2,7;3,4;,8;31,2;24,8;21,7;87,5;null;null;
2015-01-07;2;10,9;16,4;30,2;24,7;21,1;70,8;null;null;
2015-01-08;3,7;3,5;2,6;28,6;23,7;20,4;82,5;null;null;
2015-01-09;1,6;4,9;6,2;28;24,6;21,3;77,3;null;null;
2015-01-10;2,2;10,9;0;31,8;25,4;20,7;70,3;null;null;
2015-01-11;4;10,8;0;32,6;26,4;21,3;67,3;null;null;
2015-01-12;4,8;11,6;0;32,6;26,2;22,5;72;null;null;
2015-01-13;4,5;10,8;0;32,5;25,8;21,6;67,8;null;null;
2015-01-14;4,4;4;0;29;24,6;20,9;79,8;null;null;
2015-01-15;1,8;2,7;1,2;29,5;24,2;20,5;78,5;null;null;
2015-01-16;2;10,3;1;31,9;25,6;20,1;70,5;null;null;
2015-01-17;3,9;7,1;0;31,4;25,9;21,1;72,8;null;null;
2015-01-18;3,4;5,8;0;29,8;24,9;20,5;69,3;null;null;
2015-01-19;2,8;11,5;3,8;32,7;25,9;21,6;67,5;44;null;
2015-01-20;4,5;10,2;0;32,6;25,9;21,7;67,3;null;null;
