Nome: JATAI
Codigo Estacao: 83464
Latitude: -17.9236111
Longitude: -51.71749999
Altitude: 669.84
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,8;8,2;0;33,1;25,7;20;70,8;44;1,6;
2015-01-02;3,7;9,9;4,5;34,1;25,6;20;69;49;1,8;
2015-01-03;4,6;7,6;0;33,5;24,6;20,5;77,8;59;2,4;
2015-01-04;2,8;5,6;41,8;31,6;24,5;20,2;74,8;51;1,1;
2015-01-05;3;1,4;4;31,4;23,9;20,1;75,5;51;,4;
2015-01-06;2,4;4,3;0;31,7;24;19;82,8;76;0;
2015-01-07;1,9;8,1;5,4;32,7;24,5;18,4;73,3;50;,4;
2015-01-08;3,1;7,1;0;32,9;25,1;19,4;68,3;45;,3;
2015-01-09;4;8,1;0;34,2;26,1;19,8;69;48;1,4;
2015-01-10;4,4;5,1;0;32,7;25,7;20,8;66;55;,4;
2015-01-11;3,3;9,9;0;35,1;26,4;19,1;57,8;34;,5;
2015-01-12;5,6;10,3;0;35,3;27,1;20,7;59,8;37;1,2;
2015-01-13;5,8;9,3;0;35,4;25,5;19,7;63;34;1,5;
2015-01-14;4,2;7,7;0;33,3;26;18,8;58,5;35;1,6;
2015-01-15;4,3;5,8;0;34;24,2;19,1;75,5;57;,4;
2015-01-16;2,9;10,9;0;34,7;26,2;19,3;53,8;32;1,8;
2015-01-17;6,1;7,3;0;35,2;26,1;19,5;65,8;43;1,6;
2015-01-18;4,9;11,1;0;35,8;27,4;20,4;58;33;1,5;
2015-01-19;5,9;10,2;0;36,5;27,3;20;52,5;27;,6;
2015-01-20;6,6;10,7;0;36,5;26,3;18,6;57;28;1,4;
2015-01-21;6,7;9,3;0;35,4;25,9;20,7;61;32;1,3;
2015-01-22;6,2;7,3;20,2;32,9;23,5;19,4;76,3;47;,8;
2015-01-23;3,4;7,8;3;32;24,4;20,1;71;59;1,7;
2015-01-24;3,8;10;0;32,7;25,5;19,4;62,8;39;,5;
2015-01-25;5,2;5,7;0;29,5;23,9;20,9;78,8;69;1,3;
2015-01-26;3,5;6,8;2;29,3;23,6;19,4;75,5;70;3;
2015-01-27;3,2;3,4;2,2;30,3;23,6;20,6;80;56;1,5;
2015-01-28;2,8;6,8;8,7;32,8;25;20,5;71;48;2,1;
2015-01-29;3,9;3,4;1,1;31,1;24,7;20;75,5;59;1,8;
2015-01-30;3,1;9,5;,2;34,3;25,5;20,1;69;38;,8;
2015-01-31;4,6;9,3;0;35,9;25,7;19,9;63,8;35;1,1;
2015-02-01;5,2;9,4;16,5;34;23,8;19,2;78;44;1,1;
2015-02-02;3,9;9,2;8,5;34,9;24,7;18,9;66;40;,5;
2015-02-03;4,5;4,2;0;33,3;24,6;20,4;76,3;65;1,1;
2015-02-04;3,8;1,7;4;27,6;23,3;21;81,5;70;2,2;
2015-02-05;1,9;6,3;7,2;30,5;24,8;20,4;71,8;54;2;
2015-02-06;4;5,4;0;31,9;24,5;21,9;75,3;50;2,6;
2015-02-07;3,3;5,5;,3;28,6;23,9;20,8;81,5;71;,8;
2015-02-08;2;4,9;10,4;29,7;24,3;21,2;83;78;2,3;
2015-02-09;2,8;1,8;4,1;null;null;21,5;null;58;4,8;
2015-02-10;3,8;8,5;1;32,5;25,7;21,4;66;42;1,9;
2015-02-11;4,4;4,7;,9;32;23,4;19,8;86;76;2,3;
2015-02-12;1,9;8,1;3,5;33,7;24,4;17,3;71,3;41;1,1;
2015-02-13;3,6;4,6;0;34;24,7;20,9;79;50;1,8;
2015-02-14;2,8;6,5;14,7;31,9;24,7;21,3;77,3;58;1,8;
2015-02-15;3;3,1;0;31,5;23,4;19,7;82,3;73;,6;
