Nome: RIO VERDE
Codigo Estacao: 83470
Latitude: -17.78527777
Longitude: -50.96472222
Altitude: 780.04
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-06-26
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;10,1;8,8;0;null;null;19,9;70,5;null;2,2;
2015-01-02;10,8;7,9;15,3;null;null;19,8;76,3;null;1,9;
2015-01-03;8,1;7,1;2,8;null;null;19,3;74,8;null;2,9;
2015-01-04;7,7;5,8;5,1;null;null;18,9;75,8;null;3;
2015-01-05;7,8;3,4;1,3;null;null;18,7;72,3;null;2,2;
2015-01-06;7,4;5,3;0;null;null;19;66,3;null;,3;
2015-01-07;6,8;10;0;null;null;20;62,8;null;1,1;
2015-01-08;10,8;6,7;0;null;null;20,4;66,5;null;,3;
2015-01-09;11,4;10,4;0;null;null;20,6;64,3;null;1,1;
2015-01-10;12,4;8,2;0;null;null;20,6;62,5;null;1,3;
2015-01-11;11;10,3;0;null;null;19,5;52,5;null;1,3;
2015-01-12;16,3;10,8;0;null;null;20,8;55,3;null;2,1;
2015-01-13;15,3;10,5;0;null;null;19,2;63,3;null;1,9;
2015-01-14;14,5;9,6;0;null;null;20,2;61,8;null;2,2;
2015-01-15;11,9;5,2;0;null;null;19,1;71,8;null;1,4;
2015-01-16;7,5;10,5;0;null;null;17,8;52,8;null;2,3;
2015-01-17;19,3;7,3;0;null;null;20;59,5;null;1,8;
2015-01-18;12,2;10,5;0;null;null;19,8;51;26;1,1;
2015-01-19;14,4;9,9;0;null;null;20,5;55;null;1,9;
2015-01-20;17,9;10,7;0;null;null;19,7;52,5;null;1;
2015-01-21;18;6,6;0;null;null;18,8;57,8;null;2;
2015-01-22;9,8;5,9;16,4;null;null;18,7;74;null;1,7;
2015-01-23;7,9;6;36,2;null;null;17,9;76,8;null;1,3;
