Nome: PARACATU
Codigo Estacao: 83479
Latitude: -17.24416666
Longitude: -46.88166666
Altitude: 711.41
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-11-22
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5,1;11,1;0;34,5;28,1;21,8;52,3;32;1,7;
2015-01-02;10,3;10,7;0;34,7;28,1;20,8;51,5;35;1,3;
2015-01-03;9,5;7,2;0;33,9;26,4;22,6;65;50;2,3;
2015-01-04;6,5;7,6;5,4;30,7;25;19,8;71,8;54;3;
2015-01-05;6,2;10,3;0;32,7;26,5;20,6;54,5;41;1,3;
2015-01-06;8,1;8,4;0;32,9;26,7;20;50;38;1,7;
2015-01-07;8,6;6,8;0;31,3;25,7;21,4;62,8;50;2,3;
2015-01-08;8,3;11,4;0;31,9;26,1;20,6;57,5;48;2,3;
2015-01-09;8,4;11;0;32,5;26,5;20,8;47,8;38;2;
2015-01-10;11;10,6;0;32,7;26,6;19,4;50,8;38;3;
2015-01-11;8,1;10,5;0;34,1;27,9;21,8;54,5;40;2,7;
2015-01-12;10,3;10,8;0;34,5;27,8;20,8;49,3;40;3;
2015-01-13;10,7;10,9;0;34,5;27,9;21,6;45,5;36;2;
2015-01-14;11,5;10,1;0;32,3;27,1;20,6;47,8;42;2,3;
2015-01-15;10,9;7;0;31,5;25,7;20,2;50,8;45;2,7;
2015-01-16;10,1;9,1;0;33,9;27,2;20,8;49;37;,7;
2015-01-17;10,1;11;0;34,1;27,7;22,2;44,8;37;2;
2015-01-18;11,3;9,6;0;35,5;28;19,6;42,5;27;2;
2015-01-19;13;10,9;0;34,7;28,2;22,8;46,5;39;2,7;
2015-01-20;12,6;10,9;0;34,9;28,1;21,8;44,3;33;3,3;
2015-01-21;11,1;11,1;0;35,9;28,3;20;46,3;32;2;
2015-01-22;12,2;9,7;,6;33,7;25,7;20,4;57,5;42;3;
2015-01-23;8,6;7,2;0;30,7;25;19,4;61;49;2,3;
2015-01-24;6,5;1,5;,4;29;23;19,2;77,8;60;2,7;
2015-01-25;4;5,9;0;30,9;23,6;18,8;70,8;45;1;
2015-01-26;5,6;5,2;6,1;35,1;24,1;19,2;83,8;67;2,7;
2015-01-27;4,1;8,2;,2;31,7;22,8;18,6;77;46;2,3;
2015-01-28;5;3,7;41,6;28,6;22,6;18,2;82,3;64;1,3;
2015-01-29;2,7;6,5;2;32,1;24,9;19,2;72,3;54;2;
2015-01-30;5,4;10,3;0;33,9;27,4;21,2;61,5;49;2;
2015-01-31;8,2;11;0;34,7;28,2;22,8;54;39;2,7;
2015-02-01;9,5;10,7;2,8;32,7;27,4;21,8;56;43;3,3;
2015-02-02;9,8;10,7;0;33,3;27,4;21,6;54,8;41;3;
2015-02-03;9,1;9,1;0;32,9;26,5;20,8;54,5;43;1,3;
2015-02-04;9,7;3,9;0;30,5;24,8;21,2;72,5;56;3,3;
2015-02-05;4,5;3,1;0;28,4;23,6;21;86,5;77;3,7;
2015-02-06;1,8;0;18,4;26;20,7;18,2;95,3;89;3,3;
2015-02-07;1,4;,4;46,2;24,2;21,5;17,4;93;95;2,7;
2015-02-08;1,3;2,1;19;27;22,6;19,8;92,3;91;2;
2015-02-09;2;3;16,8;28,4;23,4;19,8;82,8;69;2,3;
2015-02-10;2,7;6,4;42;30;24;20,2;78,5;47;2,7;
2015-02-11;4,2;5,7;2;30,3;24,7;20,4;74;57;2,3;
2015-02-12;5,2;10,6;0;31,7;26,3;21;59,3;47;3,7;
2015-02-13;8,7;11;0;32,5;25,8;18,4;56;40;2;
2015-02-14;8,3;9,6;0;32,7;26,1;18,6;63,8;50;2,3;
2015-02-15;7,6;10,9;0;32,9;26,3;18,8;57,5;41;3;
2015-02-16;9;6,8;0;31,9;25,1;20,8;73,8;59;3;
2015-02-17;5,4;4,4;13,4;30,3;23,6;20;82,8;58;3;
2015-02-18;2,8;,4;16,6;26,2;22,2;19,8;89,3;79;3;
2015-02-19;2,3;1,2;8,8;26,6;21,9;19,4;92,3;87;1,7;
2015-02-20;1,9;4,3;17,4;28,6;23,1;18,6;82,5;66;2;
2015-02-21;3,7;10,5;0;30,2;24,7;19;64;50;4;
2015-02-22;8,7;10,9;0;30,3;25,6;20,2;62,5;55;2;
2015-02-23;7,9;10,6;0;30,2;25;19,8;64,3;50;3,7;
2015-02-24;8;6,9;0;29,8;23,8;19,2;73;53;3,7;
2015-02-25;6,2;7,8;0;30,7;25,2;20,2;70;59;2,3;
2015-02-26;5,4;9,9;0;31,7;26,5;21,2;62,8;51;3;
2015-02-27;6,3;3;8;29,6;24;19,8;82,5;57;2;
2015-02-28;2,9;8,3;,6;30,9;24,5;20,8;76;59;3;
2015-03-01;4,4;1,6;0;26,4;22,9;19,8;90,3;85;2,7;
2015-03-02;1,8;4,4;8,2;28,4;22,8;19,6;85,8;69;3,3;
2015-03-03;3,3;,1;1,2;29,8;25;19,8;72,3;60;2,7;
2015-03-04;5,7;9,4;,2;30,5;25,6;20,4;66,5;56;3,7;
2015-03-05;6,1;1,9;27,9;26,2;21,4;18,4;88,5;69;1,3;
2015-03-06;2,7;8,3;3,4;31,1;24,2;17,8;75;55;2,3;
2015-03-07;5;9,7;0;31,5;25,7;19,6;72,3;59;2;
2015-03-08;5,8;1;13,8;27,2;22,5;20,4;88;67;1,3;
2015-03-09;2,1;5,3;2;30,3;24,7;19,2;78,5;62;2,7;
2015-03-10;5,2;2,7;7,6;27,8;22,5;18,8;88,3;70;3;
2015-03-11;1,6;3,9;5,4;28,6;22,7;19,6;90,5;83;2,3;
2015-03-12;2,4;,1;9,2;23,6;21;18,6;95;89;2,3;
2015-03-13;1,1;6,2;5;29;23,4;19;78,5;58;2,3;
2015-03-14;3,9;3;3,6;29,2;23,4;20,2;83,8;70;3;
2015-03-15;3,8;5,3;0;29,8;24;20,2;75,8;60;3;
2015-03-16;4,4;3,3;0;29,6;24,2;20,4;75,3;59;2,7;
2015-03-17;5,3;4,5;0;28,8;22,4;19,2;85,5;70;3;
2015-03-18;2,1;3,3;23;26,8;22,5;18,4;84;72;2,3;
2015-03-19;2,8;,7;13,2;24,8;20,8;18,2;93,3;81;1,7;
2015-03-20;1,1;,1;22,8;23;20,7;18,2;95,5;90;2,3;
2015-03-21;1;4,9;1,6;27,2;21;18;86,5;66;2;
2015-03-22;2,8;4;10,2;27,6;22,1;17,6;92,5;85;2;
2015-03-23;2,2;6,5;45,4;28,2;23,2;19,4;88,5;87;2;
2015-03-24;2,2;8,3;44,3;30,2;24,3;19,2;81,3;66;2;
2015-03-25;3,1;9,6;0;30,7;25,1;18,8;75,8;60;1,7;
2015-03-26;3,9;9,1;15,6;30,9;25,4;20;75,8;60;1;
2015-03-27;4,6;3,9;0;30,7;24,7;20,6;75;57;2;
2015-03-28;3,8;10,1;0;31,5;25,7;20,2;69;52;2,7;
2015-03-29;6,4;9,6;0;31,7;25,8;19,8;70,5;52;2,3;
