Nome: JOAO PINHEIRO
Codigo Estacao: 83481
Latitude: -17.74027777
Longitude: -46.17694443
Altitude: 759.62
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2018-01-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;6,2;null;0;null;null;22,7;53,8;31;0;
2015-01-02;12,2;null;0;null;null;22,9;52;34;,3;
2015-01-03;12,5;null;,1;null;null;23,9;59;42;2,7;
2015-01-04;10,8;null;5,4;null;null;20,7;67,5;54;,9;
2015-01-05;7,5;null;33,6;null;null;19,7;64;46;1,7;
2015-01-06;9,5;null;0;null;null;21,7;57,5;42;1,5;
2015-01-07;12;null;0;null;null;22,5;69,8;54;1,2;
2015-01-08;8,9;null;35;null;null;20,3;55,3;46;1,4;
2015-01-09;13,4;null;0;null;null;21,5;52,3;39;,9;
2015-01-10;12,3;null;0;null;null;22,9;60,5;44;,3;
2015-01-11;10,2;null;0;null;null;23,1;49;40;1,7;
2015-01-12;14,3;null;0;null;null;23,9;44,8;36;1;
2015-01-13;15,3;null;0;null;null;23,9;50,3;35;,7;
2015-01-14;15,1;null;0;null;null;22,9;47,5;34;,8;
2015-01-15;14,3;null;0;null;null;22,5;59,8;43;,8;
2015-01-16;11,5;null;0;null;null;21,7;56,8;39;,7;
2015-01-17;3,8;null;0;null;null;21,5;43,8;36;1,9;
2015-01-18;14,1;null;0;null;null;24,3;50;36;1,8;
2015-01-19;15,4;null;0;null;null;24,1;46;41;1,4;
2015-01-20;15;null;0;null;null;23,3;50;42;1,2;
2015-01-21;14,3;null;0;null;null;23,5;51,5;37;,5;
2015-01-22;13,3;null;0;null;null;23,5;52,8;41;1,2;
2015-01-23;10,2;null;3,3;null;null;20,1;64,3;48;1,2;
2015-01-24;6,5;null;80,4;null;null;18,7;78,5;59;1;
2015-01-25;4;null;15,6;null;null;19,3;69;52;,8;
2015-01-26;6;null;0;null;null;20,7;80,8;66;1;
2015-01-27;4,6;null;2,3;null;null;20,5;75,8;67;1;
2015-01-28;5,5;null;0;null;null;20,1;82;79;,8;
2015-01-29;4,8;null;,8;null;null;21,5;71,8;54;1,7;
2015-01-30;7,2;null;0;null;null;22,9;58,8;49;1;
2015-01-31;11,2;null;0;null;null;22,5;49;34;1,4;
2015-02-01;15,1;null;0;null;null;22,9;52,8;39;0;
2015-02-02;12,3;null;0;null;null;23,3;51,5;41;,5;
2015-02-03;11,2;null;0;null;null;22,5;57;41;1;
2015-02-04;11,5;null;0;null;null;23,1;67,5;49;1,4;
2015-02-05;6,6;null;3,5;null;null;21,3;92,5;77;1,4;
2015-02-06;1,4;null;11;null;null;18,8;96,5;93;1,3;
2015-02-07;,8;null;52;null;null;17,7;96;95;1,7;
2015-02-08;,2;null;32,8;null;null;20,6;94,3;86;1,4;
2015-02-09;2;null;70;null;null;19,5;90,8;91;1,4;
2015-02-10;2,4;null;3,8;null;null;19,5;77;62;1,5;
2015-02-11;5,1;null;3,4;null;null;20,7;75,8;59;1;
2015-02-12;6,6;null;0;null;null;20,7;62,8;49;1,2;
2015-02-13;null;null;0;null;null;null;null;47;1,1;
2015-02-14;null;null;0;null;null;null;null;70;null;
2015-02-15;0;null;0;null;null;22,5;56,8;46;1,4;
2015-02-16;9,8;null;0;null;null;22,3;63;47;1;
2015-02-17;7,8;null;0;null;null;20,9;76,8;55;1,4;
2015-02-18;4,1;null;23,8;null;null;19,7;92,3;84;1,3;
