Nome: PIRAPORA
Codigo Estacao: 83483
Latitude: -17.34916666
Longitude: -44.92166666
Altitude: 509.52
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2019-10-01
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;null;null;null;null;null;88;null;
2015-01-02;null;null;4;null;null;20,8;null;81;1,5;
2015-01-03;null;null;null;null;null;null;null;null;null;
2015-01-04;null;null;null;null;null;null;null;null;null;
2015-01-05;null;null;null;null;null;null;null;null;null;
2015-01-06;null;null;null;null;null;null;null;null;null;
2015-01-07;null;null;null;null;null;null;null;null;null;
2015-01-08;null;null;null;null;null;null;null;null;null;
2015-01-09;null;null;null;null;null;null;null;null;null;
2015-01-10;null;null;null;null;null;null;null;null;null;
2015-01-11;null;null;null;null;null;null;null;null;null;
2015-01-12;null;null;null;null;null;null;null;null;null;
2015-01-13;null;null;null;null;null;null;null;null;null;
2015-01-14;null;null;null;null;null;null;null;null;null;
2015-01-15;null;null;null;null;null;null;null;null;null;
2015-01-16;null;null;null;null;null;null;null;null;null;
2015-01-17;null;null;null;null;null;null;null;null;null;
2015-01-18;null;null;null;null;null;null;null;null;null;
2015-01-19;null;null;null;null;null;null;null;null;null;
2015-01-20;null;null;null;null;null;null;null;null;null;
2015-01-21;null;null;null;null;null;null;null;null;null;
2015-01-22;null;null;null;null;null;null;null;null;null;
2015-01-23;null;null;null;null;null;null;null;null;null;
2015-01-24;null;null;null;null;null;null;null;null;null;
2015-01-25;null;null;null;null;null;null;null;null;null;
2015-01-26;null;null;null;null;null;null;null;null;null;
2015-01-27;null;null;null;null;null;null;null;null;null;
2015-01-28;null;null;null;null;null;null;null;null;null;
2015-01-29;null;null;null;null;null;null;null;null;null;
2015-01-30;null;null;null;null;null;null;null;null;null;
2015-01-31;null;null;null;null;null;null;null;null;null;
2015-02-01;null;null;0;null;null;null;null;null;null;
2015-02-02;null;null;0;35,8;29,9;28,3;51,5;41;,8;
2015-02-03;6,9;9,5;0;35,8;28,8;21,1;51;36;1,3;
2015-02-04;7,1;6,4;0;34,7;27,7;23,3;59,5;40;3;
2015-02-05;5,6;,7;0;27,3;23,9;22,2;92,3;67;1;
2015-02-06;,9;0;36;25,9;21,8;19,9;94,8;94;2,2;
2015-02-07;,7;null;18,5;null;22,6;19,9;91,3;80;2,3;
2015-02-08;1,2;1;6,4;29,1;null;20,5;null;47;1,2;
2015-02-09;1,5;,8;23,9;26,6;23,8;21;90,5;74;,5;
2015-02-10;1;9,6;1,4;33,5;26,4;22,5;79,5;64;1,4;
2015-02-11;3,2;10,1;4,8;32,1;27,2;22,1;73,5;61;1,2;
2015-02-12;3,6;12;0;34,1;26,6;20,8;61,5;41;1,7;
2015-02-13;5,8;11,5;0;34,5;26,8;19,5;66,3;39;1,2;
2015-02-14;5,4;11,2;0;34,9;null;21;null;54;1,6;
2015-02-15;5,9;null;0;34,1;null;21,3;null;null;null;
2015-02-16;5,4;10,5;0;34,4;27,2;20,9;65,5;46;1,5;
2015-02-17;5;4,7;0;33,4;null;22,8;null;76;null;
2015-02-18;4,9;0;0;27,1;24;21,9;87;81;,9;
2015-02-19;1,6;1;3,9;30,5;24,4;21,9;90,3;85;,9;
