Nome: CARBONITA
Codigo Estacao: 83485
Latitude: -17.53305554
Longitude: -43.01222222
Altitude: 765.37
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;6,5;null;0;34,2;26;17,3;51,3;33;null;
2015-01-02;7,5;null;0;35;26,2;18,5;56,3;34;null;
2015-01-03;6,5;null;0;34,6;26,2;17,7;51;33;null;
2015-01-04;8,5;null;0;34,8;25,1;17,9;55;35;null;
2015-01-05;7,5;null;0;34,6;24,5;15,5;55,5;40;null;
2015-01-06;8,5;null;0;30,2;23,8;16;60,3;42;null;
2015-01-07;6,2;null;0;28,6;23;20,1;73;67;null;
2015-01-08;4,3;null;0;30,6;23,3;16,1;49,5;31;null;
2015-01-09;8,2;null;0;30,4;23,1;17,7;60;38;null;
2015-01-10;7,3;null;0;32,6;24,9;19,5;55;35;null;
2015-01-11;6,5;null;0;32;24,3;15,7;50,5;31;null;
2015-01-12;8,2;null;0;32,6;24,3;16,9;55,5;31;null;
2015-01-13;6,7;null;0;33;25;18,3;53,3;36;null;
2015-01-14;8,7;null;0;32;24,8;16,5;41,5;26;null;
2015-01-15;8,7;null;0;31,6;24,7;19,3;55,8;39;null;
2015-01-16;9;null;0;32,4;24,7;19,1;47,5;28;null;
2015-01-17;9,3;null;0;33;25;17,3;50,3;34;null;
2015-01-18;7,9;null;0;33,2;25,3;17,3;48,8;28;null;
2015-01-19;8,8;null;0;33,2;25,3;19,3;50,5;31;null;
2015-01-20;9;null;0;34,2;25,3;17,3;48,8;26;null;
2015-01-21;11,4;null;0;34,2;25,3;17,1;49,3;33;null;
