Nome: ITAMARANDIBA
Codigo Estacao: 83488
Latitude: -17.85972222
Longitude: -42.85277777
Altitude: 919.37
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,3;null;0;32,6;24,8;16,9;57,8;38;1;
2015-01-02;4,9;null;0;33,5;25;17,5;56,5;39;1,7;
2015-01-03;5,7;null;0;32;25,3;17,3;55,5;41;1,7;
2015-01-04;6,1;null;0;29,6;23,3;18;60;42;1,3;
2015-01-05;5,1;null;0;29,8;22,7;15,4;58,8;39;1,7;
2015-01-06;5,4;null;0;27,5;22,2;16,4;67,3;53;1,3;
2015-01-07;4;null;0;27,1;21,5;19,6;75,8;55;1,7;
2015-01-08;3;null;0;28,4;21;15,9;60,3;39;1,3;
2015-01-09;5;null;0;29,1;23,2;16,9;59;46;1,7;
2015-01-10;4,5;null;0;30;23,5;20;59,5;41;1,7;
2015-01-11;4,8;null;0;31,2;23,2;16,3;53;32;1,3;
2015-01-12;5,4;null;0;31,2;23,8;17;59,5;37;1,7;
2015-01-13;5,1;null;0;30,2;23,6;17,1;57,8;42;1,3;
2015-01-14;5,2;null;0;28,5;21,7;15,6;58;37;1,3;
2015-01-15;5;null;0;29,4;22,9;17,7;62,8;44;2;
2015-01-16;4,5;null;0;29,2;22,8;16,3;52,8;34;2;
2015-01-17;6,8;null;0;30,4;23;15,4;55,3;42;1,7;
2015-01-18;5,7;null;0;31,8;24,1;17,5;53,8;37;2,3;
2015-01-19;5,9;null;0;30,4;23,1;15,9;57,5;40;2;
2015-01-20;5,3;null;0;31,1;23,4;16,5;54,5;38;1,3;
2015-01-21;5,5;null;0;31,9;23,7;16;53,5;34;1,7;
2015-01-22;5,9;null;0;32;23,9;16;53,8;34;1,7;
2015-01-23;6,1;null;0;31,1;22,7;18,5;78,3;62;1,7;
2015-01-24;2,9;null;18,7;28,8;23,1;18,1;56,5;36;2,7;
2015-01-25;4,5;null;0;30,1;22,7;16,9;62,5;37;1;
2015-01-26;4,5;null;0;30,5;23,3;15,9;65,5;45;1,3;
2015-01-27;3,9;null;0;28,4;23,6;18,2;69,3;57;2;
2015-01-28;4,4;null;,1;30,5;24,6;20,1;60,5;47;2,3;
2015-01-29;5,6;null;0;32,4;24,6;17,3;51,8;36;2;
2015-01-30;6,5;null;0;33,2;24,8;16,7;54,8;27;1,7;
2015-01-31;7,8;null;0;32,4;24,3;17,2;47;26;1,7;
2015-02-01;7,3;null;0;30,1;23,3;18,2;53,3;40;2,3;
2015-02-02;6,1;null;0;30,6;23,3;16,4;50,3;36;1,7;
2015-02-03;5,8;null;0;30,8;23,5;17;57;34;1,3;
2015-02-04;5,3;null;0;29,8;22,8;17,8;70;49;1;
2015-02-05;3,4;null;22;23;20,2;18,4;92,8;85;1;
2015-02-06;1;null;24,5;22,2;19,8;18,6;95;91;1,7;
2015-02-07;1;null;35,9;22,9;20,3;18,6;88,3;77;2,3;
2015-02-08;1,2;null;9,8;23,1;20,1;19,1;90;81;1,7;
2015-02-09;1,4;null;5,1;25,1;20,8;17,7;86;75;,7;
2015-02-10;1,7;null;,1;27,6;22,6;19,5;75;72;2;
2015-02-11;3,2;null;0;29,7;22,8;19,3;70,8;53;2;
2015-02-12;4,3;null;0;30,8;23,1;15,7;67,3;37;1;
2015-02-13;5,1;null;0;30,2;23;16,5;66;46;1,7;
2015-02-14;5;null;0;30,1;23,2;16,1;64,3;41;1,3;
2015-02-15;5,6;null;0;31,2;22,9;16,1;63;43;1;
2015-02-16;5,1;null;0;30,2;22,8;17,2;69,5;46;1;
2015-02-17;4,2;null;0;28,6;22,7;17,5;69,3;49;2;
2015-02-18;4,2;null;0;28;22,9;18,6;69,5;54;1,7;
2015-02-19;4,2;null;0;28,1;22,8;20,1;80,3;66;1;
2015-02-20;2,9;null;4,7;28,6;22,2;17,6;66,5;45;1,3;
2015-02-21;4,5;null;0;27,8;21,7;18;67;45;1,3;
2015-02-22;4,9;null;0;28,6;22,2;17,6;68,8;44;2;
2015-02-23;4,6;null;0;25,8;21,1;17,9;79,3;67;3,7;
2015-02-24;3;null;,2;25,4;21,1;18,8;87,8;80;1,3;
2015-02-25;1,2;null;29,3;28,3;22,3;19;75,5;59;1,7;
2015-02-26;2,7;null;0;30,9;22,9;16,1;70,3;47;1,7;
2015-02-27;3,5;null;0;25,5;22,5;20;84;71;1;
2015-02-28;1,3;null;27,5;30,2;22,4;18,5;81,3;70;1,3;
2015-03-01;2,5;null;2,4;24,3;21,3;19,3;82,5;74;2;
2015-03-02;2,3;null;0;27,7;21,8;18,6;76,3;55;1,7;
2015-03-03;3;null;0;28,1;22,9;18,7;73;55;2;
2015-03-04;3,2;null;0;29,5;23,1;18,9;68;55;2,3;
2015-03-05;3,4;null;0;28,1;22,7;18,7;70,8;57;1,3;
2015-03-06;2,9;null;0;29,9;22,6;16,4;68,8;45;1,3;
2015-03-07;3,3;null;0;29,8;23;17,5;70,5;49;,7;
2015-03-08;2,9;null;0;30,2;23,7;17,1;70,8;52;1;
2015-03-09;3,5;null;0;29,2;22,6;18,9;74,3;53;1;
2015-03-10;2,7;null;0;27,6;21,8;16,6;76,3;62;1,7;
2015-03-11;2,5;null;0;30,4;22,9;16,7;73,5;53;1,3;
2015-03-12;3;null;0;29,1;22,5;18;73,8;57;1,3;
2015-03-13;2,6;null;0;31,7;23,5;16,1;61;39;1,7;
2015-03-14;3,2;null;0;28,9;22,5;15;63,8;46;2,3;
2015-03-15;4,1;null;0;27,7;22,4;17;71,3;56;1;
2015-03-16;3,3;null;0;29,9;23,1;16,5;67,5;48;1,7;
2015-03-17;3,7;null;0;28,3;22,4;16,2;65,3;51;2;
2015-03-18;3,2;null;0;29,2;21,6;17,3;64;38;1,3;
2015-03-19;4,2;null;0;29;22,1;17,3;66;46;1,7;
2015-03-20;4,1;null;0;28,1;22,9;19,7;68,3;50;1,7;
2015-03-21;3,2;null;18,2;25,7;20,7;18,9;87;67;,3;
2015-03-22;1,1;null;5;27,2;20,8;17,9;88;80;2,3;
2015-03-23;1,7;null;6,6;28,8;22,3;16,9;79,3;56;1;
2015-03-24;2,9;null;13,7;29,1;21,3;17,5;84,5;73;,7;
2015-03-25;1,2;null;,6;25;21,2;18,5;84,8;73;2,3;
2015-03-26;1,8;null;1;28,8;22,6;19,5;76,3;58;,7;
2015-03-27;2;null;0;31;22,8;16,1;65,8;43;1,7;
2015-03-28;3,1;null;0;29,5;22,3;15,5;66,3;45;2,3;
2015-03-29;3,9;null;0;30;21,7;15,3;63,8;40;,7;
2015-03-30;4;null;0;32,5;23,9;14,7;58,5;35;1,7;
2015-03-31;4,9;null;0;32,5;24,2;16,9;65,8;43;1;
2015-04-01;3,7;null;0;32,8;24,7;17,7;64,5;44;2;
2015-04-02;5;null;6;27;21,9;20,2;80,8;68;1,3;
2015-04-03;2,2;null;5,5;22,5;19,9;18,6;89;83;2,3;
2015-04-04;1,3;null;,2;25,9;21;17,3;78;67;1,3;
2015-04-05;2,1;null;0;29,1;21,8;17,2;78,8;55;1,7;
2015-04-06;2,3;null;0;31;23,3;17,5;73,8;46;1,7;
2015-04-07;3,5;null;13,4;29,1;22,5;19;79,3;55;1,3;
2015-04-08;3,1;null;15,6;21,1;18,3;17,1;93,3;86;2,7;
2015-04-09;,8;null;,2;23,2;19,5;16,5;81,8;72;1,3;
2015-04-10;1,4;null;0;24,7;20,2;17,7;84,5;71;2,3;
