Nome: TEOFILO OTONI
Codigo Estacao: 83492
Latitude: -17.86027777
Longitude: -41.5075
Altitude: 349.11
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2019-03-11
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,1;11,1;0;34,7;27,5;20,9;62,5;47;,5;
2015-01-02;3,9;11,3;0;36,2;27,9;19,7;58,8;37;1,2;
2015-01-03;4,4;8,9;0;35,3;28;21,9;59,3;43;1,2;
2015-01-04;4,2;10,7;0;33,6;27,8;22,6;59;44;1,2;
2015-01-05;4,9;11,3;0;34,6;26,6;20,2;56;34;1,5;
2015-01-06;4;8;0;33,6;27;23,4;63;43;1,9;
2015-01-07;3,8;7,6;0;33;26,9;22,2;58;42;1,7;
2015-01-08;4;8,9;0;33,6;26,5;20;57,8;42;2,1;
2015-01-09;4,5;9,1;0;33;27,3;22;59,5;52;1,3;
2015-01-10;4,8;10;0;34,6;27,2;22,2;57,8;37;1,2;
2015-01-11;4,2;10,6;0;35;27,1;20,4;58,3;37;1;
2015-01-12;4,4;8,7;0;35,6;28,5;24;55,3;41;1,9;
2015-01-13;4,6;9,2;0;35,6;27,9;23,8;57,3;38;1;
2015-01-14;4,7;9,8;0;34,6;27,2;22;57,3;40;1,5;
2015-01-15;4,2;6,9;0;34,6;27,6;22;56,3;39;1,7;
2015-01-16;4,3;9,4;0;34,6;27,2;22;56,5;41;1,4;
2015-01-17;4,6;11,1;0;35,4;27,3;20,8;50,5;34;1;
2015-01-18;3;9,7;0;36,6;28,3;22,4;55,3;38;,5;
2015-01-19;5,2;9,6;0;35,6;28,3;23,4;53;34;,7;
2015-01-20;5,1;10,1;0;35,4;28,1;22;52,5;39;1,2;
2015-01-21;4,9;10,7;0;36;28;22;52;37;1,4;
2015-01-22;5,1;10,9;0;36,6;28,7;23;56,3;38;1,5;
2015-01-23;5,3;8,3;0;36;28;23,6;60;42;1,4;
2015-01-24;5,2;10,7;0;35;27,6;22,2;54,8;37;1,2;
2015-01-25;5,1;10,6;0;35;27,4;22;56,8;38;,9;
2015-01-26;5;10,7;0;37;28,7;21,2;55;38;1;
2015-01-27;5;10,7;0;37;29,3;23;56;35;2,4;
2015-01-28;5,2;7;0;35,6;28,7;24,4;55,8;43;1,2;
