Nome: NHUMIRIM (NHECOLANDIA)
Codigo Estacao: 83513
Latitude: -18.9886111
Longitude: -56.62277777
Altitude: 102.27
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2019-11-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;10,3;11,8;0;35,6;30;24,4;65,3;52;1,7;
2015-01-02;11,8;9,1;0;36,5;28,3;22,4;74,8;49;1,7;
2015-01-03;6,9;7,7;0;33,6;27,3;21,4;80;59;2,3;
2015-01-04;4,9;6;0;36,7;28,8;22,2;72,8;47;1;
2015-01-05;6,1;4,3;0;35,7;27,3;21;81,3;57;,7;
2015-01-06;5;8,6;4,8;36,7;27,6;21,2;75,3;46;2,3;
2015-01-07;6,9;10,6;,1;35,7;29;22;69,8;49;2,7;
2015-01-08;8,1;9,2;0;37,6;29,7;21,4;68,5;47;1,7;
2015-01-09;8,6;5,9;0;37,8;28,1;22,4;84,3;66;1;
2015-01-10;5,4;6,2;,8;37,8;26,9;21,6;78,3;46;1,3;
2015-01-11;5,2;10,1;,4;39;27,9;21;78,8;41;1,7;
2015-01-12;7;6,2;0;36,4;29,1;20,6;72,3;59;,7;
2015-01-13;5,6;11;0;37,2;29,6;22,4;61,3;45;2;
2015-01-14;6,6;11,8;0;38,2;29;21;65,8;37;1,3;
2015-01-15;9,6;5,6;0;36,4;26,1;21;79;73;1;
2015-01-16;4,9;9,8;7,4;36,7;27,4;20,4;73,8;53;,7;
2015-01-17;4,6;6,9;,4;36;27,4;21,6;88,8;73;,7;
2015-01-18;4,5;8,6;13,8;36;28,6;22,4;68;45;,7;
2015-01-19;6,5;10,5;0;37,5;29,9;21,5;69,3;48;,7;
2015-01-20;6;5,5;0;35,5;27,1;21;66,8;67;1,7;
2015-01-21;4,5;7,2;7,6;33,6;27;21,5;81,3;62;1,3;
2015-01-22;6,8;8,3;0;36;26,1;20,7;81;54;,7;
2015-01-23;5;9,3;17,4;36,2;27,7;20,4;79,8;46;,3;
2015-01-24;5,1;9,6;0;37;28,7;22,8;72;49;1,3;
2015-01-25;6,2;,4;0;29,3;24,8;21,2;84,5;68;,7;
2015-01-26;2,7;4,8;4,8;32;26,1;20,4;84,8;75;1;
2015-01-27;3,3;4,3;2,5;33;26,2;21,8;83,3;59;1,7;
2015-01-28;null;6,3;0;32,6;27,3;21,8;74,8;58;3,3;
2015-01-29;null;2,8;1,4;33,4;26,5;22;84;62;1,3;
2015-01-30;null;7,8;0;36,8;28;20,6;74;51;1;
2015-01-31;null;8,3;0;36,8;28,6;21,8;72;47;1;
