Nome: CAPINOPOLIS
Codigo Estacao: 83514
Latitude: -18.7261111
Longitude: -49.56222222
Altitude: 608.98
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2018-08-13
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5,8;12,3;0;null;null;21,6;77,3;60;1,2;
2015-01-02;7,5;11,5;0;null;null;21,6;74,3;51;,9;
2015-01-03;8;4,2;0;null;null;21,8;82,5;74;1,2;
2015-01-04;6;2,6;72,8;null;null;19,2;87,3;80;1,2;
2015-01-05;4,4;7,7;0;null;null;19,4;72,3;54;,7;
2015-01-06;6,7;8,6;0;null;null;20,4;72,3;59;0;
2015-01-07;5,8;11,2;0;null;null;19,8;73,3;49;,8;
2015-01-08;7,8;2,9;0;null;null;22,8;78,5;69;,8;
2015-01-09;7;12,7;0;null;null;22,2;72,5;59;,3;
2015-01-10;8,7;12,1;0;null;null;19,8;72;52;,3;
2015-01-11;7,9;12,6;0;null;null;21,6;68,8;55;,3;
2015-01-12;9,7;12,6;0;null;null;22,5;69,3;50;,5;
2015-01-13;10,9;9;0;null;null;23;67,3;50;,7;
2015-01-14;12,3;9,6;0;null;null;20;60,8;48;,2;
2015-01-15;9,7;10;0;null;null;21,8;59,5;47;,5;
2015-01-16;9,7;12,8;0;null;null;19,7;60,5;38;,3;
2015-01-17;10,5;12,3;0;null;null;19,4;63,5;38;,7;
2015-01-18;10;8,6;0;null;null;20,6;67,5;42;,7;
2015-01-19;7,7;12,2;0;null;null;22;56;35;0;
2015-01-20;11,4;12,5;0;null;null;22;52;29;,3;
2015-01-21;11,9;9,7;1,4;null;null;21;66;40;0;
2015-01-22;3,4;5,8;22,8;null;null;19;75,8;63;1,7;
2015-01-23;4,7;9,1;13,4;null;null;19,6;77,3;53;0;
2015-01-24;5,3;11,4;0;null;null;20,4;73,3;61;1;
2015-01-25;6,7;1,9;5,6;27,6;22,6;20;85;71;0;
2015-01-26;2;8,4;1,2;29,7;22,9;19,2;84,8;62;1,5;
2015-01-27;3,5;8,4;46,2;30,4;24,5;20;79,5;61;,3;
2015-01-28;4,7;7,1;0;31,1;23,9;20,6;83,8;59;,7;
2015-01-29;4;6,6;,8;31,3;24,3;20,8;75,5;63;,7;
2015-01-30;6,3;12,1;0;35,3;26,6;21,2;65,5;43;,3;
2015-01-31;10,4;7,4;0;34,6;26,7;22,6;68,3;61;1,2;
2015-02-01;8,5;7,9;0;33,2;25,8;21,6;72,3;60;1,2;
2015-02-02;7,7;11;0;34,1;25,9;21,2;67;51;,8;
2015-02-03;8,2;11,6;0;33,3;25,9;20;67,8;51;0;
2015-02-04;5,9;,8;0;25,9;23;21;85,3;74;,3;
2015-02-05;2,3;6,9;,4;30,2;24;20,2;90,3;88;,8;
2015-02-06;3;3,9;140,2;26,8;22,1;19,2;91,3;81;1,4;
2015-02-07;3,1;5,9;4,3;28,5;22,6;19;86,5;76;1;
2015-02-08;2,5;2,7;9,6;26,6;23,1;21,1;87,5;73;3,3;
2015-02-09;3,3;2;,2;28,8;23,2;20,5;86,3;69;1,2;
2015-02-10;2,3;10,4;8,3;31,3;24,5;20;78,8;64;1,2;
2015-02-11;4,7;4,5;2;29,6;24,3;21,4;86,5;67;1;
2015-02-12;4,5;10,4;0;32,8;26,2;20,8;75,8;54;,3;
2015-02-13;7;11,1;0;33,8;26;21,4;71,3;46;,5;
2015-02-14;7,1;11,3;0;34,2;25,8;20,4;72,3;50;,7;
2015-02-15;7,6;6,7;0;32,5;24,8;20;79,8;76;1;
2015-02-16;4,5;8,3;17,4;32,5;24,7;20,2;77,3;57;1,2;
2015-02-17;4,7;3,5;2,8;29,7;23,6;20,8;86;79;,8;
2015-02-18;3;2,7;77,8;28;22,7;19,9;87;70;,5;
2015-02-19;3;,7;5,8;27,8;22,2;19,8;94,8;86;,8;
2015-02-20;1,7;5,4;46,7;29,2;23,8;19,9;90,5;84;,8;
2015-02-21;2,7;9,6;3,1;32,2;24,9;20;77,8;51;,3;
