Nome: IPAMERI
Codigo Estacao: 83522
Latitude: -17.72444443
Longitude: -48.17194443
Altitude: 778.14
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,2;null;0;33,3;26,7;20,5;63,8;40;,7;
2015-01-02;6,5;null;0;33,9;27,3;20,2;64,5;44;,7;
2015-01-03;6;null;0;33,1;25,3;21,1;74,8;62;1,4;
2015-01-04;3,5;null;20;29,4;23,9;18,3;73,3;55;,7;
2015-01-05;4,3;null;0;30,3;25,1;19,5;74,5;61;,7;
2015-01-06;4;null;0;31,9;25,9;19,4;63,8;47;,7;
2015-01-07;6,4;null;0;32,1;25,6;18,7;54,8;41;1;
2015-01-08;8,4;null;0;31,7;25,5;19,5;60,8;48;1;
2015-01-09;7,6;null;0;31,9;25,8;18,3;49,8;38;1,4;
2015-01-10;8,8;null;0;32,8;25,6;18,5;61,5;37;1;
2015-01-11;6,6;null;0;33,9;27,4;19,5;51;37;,7;
2015-01-12;9,2;null;0;34,2;27,1;18,9;49;35;,7;
2015-01-13;10;null;0;34,2;26,9;18,8;46,8;29;,7;
2015-01-14;10,2;null;0;33,8;26,7;18,4;51,8;34;,3;
2015-01-15;9,3;null;0;32,9;26,3;19,5;51;39;1;
2015-01-16;9,5;null;0;33,3;26,8;18,6;49,3;36;1;
2015-01-17;10,2;null;0;33,7;26,7;18,8;49,8;30;1;
2015-01-18;8,8;null;0;34,7;26,5;18,5;51,3;29;1;
2015-01-19;8,8;null;0;35,1;27,2;18,9;44,3;29;1;
2015-01-20;11,5;null;0;35,3;27,6;18,7;45,8;31;,7;
2015-01-21;10,4;null;0;35;27,5;20;52;31;1;
2015-01-22;8,4;null;0;32,9;24,4;21;68,8;42;,7;
2015-01-23;4,4;null;6,6;29,1;24,2;19,5;68,5;46;,7;
2015-01-24;4,5;null;1,6;29,3;23,3;19,7;75;55;,7;
2015-01-25;4,1;null;14,6;29,4;23,4;20,1;74,8;48;,7;
2015-01-26;3,1;null;9,9;30,6;23,6;20,1;79,8;50;,3;
2015-01-27;4,2;null;13,3;31,4;23,9;20,7;72,8;48;1;
2015-01-28;3,2;null;0;29,5;24,4;20,1;70,8;56;,7;
2015-01-29;4,6;null;0;31,5;25,6;20,4;70;51;,7;
2015-01-30;4,9;null;0;34;25,7;19,9;65,5;42;,7;
2015-01-31;5,5;null;1,8;33,7;26;20,4;65;44;,7;
2015-02-01;6;null;0;33,8;27,2;20,4;58;41;,7;
2015-02-02;8,6;null;0;33,6;24,2;19,1;65;43;,7;
2015-02-03;6,2;null;27,1;30,8;23,3;18,9;73,8;51;,7;
2015-02-04;1,7;null;14,2;27,9;22,8;19,4;89;82;0;
2015-02-05;,6;null;6,8;29,4;23,6;19,9;76,5;56;2;
2015-02-06;,9;null;27,4;22,6;20,4;18,5;95,3;86;,3;
2015-02-07;,1;null;86,7;27,9;22,3;18,4;90,8;90;1;
2015-02-08;,3;null;3,3;26,9;22,5;20,1;84,3;76;,7;
2015-02-09;,5;null;6,1;28;23,2;20;81;68;,7;
2015-02-10;,5;null;0;27,9;23,8;20,9;82,8;71;,7;
2015-02-11;,5;null;20,1;29,3;23,6;20,3;78;58;,7;
2015-02-12;,9;null;0;32,1;26,1;20,9;61,8;45;1,7;
2015-02-13;7,6;null;0;32,6;25,9;18,9;56,3;37;1;
2015-02-14;7,9;null;0;33,5;26,2;17,2;57,3;37;,7;
2015-02-15;6,7;null;0;33,5;25,2;20,7;63;39;1;
2015-02-16;6,3;null;27,5;30,3;23,5;19,9;77,5;56;,7;
2015-02-17;3,3;null;,8;29,9;24,1;21,1;75,5;54;,7;
2015-02-18;2,7;null;6,8;26,5;22,6;19,9;83,8;73;,3;
2015-02-19;1,9;null;29;25,9;22,4;20,2;83,3;70;1;
2015-02-20;1,6;null;16,6;28;23,1;19,1;75,8;57;1;
2015-02-21;1,9;null;0;30,9;24,9;19,1;61,5;47;,7;
2015-02-22;2,5;null;0;30,9;25;18,2;60,5;45;,7;
2015-02-23;2,5;null;0;30,3;24,6;18,1;58,5;50;1,3;
2015-02-24;2,5;null;0;28,7;23,9;19,5;74,3;62;,7;
2015-02-25;4,3;null;4,6;31,1;24,4;19,9;72;48;1;
2015-02-26;4,9;null;1;31,5;25,8;21,7;73,8;56;1;
2015-02-27;4,1;null;23,8;28,1;23,1;18,3;80,5;71;1;
2015-02-28;2,5;null;0;30,6;23,3;20,6;82,8;66;1,3;
2015-03-01;2,9;null;14,6;29,8;23,9;19,8;78;60;,7;
2015-03-02;4,1;null;,8;28,1;23,2;20,1;82;71;1;
2015-03-03;3,4;null;0;28,7;24,3;20,1;77;66;,3;
2015-03-04;3,3;null;,3;30;24,4;21,6;83,8;79;,3;
2015-03-05;2,7;null;40;29,3;23;18,9;79,3;59;1;
2015-03-06;3,3;null;0;31,7;25,2;18,5;65,5;49;,3;
2015-03-07;4,5;null;0;32,1;25,6;19,5;64,8;45;1;
2015-03-08;4,8;null;,3;30,1;24,1;20,7;80,8;68;,3;
2015-03-09;3,1;null;3;31,1;23,7;19,9;83,8;68;,3;
2015-03-10;2,6;null;,1;28,6;23,7;20,9;78,5;66;1;
2015-03-11;2,6;null;9;30,6;24;21,1;82,8;60;,7;
2015-03-12;3;null;30,9;24,2;21,4;19,6;88,8;84;,3;
2015-03-13;1,6;null;2,4;27,7;22,7;20,1;81,5;63;,3;
2015-03-14;2,3;null;1,3;25,1;22;20,8;91,5;86;,3;
2015-03-15;1;null;,3;23,5;21,5;20,5;91;89;,3;
2015-03-16;1,1;null;,4;30,4;23,3;19,7;74,8;46;,3;
2015-03-17;4;null;0;28,8;22,3;19,9;83,8;73;,3;
2015-03-18;2,3;0;3,4;25,3;20,8;18,8;93,5;87;,3;
2015-03-19;1,2;null;30,3;23,3;21;19,1;91,5;82;1;
2015-03-20;1,1;null;8,7;25,7;21,7;19;83,8;71;1;
2015-03-21;1,3;null;1,6;26;21,6;19,2;85,8;82;,3;
2015-03-22;,7;null;12,6;28,5;22,6;19,1;81,3;61;,7;
2015-03-23;,9;null;7,3;30,1;24,2;19,4;76,8;56;,7;
2015-03-24;1,1;null;,4;30,3;24,8;20,2;77;57;0;
2015-03-25;1;null;0;31,8;25,7;20,1;70,8;52;,3;
2015-03-26;1,3;null;4;31,3;25,1;20,7;70,8;52;1;
2015-03-27;4,5;null;5,1;28,1;23,1;21,1;88,3;74;,7;
2015-03-28;1,7;null;,8;31,8;25,1;19,1;74,8;52;,3;
2015-03-29;3,8;null;0;32,3;25,5;20,2;72,5;53;,3;
2015-03-30;4,2;null;0;32,7;24;19,9;78;48;,3;
2015-03-31;3,9;null;70,9;31,8;24,9;20,5;78,8;57;,3;
2015-04-01;3;null;0;31,9;25,4;20,5;73,8;null;,3;
2015-04-02;2,8;null;0;31,3;24,9;20,4;77,3;null;,3;
2015-04-03;2,6;null;0;30,1;24,6;21,1;74,5;null;1;
2015-04-04;3,8;null;1,6;29,1;24;20,3;78,5;null;1,3;
2015-04-05;3,5;null;0;28,5;22,5;20;90,8;null;,7;
2015-04-06;1,4;null;23,8;29,4;23,9;19,9;81,3;null;,3;
2015-04-07;3,1;null;43,4;27;23;20,1;86,3;76;,3;
2015-04-08;1,7;null;,6;28,5;23,2;19,9;79;null;,7;
2015-04-09;3,9;null;0;28,3;23,4;20,9;79,3;null;1;
2015-04-10;3,5;null;0;29,7;24;20;75,5;null;,7;
2015-04-11;3,9;null;0;29,9;24;19,3;74,5;null;,7;
2015-04-12;4;null;0;30,1;24,3;19,3;72,8;null;0;
2015-04-13;4;null;0;29,6;24;20,7;78;null;,7;
2015-04-14;3,5;null;3,7;27,8;22,6;21;85,8;null;,6;
2015-04-15;2,4;null;16,7;28,3;22,8;19,9;88,5;null;,3;
2015-04-16;2,1;null;,1;29,9;24,1;20;77;null;,3;
2015-04-17;3,2;null;0;31,5;24,2;19,3;74,8;null;1;
2015-04-18;3,4;null;3;29,4;23,8;21,2;84,8;null;,7;
2015-04-19;1,9;null;22,4;32,1;24,8;19,7;72,5;null;,3;
2015-04-20;3,5;null;0;31,2;25,2;20,8;76,8;null;,3;
2015-04-21;3,7;null;14;30,3;23,7;20,4;82,8;null;0;
