Nome: CATALAO
Codigo Estacao: 83526
Latitude: -18.17027777
Longitude: -47.95805555
Altitude: 857.98
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,6;null;0;33,1;27,2;21,5;60,5;46;1,8;
2015-01-02;5,8;null;0;33,6;27,2;21,6;56,8;36;2,4;
2015-01-03;5,2;null;5,5;33,6;26,6;21,6;66;46;2,7;
2015-01-04;4,7;null;26;30,1;23,6;17,8;72,3;58;,7;
2015-01-05;3,6;null;0;30,3;24,8;19,8;80,5;64;1,8;
2015-01-06;11;null;4,2;30,8;25,5;20,1;62;51;1,9;
2015-01-07;4,4;null;0;31,5;26,2;20,8;56,5;44;2,4;
2015-01-08;4,3;null;0;31,4;26,1;21,7;57,3;48;2,5;
2015-01-09;5,9;null;0;32,2;26,5;20,8;46;37;2;
2015-01-10;6,1;null;0;33;27,4;20,8;47,3;35;1,4;
2015-01-11;7,7;null;0;34;27,9;21,8;47,3;37;,6;
2015-01-12;7,8;null;0;34,2;27,8;21,8;46,3;34;2;
2015-01-13;8,1;null;0;33,8;27,9;21,4;46;36;2;
2015-01-14;7,9;null;0;33,9;27,7;20,6;48,3;38;2,1;
2015-01-15;7,7;null;0;33,6;27;21,8;52,3;41;3;
2015-01-16;8,2;null;0;34,1;27,2;20,3;49,3;38;1,5;
2015-01-17;8,3;null;0;34,6;28;22,7;44,3;31;1,9;
2015-01-18;8,5;null;0;35;27,7;21,2;50,8;36;1;
2015-01-19;8,4;null;0;35,6;29;22,6;41,3;26;3,1;
2015-01-20;7,8;null;0;35,6;29,1;22;40,8;25;1,9;
2015-01-21;10,8;null;0;35;29;22,2;45,3;39;1,4;
2015-01-22;8;null;3;33;23,6;17,8;69;42;2;
2015-01-23;4;null;23,3;30,3;23,8;17,8;68;59;1,4;
2015-01-24;4,6;null;6,5;29,7;22,3;18,6;78,3;54;2,1;
2015-01-25;2,4;null;25;28,8;23,3;18,8;75,5;56;1,7;
2015-01-26;2,8;null;,7;28,9;23,2;20,3;80,5;69;1,5;
2015-01-27;2,4;null;2,1;32,1;24,3;19,7;71,3;44;1,6;
2015-01-28;3,9;null;2,3;29,2;24,3;19,8;68;56;1,6;
2015-01-29;3,9;null;0;31,7;25,6;21,4;68;54;1,5;
2015-01-30;4,2;null;0;33,6;27,3;21,4;58;41;1,7;
