Nome: PATOS DE MINAS
Codigo Estacao: 83531
Latitude: -18.51972221
Longitude: -46.43916666
Altitude: 947.68
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2018-05-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,3;10,9;0;33,1;26,5;18,1;51;33;1;
2015-01-02;4,6;10;0;34,3;25;16,9;53,8;39;,8;
2015-01-03;7,7;5,6;0;33,1;25;20,3;72,8;56;1,4;
2015-01-04;3,6;8;5,2;30,3;22,4;17,5;72,3;55;1,3;
2015-01-05;3,3;7,4;,7;31,3;24,5;19,1;63;47;1,5;
2015-01-06;4,2;7,4;0;31,1;23,8;18,7;67;46;,7;
2015-01-07;4,4;6,7;0;30,9;23,9;17,7;59,5;54;,8;
2015-01-08;4,9;9,3;0;31,3;23,5;16,3;55,3;41;1;
2015-01-09;5,5;10,9;0;32,3;24;16,7;50,5;38;,8;
2015-01-10;5,9;11,1;0;33,3;24,9;16,7;54,8;34;,8;
2015-01-11;7,4;10,5;0;33,5;25,7;17,5;44,3;34;1,5;
2015-01-12;7,6;11,2;0;33,9;26,5;18,7;42,5;35;,8;
2015-01-13;8,1;10,8;0;33,1;25,8;19,3;47;34;,7;
2015-01-14;7,1;10,8;0;32,7;25,2;18,3;42,8;38;1;
2015-01-15;7,4;9,7;0;32,5;25,4;18,7;48,5;39;2,1;
2015-01-16;6,9;10,7;0;33,1;23,9;16,7;52,8;36;1,3;
2015-01-17;7,4;10,8;0;33,9;25,7;17,9;39,5;31;,8;
2015-01-18;8,5;10,8;0;34,7;25,8;16,3;40;30;,8;
2015-01-19;10,1;11,3;0;34,3;26,4;18,7;41,8;29;,7;
2015-01-20;10;11,2;0;33,9;26,3;18,9;41,5;33;1,4;
2015-01-21;10,8;10;0;34,9;25,3;17,1;50,8;35;1,2;
2015-01-22;6,6;5,8;2,6;32,1;23,4;17,9;68,8;43;2,6;
2015-01-23;4,6;3,9;26,1;29,1;21,6;17,5;80;72;1,5;
2015-01-24;3,3;2,8;19,8;27,9;20,8;17,1;73,5;60;1,2;
2015-01-25;3,3;4,6;0;30,1;21,8;18,3;80;54;2;
2015-01-26;2,9;2,9;16;28,5;20,7;16,9;90;83;1,7;
2015-01-27;1,6;3,9;50,8;29,3;21,5;17,3;87,3;83;2,2;
2015-01-28;2,3;,4;8,8;28,9;21,7;17,5;79,3;69;1,7;
2015-01-29;3,9;3,6;0;30,7;22,1;17,7;77,3;56;1,2;
2015-01-30;3,5;8,2;3,4;32,7;24,2;19,1;69,3;45;,8;
2015-01-31;4,8;9,1;8,5;32,9;23,7;19,3;70;43;1;
2015-02-01;6,1;10,6;9,7;32,5;24;19,1;58,3;46;1,7;
