Nome: BOM DESPACHO
Codigo Estacao: 83533
Latitude: -19.71944443
Longitude: -45.36749999
Altitude: 695
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2019-01-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3;8,6;3,6;35,9;27;20;67,3;38;,3;
2015-01-02;3,8;8,4;0;36,7;27,7;19;57,5;39;1;
2015-01-03;4,6;8,5;,8;36,6;26,3;20,8;62,5;39;1;
2015-01-04;3;9;7,6;33,7;24,5;18,6;78;44;,7;
2015-01-05;2,9;9,7;2,4;32,9;25,9;21,4;67,8;49;1;
2015-01-06;4,2;9,5;0;33,9;26,1;20;66;43;,3;
2015-01-07;2,4;9,7;0;31,3;25,4;20;58,3;48;,7;
2015-01-08;3;11,3;0;32,7;26,3;22;61,3;39;1,3;
2015-01-09;3,8;10,9;0;32,9;24;14,6;63,5;41;1,7;
2015-01-10;3,6;10,9;0;34,1;25,4;16;61,8;37;1;
2015-01-11;3,6;10,9;0;35,9;25,9;20;63;34;,7;
2015-01-12;5,5;11;0;36,1;26,7;20;59,5;36;,7;
2015-01-13;5,3;10,9;0;35,9;27,2;17,6;59;43;,7;
2015-01-14;4,7;10,2;0;35,7;27,2;18,4;60,5;36;,7;
2015-01-15;5;9,7;0;33,9;25,2;18,6;59,3;38;,7;
2015-01-16;5,5;10,3;0;34,5;25,6;17,5;56;32;,7;
2015-01-17;3,5;10,7;0;36,1;25,5;16,8;55,3;28;,7;
2015-01-18;4,8;10,8;0;36,7;26,1;15,8;54,8;29;,3;
2015-01-19;5,1;10,9;0;36,7;26,9;15,8;51,5;31;,7;
2015-01-20;4,2;10,8;0;36,3;26,2;16,4;54;29;1;
2015-01-21;4,2;10,4;0;37,1;27,6;16,5;52,5;37;1;
