Nome: CURVELO
Codigo Estacao: 83536
Latitude: -18.74749999
Longitude: -44.45472222
Altitude: 668.26
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2022-04-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;9,5;null;0;null;null;23,7;59,3;41;3,7;
2015-01-02;8,7;null;0;null;null;22,6;51,5;30;1,7;
2015-01-03;10,1;null;0;null;null;21,6;57;42;,7;
2015-01-04;8,9;null;null;null;null;21,6;58;39;1,7;
2015-01-05;8,5;null;0;null;null;21,8;44;29;1,7;
2015-01-06;11,2;null;0;null;null;19,2;38,8;29;1,7;
2015-01-07;11,1;null;0;null;null;21,2;57,3;40;2,3;
2015-01-08;6,8;null;0;null;null;18,8;40;28;2,3;
2015-01-09;11,5;null;0;null;null;17,2;40;27;1,7;
2015-01-10;12,7;null;0;null;null;21,2;43,5;26;1;
2015-01-11;11,1;null;0;null;null;19,6;38;25;1;
2015-01-12;12,5;null;0;null;null;19,6;40;24;1,7;
2015-01-13;12,6;null;0;null;null;20,2;38,5;26;,3;
2015-01-14;13,4;null;0;null;null;19,8;40;26;1;
2015-01-15;13,5;null;0;null;null;17,6;43;32;1;
2015-01-16;12,7;null;0;null;null;18,6;38,8;26;1,7;
2015-01-17;11,7;null;0;null;null;19,2;null;29;1,7;
2015-01-18;11,3;null;0;null;null;19,4;37,5;25;1;
2015-01-19;null;null;0;null;null;20;null;22;1;
2015-01-20;null;null;0;null;null;19,8;39,5;27;1;
2015-01-21;11,3;null;0;null;null;19,4;38,3;25;1;
2015-01-22;14,2;null;0;null;null;23,3;44,3;29;,7;
2015-01-23;11,3;null;0;null;null;19,8;69,5;33;1,7;
2015-01-24;4,9;null;19;null;null;19,8;75,5;60;2;
2015-01-25;4,8;null;3,2;null;null;19,6;72,3;63;2,3;
2015-01-26;4,3;null;0;null;null;19,4;65,8;39;,7;
2015-01-27;5,7;null;19,6;null;null;20,6;86,5;74;1;
2015-01-28;3;null;3,2;null;null;20,2;89,3;79;1,3;
2015-01-29;2,5;null;19,2;null;null;19;70,3;67;1;
2015-01-30;6,9;null;0;null;null;22,2;54,3;35;1;
2015-01-31;9,4;null;0;null;null;22;47,5;32;2;
2015-02-01;11,4;null;0;null;null;22,6;46,5;40;1,7;
2015-02-02;6,2;null;0;null;null;21;47,8;36;1,7;
2015-02-03;9,1;null;0;null;null;20,6;51,5;38;1,7;
2015-02-04;8,2;null;1,6;null;null;21,2;67,8;49;1,7;
2015-02-05;5,8;null;13,2;null;null;20,4;86,8;65;1,7;
2015-02-06;1,8;null;19,4;null;null;19;93;90;,7;
2015-02-07;1;null;51,2;null;null;18,8;94,5;92;,3;
2015-02-08;,3;null;100,6;null;null;20,2;85,3;77;2,3;
2015-02-09;1,5;null;13,4;null;null;20;89,3;76;2,3;
2015-02-10;1,9;null;1,4;null;null;18,6;69,8;55;1;
2015-02-11;6,9;null;0;null;null;22,6;63;49;1,7;
2015-02-12;7,3;null;0;null;null;20,4;58,5;36;,3;
2015-02-13;8,8;null;0;null;null;19,6;52,8;34;1,7;
2015-02-14;9,4;null;0;null;null;20,2;55,8;34;1;
2015-02-15;9,4;null;0;null;null;22;57;42;1;
2015-02-16;7;null;0;null;null;19,2;59,5;47;1;
2015-02-17;6,4;null;0;null;null;20,6;62;46;1,7;
2015-02-18;7,1;null;0;null;null;20,2;86;68;1;
2015-02-19;3,1;null;13,2;null;null;20,2;81,5;67;,7;
2015-02-20;2,7;null;0;null;null;20;70,8;50;,3;
2015-02-21;5,4;null;0;null;null;19;52,3;40;3;
2015-02-22;8,2;null;0;null;null;17,2;51,8;36;2,3;
2015-02-23;9,4;null;0;null;null;20;58;40;3;
2015-02-24;8;null;8,6;null;null;20,6;71,5;55;1,7;
2015-02-25;4,8;null;0;null;null;20,6;66,8;52;,7;
2015-02-26;5,6;null;0;null;null;20,2;62,3;48;1;
2015-02-27;5,8;null;4,8;null;null;20,4;83,5;60;1,7;
2015-02-28;2,8;null;4;null;null;20;65,5;50;1;
2015-03-01;7,4;null;0;null;null;22,6;67,3;50;1,7;
2015-03-02;6,6;null;0;null;null;21,6;70;53;1,7;
2015-03-03;5,6;null;0;null;null;20;62,8;49;1,7;
2015-03-04;6,6;null;0;null;null;20,4;63,3;48;1,7;
2015-03-05;6,4;null;3;null;null;20,2;74,8;50;1;
2015-03-06;4,2;null;0;null;null;18,4;64;42;1;
2015-03-07;6,8;null;0;null;null;20,2;72,5;47;1;
2015-03-08;4,7;null;3,2;null;null;21,2;70,5;58;1;
2015-03-09;4,4;null;0;null;null;20;73;61;1;
2015-03-10;6;null;9,4;null;null;20,6;81,3;64;,7;
2015-03-11;2,6;null;11,2;null;null;20,6;78,5;53;1,7;
2015-03-12;4,5;null;32,4;null;null;20;80,5;67;1;
2015-03-13;3,3;null;0;null;null;20,2;75;53;,7;
2015-03-14;4,9;null;0;null;null;20,2;65;51;1;
2015-03-15;6,9;null;0;null;null;19;71,3;54;1;
2015-03-16;3,8;null;0;null;null;19,8;70,8;49;1;
2015-03-17;5;null;0;null;null;20,8;70,5;46;,7;
2015-03-18;5;null;3,2;null;null;18,8;65,8;49;1,3;
2015-03-19;5,7;null;0;null;null;18,8;72;55;,7;
2015-03-20;4,6;null;0;null;null;20,1;78,3;61;1;
2015-03-21;2,7;null;12;null;null;19,4;85;69;1;
2015-03-22;2,2;null;0;null;null;19,6;79,8;58;1,7;
2015-03-23;4,1;null;0;null;null;20,2;85,8;72;1;
2015-03-24;2;null;25;null;null;20,6;79,8;59;,7;
2015-03-25;3,9;null;0;null;null;20,8;74,8;61;1,7;
2015-03-26;5;null;0;null;null;18;75;51;1;
2015-03-27;4,2;null;0;null;null;19,2;70;46;1;
2015-03-28;5,9;null;0;null;null;20,2;60,8;48;,7;
2015-03-29;4,9;null;0;null;null;19,6;66;46;1;
2015-03-30;6,2;null;0;null;null;20,8;63,3;43;,7;
2015-03-31;6,2;null;0;null;null;21;72,3;52;1,7;
2015-04-01;5,3;null;0;null;null;20,8;66;44;,3;
2015-04-02;6,2;null;31,4;null;null;20,6;79,5;56;2,3;
2015-04-03;4,3;null;0;null;null;19,4;71,5;65;2,3;
2015-04-04;4,4;null;0;null;null;19,6;74,5;58;1,7;
2015-04-05;5;null;0;null;null;20,6;null;68;1,5;
2015-04-06;3,1;null;8,6;null;null;20;79;52;1,7;
2015-04-07;3,9;null;6,2;null;null;21;76,8;61;1,3;
2015-04-08;4,9;null;2,8;null;null;19,6;84;81;1,7;
2015-04-09;1,9;null;0;null;null;17,4;79;66;1;
2015-04-10;3,2;null;0;null;null;16,8;72,8;54;1;
2015-04-11;5,4;null;0;null;null;16,2;69,8;45;1,7;
2015-04-12;5;null;0;null;null;16;67,5;43;1;
2015-04-13;5;null;0;null;null;16,4;65,5;47;1;
2015-04-14;6,2;null;0;null;null;15,8;59,5;42;1;
2015-04-15;6,6;null;0;null;null;19,4;68,3;58;,3;
2015-04-16;5,1;null;0;null;null;19,8;67,8;55;,7;
2015-04-17;5,1;null;0;null;null;19,8;68;41;,7;
2015-04-18;5,6;null;7,2;null;null;20,8;75;49;1;
2015-04-19;5,2;null;0;null;null;19,4;69,5;50;1;
2015-04-20;6;null;0;null;null;20,2;69;44;1;
2015-04-21;6,5;null;0;null;null;21;72,5;51;1,3;
2015-04-22;5,7;null;0;null;null;20,8;73,8;49;1,7;
2015-04-23;4,2;null;23,6;null;null;20;77,3;53;1,7;
2015-04-24;4,2;null;0;null;null;20,8;73,5;51;1,7;
2015-04-25;3;null;0;null;null;20,4;81,8;61;2,3;
2015-04-26;4,4;null;16;null;null;17,2;64,8;51;1;
2015-04-27;5,6;null;0;null;null;16,4;66;46;1,7;
2015-04-28;5;null;0;null;null;14,6;68,3;44;1,7;
2015-04-29;5;null;0;null;null;17,4;72,3;52;1;
2015-04-30;4,2;null;0;null;null;18,2;null;80;1;
2015-05-01;5,3;null;0;null;null;16,6;67,5;51;1,3;
2015-05-02;5,2;null;0;null;null;19,4;70;49;1;
2015-05-03;5,4;null;0;null;null;15;64,5;47;1,7;
2015-05-04;5,3;null;0;null;null;15,8;71;48;2,3;
2015-05-05;4,9;null;0;null;null;20,2;77,8;65;,7;
2015-05-06;3,3;null;0;null;null;20,4;87;84;1;
2015-05-07;1,9;null;2,8;null;null;20,4;75,5;53;1;
2015-05-08;6,2;null;0;null;null;16,8;75;55;2,3;
2015-05-09;5,9;null;0;null;null;16;64,8;49;1,7;
2015-05-10;4,5;null;0;null;null;15,2;71,3;47;1;
2015-05-11;4,3;null;2;null;null;17,8;88,5;77;,7;
2015-05-12;2;null;0;null;null;17,4;77;59;1;
2015-05-13;3,3;null;0;null;null;14,2;72,5;58;1,3;
2015-05-14;5;null;0;null;null;17,8;73;63;1,7;
2015-05-15;4,4;null;0;null;null;15,4;69,8;54;1;
2015-05-16;4,4;null;0;null;null;15,4;73,8;53;1,7;
2015-05-17;3,9;null;0;null;null;20,7;63;40;2,3;
2015-05-18;5,7;null;0;null;null;16,6;70;56;1,7;
2015-05-19;4,3;null;0;null;null;15,8;65;49;1;
2015-05-20;4,9;null;0;null;null;14,2;66,5;52;3;
2015-05-21;null;null;0;null;null;15,2;64;52;3,7;
2015-05-22;6,6;null;0;null;null;14,4;61,3;47;1,7;
2015-05-23;6,2;null;0;null;null;13,2;65;48;3;
2015-05-24;4,8;null;0;null;null;14,2;64,5;46;1;
2015-05-25;3,8;null;0;null;null;13,6;69;44;,7;
2015-05-26;5,4;null;0;null;null;13,6;58,8;38;1;
2015-05-27;6,7;null;0;null;null;13,4;64;41;1;
2015-05-28;5,5;null;0;null;null;15,4;66,3;44;1,3;
2015-05-29;5,3;null;13,6;null;null;16;81,5;55;1,7;
2015-05-30;2,9;null;0;null;null;15,2;74,8;41;,7;
2015-05-31;4,3;null;0;null;null;13,4;70,5;45;1,3;
2015-06-01;4,8;null;0;null;null;16;78;48;,7;
2015-06-02;3,8;null;0;null;null;17,2;68,5;52;1,7;
2015-06-03;5,1;null;0;null;null;17,2;77;65;3;
2015-06-04;4,2;null;0;null;null;13,6;68;56;3;
