Nome: DIAMANTINA
Codigo Estacao: 83538
Latitude: -18.2386111
Longitude: -43.61694443
Altitude: 1318.05
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2020-02-29
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5,7;9,6;0;30,4;23,8;18,2;68,3;62;,3;
2015-01-02;4,9;null;,3;null;23,7;19,2;75,8;58;,3;
2015-01-03;4;10,8;31,7;30,8;23,8;17;57,3;40;,3;
2015-01-04;7,8;8,8;0;28;21,9;18,4;64;46;,2;
2015-01-05;4,2;12,1;0;28;21,2;16,1;62;39;1,2;
2015-01-06;6,7;8,9;0;27,6;20,5;16;63,3;40;,2;
2015-01-07;4,3;1,6;0;25,6;19,5;16,4;77,3;56;,7;
2015-01-08;4,9;11,2;0;26,8;20;14,6;57;39;,3;
2015-01-09;5,6;12,4;0;26,6;20,7;14,2;61;39;1,4;
2015-01-10;6,3;9,7;0;28,6;21,8;17;60,5;35;,2;
2015-01-11;5,9;12,7;0;29,2;22,1;16;50,3;37;,9;
2015-01-12;5,3;12,2;0;29,8;23,3;17,2;54,8;36;1;
2015-01-13;7;12,2;0;29;22,7;17,8;53,5;39;,7;
2015-01-14;6,8;13,1;0;28;21,7;16,2;48,5;37;,8;
2015-01-15;7,7;8,7;0;28,4;21,1;16,2;59,8;42;,7;
2015-01-16;5;12,8;0;27,6;21,7;16,8;51;37;,8;
2015-01-17;6,5;11;0;28,4;21,9;15,8;51,5;34;,2;
2015-01-18;6,1;12;0;30,2;22,9;16,6;52,5;35;,5;
2015-01-19;7,9;12,8;0;29;22,3;17,5;53,5;35;,2;
2015-01-20;7;12,4;0;28,6;22,1;16,2;55;37;,2;
2015-01-21;6,5;13;0;31,2;23,6;17,2;47,5;29;,3;
2015-01-22;9,1;7,8;0;29,2;23,2;18;52,8;41;,3;
2015-01-23;7,7;7,8;0;28,6;20,1;15,4;72,5;44;,9;
2015-01-24;2,4;4,3;50,6;26;20,6;15,4;61;50;1;
2015-01-25;5;5,8;0;27,2;20,7;17;72,5;50;,5;
2015-01-26;4,5;7;0;27,2;21,7;16,6;72,5;40;,2;
2015-01-27;3,1;6,6;1;27,6;21,3;17,6;81;72;,2;
2015-01-28;3,4;5,8;0;27,8;21,5;17,8;75,3;55;0;
2015-01-29;4,5;9,4;0;29,6;23,2;18,2;57,3;39;0;
2015-01-30;5,7;12,4;2,7;31,2;24,3;17,6;50,3;36;,2;
2015-01-31;7,3;12,6;0;30,2;23,9;18,2;43;33;0;
2015-02-01;8,9;12,4;0;28,8;21,9;17;57;38;0;
2015-02-02;6,7;10,9;0;28,8;22,2;16,8;54,5;39;0;
2015-02-03;7;5,5;0;27,6;21,3;17,2;70;45;0;
2015-02-04;5,5;4,1;,3;27,2;20,2;17;83;65;0;
2015-02-05;2,1;,4;26,4;27,2;19,2;16,4;92,3;74;null;
2015-02-06;,4;0;43,6;19,2;17;15,8;97;98;0;
2015-02-07;,4;0;46,2;19,4;17,6;15,8;99,5;95;null;
2015-02-08;,1;,2;57,6;18,4;17,3;16,6;99;100;null;
2015-02-09;,1;1,7;50,4;22,2;18,4;16,4;89,3;77;,8;
2015-02-10;1;3,8;1,7;26,6;20,2;16,4;80,5;58;0;
2015-02-11;2,4;6;0;25,8;20,3;16,2;77,5;60;0;
2015-02-12;3,5;12,6;0;28,2;21,7;15,8;62;37;0;
2015-02-13;5,9;10,9;0;28,6;22,4;15,4;60,3;40;0;
2015-02-14;6,1;10,6;0;29;22,9;18;55,5;34;0;
2015-02-15;5,9;9,1;0;27,4;21,6;16,4;60,5;45;0;
2015-02-16;5;7,6;0;27,2;21,2;17,4;64,8;47;0;
2015-02-17;4,7;6,8;0;27,2;20,9;15,8;69,3;44;5,7;
2015-02-18;4,8;3,3;0;26,6;20,3;17,6;77,8;53;0;
2015-02-19;2,7;2,4;,2;26,8;21,6;18,4;70,8;51;0;
2015-02-20;4,3;9,1;0;27;21,3;18;61,5;47;0;
2015-02-21;5,7;12,1;0;null;null;16,4;null;45;0;
2015-02-22;6,3;9,5;0;26,8;21,4;17,4;61;40;0;
2015-02-23;6,2;7,6;0;26;20,2;17,2;77,3;63;0;
2015-02-24;3,8;2,5;,8;24,2;19,4;16,4;84,3;70;0;
2015-02-25;2,2;3,7;36,1;26,2;20,4;17,2;79,3;62;0;
2015-02-26;3;9,4;0;28,2;22,2;16,4;69,3;58;0;
2015-02-27;4,4;1,9;19;25,6;19,4;17,1;86;63;0;
2015-02-28;1,7;4,5;,2;27,2;21,3;17,2;83,8;64;0;
2015-03-01;2,2;1,8;57,4;25,2;19,8;17,1;82;58;0;
2015-03-02;1,9;1,9;3;23,6;19,1;15,8;84;69;0;
2015-03-03;2,1;6;0;26,2;20,5;16,6;76,8;56;0;
2015-03-04;3,3;7,3;0;26,5;21;17,7;80,8;74;0;
2015-03-05;2,7;4;23;25,2;19,3;15,4;78,8;75;0;
2015-03-06;1,7;6,8;58;26,2;20,5;16,1;77,3;67;0;
2015-03-07;2,4;6,1;8,6;26,8;20,9;17,2;77,3;56;0;
2015-03-08;3;3,4;0;26,4;21,2;18,3;86,8;81;0;
2015-03-09;2,4;7,8;10,6;27,2;21,5;18;73,3;54;0;
2015-03-10;3,7;1,8;0;25,8;20,9;18;79,3;68;0;
2015-03-11;2,6;9,7;0;27,4;22;17,9;72;58;0;
2015-03-12;3,8;5,1;0;27,6;21,3;18,3;80,5;55;0;
2015-03-13;3,1;9,1;4,7;28,4;22;17;69;50;0;
2015-03-14;4,7;5,6;0;25,8;21,3;16,2;67,5;55;0;
2015-03-15;4,4;3,4;0;25,2;20,9;17,2;71;60;0;
2015-03-16;3,7;,8;0;24,4;21,3;17,2;56,8;53;0;
2015-03-17;4,2;6;0;26,1;21,4;16,9;68;48;0;
2015-03-18;4,4;5;0;26,4;20,2;17;63,8;47;0;
2015-03-19;4,9;4,8;0;25,8;20,4;17,2;66,8;48;0;
2015-03-20;4,6;3,5;0;25,9;20,7;17,4;75,8;63;0;
2015-03-21;2,3;2,4;50,8;23,2;18,1;15,6;91;74;0;
2015-03-22;,9;5,2;1,5;25,1;19,3;16,6;83,8;58;0;
2015-03-23;2,1;4;,7;24,8;20,2;17;86,8;84;0;
2015-03-24;1,1;3,1;12,6;26;20,4;17,3;87;75;0;
2015-03-25;,8;1,9;,4;23,6;19,1;17,2;96;89;0;
2015-03-26;,8;6,3;21,1;25,8;20,6;16,4;79,5;55;0;
2015-03-27;2,5;8,8;,2;27,2;21,5;16,6;70,3;52;0;
2015-03-28;4;10;0;28,2;21,8;17,2;65,5;50;0;
2015-03-29;4,3;10;0;28,4;21,8;16,6;66,8;47;0;
2015-03-30;4,3;10,2;0;30,6;23,4;17,2;62,3;42;0;
2015-03-31;4,5;8,2;0;29,2;22,7;17,5;71;58;0;
2015-04-01;3,6;8,9;0;29,4;23;18;75;65;0;
2015-04-02;2,9;0;47,2;24;19,1;17,4;91,5;77;0;
2015-04-03;1;,1;5,2;20,6;17,9;16,6;92,5;80;0;
2015-04-04;,8;2,4;,1;22,6;19,2;16,3;83,5;68;0;
2015-04-05;1,9;4,4;0;25,6;20,4;16,6;80,3;68;0;
2015-04-06;2,1;8,9;2,4;28,2;22,1;17,4;72,3;51;0;
2015-04-07;3,5;8,4;0;27;21,2;18,3;81,8;70;0;
2015-04-08;3;0;12,6;18,7;16,4;15,2;96,8;93;0;
2015-04-09;,3;0;1,6;19,3;16,7;15;92;82;0;
2015-04-10;,6;1,9;,3;22,8;17,9;15,2;89,3;77;0;
2015-04-11;1,5;2;2;22,1;17,8;15,4;82,8;60;0;
2015-04-12;2,3;7,8;0;24;18,3;13,9;77;62;0;
2015-04-13;2,7;8,4;0;24,4;18,6;14,2;69,3;55;0;
2015-04-14;3,3;6,4;0;24,2;18,1;13,4;72;60;0;
2015-04-15;2,8;6,1;0;25,4;19,2;15;66,5;47;0;
2015-04-16;4;,8;0;24,4;19,5;14,8;79,5;71;0;
2015-04-17;2,4;4;1,1;25;20,7;17;81;64;0;
2015-04-18;4,5;5,9;15,5;26,2;20,5;17,4;78,5;55;0;
2015-04-19;2,3;5,5;0;26,6;21;16,4;76,8;61;0;
2015-04-20;2,8;7,2;0;25,8;22;17,3;71;59;0;
2015-04-21;6,8;,9;0;26,8;21;17,6;88,3;76;0;
2015-04-22;2,1;,1;8,1;24,4;20,7;17,8;84,8;76;0;
2015-04-23;1;,4;4,6;23,8;19,7;17,3;84;67;0;
2015-04-24;2;3,1;0;26;20,7;17,4;77,8;58;0;
2015-04-25;2,4;6,3;0;27,4;19,8;16,6;83,5;59;0;
2015-04-26;2,4;2,1;10,4;22;17;15;91,5;76;0;
2015-04-27;1,1;8,1;,3;23,6;17,9;13,6;73;51;0;
2015-04-28;4,1;7;0;24,2;18;13,1;79;54;0;
2015-04-29;2,8;3,6;2,8;23,2;17,9;13,6;80;66;0;
2015-04-30;1,4;5,3;3;22,6;18;15,2;81,8;80;0;
2015-05-01;1,8;3,4;1;22,2;17,2;14,2;80,8;64;0;
2015-05-02;1,9;1,9;1,4;20,6;16;13,4;79;62;0;
