Nome: ECOPORANGA
Codigo Estacao: 83546
Latitude: -18.365694
Longitude: -40.840656
Altitude: 253.95
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2015-02-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5,6;null;0;34,4;null;18;null;null;null;
2015-01-02;6,4;null;0;34,8;null;19;null;null;null;
2015-01-03;6,9;null;0;34,2;null;22;null;null;null;
2015-01-04;7,8;null;0;33,4;null;21;null;null;null;
2015-01-05;7,5;null;0;34,4;null;19;null;null;null;
2015-01-06;8,4;null;0;33;null;21;null;null;null;
2015-01-07;4;null;19,4;32,4;null;20;null;null;null;
2015-01-08;7,4;null;0;33,2;null;19,7;null;null;null;
2015-01-09;6,2;null;0;32,4;null;19;null;null;null;
2015-01-10;5,5;null;0;35,4;null;23;null;null;null;
2015-01-11;8;null;0;35,6;null;22,4;null;null;null;
2015-01-12;10;null;0;36,8;null;null;null;null;null;
2015-01-13;10;null;0;35,6;null;null;null;null;null;
2015-01-14;9;null;0;34,8;null;null;null;null;null;
2015-01-15;7,9;null;0;35;null;null;null;null;null;
2015-01-16;8;null;0;32,6;null;null;null;null;null;
2015-01-17;6,8;null;,6;36,2;null;null;null;null;null;
2015-01-18;8,4;null;0;36,6;null;null;null;null;null;
2015-01-19;10;null;0;36,6;null;null;null;null;null;
2015-01-20;8,3;null;0;35,4;null;null;null;null;null;
2015-01-21;6,4;null;0;35,8;null;null;null;null;null;
2015-01-22;6,6;null;0;37,4;null;null;null;null;null;
2015-01-23;8;null;0;34;null;null;null;null;null;
2015-01-24;6,3;null;0;35,2;null;null;null;null;null;
2015-01-25;6,5;null;0;35;null;null;null;null;null;
2015-01-26;6,4;null;0;36,6;null;null;null;null;null;
2015-01-27;7,4;null;0;36,4;null;null;null;null;null;
2015-01-28;6,6;null;0;36;null;null;null;null;null;
2015-01-29;6,8;null;0;36,4;null;null;null;null;null;
2015-01-30;7;null;0;38;null;null;null;null;null;
2015-01-31;9,4;null;0;36,4;null;null;null;null;null;
2015-02-01;null;null;null;null;null;null;null;null;null;
2015-02-02;null;null;null;null;null;null;null;null;null;
2015-02-03;null;null;null;null;null;null;null;null;null;
2015-02-04;null;null;null;null;null;null;null;null;null;
2015-02-05;null;null;null;null;null;null;null;null;null;
2015-02-06;null;null;null;null;null;null;null;null;null;
2015-02-07;null;null;null;null;null;null;null;null;null;
2015-02-08;null;null;null;null;null;null;null;null;null;
2015-02-09;null;null;null;null;null;null;null;null;null;
2015-02-10;null;null;null;null;null;null;null;null;null;
2015-02-11;null;null;null;null;null;null;null;null;null;
2015-02-12;null;null;null;null;null;null;null;null;null;
2015-02-13;null;null;null;null;null;null;null;null;null;
2015-02-14;null;null;null;null;null;null;null;null;null;
2015-02-15;null;null;null;null;null;null;null;null;null;
2015-02-16;null;null;null;null;null;null;null;null;null;
2015-02-17;null;null;null;null;null;null;null;null;null;
2015-02-18;null;null;null;null;null;null;null;null;null;
2015-02-19;null;null;null;null;null;null;null;null;null;
2015-02-20;null;null;null;null;null;null;null;null;null;
2015-02-21;null;null;null;null;null;null;null;null;null;
2015-02-22;null;null;null;null;null;null;null;null;null;
2015-02-23;null;null;null;null;null;null;null;null;null;
2015-02-24;null;null;null;null;null;null;null;null;null;
2015-02-25;null;null;null;null;null;null;null;null;null;
2015-02-26;null;null;null;null;null;null;null;null;null;
2015-02-27;null;null;null;null;null;null;null;null;null;

