Nome: SAO MATEUS
Codigo Estacao: 83550
Latitude: -18.71388888
Longitude: -39.8486111
Altitude: 25
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2021-07-23
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,3;11,4;0;34,6;27,5;22,3;72;55;null;
2015-01-02;4,3;11,5;0;34,5;27,8;23,8;72;57;null;
2015-01-03;4;11,8;0;34,7;27,3;22,5;72,8;61;null;
2015-01-04;3,7;11,5;0;33,7;26,7;22;71,3;48;null;
2015-01-05;3,6;11,5;0;34,1;26,9;21,8;73,3;55;null;
2015-01-06;3,9;9,5;0;32,5;26,9;22,3;75,5;61;null;
2015-01-07;2,9;10;0;33,5;26,4;22,3;70;53;null;
2015-01-08;4,3;9;2,6;32,8;26,3;22,1;72;51;null;
2015-01-09;4,1;11,5;0;33,1;26,4;21,5;73,5;57;null;
2015-01-10;3,9;7,7;4,7;32,6;25,7;21,7;79;59;null;
2015-01-11;3,5;11;0;33,8;27,6;22,9;72,8;61;null;
2015-01-12;4;10,4;2;34,1;27,8;22,8;72,8;61;null;
2015-01-13;4;10,1;,3;33,7;27,1;23,4;74,3;56;null;
2015-01-14;4,5;7,4;0;32,2;26,3;21,6;74,8;61;null;
2015-01-15;3,6;7,7;0;34,3;27,1;22,6;71,5;54;null;
2015-01-16;3,7;8,8;,6;33,6;26,1;21,3;73;50;null;
2015-01-17;3,3;11,9;0;34,3;27,2;20,8;72,3;58;null;
2015-01-18;3,8;11,7;0;34,5;27,4;22,6;67;51;null;
2015-01-19;4,2;11,7;0;34,4;27,3;22,2;70,3;50;null;
2015-01-20;4,5;11,5;0;34,7;27;21,1;73,8;59;null;
2015-01-21;3,7;11,5;0;34,8;27;21,1;72;56;null;
2015-01-22;3,8;11,6;0;35,2;27,6;21,8;72,3;61;null;
2015-01-23;4;8,4;1;33,8;27,1;22,8;77;61;null;
2015-01-24;3,6;10,8;0;33,6;26,7;22,8;78,5;62;null;
2015-01-25;3,4;11;0;33,6;26,9;21;70,8;55;null;
2015-01-26;3,7;11,6;0;34,5;27,3;22,4;73,3;56;null;
2015-01-27;3,7;10,5;0;33,8;27,4;22,9;73;57;null;
2015-01-28;3,3;10,5;0;34,6;27,8;23,2;73,8;60;null;
2015-01-29;3,4;11,3;0;35;27,6;22,5;75;55;null;
2015-01-30;4;11,3;0;34,7;27,5;21,9;70,5;51;null;
2015-01-31;4,5;10,9;0;35;27,6;23,3;71,8;51;null;
2015-02-01;2,7;11,8;0;34;27,2;22,3;70,8;53;null;
