Nome: BOA ESPERANCA
Codigo Estacao: 83557
Latitude: -18.53722221
Longitude: -40.27222221
Altitude: 100
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2023-09-28
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,5;10,9;0;36,5;27;20,7;64;48;null;
2015-01-02;6;10,4;0;35,9;26,7;20,9;66;48;null;
2015-01-03;5;10,3;0;35,9;27;23,1;67,3;43;null;
2015-01-04;4;5,6;0;34,9;26,3;19,9;67,5;50;null;
2015-01-05;3;10,9;0;33,9;26,4;20,1;65,5;50;null;
2015-01-06;4,8;10,7;0;31,9;25,7;20,7;68,8;56;null;
2015-01-07;4,2;10,2;0;33,9;25,1;20,7;70,5;57;null;
2015-01-08;5;7,5;0;32,7;24,8;20,1;68;53;null;
2015-01-09;4,6;9,4;0;31,9;24,7;20,5;72;59;null;
2015-01-10;3,4;10,3;0;34,9;25,7;20,1;70,8;54;null;
2015-01-11;4;10,8;0;35,3;26,3;20,1;70,5;50;null;
2015-01-12;4;10,9;0;34,3;25,4;18,9;71;52;null;
2015-01-13;6;10,8;0;35,1;25,9;19,1;69,5;43;null;
2015-01-14;7;5,7;0;31,9;25,7;20,7;72;61;null;
2015-01-15;4;8;0;33,9;25,5;20,3;71,8;53;null;
2015-01-16;4,4;7,6;0;32,1;25,1;20,1;73,5;56;null;
2015-01-17;4,1;10,4;0;35,9;26;19,9;68,8;45;null;
2015-01-18;4,5;11,1;0;35,7;25,9;19,5;68,8;50;null;
2015-01-19;4,9;11;0;36,3;26,1;18,5;69,3;52;null;
2015-01-20;4,6;10,1;0;35,5;25,9;18,1;64,5;40;null;
2015-01-21;5,9;11;0;35,3;26,6;20,5;65;44;null;
2015-01-22;5,1;10,5;0;35,9;26,6;20,7;66;46;null;
2015-01-23;4,9;4,8;0;32,7;25,6;21,1;66,8;53;null;
2015-01-24;4,6;9,2;32,2;32,9;25,4;20,1;70,8;48;null;
2015-01-25;4,1;10,4;0;33,1;25,7;20,7;66,3;46;null;
2015-01-26;4,3;10,2;0;34,7;26,5;20,3;66,5;43;null;
2015-01-27;5;9;0;35,1;26,8;21,7;67,3;46;null;
2015-01-28;4,6;9,9;0;35,9;26,6;21,1;65,5;45;null;
