Nome: PARANAIBA
Codigo Estacao: 83565
Latitude: -19.66361111
Longitude: -51.19138888
Altitude: 429.62
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2025-07-01
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;10,9;0;35,4;29,3;21,7;57,5;44;,7;
2015-01-02;null;10,9;0;35,8;30,1;22,5;57;45;,7;
2015-01-03;null;8,8;0;34,2;26,7;21,5;71,8;50;1;
2015-01-04;null;7,7;9;32,4;25;19,1;75,3;51;,7;
2015-01-05;null;3,6;29;31,2;25,3;19,7;75;64;,7;
2015-01-06;null;7,9;0;33,6;27,1;19,7;68,5;51;,3;
2015-01-07;null;10,8;0;34,8;28,7;20,7;60,3;42;,3;
2015-01-08;null;8,3;0;32,6;27,5;21,5;60,3;53;1;
2015-01-09;null;10,6;0;35,2;28,7;21,7;61,5;50;,7;
2015-01-10;null;11;0;34,8;30,2;24,3;57,8;46;,7;
2015-01-11;null;7,2;0;35,4;29,6;24,5;61,8;44;,3;
2015-01-12;null;10,5;4,6;36,4;30,1;24,3;64,5;45;1,7;
2015-01-13;null;9,2;0;35,2;29,5;24,1;58,8;46;,3;
2015-01-14;null;8,6;0;35,6;28,4;23,7;66;41;,3;
2015-01-15;null;10,2;0;35,4;27,4;22,7;63,8;43;,7;
2015-01-16;null;9,9;5,4;35,2;29,1;23,1;56,3;38;1,3;
2015-01-17;null;11,9;0;36,6;30,9;23,7;47,5;31;,3;
2015-01-18;null;9,3;0;37,2;30,6;24,1;54;37;1,3;
2015-01-19;null;11,7;0;37,4;31,5;25,3;49,8;35;,7;
2015-01-20;null;11,3;0;38,4;30,2;23,9;52,3;43;1,7;
2015-01-21;null;10,1;0;35,4;29,2;23,1;53,8;43;,3;
2015-01-22;null;6,9;0;34,6;26,7;23,1;70;52;,7;
2015-01-23;null;11,4;0;31,8;26,6;21,5;63,3;46;1;
2015-01-24;null;10,2;0;34;29;22,7;51,5;41;1;
2015-01-25;null;3;3,8;30,4;24,9;22,1;77,3;50;1,3;
2015-01-26;null;10,9;0;34,2;26,1;21,3;71,3;41;2;
2015-01-27;null;2;6,8;34,4;24,1;20,3;87;67;,3;
2015-01-28;null;5,6;26,8;32,2;24,6;20,3;84,5;62;1,3;
2015-01-29;null;,7;23;29,6;25,5;21,3;73;62;,3;
2015-01-30;null;9,9;0;34;28,7;22,7;60,3;49;,3;
2015-01-31;null;11,4;0;34,6;29,4;23,9;59;45;1;
2015-02-01;null;10,9;0;34,8;24,6;19,9;78,8;41;1,7;
2015-02-02;null;11,3;53,4;33,6;27,8;19,9;65,3;49;0;
2015-02-03;null;11,4;0;34,6;28,9;21,7;59,3;43;,3;
2015-02-04;null;5;16,6;30,4;22,8;19,9;88,5;62;1,3;
2015-02-05;null;5,2;21,8;32;26;20,1;77;56;,7;
2015-02-06;null;9,1;6,4;32,2;25,9;21,3;78;52;1;
2015-02-07;null;8,7;10,6;31,8;25,3;21,9;81,3;58;1,3;
2015-02-08;null;10,1;1,2;32,8;26;22,1;72;54;1,3;
2015-02-09;null;2,4;0;30,8;25,3;21,7;84,8;75;,3;
2015-02-10;null;10,5;9,8;32,6;26,2;22,1;75;54;,7;
2015-02-11;null;8,8;14,4;32,2;25,4;20,9;79,8;54;,3;
2015-02-12;null;10,9;29;33;27,9;21,7;70;55;,7;
2015-02-13;null;6,2;0;32,6;28,1;23,7;73,5;59;1,3;
2015-02-14;null;6;0;32,6;25,9;21,7;77,3;74;1;
2015-02-15;null;8,2;6,6;32,6;27,3;20,9;65;51;1,3;
2015-02-16;null;4,6;27,2;28,8;24,8;20,5;81,8;66;1;
2015-02-17;null;3,8;20,2;29,8;23,6;20,1;87;66;1,3;
2015-02-18;null;4,4;42,4;30,4;24,3;20,3;85,5;71;1;
2015-02-19;null;2,9;0;29,2;23,3;19,9;87,3;70;1,7;
2015-02-20;null;2,5;50,4;29,6;24;20,1;91;89;,7;
2015-02-21;null;10,8;9,8;30,6;26,2;20,9;71,5;58;1,7;
2015-02-22;null;11,3;0;33,4;28,2;22,7;63,5;42;,3;
2015-02-23;null;11;0;33,6;28,4;22,7;60,3;46;1;
2015-02-24;null;9,7;0;33,8;27,5;22,3;59,8;41;1;
2015-02-25;null;9,6;0;32,8;26,9;22,3;65;50;1,7;
2015-02-26;null;4,8;0;30,2;24,9;22,7;77;67;1,3;
2015-02-27;null;8,4;0;31,8;26,4;19,7;72;58;1;
2015-02-28;null;9,5;13,6;31,2;26,7;21,3;71;58;,3;
2015-03-01;null;9,3;0;32;25,9;21,7;77;57;,7;
2015-03-02;null;8,1;7;31,6;25,9;22,3;79,5;57;,7;
2015-03-03;null;7,7;0;31,6;26;21,9;75,3;62;,7;
2015-03-04;null;8;0;32,4;26,7;21,3;67;49;,7;
2015-03-05;null;6,4;0;32,4;26,3;22,1;75;54;1;
2015-03-06;null;5,7;0;31,4;27;22,1;72,8;67;1;
2015-03-07;null;6,2;0;32,2;24,5;19,9;82,5;60;,3;
2015-03-08;null;2,8;8;30,8;24,5;21,7;86;63;,7;
2015-03-09;null;2,7;15,2;30;23,7;20,9;88,5;65;,7;
2015-03-10;null;5,1;28,8;29,4;24;19,9;86,5;67;1,3;
2015-03-11;null;10,8;0;32,8;26;19,5;69,8;44;,3;
2015-03-12;null;9,7;0;32,8;25,1;20,7;69,5;51;1,7;
2015-03-13;null;6,6;15,6;30,8;23,6;18,9;84,3;69;1,7;
2015-03-14;null;6,3;5,8;30,4;23,1;19,5;86,8;58;1;
2015-03-15;null;10;18,6;30,4;24,7;19,7;79;57;1;
2015-03-16;null;10,4;2;31;25,6;20,1;71,8;55;,3;
2015-03-17;null;9,1;0;31,8;23,9;19,9;81;54;1;
2015-03-18;null;7,1;1,6;29,2;23,2;19,5;83;67;,7;
2015-03-19;null;4,8;4;27,6;23;18,9;83,5;67;1,3;
2015-03-20;null;3,3;37,8;26,4;22,4;18,3;88,8;79;,7;
2015-03-21;null;3,4;1,2;26,8;22,1;18,8;91;86;,7;
2015-03-22;null;8,8;31,8;29,4;23,9;18,9;80;57;,3;
2015-03-23;null;10,5;1,2;31;25,7;19,7;66,5;50;,3;
2015-03-24;null;10,4;0;31,6;26,3;20,1;64,8;48;,7;
2015-03-25;null;9,9;0;32;25,7;19,7;65;52;1,3;
2015-03-26;null;6,6;0;33,4;26,6;22,3;69,3;59;,7;
2015-03-27;null;4,7;,8;29;24,4;19,9;78,5;65;,3;
2015-03-28;null;9,5;0;32;27,4;20,9;69,3;57;,3;
2015-03-29;null;5;0;31,8;25,1;21,3;83,3;61;,7;
2015-03-30;null;7;29;31,8;24;20,1;86,5;60;0;
2015-03-31;null;5,7;20;30,8;25,7;19,9;80;62;,7;
2015-04-01;null;8,3;37,6;31,2;25,5;20,1;82,8;59;0;
2015-04-02;null;5;0;31;26,7;21,9;75,3;63;,3;
2015-04-03;null;6,7;0;30,8;26,3;21,3;71,3;61;0;
2015-04-04;null;9,8;0;32;25,7;20,9;77,8;58;1,3;
2015-04-05;null;2,4;2;31,6;25,5;21,9;79,5;59;,7;
2015-04-06;null;6,1;0;29,6;24,5;20,1;72,5;60;2;
2015-04-07;null;9,2;0;29;23,8;18,5;69,3;58;1;
2015-04-08;null;9,7;0;30,4;23,2;12,2;67,8;55;1;
2015-04-09;null;8,9;0;32;25,5;19,5;65,8;49;,3;
2015-04-10;null;9,9;0;31,8;25,8;19,9;69,5;48;1;
2015-04-11;null;10,2;0;32,4;26,3;19,7;63,3;53;,7;
