Nome: POMPEU
Codigo Estacao: 83570
Latitude: -19.228937
Longitude: -45.001336
Altitude: 692.21
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2015-12-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;8,2;null;0;35;28,5;21,7;53,3;39;,5;
2015-01-02;9;null;0;36,6;28,5;22,5;51,5;30;,5;
2015-01-03;10;null;,2;36;27,3;21,7;57,8;38;,5;
2015-01-04;7,5;null;52,6;32,8;26,7;19,1;62,3;48;,5;
2015-01-05;6,3;null;0;33;27;21,1;51,5;36;,7;
2015-01-06;7,5;null;0;33,8;27;19,7;47,5;36;,2;
2015-01-07;9,2;null;0;32,6;26;20,9;55;44;,7;
2015-01-08;7,3;null;0;32,8;25,9;17,9;44,5;38;,7;
2015-01-09;8,2;null;0;33,6;26,4;17,9;41,5;33;,7;
2015-01-10;9,3;null;0;35;27,5;18,9;45,8;33;,3;
2015-01-11;9;null;0;34,8;27,9;20,7;40;28;,3;
2015-01-12;10,7;null;0;36;28;19,4;40,3;23;,5;
2015-01-13;10,8;null;0;36,2;28,6;20,5;39;29;,5;
2015-01-14;10,6;null;0;35;28,4;20,7;39;32;,5;
2015-01-15;9,8;null;0;33,2;26,3;20,1;49,5;37;,5;
2015-01-16;7,7;null;0;34,8;27,3;18,9;41;28;,5;
2015-01-17;10,7;null;0;35,4;27,8;19,7;37;25;,2;
2015-01-18;10,5;null;0;36;28,1;19,5;35,8;22;,5;
2015-01-19;11,3;null;0;36;28,2;20,5;38;25;,7;
2015-01-20;12,7;null;0;35,8;28,5;21,7;37,8;26;,3;
2015-01-21;11;null;0;36,6;28,8;20,1;40;31;,8;
2015-01-22;11,5;null;0;35;28,7;22,1;41,8;31;,8;
2015-01-23;9;null;0;33;23,2;19,1;70,3;41;,7;
2015-01-24;,2;null;20,4;30,2;23,2;19,1;74,8;52;,3;
2015-01-25;2,5;null;1,4;30;23,9;19,3;77,3;74;,5;
2015-01-26;3,4;null;7;33;24,2;18,5;68,3;39;,3;
2015-01-27;4,6;null;5,4;32,2;23,1;19,2;83,8;69;,5;
2015-01-28;4,3;null;28,2;29;23,1;18,7;75,3;55;,5;
2015-01-29;3,9;null;0;32,8;25,7;19,6;68,5;48;,3;
2015-01-30;6;null;0;34,4;27,4;20,5;60,8;40;,5;
2015-01-31;7,7;null;0;35,4;28,6;22,1;50;39;,5;
2015-02-01;12,3;null;0;34;27,5;20,9;48,8;40;,5;
2015-02-02;8,2;null;0;34;27,5;20,5;51,3;37;,5;
2015-02-03;9;null;0;33,6;23,9;18,7;67,5;34;,5;
2015-02-04;6;null;11,6;30,2;23,4;19,3;74,5;46;,3;
2015-02-05;4,1;null;3,8;28,2;22,5;20,1;85,5;62;,8;
2015-02-06;2,4;null;44,2;23,4;20,3;18,9;93,3;88;,2;
2015-02-07;1;null;2,1;27;21,6;18,5;89,5;80;,2;
2015-02-08;2;null;14,6;23,4;21,5;19,9;94,5;89;,5;
2015-02-09;,7;null;19,4;26,2;22,3;20,3;84;69;,5;
2015-02-10;2;null;0;32,4;25,3;19,5;71,3;49;,3;
2015-02-11;3,7;null;13;29,6;24,5;21,1;78,8;56;,5;
2015-02-12;3,4;null;0;33,6;26,3;20,3;60;40;,5;
2015-02-13;6,5;null;0;34,2;26,9;18,7;59;45;,3;
2015-02-14;6,9;null;0;34,4;27,4;19,9;51,5;37;,7;
2015-02-15;7,6;null;0;33,2;27,3;21,9;56,8;43;,5;
