Nome: UBERABA
Codigo Estacao: 83577
Latitude: -19.73722221
Longitude: -47.94972221
Altitude: 753.41
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2018-08-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;6,7;10,6;0;34,3;25,5;20,4;74,5;44;1,3;
2015-01-02;3;9,6;15,4;34,3;25,8;20,2;68,5;42;2;
2015-01-03;3,5;4,7;3,4;32,7;25,9;20,6;72;61;3;
2015-01-04;3,8;5,8;1,1;31,5;24,3;19,4;75;65;,7;
2015-01-05;3,2;6,1;,1;30,3;24,1;20,4;73,3;61;2,7;
2015-01-06;2,7;7;1,4;33,3;25,3;20,4;73,5;46;1,3;
2015-01-07;3,9;10,8;,9;33,9;26,9;19,4;56,8;42;1,7;
2015-01-08;6;10,2;,1;32,7;26,5;22,4;59,3;44;1,3;
2015-01-09;5,7;10,9;0;34,7;25,9;19;57,5;41;1,3;
2015-01-10;6,5;11,1;0;34,5;27,3;19,8;58,3;47;1;
2015-01-11;6,4;11,4;0;35,5;27,6;21;58,8;38;,7;
2015-01-12;7,9;10,3;0;35,5;28,3;21,2;54,5;33;1,3;
2015-01-13;6,9;8,7;0;34,7;27,1;20,4;58;41;1,7;
2015-01-14;6,2;10;0;35,1;26,7;18,6;61,8;41;2;
2015-01-15;6,1;10,9;1,6;34,9;27,9;20;49;44;2;
2015-01-16;7,7;11,4;0;34,9;26,4;19,2;50,3;33;2;
2015-01-17;9,9;11,5;0;36,3;27,1;19,6;49,3;27;2,7;
2015-01-18;8,9;10,6;0;36,7;28,2;19,8;49,5;33;1,3;
2015-01-19;8,1;11,4;0;36,7;29,1;19,6;40,3;32;3;
2015-01-20;10;11;0;37,1;28,2;21;49,5;32;2,3;
2015-01-21;9;9,3;0;36,7;26,9;21,4;57,3;38;1,3;
2015-01-22;6,4;6,5;,6;33,9;23,9;20;74;44;,7;
2015-01-23;3,4;3,8;24,1;30,9;23,3;19,4;71,3;51;1,7;
2015-01-24;7,6;8,8;0;30,7;24,8;19,6;65,5;52;2;
2015-01-25;5,1;7,5;0;31,5;24,3;20,6;71;51;1,7;
2015-01-26;3,7;3,4;0;29,5;23,7;20;83,8;80;1,3;
2015-01-27;2,2;3,8;20,4;30,7;23,9;20;77,5;65;1,3;
2015-01-28;2,3;2,2;21;29,3;24,2;20;77;76;0;
2015-01-29;2;6,8;1,3;31,1;25,5;21;71,3;62;1;
2015-01-30;3,4;10,7;0;33,7;27,1;19;54;41;1,3;
2015-01-31;5,8;4,9;0;33,9;25,7;20,4;82,8;61;1,3;
2015-02-01;2,7;6,6;15;34,3;22,9;18,4;76;46;3;
2015-02-02;3,8;4,9;31,4;33,7;24,5;18,6;71,3;55;2;
2015-02-03;3,5;10,9;23;33,1;24,5;17,4;67,5;47;2,3;
2015-02-04;4,2;,5;0;26,9;23,3;19,8;78,5;73;2,7;
2015-02-05;,7;2,9;5,2;28,3;23,3;19,8;89,3;82;,7;
2015-02-06;1,5;6,6;63,1;29,1;22,1;18;83,8;63;1;
2015-02-07;2,5;4,4;,3;29,5;22,9;19;83,8;65;1,7;
2015-02-08;2;2,8;0;28,3;23,2;19,8;92,5;79;,7;
2015-02-09;1;4,2;25;28,1;23,1;19,6;79,3;65;1,3;
2015-02-10;3,5;6,3;0;32,1;23,6;20,2;83;57;,7;
2015-02-11;1,5;6,9;37,4;30,9;22,9;18,8;83,3;58;1,7;
2015-02-12;2,9;9,2;8,6;33,1;25,1;19,6;75,5;50;1,3;
2015-02-13;4,2;11,1;0;33,7;25,8;20,4;62,8;38;,7;
2015-02-14;5,5;11,2;0;34,3;26,3;18,6;61,5;42;0;
2015-02-15;3,5;7,2;28,3;32,1;23,5;18,4;80;61;1,3;
2015-02-16;2,3;3,4;45;29,7;22,7;19,6;82,5;61;1,7;
2015-02-17;2,3;5,5;8;29,9;23,9;20,2;75,5;55;2,7;
2015-02-18;2,6;,7;13,4;24,9;21,5;19,4;84;73;1,3;
