Nome: ARAXA
Codigo Estacao: 83579
Latitude: -19.60555555
Longitude: -46.94972221
Altitude: 1018.28
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,8;10,8;0;33,1;26,1;19,8;58,5;40;null;
2015-01-02;7,9;8,8;0;32,7;26,2;20,8;64,8;48;null;
2015-01-03;6,8;7,2;0;33,5;25,3;21,6;66,8;52;null;
2015-01-04;6,5;4,7;3;29,9;23,1;18,4;73;54;null;
2015-01-05;5,5;6,8;0;30,1;23;19,8;73;55;null;
2015-01-06;5,3;3,8;,3;29,9;23,3;19,6;71,5;51;null;
2015-01-07;5,8;9,7;0;31,3;25;20;58;41;null;
2015-01-08;8,5;10,8;0;30,7;24,7;19,2;55,8;40;null;
2015-01-09;10,2;11,5;0;31,5;25;19,6;50,3;33;null;
2015-01-10;10,4;10,6;0;33,3;26,2;19,6;44,5;33;null;
2015-01-11;9,7;11,4;0;33,3;26,9;20,6;47,8;38;null;
2015-01-12;11,7;11,4;0;33,9;26,9;20,4;44,3;33;null;
2015-01-13;12,7;10,5;0;33,1;26,5;21,4;45,3;35;null;
2015-01-14;12,1;8,4;0;33,1;25,7;21,8;56,3;41;null;
2015-01-15;9,7;11,3;0;32,5;26,1;21,4;45,8;38;null;
2015-01-16;12,5;11,5;0;32,5;26;20,8;42;32;null;
2015-01-17;13,5;10,8;0;33,7;26,7;20,8;39,5;26;null;
2015-01-18;11,8;11,2;0;34,7;27;20;40,5;29;null;
2015-01-19;14,8;11,5;0;34,3;27,4;22,4;40,8;27;null;
2015-01-20;14,2;11,4;0;34,5;27,2;21,6;41;33;null;
2015-01-21;12,5;6,8;0;33,7;25,3;19,6;59,3;42;null;
2015-01-22;7,3;3,5;7;29,5;22,1;19;73,8;51;null;
2015-01-23;5,9;2,6;4,6;28,3;21;18;76,3;56;null;
2015-01-24;4,5;2,4;1,2;26,5;21,7;17,6;73,8;60;null;
2015-01-25;5;3,9;,4;28,1;22;18,6;79;67;null;
2015-01-26;3,5;4,2;0;29,7;21,9;19;88;83;null;
2015-01-27;2,7;5,7;2,9;29,5;22,9;18,2;74,3;59;null;
2015-01-28;3,8;4;1;29,1;22,9;19;79;67;null;
2015-01-29;4;5,9;0;31,5;23,6;19;73;48;null;
2015-01-30;4,1;8,1;0;32,7;25,7;19,4;64;46;null;
2015-01-31;6;7,2;34,4;33,5;24,6;19;70,3;57;null;
2015-02-01;6;7,4;2;31,3;24,2;20,2;64,8;51;null;
2015-02-02;6,4;5,2;20,2;30,5;21,5;17,6;80,5;67;null;
2015-02-03;3,6;10,1;8,2;30,7;22;17,2;72,8;43;null;
2015-02-04;4,8;2,4;15;26,7;21,1;18,2;91,5;83;null;
2015-02-05;1,9;3,7;19,6;25,3;20,9;18,6;92,5;91;null;
2015-02-06;1,5;3,6;40,5;25,3;19,9;16,4;86;73;null;
2015-02-07;1,7;5,5;0;29,5;21,3;17,4;84,3;57;null;
2015-02-08;2,8;2,1;13,8;24,2;20,8;19,2;91,5;85;null;
2015-02-09;,8;1,1;60,6;23,6;21,2;19;86,8;77;null;
2015-02-10;1,6;4,9;1,6;27,5;22,1;19,2;86,3;81;null;
2015-02-11;2,9;5,7;2,9;28,1;22,9;19;76,3;60;null;
2015-02-12;4,1;10,4;0;30,5;24,9;19;64;52;null;
2015-02-13;6,7;11,1;0;31,5;25,6;19,8;51,8;35;null;
2015-02-14;8,5;10,6;0;32,9;25,5;19,8;59;41;null;
2015-02-15;7,3;7,9;0;31,1;23,2;19;73,8;52;null;
2015-02-16;5,2;3,7;4,6;28,9;21,4;18,2;82,3;59;null;
2015-02-17;3,3;6,1;4,8;28,3;22,5;18,8;76;65;null;
2015-02-18;3,1;,2;56,2;22,8;20;18,4;92,8;75;null;
2015-02-19;1,2;2,4;16,6;26,5;21,6;18,6;83,8;69;null;
2015-02-20;2,6;3,3;73,4;27,5;21,8;17,8;79;60;null;
2015-02-21;3,8;10,9;0;29,3;23,4;19;65,5;49;null;
2015-02-22;8;10,9;0;29,5;23,6;19;61;49;null;
2015-02-23;9;11,4;0;28,9;23,3;19,2;59,5;44;null;
2015-02-24;8,7;8,9;0;29,5;22,8;18,4;69,8;49;null;
2015-02-25;5,8;7,3;,3;29,5;22,9;19,4;73;57;null;
2015-02-26;4,1;3,5;14,8;27,7;21,8;18,8;81,8;69;null;
2015-02-27;2;1,5;2,8;27,1;21,9;18,6;84;73;null;
2015-02-28;2,4;6,2;,8;29,5;22,7;17,8;84;77;null;
2015-03-01;3;6,6;2,8;28,5;22,3;19,6;79;60;null;
2015-03-02;5,8;7,8;,1;27,3;22,5;19,4;73,8;61;null;
2015-03-03;5,2;6,1;0;28,7;22,5;19,2;78,3;62;null;
2015-03-04;3,5;4,3;,8;29,1;20,9;17,4;89;79;null;
2015-03-05;2,6;8,5;12,8;28,5;22,3;16,8;73,3;58;null;
2015-03-06;3,6;10,1;0;30,9;23,3;18,4;71;46;null;
2015-03-07;4,4;5,3;22,4;28,9;23,2;19,6;79,5;75;null;
2015-03-08;3;3,9;7,4;28,3;21,2;18,8;89,3;73;null;
2015-03-09;1,7;3,7;62,8;27,7;21,4;18,6;84,5;68;null;
2015-03-10;2,1;,9;21,2;26,1;21;18,8;87,3;67;null;
2015-03-11;1,4;3,5;23,8;26,7;21,2;18,4;88;73;null;
2015-03-12;1,2;0;56,4;21,2;19,5;18,8;92,8;88;null;
2015-03-13;,9;1,5;1,6;25,5;20,9;18;85,3;69;null;
2015-03-14;1,7;0;1,5;24,8;20,7;19;89,5;92;null;
2015-03-15;1,6;,3;9;25,9;21,6;18,8;83,5;72;null;
2015-03-16;2,4;2,2;,5;28,1;22,4;18,8;77,5;63;null;
2015-03-17;3,4;,8;1,8;24,4;20,4;19,2;87,5;69;null;
2015-03-18;2;,3;2;23,6;19,4;17,8;91,3;89;null;
2015-03-19;1,4;,6;44,6;21,2;19;17,6;92,5;89;null;
2015-03-20;,9;0;5,4;22,8;19,3;17,8;93,5;90;null;
2015-03-21;1,1;3,5;30,8;23,2;18,9;17;90,8;88;null;
2015-03-22;1;3,6;5,8;25,9;20,9;17;82,3;67;null;
2015-03-23;2;5,9;4,4;27,7;21,3;18,2;80,3;45;null;
2015-03-24;2;4,3;20,3;27,1;23,1;18,2;80,8;53;null;
2015-03-25;3,7;7,6;0;29,5;22,8;19,2;75,5;62;null;
2015-03-26;4,3;6,3;0;28,7;23,6;19,2;74,8;58;null;
2015-03-27;3,5;1,6;0;28,1;22,5;19,8;85,8;80;null;
2015-03-28;1,9;9,5;0;31,1;24,1;18,6;69,8;44;null;
2015-03-29;4,4;5,5;0;29,9;23,7;20;80,3;72;null;
2015-03-30;2,9;5,3;0;29,7;22,7;19,4;82,5;62;null;
2015-03-31;2,7;6,3;27,2;29,7;22,6;18,4;75,5;60;null;
2015-04-01;4;7,5;0;31,1;23,2;19,2;73,3;50;null;
2015-04-02;3;6,3;2;28,1;22,2;17,6;81;63;null;
2015-04-03;2,9;6,1;8,4;27,7;22,3;19;76,3;60;null;
2015-04-04;4,2;4,3;0;26,9;22;19;80,8;67;null;
2015-04-05;3,2;,2;14,3;22,8;19,9;18,4;94,3;87;null;
2015-04-06;,6;8,2;15;27,3;21,3;18;83,5;65;null;
2015-04-07;2,7;,2;0;24,8;19,9;18;85,3;68;null;
2015-04-08;2,3;7,4;1;26,1;19,8;17;77,5;60;null;
2015-04-09;3,9;3,8;0;25,5;20,1;17,4;81,3;70;null;
2015-04-10;3,1;6,3;0;27,9;21,3;17,2;70,5;55;null;
2015-04-11;5;10,2;0;28,5;21,7;16,8;69;48;null;
2015-04-12;5;9,9;0;29,3;22,6;17,4;65;50;null;
2015-04-13;5,2;7,9;0;28,7;22,1;18,2;73;51;null;
2015-04-14;5,2;3,5;0;28,3;21,7;18,4;68,8;44;null;
2015-04-15;5,2;3;0;26,7;21,6;19,2;80;59;null;
2015-04-16;2,8;8,5;40;28,9;21,9;18,4;79,3;58;null;
2015-04-17;3,2;10,2;0;29,9;23,2;19;69,5;52;null;
2015-04-18;5,2;7,1;0;28,9;22,7;19,4;77,8;56;null;
2015-04-19;4;7,5;0;30,1;23,5;20;76,8;53;null;
2015-04-20;3,8;7,5;2,8;30,9;23,7;19,8;76;49;null;
2015-04-21;3,2;5;,2;30,7;22,3;18,2;85,5;58;null;
2015-04-22;2;4,8;3,6;29,3;21,9;18,8;84,3;69;null;
2015-04-23;2,6;4,8;20,4;28,5;22,4;18,8;80,3;64;null;
2015-04-24;2,9;4,3;0;27,1;21,7;19,4;83,8;66;null;
2015-04-25;2;9,4;,4;28,9;22,1;18;73,8;52;null;
2015-04-26;4,5;10,3;0;27,7;20,2;15,2;65;46;null;
2015-04-27;6,9;9,7;0;27,7;20,7;16;66,8;53;null;
2015-04-28;6;7,2;0;27,5;21;17;64,5;55;null;
2015-04-29;4,6;6,1;0;26,3;20,1;16,6;74,5;51;null;
2015-04-30;3,7;10;5,5;30,3;21,1;16,6;68,5;44;null;
2015-05-01;5,2;6,9;0;26,5;20,1;17;80,8;60;null;
2015-05-02;3,2;6,8;36,8;25,9;20,3;17,4;78,3;58;null;
2015-05-03;3,6;9,3;0;26,5;20,7;16,4;66,3;45;null;
2015-05-04;6;1;0;24,6;19,9;17,4;83,5;68;null;
2015-05-05;2,3;4,4;8;25,7;20,7;18,6;89,8;80;null;
2015-05-06;1,7;0;14,2;20,8;19,1;17,6;92,3;89;null;
2015-05-07;,3;10,3;1,4;27,1;19,9;16;70,8;45;null;
2015-05-08;5,4;9,7;0;24,8;18,6;14,8;66,5;50;null;
2015-05-09;6,8;8,7;0;26,7;20,1;15,4;73,8;58;null;
2015-05-10;5,4;4;0;25,9;20,9;17;77,3;62;null;
2015-05-11;2,8;0;26;21,6;17,6;15,6;90,3;80;null;
2015-05-12;1;8,3;0;23,2;17,4;14,2;75;53;null;
2015-05-13;3,5;7,1;0;24;18,2;14,2;65;46;null;
2015-05-14;6,7;7,9;0;24;18,3;15,2;78,3;60;null;
2015-05-15;4,1;3,3;0;22,2;18;16,2;80,3;66;null;
2015-05-16;3,9;5,2;0;22,6;17,3;14,4;75,8;58;null;
2015-05-17;4,7;8,3;0;23,2;17,8;14,2;74;60;null;
2015-05-18;4,9;1,3;0;22,4;18,6;16,4;81,8;67;null;
2015-05-19;3,6;6,7;0;24,2;19,5;16,8;77,3;59;null;
2015-05-20;5;,9;,8;22,2;17,9;16,2;84;64;null;
2015-05-21;2,9;7,9;7,4;23,6;18,3;15,4;78,3;61;null;
2015-05-22;4,6;9,6;0;24;18,4;15;73,3;57;null;
2015-05-23;5,4;8;0;24,4;18,8;14,8;69,5;53;null;
2015-05-24;4,8;9,8;0;26,7;20,4;15;68,3;53;null;
2015-05-25;3,9;9,9;0;28,1;21,3;16;66,5;43;null;
2015-05-26;4,9;10;0;28,1;21,2;15,4;56,3;38;null;
2015-05-27;7,8;9,8;0;26,5;20,7;16,6;61;41;null;
2015-05-28;5,5;6,8;0;24,6;18,5;15,8;78,5;69;null;
2015-05-29;3,1;8,4;2,2;23,6;17,5;13,4;80;60;null;
2015-05-30;2,9;9,1;0;26,9;19,9;14,2;70,3;47;null;
2015-05-31;4,4;9;0;27,5;22;17;61,8;48;null;
2015-06-01;5,3;7,5;0;27,3;20,2;16,6;78;53;null;
2015-06-02;3,9;1,4;14;23,6;18,6;16;88;72;null;
2015-06-03;2,1;7;45,7;23,4;18,6;15,8;81,8;66;null;
2015-06-04;4;9,7;0;23,2;17,7;14,4;75,5;54;null;
2015-06-05;5;9,9;0;24;18,2;14,4;72,5;53;null;
2015-06-06;5,8;9,6;0;25,3;19,1;15;74,3;57;null;
2015-06-07;5,8;9,3;0;27,1;20,1;15,6;68;56;null;
2015-06-08;5,6;9,6;0;26,1;19,9;16,2;59,8;40;null;
2015-06-09;7,2;9,8;0;26,1;19,7;15,8;56;41;null;
2015-06-10;6,7;7,8;0;25,5;20,7;15;56;46;null;
2015-06-11;5,2;9,8;0;27,3;19,8;13,4;59,5;32;null;
2015-06-12;6,6;9,7;0;27,3;20,3;15;57,5;38;null;
2015-06-13;6,1;9,8;0;27,3;20,5;15,8;59,8;42;null;
2015-06-14;5,9;7,8;0;26,5;20,9;16,2;60,5;42;null;
2015-06-15;5,9;7,9;0;27,5;21;18,2;73,8;46;null;
2015-06-16;4,4;5,6;0;27,5;21,3;16,4;71,8;52;null;
2015-06-17;3,8;4,8;0;26,3;20,9;17,4;75,5;62;null;
2015-06-18;3,7;9,1;0;26,9;21,2;17,2;68,3;54;null;
2015-06-19;4,1;5,1;5,4;26,7;20;17,4;78;58;null;
2015-06-20;4,6;6,3;0;21,4;16,9;14,2;76,3;65;null;
2015-06-21;5,7;9,5;0;22,2;16,8;13;73,3;55;null;
2015-06-22;4,4;9,6;0;23,4;17,5;13,6;68;46;null;
2015-06-23;5,5;9,3;0;23,4;18;13,4;63;44;null;
2015-06-24;5,7;9,3;0;23,2;18,1;15;58,3;41;null;
2015-06-25;7,3;3,1;0;20;16,2;14;76;64;null;
2015-06-26;4,8;8,5;0;21,4;16;13;71,3;54;null;
2015-06-27;4,9;9,9;0;20,2;14,6;11;67,8;45;null;
2015-06-28;6,3;9,6;0;21,8;15,5;11,2;68,5;48;null;
2015-06-29;6;9;0;22,6;16,4;12,4;70,3;52;null;
2015-06-30;5,9;6,1;0;23,4;18;14;69,8;55;null;
2015-07-01;4,3;6;0;24,8;19,8;15,2;64;54;null;
2015-07-02;4,9;4,2;0;25,7;19,9;16,6;65;50;null;
2015-07-03;5;6,6;0;25,7;19,9;15,8;62;47;null;
2015-07-04;5,3;7,8;0;26,7;20,1;16;68,8;43;null;
2015-07-05;4,8;8,4;0;26,5;19,9;15,4;77,8;54;null;
2015-07-06;3,8;1,6;1,4;20,2;17,4;15,8;86,3;77;null;
2015-07-07;2,8;3,1;0;21,8;18,2;15,4;74,5;62;null;
2015-07-08;4,2;,6;0;19,4;15,8;14;88,8;75;null;
2015-07-09;1,4;8,7;6;24,8;18,1;12,6;75,5;52;null;
2015-07-10;3,6;9,9;0;26,7;19,7;15;62,3;41;null;
2015-07-11;7,4;9,4;0;27,7;21,3;16,8;56;41;null;
2015-07-12;7,2;9,9;0;27,9;21;16,8;51,8;37;null;
2015-07-13;8,6;10;0;27,3;20,8;16,2;54,8;38;null;
2015-07-14;7,7;8,1;0;26,9;21;16;61,3;43;null;
2015-07-15;6,8;9,1;0;27,7;21,3;17,2;60,5;44;null;
2015-07-16;9;5,6;0;24,6;18,6;15,8;64,3;47;null;
2015-07-17;8,7;8,5;0;24;18,2;14,4;64;44;null;
2015-07-18;8;7,3;0;24,2;17,8;13,6;66,3;48;null;
2015-07-19;6,6;9,8;0;24,8;18,6;13,8;56,3;33;null;
2015-07-20;8,2;6,3;0;24,4;18,6;14,6;67,8;49;null;
2015-07-21;4,8;9,9;0;26,9;20,1;13,8;58,3;38;null;
2015-07-22;6;9,4;0;27,7;20,6;15;56,3;36;null;
2015-07-23;8,7;9,6;0;25,5;19,6;15,8;59;42;null;
2015-07-24;7,5;9,9;0;26,3;19,6;14,6;63,3;47;null;
2015-07-25;6,3;8,6;0;27,3;20,3;15,2;57,5;33;null;
2015-07-26;5,7;3,8;0;25,7;20;15,6;64;47;null;
2015-07-27;4,4;8,2;0;27,9;21;15,4;56,8;44;null;
2015-07-28;7,2;9,5;0;27,9;21,9;17;56,3;41;null;
2015-07-29;7,6;9,5;0;28,3;21,8;17,8;51,3;36;null;
2015-07-30;10,2;10;0;26,1;20,2;16,6;51,3;34;null;
2015-07-31;9,5;10,2;0;26,5;19,8;14,4;51,5;37;null;
2015-08-01;9,4;10,2;0;26,3;19,3;13,8;52;36;null;
2015-08-02;8,8;10,1;0;25,9;19,4;14,4;52,3;38;null;
2015-08-03;7,7;10,3;0;27,3;20,5;14,4;47,8;34;null;
2015-08-04;8,4;10,2;0;27,7;20,8;16;44,3;31;null;
2015-08-05;10,4;10,1;0;26,7;20,1;15,4;46,8;31;null;
2015-08-06;8,1;10,1;0;26,9;20,5;14,8;46,3;33;null;
2015-08-07;9,1;10,1;0;27,5;20,8;14,8;40,5;27;null;
2015-08-08;10,7;9,8;0;27,5;20,3;16;49,8;34;null;
2015-08-09;10,4;10,1;0;26,1;19,3;15;56,8;39;null;
2015-08-10;8,8;9,8;0;26,3;19,5;14,6;60,3;41;null;
2015-08-11;8,5;10,1;0;24,2;18;14,2;51,5;34;null;
2015-08-12;10,4;10,4;0;24,6;17,6;12;53,3;42;null;
2015-08-13;9,1;10,3;0;24,8;17,8;12,6;52,8;33;null;
2015-08-14;9,7;10,2;0;25,3;18,4;12,8;52,8;35;null;
2015-08-15;9,9;10;0;26,7;20;14,2;51;31;null;
2015-08-16;8,6;8,7;0;27,3;20,4;15,8;49;34;null;
2015-08-17;10,5;9,6;0;26,5;20,1;16,2;47,8;32;null;
2015-08-18;11,3;7,4;0;27,3;21,2;17;50,5;32;null;
2015-08-19;8,6;9;0;28,3;21,9;15,8;51,3;34;null;
2015-08-20;6,2;10,2;0;28,5;20,2;15,2;40,8;26;null;
2015-08-21;10,5;10,2;0;29,5;20,8;14,8;39,8;19;null;
2015-08-22;10,2;10,3;0;29,9;21,3;13,6;37,5;18;null;
2015-08-23;8,8;10,4;0;30,7;22,5;16,8;35;18;null;
2015-08-24;10,3;9,9;0;30,7;23,5;16;37;25;null;
2015-08-25;12,7;8,8;0;29,3;21,8;16,6;54;34;null;
2015-08-26;9,8;10;0;29,9;22,6;16,6;48,3;30;null;
2015-08-27;10,7;4,3;0;26,1;20,1;17,2;57,5;41;null;
2015-08-28;6,9;1,4;0;24,8;20;15,6;50,3;38;null;
2015-08-29;8,7;9,9;0;29,7;22,2;16;51,3;37;null;
2015-08-30;8,9;9,4;0;29,3;22,7;17,4;48,8;36;null;
2015-08-31;10,3;10,5;0;31,1;23,7;17,4;40,8;28;null;
2015-09-01;10,2;10,4;0;32,5;25,1;18,8;36;24;null;
2015-09-02;12,1;10,1;0;31,5;24,5;19;37,8;25;null;
2015-09-03;11,8;9,8;0;32,1;25;19;37;22;null;
2015-09-04;10,3;9,6;0;32,9;24,8;17,2;31;16;null;
2015-09-05;12,7;6,3;0;30,5;24,1;18,6;48,3;31;null;
2015-09-06;8,7;6,6;0;30,9;24,5;19;47;35;null;
2015-09-07;9,8;7,5;0;32,1;24,1;20,4;57;32;null;
2015-09-08;8,1;4,9;9;25,5;21,4;18;76,5;66;null;
2015-09-09;3,5;,2;68,4;22,4;18;15,4;89,3;78;null;
2015-09-10;1,3;0;,5;18,8;17,8;15,6;85;92;null;
2015-09-11;2,1;0;1,6;19;18,1;17,2;88,8;78;null;
2015-09-12;1,4;6,9;2,4;25,5;20,7;16,8;73;61;null;
2015-09-13;3,4;4,6;0;27,1;20,9;18,2;74,8;54;null;
2015-09-14;3,9;7,1;0;28,3;21,1;16;72,5;45;null;
2015-09-15;5,1;10;0;30,9;22,9;17,8;53;38;null;
2015-09-16;8,6;10,4;0;30,9;23,9;18,6;48;35;null;
2015-09-17;11,9;10,5;0;32,1;24,8;19,2;43,8;33;null;
2015-09-18;12,8;10,7;0;33,1;25,5;20;35,3;21;null;
2015-09-19;13,5;10,8;0;32,5;25,4;20;29;16;null;
2015-09-20;15,7;10,8;0;32,1;24,3;17,6;28;20;null;
2015-09-21;14,7;10,7;0;32,1;24,5;18;31,5;23;null;
2015-09-22;14,5;10,6;0;31,3;24,9;19,8;38,3;24;null;
2015-09-23;11,7;10,5;0;32,3;26,1;20;36,8;26;null;
2015-09-24;12,2;10,1;0;34,9;27,9;22,4;39,5;29;null;
2015-09-25;11,7;10,2;0;35,3;28,3;23,4;36,3;22;null;
2015-09-26;12,3;8,8;0;33,1;26,2;20,6;50;37;null;
2015-09-27;11,4;10;0;33,5;27,3;22,2;40,3;31;null;
2015-09-28;11,1;,1;0;27,4;22,5;19,4;74,3;38;null;
2015-09-29;3,7;0;0;22,4;19,3;17,8;83,8;81;null;
2015-09-30;2;,5;2,2;26,5;21,1;17;62;43;null;
2015-10-01;8,2;8;0;31,5;25,8;19,8;39,5;29;null;
2015-10-02;13,3;6,7;0;32,3;25,9;22,2;46;26;null;
2015-10-03;12,5;8,1;0;32,5;26,1;21;39,5;27;null;
2015-10-04;10,5;2,6;0;29,7;24,3;20;60;42;null;
2015-10-05;5,9;10,4;0;33,5;25,3;19,4;46,5;24;null;
2015-10-06;11,9;10,6;0;33,1;24,8;19;52;32;null;
2015-10-07;10,3;9,8;0;32,9;24,9;18,6;54,5;36;null;
2015-10-08;9,2;9,3;0;33,1;25,5;19,4;46;33;null;
2015-10-09;12,9;10,6;0;32,9;25,7;19,4;34,3;28;null;
2015-10-10;14,4;6,6;0;30,5;24,7;20;48,3;32;null;
2015-10-11;11,3;10;0;33,1;26,4;21;30;20;null;
2015-10-12;16;9,3;0;33,7;26,5;20,6;36;25;null;
2015-10-13;11,3;8,9;0;32,9;25,5;17,4;39,3;26;null;
2015-10-14;14,6;10,7;0;34,1;26,9;21;32;23;null;
2015-10-15;14,7;10,7;0;35,1;27,9;21,4;27,5;18;null;
2015-10-16;18,3;9,9;0;36,1;28,9;22,4;28,5;23;null;
2015-10-17;11,2;9,1;0;35,6;29,7;24,4;26;19;null;
2015-10-18;17,1;8,1;0;34,7;28,7;24;32,5;24;null;
2015-10-19;12,4;9,9;0;34,3;27,2;20,4;42;27;null;
2015-10-20;13,7;10,2;0;35,5;28,1;22;39,5;27;null;
2015-10-21;13;8,2;0;35,7;26,8;22;48;27;null;
2015-10-22;11,8;5,4;0;35,6;27,9;23;43;29;null;
2015-10-23;9;7,3;18,4;32,1;23,9;19,2;68,8;45;null;
2015-10-24;7,2;10,6;0;32,6;25,3;18,4;53,8;40;null;
2015-10-25;11,5;8,5;0;32,1;25,9;21;51;40;null;
2015-10-26;9,2;2,2;,4;28,1;22,9;20;76,5;49;null;
2015-10-27;5;4,8;1,2;29,1;23;20;75;50;null;
2015-10-28;5,3;,2;3;24,6;21,5;20;84,3;70;null;
2015-10-29;2;7,7;0;25,7;22,8;20;73,5;70;null;
2015-10-30;6,4;10,6;0;29,3;23,4;18,2;58;50;null;
2015-10-31;10,3;5,9;0;30,1;23,6;19,8;67,8;45;null;
2015-11-01;5,9;,7;0;23,8;21,2;19,4;88,3;77;null;
2015-11-02;3,4;4,7;12;26,1;22,4;18,8;81,5;71;null;
2015-11-03;4,3;,4;0;26,1;22,8;20,4;77;75;null;
2015-11-04;2,8;6,3;0;32,6;25,6;20,4;56,3;39;null;
2015-11-05;8;8,4;0;27,1;24,3;20,4;66;57;null;
2015-11-06;5,9;11;0;32,9;25,9;20,2;53,8;34;null;
2015-11-07;10,3;3,3;0;null;null;18;78,8;64;null;
2015-11-08;4,4;6;29,8;29,9;24,1;18;63,8;45;null;
2015-11-09;7,3;,7;0;28,1;23,1;21,2;68;47;null;
2015-11-10;4,5;8;0;32,6;25,2;21;58,5;39;null;
2015-11-11;10;9,6;0;34,1;26,4;21,2;51;33;null;
2015-11-12;9,7;4,7;0;27,3;23,9;20,2;66,5;56;null;
2015-11-13;6,3;6,7;0;30,5;24,2;20;64,8;40;null;
2015-11-14;5,8;5,6;9,4;30,9;23,7;20;70,3;51;null;
2015-11-15;5,2;2,1;8,7;25,3;22;20;85,8;74;null;
2015-11-16;2;5;2,4;29,5;23,6;20;74,5;53;null;
2015-11-17;3,4;6,7;19,6;29,6;21,8;19,2;82;58;null;
2015-11-18;3,7;8,7;13;29,5;23,7;18,2;69;53;null;
2015-11-19;4,4;7,2;0;29,9;23,6;19;75,3;54;null;
2015-11-20;4,2;2,5;,8;24,6;22,4;19,8;87;81;null;
2015-11-21;2,2;6,4;14;31,1;24,2;19,8;72,8;51;null;
2015-11-22;4,6;6,1;0;30,1;24,3;21,4;76,5;66;null;
2015-11-23;4,3;8,5;0;32,6;23,2;18,6;73,5;45;null;
2015-11-24;3,7;0;31,4;21,4;19,9;18,2;86,3;83;null;
2015-11-25;1;4,7;5;28,7;21,6;17,2;78,8;62;null;
2015-11-26;4,5;8,4;0;31,3;24,1;16,8;60;42;null;
2015-11-27;6,8;10,9;0;31,5;25,1;20;62,5;45;null;
2015-11-28;7,1;6,9;4,2;28,1;23,2;20,8;80,5;66;null;
2015-11-29;2,6;2,6;12,4;24,8;21,8;20,2;89,5;88;null;
2015-11-30;2,7;6;5;27,1;22,8;20,2;82;64;null;
2015-12-01;3,7;4,9;5,2;29,1;23,5;20;73,8;59;null;
2015-12-02;3,9;5,8;0;31,1;23,2;19,4;76,8;57;null;
2015-12-03;3,6;8,4;42;31,5;23,5;19;74,8;55;null;
2015-12-04;4;8,3;11,2;31,1;22,5;17,8;76,5;44;null;
2015-12-05;3,3;3,6;20,6;29,1;22,7;19,2;80;59;null;
