Nome: FLORESTAL
Codigo Estacao: 83581
Latitude: -19.885422
Longitude: -44.416889
Altitude: 753.51
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2018-07-04
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5;null;0;34,8;null;null;null;null;null;
2015-01-02;5;null;11;35,2;null;null;null;null;null;
2015-01-03;5,2;null;0;35,5;null;null;null;null;null;
2015-01-04;5,5;null;0;36;null;null;null;null;null;
2015-01-05;5;null;0;35,4;null;null;null;null;null;
2015-01-06;4;null;0;33,3;null;null;null;null;null;
2015-01-07;4,2;null;0;33,8;null;null;null;null;null;
2015-01-08;4;null;0;33;null;null;null;null;null;
2015-01-09;4,2;null;0;33,4;null;null;null;null;null;
2015-01-10;4,4;null;0;33,5;null;null;null;null;null;
2015-01-11;5;null;0;35;null;null;null;null;null;
2015-01-12;5,5;null;0;36,2;null;null;null;null;null;
2015-01-13;5,8;null;0;37;null;null;null;null;null;
2015-01-14;6;null;0;37,4;null;null;null;null;null;
2015-01-15;6,2;null;0;37,9;null;null;null;null;null;
2015-01-16;4,2;null;0;33,6;null;null;null;null;null;
2015-01-17;4,2;null;0;33,9;null;null;null;null;null;
2015-01-18;4;null;0;34,4;null;null;null;null;null;
2015-01-19;5,4;null;0;36,5;null;null;null;null;null;
2015-01-20;5,2;null;0;36;null;null;null;null;null;
2015-01-21;5,8;null;0;36,6;null;null;null;null;null;
2015-01-22;6,4;null;1,2;38;null;null;null;null;null;
2015-01-23;4;null;2,4;35;null;null;null;null;null;
2015-01-24;3,5;null;2,2;32,5;null;null;null;null;null;
2015-01-25;3,2;null;68;31,6;null;null;null;null;null;
