Nome: BAMBUI
Codigo Estacao: 83582
Latitude: -20.0311111
Longitude: -46.00888888
Altitude: 684.43
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2018-04-04
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,3;9,8;0;35,7;26,4;18,8;66,8;41;,8;
2015-01-02;5;3,1;0;36,1;26,5;19;70,8;41;1,2;
2015-01-03;4,5;7,4;45,4;35,5;24,8;19,4;73,5;50;1,2;
2015-01-04;4,2;7,7;6,4;31,9;23,5;19,8;84,8;60;1,2;
2015-01-05;3,1;3,6;0;31,3;24;19,4;78,5;56;,8;
2015-01-06;3,3;7,4;,8;33,5;25,2;20,2;78,3;53;1;
2015-01-07;3,7;9,5;0;31,1;24,6;20,2;71,8;54;1,3;
2015-01-08;5,3;12,5;0;32,3;27,9;17;43,3;44;1,3;
2015-01-09;4,9;12,5;0;32,7;23,4;16;70,3;33;1;
2015-01-10;6,2;12,5;0;34,8;25;16,8;66,3;36;1,2;
2015-01-11;5,8;12,6;0;34,8;24,1;12,2;68;42;1,2;
2015-01-12;6;12,4;0;35,3;25,6;16,6;65,5;37;1,2;
2015-01-13;4,6;11,7;0;34,9;25,9;18,2;68,8;40;1;
2015-01-14;5,7;11,5;0;35,1;26,4;18,8;63,8;40;1,3;
2015-01-15;4,8;9,9;0;34,1;25,6;18,8;60,5;41;1,3;
2015-01-16;6,4;10,7;0;33,5;24,1;16,4;66,5;37;1,2;
2015-01-17;7;12,4;0;35,5;25,2;16,8;65,5;39;1,3;
2015-01-18;5,8;12,5;0;35,8;25,5;16,4;61,5;35;1,3;
2015-01-19;5,9;12,3;0;35,9;25,5;16,6;60;35;1,3;
2015-01-20;6,9;12,4;0;35,1;25,1;16,6;62;33;1,2;
2015-01-21;6;11,1;0;35,9;26,2;16,8;53;31;1,7;
2015-01-22;7;2,2;0;32,9;24,3;20;69,8;52;1,5;
2015-01-23;4,1;1,3;6,3;27;22;18,8;89;75;,8;
2015-01-24;2,9;2,9;5,2;29,5;22,1;19;83;65;1,5;
2015-01-25;2,6;3,5;4;28,6;23,1;18,4;82,8;62;1,3;
2015-01-26;1,8;3,6;0;29,8;23;19,2;86,3;71;1;
2015-01-27;1,6;4,1;12;30,9;22,7;18,6;81;66;1,7;
2015-01-28;2,3;2,7;0;30,3;22,9;18;93;83;1;
2015-01-29;1,5;5,4;39;30,9;24,5;19,6;83,8;63;1;
2015-01-30;2,7;11,9;0;35,7;26,2;18,8;73,5;44;1,3;
2015-01-31;4,6;7,7;0;34,9;26,1;20,2;68;46;2,7;
2015-02-01;3,7;9,1;5;33,5;25,2;18,8;75,5;46;1,3;
2015-02-02;4,7;5;0;31,9;24,9;20,2;73;66;1,3;
2015-02-03;3,4;7,4;1,2;31,2;23;17,2;79,3;58;1,2;
2015-02-04;3,2;1,5;0;28,8;22;18,4;94,5;88;1;
2015-02-05;1,3;,5;18,5;28,8;22,1;19;94,3;89;1;
2015-02-06;,9;1,3;55,2;26,2;20,5;18,2;90;75;,7;
2015-02-07;1,9;6,7;0;29,4;22,5;18;86,5;71;1,3;
2015-02-08;2,3;1;7,6;26,2;22,7;20,2;92,3;89;1;
2015-02-09;2,5;,1;16,5;25,6;21,8;19,6;96,5;92;,8;
2015-02-10;,7;3,9;3;28,8;23,6;20;88;78;1,5;
2015-02-11;1;5,2;0;29,4;23;20,4;86,5;65;1,4;
2015-02-12;3,1;11,6;0;32,7;24,3;18,2;78;50;,7;
2015-02-13;5;10,4;0;33,9;23,7;16,8;75,3;42;1;
2015-02-14;5,4;10,7;0;33,9;24,8;17,4;70,3;39;1;
2015-02-15;5,1;5,7;0;32;24,4;19,8;78;70;1,2;
2015-02-16;2,8;3,3;5,6;30,9;23;19,8;86,3;66;1,3;
2015-02-17;2;2,4;33;28,4;22,7;19,5;89,3;77;1,3;
2015-02-18;1,8;0;16,6;24,2;21,6;20,2;96,5;95;1;
2015-02-19;,5;,5;25;27,2;21,7;19,8;95;89;1,2;
2015-02-20;1,2;3,9;11,8;28,4;22,7;19,6;87;64;1,2;
2015-02-21;2,8;10,3;0;31,5;23,8;17,4;76,3;51;1,3;
2015-02-22;4,2;11,2;0;31,1;23,4;16,8;79;63;1,3;
2015-02-23;4;9;0;31,1;22,2;16,6;80,3;48;1,4;
2015-02-24;3,5;11,1;0;30,9;23,7;16,4;74;52;1,4;
2015-02-25;4,9;3,8;0;29,4;22,5;19,4;85,8;62;,8;
2015-02-26;2,5;4,3;3,3;30,9;23,4;19,2;87,3;78;,7;
2015-02-27;1,7;2,5;,6;29,8;22,9;18,2;91,8;87;,8;
2015-02-28;1;8,6;3,4;33,5;24,6;18;77;56;1;
2015-03-01;3,8;2,4;0;28;22,9;20,4;85,5;71;1,2;
2015-03-02;2,7;3,4;0;29;22,8;20,6;86;73;,7;
2015-03-03;2,4;8,1;0;30,3;23,4;18;78,8;59;1;
