Nome: SETE LAGOAS
Codigo Estacao: 83586
Latitude: -19.48454
Longitude: -44.173798
Altitude: 753.68
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2016-07-20
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,1;8,4;0;35;25;19,4;72,5;41;1,4;
2015-01-02;3;7,4;76,8;35,4;25,9;19,6;67,5;42;,7;
2015-01-03;2,9;8,9;0;34,5;27,4;20,2;63,5;58;1,2;
2015-01-04;3,1;7,6;13,1;32,2;24,7;20,3;75;48;1;
2015-01-05;2,7;11;1,2;32,6;25,4;18,9;60,8;41;1,5;
2015-01-06;3,8;10,2;0;32,4;24,8;18,1;58,5;41;1,4;
2015-01-07;3,5;6,4;0;29,1;22,8;18,3;67,8;52;1,9;
2015-01-08;3,1;11,2;0;31,2;23,4;16,6;55,5;38;1,4;
2015-01-09;4,4;11,2;0;31,3;24,2;16,5;54,8;37;,8;
2015-01-10;4,2;11,4;0;32,6;25;17,1;55,5;40;1,4;
2015-01-11;4,5;11,4;0;33,6;25,3;17,3;51,3;33;,7;
2015-01-12;5,4;11,3;0;33,6;25,5;16,8;45,8;30;,5;
2015-01-13;5,4;11,4;0;34,2;26,5;19,3;49,5;33;1,2;
2015-01-14;5,9;11,5;0;33,4;25,9;19,1;51;37;1,7;
2015-01-15;5,2;5,4;0;31,4;23,4;16,7;59,8;36;,8;
2015-01-16;4,1;11,4;0;33,4;24,7;16;54;36;,8;
