Nome: BELO HORIZONTE
Codigo Estacao: 83587
Latitude: -19.93444444
Longitude: -43.95222222
Altitude: 915.47
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;7,4;6,5;0;32,9;26,4;21,6;61;45;1,4;
2015-01-02;5;7,5;,4;32,6;27;21,7;57;46;,9;
2015-01-03;5,1;8,5;0;33,4;27,4;21,4;56,5;47;1,6;
2015-01-04;6,9;4,9;0;30,2;25,5;21,2;60,5;49;1,4;
2015-01-05;5,6;5,4;0;30,3;25,3;20,2;52,8;44;1,2;
2015-01-06;7,8;7;0;30,2;24,6;19,9;53,8;49;1,7;
2015-01-07;8;9,9;0;27,6;23,2;19,6;59,5;47;1,6;
2015-01-08;6,4;11,7;0;29,8;24,2;20,6;47;36;1,2;
2015-01-09;8,5;11,8;0;30,6;25,1;20,9;42,5;30;,8;
2015-01-10;9,3;11,3;0;33,2;26,7;21,3;44,5;34;,8;
2015-01-11;8,3;11,7;0;33,1;27;22;40,8;27;1,4;
2015-01-12;10,5;11,9;0;32,8;27,5;22,9;35,3;25;,7;
2015-01-13;11,9;10,3;0;33,3;27,8;24;41,8;32;,7;
2015-01-14;11,5;11,4;0;32,2;26,5;23,4;47,8;37;,8;
2015-01-15;10,1;5,7;0;29,6;25,1;21,8;48,5;41;,9;
2015-01-16;8;11,7;0;31,6;26,2;22,2;44,8;35;1,5;
2015-01-17;8,8;11,6;0;32,2;26,7;22,2;41,5;30;,7;
2015-01-18;9,2;11,8;0;32,8;27,2;22,4;38,8;27;1,2;
2015-01-19;11,6;11,5;0;32,2;26,5;22,9;45,3;33;1,1;
2015-01-20;9,9;11,7;0;32,6;27;22,2;38,8;29;1,5;
2015-01-21;9,3;9,2;0;33,9;27,2;22,6;44,3;31;,7;
2015-01-22;7,4;9,2;6,8;32,4;27,5;22,6;43;33;1,1;
2015-01-23;8,8;4,1;0;29,6;24,5;21,6;52,8;40;1,3;
2015-01-24;5,8;1,4;1;27,9;21,9;19,6;77,3;57;1;
2015-01-25;3,3;7,6;14,2;29,7;22,6;18,7;71;52;1,2;
2015-01-26;2,6;7,8;31;31,2;23,1;18,8;70;41;1,4;
2015-01-27;3,7;1,9;34,1;28,3;21,8;18,9;76,5;52;,4;
2015-01-28;3,1;3;5,1;29;22,5;18,9;74;60;1;
2015-01-29;4,2;9,1;10,2;31,7;25,1;20,2;63,8;42;1,8;
