Nome: C. DO MATO DENTRO
Codigo Estacao: 83589
Latitude: -19.02027777
Longitude: -43.43388888
Altitude: 663.02
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;2,7;9,2;16,4;34,4;26,3;20,1;72;45;1;
2015-01-02;4,7;9,2;0;34,6;25,1;20,2;76,8;60;1,7;
2015-01-03;4,8;9,6;23,6;34,6;27;18,4;59,3;39;3,3;
2015-01-04;7,8;8,7;0;32,3;26;20,6;64,3;50;2,7;
2015-01-05;6,2;9,3;0;32,2;24,7;17,5;62,8;47;1,9;
2015-01-06;6,2;8,1;0;31,3;23,9;17,2;58,3;41;2,2;
2015-01-07;8,3;,8;0;26,7;22,5;18,5;75,5;55;2,2;
2015-01-08;3,5;10,1;0;30,6;23,3;16,8;59,5;42;2,4;
2015-01-09;5,3;10,8;0;31,3;23,7;16,3;61,8;41;1,6;
2015-01-10;9,6;10,4;0;32,6;25,3;18,6;60,3;42;2;
2015-01-11;8,4;11,1;0;33,2;25,1;15,3;52,3;37;3,1;
2015-01-12;7,7;11,3;0;34,2;25,7;15,2;54,8;39;1,6;
2015-01-13;7,1;10,9;0;33,9;26,5;17,8;48,3;43;2,2;
2015-01-14;9,8;11;0;32,1;23,7;15,7;61;40;2,9;
2015-01-15;7,3;9,9;0;32,6;24,4;16,1;59,3;41;2,5;
2015-01-16;6,2;10,9;0;31,9;24,8;15,7;55,8;45;2,6;
2015-01-17;6,3;11,3;0;32,7;24,5;15,5;54;36;1,5;
2015-01-18;7,2;10,8;0;33,9;25,8;15,8;49,5;35;2,8;
2015-01-19;7,7;10,7;0;33,3;25,6;16,8;48,5;38;3,1;
2015-01-20;10,1;11,5;0;33,1;24,6;15,7;59,3;42;1,7;
2015-01-21;6,1;10,9;0;34,2;25,9;15,2;46,5;36;2,5;
2015-01-22;8,6;9,4;0;34,6;24,9;16,1;58,5;36;1,5;
2015-01-23;8,6;6,5;0;32;24,3;20,6;70,5;47;3,3;
2015-01-24;3,2;3,1;11,7;29,6;23,7;20;72,8;51;1,9;
2015-01-25;5,3;6,1;0;30,4;23,7;18,9;69,3;49;2,9;
2015-01-26;3,3;7,6;0;32,4;25,2;18,5;67,8;47;2,1;
2015-01-27;5,2;5,3;0;31,4;24;20;73,3;49;1,3;
2015-01-28;3,5;7,1;4,4;32,5;23,4;18,9;80;48;2,3;
2015-01-29;3,6;9,3;42,2;33,9;24,6;18,1;70,8;40;,6;
2015-01-30;4,2;10,2;0;35,6;25,8;16,9;63,3;36;1,2;
2015-01-31;7,3;10,6;0;35,3;27,3;19,1;47,5;39;1,4;
2015-02-01;7,3;10,6;0;33,2;25,4;17,7;56,5;43;2,2;
2015-02-02;7,4;10,6;0;33,2;25,4;17,3;53,8;44;3,2;
2015-02-03;6,8;4,9;0;31,3;24,8;16,9;58,5;44;1,5;
2015-02-04;5,2;3,2;1,4;30,2;23,1;18,7;78;56;2,2;
2015-02-05;2,7;1,4;3,5;27;21,7;19,6;89;72;1,3;
2015-02-06;1,3;0;57,9;23,5;20,1;18,1;94,3;94;,8;
2015-02-07;,7;0;40,7;23,2;20,6;17,9;94;90;1;
2015-02-08;,4;0;37,8;21,5;20,6;19,8;95,8;92;,8;
2015-02-09;null;1,9;null;27,8;22,5;19,1;83,5;58;2,1;
2015-02-10;2,4;5,6;0;30,1;24;20,7;80,5;67;1,9;
2015-02-11;3,6;6,8;0;31,6;25,2;20,2;69,5;58;1,9;
2015-02-12;4,5;9,5;0;32,8;24,6;18,2;73;47;1;
2015-02-13;3,9;10,4;0;33;25,7;17,1;59,8;39;2,3;
2015-02-14;5,6;9,7;0;33,6;24,9;17,3;66,3;43;1,1;
2015-02-15;6,5;10,7;0;32,2;25,2;17,5;61,8;45;2,8;
2015-02-16;5,5;10;0;31,4;25;17,8;64;48;2,7;
2015-02-17;5,9;6,8;0;31,6;25;19;67,8;46;2;
2015-02-18;6,3;3,4;0;29,5;23,3;20,4;77,5;54;2,5;
2015-02-19;2,7;4,1;4,8;31,2;24;19,8;78,5;54;1,9;
2015-02-20;5;8,3;0;31,4;25,1;21,5;58,8;43;2,9;
2015-02-21;5,7;10;0;30,4;23,5;16,9;59,8;46;2,8;
2015-02-22;5,5;9,8;0;31;24,3;15,7;58,8;42;3,4;
2015-02-23;6,5;8,8;0;30,9;23,9;18,5;69,8;47;2;
2015-02-24;5,1;2,5;,5;28,6;22,2;19,2;84,5;59;1,5;
2015-02-25;2,2;4,2;12,8;30;24,5;19,4;73;57;1,7;
2015-02-26;3,7;8,6;0;32,5;24,9;18,1;70,8;50;,9;
2015-02-27;3,3;5,9;10;30;23,1;18,5;80,5;64;1;
2015-02-28;2,9;6,1;0;31,2;23,6;19,1;81,8;55;1,8;
2015-03-01;2,9;5,4;5,8;27,2;23,4;20,8;80,5;72;1,1;
2015-03-02;3;3,2;2,4;29;23,8;20;73,8;57;1,6;
2015-03-03;3,1;7,3;0;31,7;24,8;20,2;72;52;1,4;
2015-03-04;4,6;6,5;0;31,4;25,4;21,5;66,8;46;1,7;
2015-03-05;2,5;5,6;47,1;30,6;23,2;18,6;79,3;52;1,2;
2015-03-06;3,6;7,2;0;30,9;23,4;18,3;77,5;52;1,3;
2015-03-07;3;8,6;0;32,4;25,2;18,8;71,3;56;1,3;
2015-03-08;5,7;3,4;0;30,2;24,3;19,8;83,3;74;1,7;
2015-03-09;1,7;5,4;0;30,1;25;20,9;82,8;72;2,3;
2015-03-10;3,1;null;0;28,1;23,4;18,4;83;65;1;
2015-03-11;1,5;null;0;30,8;24,3;19,1;75,3;63;1,5;
2015-03-12;4,3;null;0;31,9;24,8;20,3;76,3;54;1,4;
2015-03-13;2,8;null;0;32,5;24,8;19,3;71,5;44;,9;
2015-03-14;5,5;null;0;31,2;23;15,1;73;51;1,4;
2015-03-15;4,9;null;0;30,4;22,6;14,4;83,3;68;1,3;
2015-03-16;3;null;0;30,8;23,9;18,2;74,8;52;1;
2015-03-17;3,7;null;0;31,2;24;17,3;68;47;1,9;
2015-03-18;5,8;null;0;29,8;23,1;18,4;70;47;2,1;
2015-03-19;4,6;null;0;30,2;23,7;17,6;66,3;46;2,1;
2015-03-20;5,6;null;0;30,7;23,7;19,2;75,3;50;1,5;
2015-03-21;3;null;19,1;27,3;21,6;19,6;86;64;1,1;
2015-03-22;2,2;null;16,6;30;22,4;18,4;81,5;50;2,5;
2015-03-23;4,7;null;,4;28,2;22,4;18,4;93,8;86;,6;
2015-03-24;,8;null;29,2;29,4;23,3;19,7;82,5;58;,9;
2015-03-25;1,6;null;0;25,6;21,6;19,8;89;81;2,8;
2015-03-26;2,6;null;16,2;30,4;23;18,2;80;54;1,1;
2015-03-27;2,9;null;0;32,1;23,5;17,7;77,8;46;1,1;
2015-03-28;3,5;null;0;32;23,6;17,5;75,8;46;1,1;
2015-03-29;5,1;null;0;32,3;23,6;16,8;76,8;48;,8;
2015-03-30;4,6;null;0;34;25,8;17,3;67;44;1,7;
2015-03-31;4,7;null;0;32,7;25,8;19,7;70,8;47;,6;
2015-04-01;3,3;null;0;33,6;24,8;19,6;73;49;1,6;
2015-04-02;4,4;null;8,9;25,6;22,2;19,8;84,8;76;2,2;
2015-04-03;2;null;0;23,8;21,5;19,8;85,3;76;1,6;
2015-04-04;2,1;null;0;27,8;22,8;18,4;74,3;64;1,3;
2015-04-05;3,4;null;0;30,6;23,9;20,6;80,3;63;1,1;
2015-04-06;2;null;15,8;31,2;23,9;18,5;79;53;1,5;
2015-04-07;3,8;null;2,6;29;23,1;19,9;81,8;80;1,9;
2015-04-08;3,3;null;11,2;21,8;19,1;17,8;93,3;82;1,5;
2015-04-09;,4;null;8,8;24;19,7;17,4;87,3;75;,7;
2015-04-10;1,9;null;0;24,5;20,3;16,4;85,3;71;,7;
2015-04-11;1,2;null;0;27,6;21,5;18,3;76,3;53;2;
2015-04-12;3,9;null;0;28,2;20,4;15,5;81,5;56;,9;
2015-04-13;1,4;null;0;28;19,9;15,1;83,3;57;1,6;
2015-04-14;2,3;null;0;25,8;18,6;14,4;86,8;61;1,2;
2015-04-15;1,4;null;0;28,7;20,2;15,1;80,3;51;,8;
2015-04-16;2,9;null;0;29;22,2;17,3;77,5;53;,7;
2015-04-17;2,1;null;0;29,9;23,8;18,8;74,5;55;1,3;
2015-04-18;3;null;0;29,9;23,5;20,7;77,5;54;1,5;
2015-04-19;4;null;0;30,2;22,7;17;81,5;63;,4;
2015-04-20;3,2;null;0;31,4;23,7;17,8;74,3;47;1,3;
2015-04-21;2,8;null;0;31,8;23,3;19;86,5;64;1,6;
2015-04-22;3,4;null;73,9;30;23,3;18,8;84,3;62;,5;
2015-04-23;1,4;null;10;27,6;null;19,6;null;65;,9;
2015-04-24;2,8;null;0;30;24;20,9;79,5;61;1;
2015-04-25;1,9;null;0;30,4;22,6;19,4;84,5;56;1,5;
2015-04-26;2;null;16,4;27,2;21,3;17,5;78,3;58;1,9;
2015-04-27;2,6;null;0;27,4;20,1;16;80,5;52;1,6;
2015-04-28;2,5;null;0;28,1;20,6;16,3;79,3;50;1,4;
2015-04-29;2,7;null;0;27,3;20,2;15;83,8;58;2;
2015-04-30;2,5;null;0;28,3;21;17,1;83;57;1,3;
2015-05-01;2,7;null;0;27,2;21,4;17,5;76,3;51;,8;
2015-05-02;2,4;null;0;24,3;19,9;17,7;78,8;64;2,8;
2015-05-03;1,4;null;0;26,2;18,7;14,2;82,8;57;1,4;
2015-05-04;2,2;null;0;28,1;21;14,7;81,3;61;,9;
2015-05-05;2,1;null;0;25,6;21,1;19,3;91,5;79;1;
2015-05-06;2,2;null;1,1;25,7;21;19,3;88,3;71;1,9;
2015-05-07;,4;null;49,6;27,4;22,1;19,8;84,5;69;1,2;
2015-05-08;2,7;null;0;24;20,3;17,2;73,8;66;2,6;
2015-05-09;4,1;null;0;24,4;20;17,8;null;79;,3;
2015-05-10;1,6;null;0;25,8;20,4;17,4;77;58;1,6;
2015-05-11;3,4;null;0;26,9;20,9;15,9;79;60;1;
2015-05-12;4;null;0;27,2;20,6;16,9;78,8;55;1,1;
2015-05-13;2;null;0;25,9;20;14,5;79,3;64;1,9;
2015-05-14;2,8;null;0;21,6;19,5;17,7;86,5;80;1;
2015-05-15;1;null;0;22,1;18,6;16,6;80,3;68;1,3;
2015-05-16;2,5;null;0;23,1;18,1;13,8;81,5;68;1,5;
2015-05-17;1,5;null;0;24,7;20,2;17,6;80;59;2,2;
2015-05-18;3;null;1,6;22,2;19,4;17,7;88,8;84;2,3;
2015-05-19;1,3;null;,5;24,2;19,6;16,3;79;61;1,4;
2015-05-20;1,9;null;0;23;19,9;17,4;79,3;68;2,2;
2015-05-21;3,3;null;,5;23,1;19,6;16,9;82,3;68;1,6;
2015-05-22;2,8;null;0;24,5;19,7;15,8;70;54;2,5;
2015-05-23;3;null;0;24,7;17,8;13,6;81,5;56;1,3;
2015-05-24;1,8;null;0;26,2;18;13,2;83,5;57;1;
2015-05-25;2,7;null;0;27,8;18,4;13,1;83,8;57;1,1;
2015-05-26;null;null;0;27,6;19;13,2;73;52;2,2;
2015-05-27;null;null;0;27,8;19,3;11,7;80,5;55;1,2;
2015-05-28;null;null;0;29,4;21,7;17,5;82,5;61;2;
2015-05-29;null;null;46,4;25,4;19;15,9;86,3;63;2,6;
2015-05-30;null;null;2,7;26,3;19,5;15,6;88,3;71;1,1;
2015-05-31;null;null;0;26,6;19,9;17,1;85;59;1,2;
2015-06-01;null;null;0;26,6;20,2;15,1;85;67;,7;
2015-06-02;null;null;1,1;23,4;19,9;17,7;91,5;78;1,3;
2015-06-03;null;null;9,5;20,1;18,3;17;87,5;81;1,5;
2015-06-04;null;null;5,4;23,1;18,2;13,5;86,8;73;,9;
2015-06-05;null;null;0;23,7;18,3;14,4;86,8;68;1,1;
2015-06-06;null;null;,7;25;19;16,2;80,8;57;1,7;
2015-06-07;null;null;null;null;null;null;null;91;null;
2015-06-08;null;null;0;25,8;16,5;11,7;83,3;52;1,1;
2015-06-09;null;null;0;27,5;17,4;10,9;76,3;50;,4;
2015-06-10;null;null;0;27,6;18,9;12,1;82,8;60;,7;
2015-06-11;null;null;null;null;null;null;null;93;null;
2015-06-12;null;null;0;28;18,6;14,2;81,8;49;1,5;
2015-06-13;null;null;0;26,8;17,9;13,1;81;51;1,5;
2015-06-14;null;null;0;28,3;18,3;11,8;81,5;50;1,1;
2015-06-15;null;null;0;30,8;18,9;12,2;75;33;2;
2015-06-16;null;null;0;26,2;20;13,6;80,8;66;1,4;
2015-06-17;null;null;0;23,5;20;18,2;87,3;74;,7;
2015-06-18;null;null;0;27,3;19,9;15,5;81,3;51;,9;
2015-06-19;null;null;0;27;20,3;14,2;74,8;56;2,6;
2015-06-20;null;null;2,6;22,8;18,7;16,6;80,3;73;2,9;
2015-06-21;null;null;0;22,7;18,6;15,6;71,3;59;1,6;
2015-06-22;null;null;0;23,9;17,5;14,8;82;56;2;
2015-06-23;null;null;0;26,1;17,7;11,8;81,8;55;,8;
2015-06-24;null;null;0;24,7;17,7;12,3;82,5;63;1;
2015-06-25;null;null;0;20,2;17,5;15,3;77,3;71;2,5;
2015-06-26;null;null;0;19;15,6;13,7;78,8;68;1,5;
2015-06-27;null;null;0;20,2;14,4;11,7;86,5;75;2,1;
2015-06-28;null;null;0;22,9;14,1;8,9;81,5;51;1,7;
2015-06-29;null;null;0;21,2;15,9;8,6;81,8;69;1,3;
2015-06-30;null;null;0;25,1;17,9;14,9;82;55;1,2;
2015-07-01;null;null;0;22,5;16,9;13,7;86,5;69;1;
2015-07-02;null;null;0;22,6;15,6;11,9;90;76;,4;
2015-07-03;null;null;0;24,5;16,6;11,7;83;59;1;
2015-07-04;null;null;0;29,1;17,8;10,8;75,8;39;1,9;
2015-07-05;null;null;0;28,2;19;10,7;77,8;56;2,2;
2015-07-06;null;null;,1;21,6;18,4;16,3;85,8;74;,8;
2015-07-07;null;null;0;21,5;18,4;16,2;81,8;71;1,4;
2015-07-08;null;null;,1;24,4;18,8;15,6;84;64;2;
2015-07-09;null;null;0;24,6;18,4;15,1;87;68;1,3;
2015-07-10;null;null;0;27,8;19,1;14,3;80,3;49;1,4;
2015-07-11;null;null;0;26,1;17,7;13,4;81,8;52;1,8;
2015-07-12;null;null;,1;24,4;17;12,3;84,8;62;,6;
2015-07-13;null;null;0;26,8;18;12,2;81;54;1,2;
2015-07-14;null;null;0;27,2;19,8;15,2;81,5;62;,8;
2015-07-15;null;null;0;23,4;16,5;12,8;86,8;63;2,1;
2015-07-16;null;null;0;25,3;19,3;13,3;73;54;2,1;
2015-07-17;null;null;,4;24,8;18,3;15,5;78;53;1,7;
2015-07-18;null;null;0;25,6;17,2;11,9;75;47;2,4;
2015-07-19;null;null;0;23,5;17,5;10,3;76,5;62;1,6;
2015-07-20;null;null;,3;25,1;17,8;14;75,8;51;1,2;
2015-07-21;null;null;0;28,8;17,3;9,1;74,8;41;,7;
2015-07-22;null;null;0;26,6;17,4;11,1;74,8;49;1,4;
2015-07-23;null;null;0;25,4;17,7;11,1;71,8;49;2;
2015-07-24;null;null;0;26,3;17,6;13,1;77,5;46;1,4;
2015-07-25;null;null;0;24,6;16,5;10,2;82,8;61;,9;
2015-07-26;null;null;0;26,7;18,2;11,6;82,5;58;,6;
2015-07-27;null;null;0;26,4;19,2;14,8;79,3;54;1;
2015-07-28;null;null;0;24,9;17,1;12,3;83,8;62;,4;
2015-07-29;null;null;0;26,1;16,8;11,7;82,8;57;,9;
2015-07-30;null;null;0;26,2;16,2;11,2;72,5;35;1,7;
2015-07-31;null;null;,7;26,1;17,5;10,1;79,5;53;,9;
2015-08-01;null;null;0;25;19,4;15,3;66,3;51;1,5;
2015-08-02;null;null;0;26,1;16,2;9,6;73,5;39;1,5;
2015-08-03;null;null;0;28,1;16,3;7,9;71,8;37;1;
