Nome: JOAO MONLEVADE
Codigo Estacao: 83591
Latitude: -19.82388888
Longitude: -43.14416666
Altitude: 859.84
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2019-05-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;,2;33,4;null;20;null;null;null;
2015-01-02;null;null;0;32,2;null;21,9;null;null;null;
2015-01-03;null;null;2,8;33,5;null;19,4;null;null;null;
2015-01-04;null;null;,2;32,8;null;20,4;null;null;null;
2015-01-05;null;null;0;30,3;null;19,8;null;null;null;
2015-01-06;null;null;0;28,9;null;19,6;null;null;null;
2015-01-07;null;null;0;29;null;19,2;null;null;null;
2015-01-08;null;null;0;26;null;17;null;null;null;
2015-01-09;null;null;0;28,8;null;18;null;null;null;
2015-01-10;null;null;0;30;null;19;null;null;null;
2015-01-11;null;null;0;30,8;null;18,4;null;null;null;
2015-01-12;null;null;0;31,5;null;19,2;null;null;null;
2015-01-13;null;null;0;32,7;null;20;null;null;null;
2015-01-14;null;null;0;32,2;null;19,2;null;null;null;
2015-01-15;null;null;0;30,3;null;18,8;null;null;null;
2015-01-16;null;null;0;30,6;null;19;null;null;null;
2015-01-17;null;null;0;30;null;18,8;null;null;null;
2015-01-18;null;null;0;31;null;18,4;null;null;null;
2015-01-19;null;null;0;32;null;20,2;null;null;null;
2015-01-20;null;null;0;30,8;null;18,8;null;null;null;
2015-01-21;null;null;0;32,3;null;19,8;null;null;null;
2015-01-22;null;null;0;32,8;null;20,8;null;null;null;
2015-01-23;null;null;0;32,5;null;20,2;null;null;null;
2015-01-24;null;null;1,4;30,7;null;18,2;null;null;null;
2015-01-25;null;null;1,2;26,8;null;18,6;null;null;null;
2015-01-26;null;null;0;28,8;null;19,4;null;null;null;
2015-01-27;null;null;0;31,7;null;19,8;null;null;null;
2015-01-28;null;null;,8;28,8;null;19,8;null;null;null;
2015-01-29;null;null;0;30,9;null;19;null;null;null;
2015-01-30;null;null;0;32,6;null;20,8;null;null;null;
2015-01-31;null;null;0;34,5;null;21,7;null;null;null;
2015-02-01;null;null;0;32,7;null;20,8;null;null;null;
2015-02-02;null;null;0;30;null;19,6;null;null;null;
2015-02-03;null;null;0;30,8;null;19,8;null;null;null;
2015-02-04;null;null;1,2;29,7;null;18,4;null;null;null;
2015-02-05;null;null;30,4;28,5;null;18,6;null;null;null;
2015-02-06;null;null;10,8;24,5;null;18,8;null;null;null;
2015-02-07;null;null;31,6;21,2;null;17,4;null;null;null;
2015-02-08;null;null;29,4;23,7;null;19;null;null;null;
2015-02-09;null;null;28,6;22,2;null;18,6;null;null;null;
2015-02-10;null;null;7;26,7;null;19,6;null;null;null;
2015-02-11;null;null;0;27,5;null;19,2;null;null;null;
2015-02-12;null;null;0;29;null;18,8;null;null;null;
2015-02-13;null;null;0;30,5;null;19,8;null;null;null;
2015-02-14;null;null;0;31,5;null;20;null;null;null;
2015-02-15;null;null;0;31,7;null;19,2;null;null;null;
2015-02-16;null;null;0;29,4;null;19;null;null;null;
2015-02-17;null;null;0;29,3;null;19;null;null;null;
2015-02-18;null;null;0;30,4;null;20,6;null;null;null;
2015-02-19;null;null;4,2;28;null;18,6;null;null;null;
2015-02-20;null;null;7;26,5;null;19,6;null;null;null;
2015-02-21;null;null;0;29,3;null;18,8;null;null;null;
2015-02-22;null;null;0;29,4;null;18,8;null;null;null;
2015-02-23;null;null;1,8;28,5;null;19;null;null;null;
2015-02-24;null;null;5,4;29,4;null;19,4;null;null;null;
2015-02-25;null;null;0;28,7;null;19,8;null;null;null;
2015-02-26;null;null;0;28,8;null;20;null;null;null;
2015-02-27;null;null;19,8;30,4;null;19;null;null;null;
2015-02-28;null;null;11,8;30,7;null;18,8;null;null;null;
2015-03-01;null;null;,8;31,3;null;20;null;null;null;
2015-03-02;null;null;0;26,7;null;18,8;null;null;null;
2015-03-03;null;null;,8;27,4;null;18,8;null;null;null;
2015-03-04;null;null;0;28,8;null;20;null;null;null;
2015-03-05;null;null;38,2;28,2;null;18;null;null;null;
2015-03-06;null;null;0;28,8;null;18,8;null;null;null;
