Nome: CARATINGA
Codigo Estacao: 83592
Latitude: -19.73583333
Longitude: -42.13722221
Altitude: 609.56
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2024-11-29
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5,5;12,8;0;33,6;26,2;19,5;66,3;49;2,5;
2015-01-02;5,2;12,1;0;35,3;25,6;19,2;69,3;49;1,5;
2015-01-03;4,7;9,4;,1;35,1;25,9;20,4;64,5;47;3,4;
2015-01-04;5,3;9;1,3;31,1;24,9;20,1;73;60;1,6;
2015-01-05;3,9;5,9;0;31,8;24,2;20;71,3;56;1,1;
2015-01-06;4,9;8,2;0;31,5;24,3;20,2;65,8;39;2,4;
2015-01-07;6,2;6,1;0;30;24;20;70,5;54;1,5;
2015-01-08;4,2;10,9;0;31,4;24,1;18,8;65,8;44;1,7;
2015-01-09;5,7;11,5;0;31,5;24,8;19,2;65,3;47;2,2;
2015-01-10;5,8;8,1;0;32,4;24,7;20,5;68,3;47;1,5;
2015-01-11;5;12,2;0;33;24,5;17,7;65;48;1,6;
2015-01-12;4,9;12;0;33,2;25,1;19;62,8;45;2,6;
2015-01-13;6;10,7;0;32,7;25,7;19,9;63;50;2,6;
2015-01-14;5,7;8,2;0;32;24,4;20,2;63;48;1,8;
2015-01-15;5,7;9;0;33,1;25;20,2;64,3;39;1,7;
2015-01-16;5,4;8,7;0;32,5;24,8;20;60,8;41;1,8;
2015-01-17;6,2;8,9;0;32,7;24,8;20,2;62;42;1,1;
2015-01-18;5,8;11,4;0;34;26,2;19,3;57;40;2,8;
2015-01-19;7,2;2,9;0;33,4;25,5;20,2;53,3;38;1,6;
2015-01-20;7,6;12,8;0;33,4;25,7;18,2;57;38;1,8;
2015-01-21;6;10,4;0;34;25,7;19,5;62,3;43;1,4;
2015-01-22;6,2;9,1;0;34,1;27,1;21,2;57,3;42;1,3;
2015-01-23;7;10,3;0;33,7;25,6;20,3;62,3;42;2,1;
2015-01-24;6,7;6,8;0;32;25,3;21,1;62,5;42;1,9;
2015-01-25;6,9;11,3;0;34;25,6;20,2;55,8;34;1,7;
2015-01-26;6,5;10,8;0;34,2;25,4;18,7;64,8;42;2,5;
2015-01-27;5,8;7,5;,2;33,7;24,9;18,8;77;65;2,3;
2015-01-28;4,1;7,4;,8;34,4;26,8;20,6;65;44;1,6;
