Nome: MARILANDIA (COLATINA)
Codigo Estacao: 83596
Latitude: -19.40722222
Longitude: -40.53972221
Altitude: 93.37
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2016-05-31
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,5;null;0;36,6;28,7;20,8;55,3;40;null;
2015-01-02;4,1;null;0;35,9;28,5;20,8;60;42;null;
2015-01-03;3,8;null;0;36,2;27,9;21,3;67,3;42;null;
2015-01-04;4;null;0;36;28,4;22,5;56,8;34;null;
2015-01-05;4,8;null;0;35,6;27,6;21,4;59,3;39;null;
2015-01-06;3,9;null;0;34,6;27,2;20,8;65;56;null;
2015-01-07;3;null;0;35,6;27,4;21,3;58;36;null;
2015-01-08;3,5;null;0;33,1;26,6;20;64;45;null;
2015-01-09;1,4;null;9,2;33;26,5;20,8;69,3;50;null;
2015-01-10;1,1;null;0;35,6;27,2;19,3;57,8;38;null;
2015-01-11;4,2;null;0;36,6;28,7;21,3;58,5;37;null;
2015-01-12;4,8;null;0;37,4;29,3;23,5;60,5;40;null;
2015-01-13;5;null;0;36,2;28,4;23,5;59,5;43;null;
2015-01-14;4;null;0;35,6;28,1;21,3;58;42;null;
2015-01-15;4;null;0;36,2;27,7;20,3;59,8;43;null;
2015-01-16;4;null;0;34,6;27,3;21;62,3;45;null;
2015-01-17;3,8;null;0;37,2;28,1;19,3;56;32;null;
2015-01-18;4,6;null;0;36,8;28,4;21,8;58,3;40;null;
2015-01-19;4,6;null;0;37,6;28,8;22,5;53,3;31;null;
2015-01-20;4,8;null;0;37,4;28,4;21,3;55,8;36;null;
2015-01-21;4,4;null;0;37,8;28,8;21,4;56;32;null;
2015-01-22;4,9;null;0;37,2;28,8;23;60;32;null;
2015-01-23;4,4;null;0;27,1;25,3;23,5;84,8;75;null;
2015-01-24;1,9;null;13,4;35,6;27,9;21,3;63;46;null;
2015-01-25;4,5;null;0;34,8;27;19,3;60,5;41;null;
2015-01-26;3,7;null;0;36,2;28,2;21,3;59,3;40;null;
2015-01-27;4,4;null;0;37;28,5;22,5;62,8;42;null;
2015-01-28;3,9;null;0;36,8;28,8;23;59,5;37;null;
2015-01-29;null;null;null;null;null;null;null;71;null;
2015-01-30;9,9;null;0;40;30;21,3;55,5;32;null;
2015-01-31;6,5;null;0;37,2;29,1;22,5;52,5;32;null;
2015-02-01;5;null;0;36,4;28,1;21,3;58,8;35;null;
2015-02-02;4;null;0;37;28,1;20,8;56,3;36;null;
2015-02-03;4,5;null;0;37,2;28,6;21,8;55,3;36;null;
2015-02-04;4,3;null;0;37;28,5;22,5;56,5;36;null;
2015-02-05;5,2;null;6,8;30,2;24,5;21,8;91;63;null;
2015-02-06;1,2;null;3;30,2;26,3;22,5;77;63;null;
2015-02-07;2;null;,2;29,4;25,5;22,5;81,3;68;null;
2015-02-08;1,6;null;4;31;24,9;21,3;91;82;null;
2015-02-09;,9;null;0;34;26,5;21,8;84,8;67;null;
2015-02-10;1,7;null;29,4;34,2;27,3;22,2;64;45;null;
2015-02-11;3,2;null;0;34,2;27,6;21,4;63;52;null;
2015-02-12;2,7;null;0;36,6;28,6;21,3;62,5;40;null;
2015-02-13;4;null;0;36,2;29,2;23,2;59,8;47;null;
2015-02-14;5,7;null;0;35,2;28,3;22,5;63;50;null;
2015-02-15;1,2;null;0;36;28;20,8;59,8;37;null;
2015-02-16;2,2;null;0;36,2;28,6;22,5;59,5;44;null;
2015-02-17;4,6;null;0;36,2;28,7;23,2;62,8;41;null;
2015-02-18;4,4;null;0;35,6;28,8;25;58;41;null;
2015-02-19;4,2;null;0;35;28,7;23,5;61,3;44;null;
2015-02-20;3,3;null;0;36,2;27,8;20,8;65,8;51;null;
2015-02-21;3,6;null;0;35,2;27,4;20,3;64,8;39;null;
2015-02-22;3,4;null;1;31,6;26;21,4;78,5;59;null;
2015-02-23;1,5;null;,2;31;26,1;22,5;80,3;65;null;
2015-02-24;null;null;null;null;null;null;null;87;null;
2015-02-25;2,9;null;5;33,2;26,8;20,3;70,5;52;null;
2015-02-26;2,4;null;0;36,2;28,2;21,3;67;47;null;
2015-02-27;3,4;null;0;35;27,9;23,5;68;40;null;
2015-02-28;3;null;24,2;35,2;26,1;21,5;81,5;59;null;
2015-03-01;1,6;null;0;35,4;26,7;21,3;67;47;null;
2015-03-02;2,7;null;0;34;26,6;20,3;65,3;42;null;
2015-03-03;2,7;null;0;31;26,1;22,5;80,5;74;null;
2015-03-04;1,6;null;0;34;26,3;21,3;89,8;73;null;
2015-03-05;1,2;null;38,6;32,2;25,9;22,5;81,8;61;null;
2015-03-06;1,7;null;0;34,2;27,3;21,8;67,5;49;null;
2015-03-07;2,9;null;0;35,2;28,1;22,5;64;44;null;
2015-03-08;4;null;0;35;27,9;22,5;61,8;47;null;
2015-03-09;3,8;null;0;35,2;28,2;23,5;61,8;38;null;
2015-03-10;4,2;null;0;33,2;27,5;23;66,3;51;null;
2015-03-11;3;null;0;35;28,2;23;61;43;null;
2015-03-12;4,4;null;0;36,2;28,7;24,5;61,5;39;null;
2015-03-13;3,9;null;0;36,2;28,5;22,5;64,8;41;null;
2015-03-14;3,7;null;0;35,2;28,1;23,5;64,5;47;null;
2015-03-15;3,2;null;0;34;27,3;21,3;68;50;null;
2015-03-16;3;null;0;35,2;28,4;23;58,8;44;null;
2015-03-17;3,6;null;0;34;27,5;22,5;62;46;null;
2015-03-18;2,4;null;0;35,2;26,6;20,3;71,3;44;null;
2015-03-19;3;null;0;34,2;26,8;21,3;83,3;72;null;
2015-03-20;1,5;null;18,2;32,2;26,8;22,5;76,8;66;null;
2015-03-21;1;null;1;32;25,5;21,3;88;79;null;
2015-03-22;2;null;3,6;32,2;25,9;22,5;81,8;60;null;
2015-03-23;1,5;null;6;33,2;25,6;23;91,8;86;null;
2015-03-24;1;null;45,6;36;26,4;21,8;78,5;65;null;
2015-03-25;1,9;null;0;36,2;27,1;23;68,5;56;null;
2015-03-26;2,6;null;0;34;25,7;19,3;67,5;44;null;
2015-03-27;2,6;null;0;34,2;26,8;19,8;69,8;49;null;
2015-03-28;2,4;null;0;35;26,9;20,3;67,5;43;null;
2015-03-29;2,6;null;0;34,8;26,5;20,3;64,3;49;null;
2015-03-30;2,4;null;0;35;26,8;19,8;63,8;43;null;
2015-03-31;4;null;0;36;28,3;22,5;64;39;null;
2015-04-01;3;null;0;35,4;27,9;21,8;70,5;51;null;
2015-04-02;2,8;null;0;27,3;24,1;22,5;87,8;73;null;
2015-04-03;,8;null;4;27,3;23,4;21,8;85;74;null;
2015-04-04;1,4;null;0;30;24,7;20,3;79,8;66;null;
2015-04-05;1,4;null;0;34;26,6;20,3;72,5;52;null;
2015-04-06;2,2;null;0;36;27,7;21,8;77,5;50;null;
2015-04-07;3,2;null;4,2;30,2;25,8;24;73;61;null;
2015-04-08;2,6;null;0;26,1;23;20,3;71,5;62;null;
2015-04-09;2,2;null;0;28;22,7;19,8;77,3;68;null;
2015-04-10;1,5;null;0;28;22,9;19,8;73,3;57;null;
2015-04-11;1,7;null;0;30;22,6;17,2;77,5;62;null;
2015-04-12;1,8;null;0;30,2;23,6;17,2;69,3;55;null;
2015-04-13;2,8;null;0;32,2;24,1;17,7;69;45;null;
2015-04-14;2,8;null;0;31,2;23,1;15,7;69,5;50;null;
2015-04-15;2,9;null;0;32,2;24,3;16,5;64;45;null;
2015-04-16;2,8;null;0;34;25,3;17,7;72;39;null;
2015-04-17;2,9;null;0;33;26,2;20,4;74,5;61;null;
2015-04-18;2,6;null;0;33,4;26,1;20,3;72,5;47;null;
2015-04-19;2,2;null;0;36;26,8;19,3;69,8;37;null;
2015-04-20;3;null;0;34;27,1;22,5;66,8;48;null;
2015-04-21;2,5;null;0;33,4;26,7;22,5;75,3;50;null;
2015-04-22;3,3;null;0;32,2;26,4;21,8;77,5;61;null;
2015-04-23;2;null;0;30;26,1;24;73;67;null;
2015-04-24;1,8;null;0;30,6;25,8;21,8;75,3;58;null;
2015-04-25;2;null;0;32,2;26,4;22,5;67,3;56;null;
2015-04-26;2,4;null;0;33;25,5;20,3;65,5;47;null;
2015-04-27;3,1;null;0;27,3;23,8;19;77,5;70;null;
2015-04-28;1,4;null;0;32,2;24,9;20,3;71,8;58;null;
2015-04-29;2;null;0;32,2;24,4;18,8;68,8;48;null;
2015-04-30;null;null;null;null;null;null;null;72;null;
2015-05-01;5,2;null;0;31,4;23,4;19,3;70,5;50;null;
2015-05-02;2,3;null;0;31,2;23,9;19,3;71,8;56;null;
2015-05-03;2,2;null;0;32,2;24,4;18,3;69,5;48;null;
2015-05-04;2,3;null;0;32;24,7;17,7;73,5;51;null;
2015-05-05;2,5;null;0;33;26,2;21,8;72,8;53;null;
2015-05-06;2,4;null;0;29,4;24,6;21,8;75;59;null;
2015-05-07;1,5;null;3;27,1;23,1;20,3;88,5;80;null;
2015-05-08;1;null;1;29;22,9;19;78,8;54;null;
2015-05-09;2,1;null;7;28;22;18,3;78,3;63;null;
2015-05-10;1,2;null;0;29,2;22,2;17,2;78;56;null;
2015-05-11;2;null;0;33,2;25,4;18,8;68,5;45;null;
2015-05-12;3;null;5,8;31;24,9;21,8;71,3;61;null;
2015-05-13;1,8;null;0;27,4;22,6;18,3;70,8;61;null;
2015-05-14;2,2;null;0;25,1;21,9;19;72,8;72;null;
2015-05-15;1,7;null;0;27,3;20,2;15,2;70,5;49;null;
2015-05-16;1,3;null;3;23,3;19,4;16,2;93;80;null;
2015-05-17;,8;null;3,2;21,7;19,8;16,2;95;91;null;
2015-05-18;,4;null;13,8;26,3;21,6;19,3;89;79;null;
2015-05-19;1;null;0;27,3;21,8;19,3;87;75;null;
2015-05-20;,8;null;1,2;27,1;22;18,8;85,8;77;null;
2015-05-21;1;null;1,8;27,3;21,2;18,6;79,5;50;null;
2015-05-22;1,7;null;0;26,3;19,9;16,2;85;67;null;
2015-05-23;1,2;null;0;27,3;19,5;14,2;82,8;54;null;
2015-05-24;,8;null;0;27,3;21,4;16,2;83,5;67;null;
2015-05-25;1,8;null;0;30,2;21,7;16,2;80;52;null;
2015-05-26;1,7;null;0;30,2;22,8;15,2;77,3;57;null;
2015-05-27;2,1;null;0;28,2;24,4;20,8;79,5;63;null;
2015-05-28;1,4;null;0;31,4;24,6;20,8;79,3;54;null;
2015-05-29;2;null;0;32;23;18,2;83;56;null;
2015-05-30;1,6;null;0;31;23;17,2;80,5;57;null;
2015-05-31;1,4;null;0;31,4;25,1;20,3;78,3;58;null;
2015-06-01;1,7;null;0;31,2;24,9;21,3;76,3;54;null;
2015-06-02;2,3;null;0;26,3;23,3;21;70;69;null;
2015-06-03;1,7;null;0;32,2;22,8;18,6;67,3;38;null;
2015-06-04;1,6;null;0;27,3;21,3;16,7;81,8;59;null;
2015-06-05;1;null;0;28,2;23,1;18,8;82,3;62;null;
2015-06-06;1;null;0;29;22,4;19,6;84,5;59;null;
2015-06-07;1,4;null;0;29,2;22,1;17,5;76,5;54;null;
2015-06-08;1,4;null;0;32,2;22,2;16,2;76,5;45;null;
2015-06-09;2;null;0;30;23,1;16,7;79;58;null;
2015-06-10;1,6;null;0;30,8;23,1;19,2;74,8;48;null;
2015-06-11;1,3;null;0;32;23,8;18,3;74;48;null;
2015-06-12;2,3;null;0;33;22,7;18,3;79;39;null;
2015-06-13;2,7;null;0;31,2;24;17,2;62,8;48;null;
2015-06-14;3,2;null;0;33,2;24,7;19,3;63;40;null;
2015-06-15;null;null;null;null;null;null;null;76;null;
2015-06-16;null;null;0;25,3;22,6;18,8;78;75;null;
2015-06-17;1,6;null;0;29,2;23,8;21,3;89,5;79;null;
2015-06-18;,9;null;0;30;22,1;18,3;84,8;62;null;
2015-06-19;1,5;null;0;29,2;22,3;16,2;73,3;59;null;
2015-06-20;2;null;17,2;24,3;20,1;17,2;89,8;72;null;
2015-06-21;,4;null;10;26,3;21,2;18,3;82,5;67;null;
2015-06-22;1,6;null;6;27,3;22;19,3;84,3;66;null;
2015-06-23;1,3;null;0;29,2;22,7;18,6;78,3;61;null;
2015-06-24;1,3;null;0;29,2;22,5;18,2;76;55;null;
2015-06-25;2,7;null;0;25,1;20,8;18,3;77,3;61;null;
2015-06-26;2,4;null;0;24,3;18,9;15,7;80;68;null;
2015-06-27;1;null;4;24,1;18,5;15,2;83,3;62;null;
2015-06-28;1,6;null;0;25,3;19,4;14,2;81,5;61;null;
2015-06-29;1,1;null;0;26,3;20,6;16,7;80;62;null;
2015-06-30;1,3;null;0;29,2;22,7;17,7;75;59;null;
2015-07-01;2;null;0;28,2;21,7;16,7;82;62;null;
2015-07-02;1,8;null;0;30;21,3;16,2;78,8;53;null;
2015-07-03;1,6;null;0;26,1;20,2;15,7;81,3;57;null;
2015-07-04;,4;null;0;28,6;21,4;16,2;80,8;57;null;
2015-07-05;2,6;null;0;26,1;21,4;18,3;68,3;58;null;
2015-07-06;2,2;null;0;24,1;21,3;19,8;77,5;72;null;
2015-07-07;1,3;null;0;23,3;20;17,7;84;73;null;
2015-07-08;,7;null;0;27,1;21,2;16,7;78;55;null;
2015-07-09;1,5;null;0;30;21,7;17,5;81,3;57;null;
2015-07-10;1,5;null;0;30,2;22,3;17,2;78,8;62;null;
2015-07-11;2;null;0;30,2;22,3;18,3;77,3;50;null;
2015-07-12;1,4;null;0;28,2;21,1;17,2;78;52;null;
2015-07-13;1,6;null;0;29;21,6;16,7;76,8;61;null;
2015-07-14;1,5;null;0;30,2;21,7;15,7;74,8;47;null;
