Nome: VOTUPORANGA
Codigo Estacao: 83623
Latitude: -20.43972221
Longitude: -49.9836111
Altitude: 510.41
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;0;35;29,3;21,8;null;82;0;
2015-01-02;null;null;0;34,6;27,7;21,8;null;82;null;
2015-01-03;null;null;6,5;35,6;25,9;19,4;null;84;null;
2015-01-04;null;null;14,8;null;null;null;null;94;null;
2015-01-05;null;null;54;32,8;24,6;18,2;null;86;null;
2015-01-06;null;null;24,5;33,4;26,1;18,8;null;88;null;
2015-01-07;null;null;0;35,6;28;22;null;82;null;
2015-01-08;null;null;0;33,4;27,5;20;null;76;null;
2015-01-09;null;null;0;36,2;27,8;20,4;null;76;null;
2015-01-10;null;null;1,2;36,2;29;19,8;null;82;null;
2015-01-11;null;null;0;null;null;null;null;76;null;
2015-01-12;null;null;0;36,8;29,2;23,8;null;76;null;
2015-01-13;null;null;1,5;35,6;27,8;20,2;null;78;null;
2015-01-14;null;null;0;36,6;28,8;20,8;null;79;null;
2015-01-15;null;null;0;36,8;25,6;19,4;null;82;null;
2015-01-16;null;null;13,1;35,2;27,9;19,6;null;90;null;
2015-01-17;null;null;0;null;29,8;21,2;null;76;null;
2015-01-18;null;null;0;null;null;null;null;76;null;
2015-01-19;null;null;0;38,8;31;22;null;70;null;
2015-01-20;null;null;0;38,6;29;20,4;null;76;null;
2015-01-21;null;null;0;35,2;28,5;21,4;null;80;null;
2015-01-22;null;null;0;35,2;24,4;18,8;85,8;67;null;
2015-01-23;null;null;15,1;31,8;25,1;18;83,8;75;null;
2015-01-24;null;null;0;32,4;26,8;19,6;81,3;77;null;
2015-01-25;null;null;1,2;29,6;24,4;19,4;86,3;79;null;
2015-01-26;null;null;0;32,8;27,2;20;73,8;66;null;
2015-01-27;null;null;,6;32,4;25,6;18,8;83,5;74;null;
2015-01-28;null;null;16;32,8;24,3;18,2;85,5;72;null;
2015-01-29;null;null;16,6;30,8;23,8;18,4;90,8;89;null;
2015-01-30;null;null;16,4;34;26,6;19,4;85,5;70;null;
2015-01-31;null;null;0;35,2;27,2;19,8;86;70;null;
2015-02-01;null;null;0;36,4;25,8;19,6;87;72;null;
2015-02-02;null;null;0;35;26,8;20;79,5;54;null;
2015-02-03;null;null;1,5;33,6;27;17,4;77,3;59;null;
2015-02-04;null;null;29,8;30,2;22,3;17,2;90;78;null;
2015-02-05;null;null;5,4;29,8;24,6;18,2;89,3;81;null;
2015-02-06;null;null;8,4;31,8;24,8;18,2;85;70;null;
2015-02-07;null;null;0;29,6;24,5;19,6;90,3;89;null;
2015-02-08;null;null;18,6;32,8;25,2;18,8;88,8;75;null;
2015-02-09;null;null;1,6;30,2;24,6;19,6;95;94;null;
2015-02-10;null;null;1,9;32,6;26,4;20,4;83;79;null;
2015-02-11;null;null;0;33;26,2;19,8;85,8;74;null;
2015-02-12;null;null;0;34,6;27,4;20,8;85,8;77;null;
2015-02-13;null;null;9;33,2;26,2;19,6;87,3;78;0;
2015-02-14;null;null;1,7;33;24,1;19;87,3;81;null;
2015-02-15;null;null;19,3;33,2;25,5;20;91;80;null;
2015-02-16;null;null;8,3;30;24,3;17,8;90,8;85;null;
2015-02-17;null;null;3,6;30,2;23;19,6;93;80;null;
2015-02-18;null;null;13,8;27,8;23,8;18,6;90,5;92;null;
2015-02-19;null;null;19;29,4;23,5;19,4;95;87;null;
2015-02-20;null;null;10,1;30,6;24;18,8;90,8;87;null;
2015-02-21;null;null;3,6;32,8;25,8;19;87,5;84;null;
2015-02-22;null;null;0;33;27,2;19,2;84,5;80;null;
2015-02-23;null;null;0;34;27;19,4;79,3;70;null;
