Nome: FRANCA
Codigo Estacao: 83630
Latitude: -20.58444444
Longitude: -47.38249999
Altitude: 1003.55
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,5;7,5;0;31,8;26,4;22;60,5;50;2;
2015-01-02;5,6;9,8;0;32,6;27,3;23;59,8;47;2;
2015-01-03;5,4;2,5;0;32,4;24,5;21;76,5;64;3;
2015-01-04;2,8;3,6;0;28,8;23,6;19,4;67,8;60;2;
2015-01-05;1,2;2,6;0;29,6;22,7;19;79,3;69;2,3;
2015-01-06;,8;,8;16,3;29;23;18,1;74,3;66;0;
2015-01-07;1,3;5,9;0;30,8;24,5;20,1;65,8;50;2;
2015-01-08;1,3;11,2;1,4;31,4;25,2;19,3;58;47;1,3;
2015-01-09;1,5;9,4;0;31,8;25,9;20,2;49,3;42;2;
2015-01-10;6,9;9,6;0;33;28;23,2;51;46;2;
2015-01-11;5,9;9,4;0;33,8;28,1;22,8;46;40;1,7;
2015-01-12;6,9;7,3;0;34,4;26,5;20,3;57,5;42;1,3;
2015-01-13;5,3;5,5;0;33,4;26,9;20,7;54,5;43;1,7;
2015-01-14;5,9;4,4;0;32,6;26,9;22,1;55,5;44;1,7;
2015-01-15;5,6;6,8;0;34;27,5;22,5;46;42;3,3;
2015-01-16;7,2;8,9;0;33;26,7;22,1;46,5;31;2,7;
2015-01-17;3,8;8,6;0;33,9;27,9;21,5;36,5;32;3;
2015-01-18;4,3;8,1;0;34,5;28,3;22,4;43;35;,7;
2015-01-19;7,2;10;0;35,2;28,4;22,4;41,8;31;2;
2015-01-20;5,9;9,6;0;35,3;29;23,8;39,8;28;2;
2015-01-21;6;2,3;0;33,4;23,8;18,8;70,5;43;1,3;
2015-01-22;1,8;1,2;54;29;21,2;17,8;87,3;73;2;
2015-01-23;,9;,6;21,1;26,4;20,7;17,3;84,8;69;1,3;
2015-01-24;,8;5;0;29,4;23,4;18,1;62,8;47;2;
2015-01-25;1;1,1;15,7;25,4;21;18;83,8;64;1,7;
2015-01-26;1,6;,5;29,7;25;20,8;16;89,3;75;,7;
2015-01-27;1,4;,5;77,2;26,6;21,4;15,9;81,5;74;1,3;
2015-01-28;2,4;,5;0;27,4;22,8;19,3;77,5;66;1,7;
2015-01-29;2,2;5,4;2,4;29,2;23,3;19,2;73,8;57;1;
2015-01-30;3,4;10,2;0;31,6;25,3;19,6;60,3;44;0;
2015-01-31;4,8;4,5;0;31;23,7;20,6;79,3;68;2;
2015-02-01;2,2;4,6;50,8;33;24,8;19,2;65;44;2;
2015-02-02;3,8;3,2;37,7;29,6;22,3;17,9;72,3;58;1;
2015-02-03;2,9;8,8;2,2;30;23,7;17,8;62,8;49;2;
2015-02-04;5,1;0;0;26,8;22,8;20,7;72;63;2;
