Nome: IBIRITE
Codigo Estacao: 83632
Latitude: -20.01666666
Longitude: -44.08472221
Altitude: 822.08
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2021-11-29
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;null;null;null;null;null;null;null;null;null;
2015-01-02;null;null;null;null;null;null;null;null;null;
2015-01-03;null;null;null;null;null;null;null;null;null;
2015-01-04;null;null;null;null;null;null;null;null;null;
2015-01-05;null;null;null;null;null;null;null;null;null;
2015-01-06;null;null;null;null;null;null;null;null;null;
2015-01-07;null;null;null;null;null;null;null;null;null;
2015-01-08;null;null;null;null;null;null;null;null;null;
2015-01-09;null;null;null;null;null;null;null;null;null;
2015-01-10;null;null;null;null;null;null;null;null;null;
2015-01-11;null;null;null;null;null;null;null;null;null;
2015-01-12;null;null;null;null;null;null;null;null;null;
2015-01-13;null;null;null;null;null;null;null;null;null;
2015-01-14;null;null;null;null;null;null;null;null;null;
2015-01-15;null;null;null;null;null;null;null;null;null;
2015-01-16;null;null;null;null;null;null;null;null;null;
2015-01-17;null;null;null;null;null;null;null;null;null;
2015-01-18;null;null;null;null;null;null;null;null;null;
2015-01-19;null;null;null;null;null;null;null;null;null;
2015-01-20;null;null;null;null;null;null;null;null;null;
2015-01-21;null;null;null;null;null;null;null;null;null;
2015-01-22;null;null;null;null;null;null;null;null;null;
2015-01-23;null;null;null;null;null;null;null;null;null;
2015-01-24;null;null;null;null;null;null;null;null;null;
2015-01-25;null;null;null;null;null;null;null;null;null;
2015-01-26;null;null;null;null;null;null;null;null;null;
2015-01-27;null;null;null;null;null;null;null;null;null;
2015-01-28;null;null;null;null;null;null;null;null;null;
2015-01-29;null;null;null;null;null;null;null;null;null;
2015-01-30;null;null;null;null;null;null;null;null;null;
2015-01-31;null;null;null;null;null;null;null;null;null;
2015-02-01;4,5;null;3,8;35;null;21,1;null;null;null;
2015-02-02;6,5;null;0;33;null;20,1;null;null;null;
2015-02-03;6,1;null;0;35;null;19,5;null;null;null;
2015-02-04;5,9;null;0;32;null;18,4;null;null;null;
2015-02-05;3,6;null;21,6;30;null;20,4;null;null;null;
2015-02-06;2,5;null;45;26;null;18,4;null;null;null;
2015-02-07;2;null;4,8;26,8;null;20,9;null;null;null;
2015-02-08;1,4;null;4,5;29,2;null;20,3;null;null;null;
2015-02-09;1,6;null;31;25,4;null;18,4;null;null;null;
2015-02-10;1,5;null;15;27;null;18,2;null;null;null;
2015-02-11;2,6;null;0;32,8;null;20;null;null;null;
2015-02-12;3,4;null;0;31;null;18,4;null;null;null;
2015-02-13;4,4;null;0;34,6;null;18,6;null;null;null;
2015-02-14;3,6;null;0;35,4;null;18,4;null;null;null;
2015-02-15;4;null;0;34,5;null;18,9;null;null;null;
2015-02-16;4,8;null;0;32,6;null;19,6;null;null;null;
2015-02-17;6,1;null;13,2;28,8;null;18,9;null;null;null;
2015-02-18;3,6;null;0;29,2;null;18,4;null;null;null;
2015-02-19;3,5;null;0;31,2;null;16,9;null;null;null;
2015-02-20;5;null;0;31;null;17,9;null;null;null;
2015-02-21;4,8;null;0;32;null;19,5;null;null;null;
2015-02-22;4,8;null;1;32,6;null;18,4;null;null;null;
2015-02-23;5,1;null;0;31,8;null;21,1;null;null;null;
2015-02-24;5,1;null;0;32;null;21,1;null;null;null;
2015-02-25;5,3;null;0;31,6;null;19,5;null;null;null;
2015-02-26;3,7;null;0;31;null;19,1;null;null;null;
2015-02-27;4,3;null;12;32,6;null;19,5;null;null;null;
2015-02-28;6;null;0;30,4;null;20,3;null;null;null;
2015-03-01;3;null;29,6;32;null;20,8;null;null;null;
2015-03-02;4,1;null;0;29,4;null;20,6;null;null;null;
2015-03-03;3;null;0;29,8;null;17,8;null;null;null;
2015-03-04;5,5;null;0;30,2;null;20,3;null;null;null;
2015-03-05;4;null;1;31,4;null;17,4;null;null;null;
2015-03-06;4;null;0;30,2;null;20,6;null;null;null;
2015-03-07;3,5;null;12,6;33;null;18,8;null;null;null;
2015-03-08;2,5;null;8;31;null;19,5;null;null;null;
2015-03-09;3;null;13,8;30;null;19,2;null;null;null;
2015-03-10;2;null;39;29,6;null;15;null;null;null;
2015-03-11;1,5;null;12,4;27;null;19,8;null;null;null;
2015-03-12;2;null;14,4;30;null;20,1;null;null;null;
2015-03-13;2,3;null;,4;28,6;null;18,9;null;null;null;
2015-03-14;4,8;null;0;31;null;19,5;null;null;null;
2015-03-15;4;null;0;31,8;null;17,9;null;null;null;
2015-03-16;3;null;0;29;null;17,4;null;null;null;
2015-03-17;3,9;null;0;32,2;null;17,4;null;null;null;
2015-03-18;2,1;null;9;30;null;20,6;null;null;null;
2015-03-19;4,9;null;0;30,4;null;17,5;null;null;null;
2015-03-20;4,6;null;0;30,2;null;19,5;null;null;null;
2015-03-21;3,5;null;8,6;30,2;null;19,2;null;null;null;
2015-03-22;2,4;null;1,6;29;null;20,1;null;null;null;
2015-03-23;2,6;null;4,8;27,8;null;19,8;null;null;null;
2015-03-24;1,6;null;3,2;29,5;null;18,4;null;null;null;
2015-03-25;1,7;null;8,8;31,2;null;18,6;null;null;null;
2015-03-26;3,2;null;0;31;null;16,4;null;null;null;
2015-03-27;5,5;null;0;30,8;null;17,4;null;null;null;
2015-03-28;6;null;0;33,4;null;18,4;null;null;null;
