Nome: DIVINOPOLIS
Codigo Estacao: 83635
Latitude: -20.17333332
Longitude: -44.87472221
Altitude: 787.42
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2021-09-02
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;5,3;8,4;,5;null;null;19,5;56,8;40;1,7;
2015-01-02;6,6;7;0;null;null;21,6;67;48;2;
2015-01-03;5,8;7,6;,5;null;null;20,9;69,3;43;2,3;
2015-01-04;5,3;9,4;9,6;null;null;18,5;63;44;2,7;
2015-01-05;5,2;7,9;0;null;null;19,6;63,8;49;2,7;
2015-01-06;4,4;8,1;0;null;null;19,6;55,8;38;3;
2015-01-07;6,3;8,1;0;null;null;21,1;54;41;3;
2015-01-08;6,2;11,9;0;null;null;17,4;46,3;33;2,3;
2015-01-09;7;10,8;0;null;null;17;47,3;38;2,3;
2015-01-10;6,3;12,1;0;null;null;18,4;47,8;33;2,7;
2015-01-11;null;12;null;null;null;19,5;null;52;null;
2015-01-12;null;11,8;0;null;null;17,8;36,3;28;3,3;
2015-01-13;8,7;11,6;0;null;null;20,1;46,8;33;1,7;
2015-01-14;7,5;10,6;0;null;null;18,9;43,8;38;2,7;
2015-01-15;7,5;9,3;0;null;null;18,9;43,5;32;2,3;
2015-01-16;7,5;11;0;null;null;18;44;34;1,3;
2015-01-17;7,8;12;0;null;null;18;38,3;26;1,7;
2015-01-18;null;12;null;null;null;17,7;null;40;null;
2015-01-19;null;12;0;35,6;28,1;19;38,5;28;3,3;
2015-01-20;9,3;11,9;0;35,9;27,8;17,8;38,5;26;2,7;
2015-01-21;9,3;11;0;36;27,8;18,9;41,8;26;2;
2015-01-22;9,1;5,6;,9;34,5;23,8;20,9;71,8;33;4;
