Nome: OLIVEIRA
Codigo Estacao: 83637
Latitude: -20.699773
Longitude: -44.819903
Altitude: 991.23
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2017-10-18
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;4,2;null;9,4;31,3;26,1;19,2;59;51;1,3;
2015-01-02;4,6;null;0;32,4;25,4;20,4;62;43;1,7;
2015-01-03;5,3;null;0;32,9;25,2;20,3;65,5;43;,7;
2015-01-04;3,4;null;1,6;30,2;22,3;19,2;73,8;48;1,3;
2015-01-05;4,4;null;9;28,9;23,2;18,3;68;56;1,7;
2015-01-06;3,6;null;0;29,5;23,6;19;69,3;52;1;
2015-01-07;2,9;null;4,8;29,2;23,5;18,4;61;47;,7;
2015-01-08;4,5;null;0;30,6;23,9;17;50,5;37;1;
2015-01-09;6,2;null;0;30,4;24,5;17,8;52,8;41;1,3;
2015-01-10;5,5;null;0;30,7;24,4;17,8;55,5;48;1,7;
2015-01-11;5,7;null;0;32,4;25,6;19;48;38;1;
2015-01-12;7,4;null;0;31,4;26,1;19,2;45,5;38;1,3;
2015-01-13;6,7;null;0;32,3;26,8;20,4;50;40;2;
2015-01-14;6,6;null;0;32;25,5;20;51,8;37;,7;
2015-01-15;4;null;8,5;31,3;25,3;19;48;37;1,7;
2015-01-16;5,3;null;0;31,5;25,2;18,2;50,3;40;1;
2015-01-17;5,8;null;0;32,3;25,6;18;44;35;1;
2015-01-18;6,7;null;0;32,7;26,2;18,4;42;34;1,7;
2015-01-19;7,8;null;0;33,1;26,2;18,2;43,3;30;2;
2015-01-20;6,7;null;0;32,8;26,4;19,8;42;34;1,3;
2015-01-21;6,1;null;0;33,3;26,4;20;45,5;31;,7;
2015-01-22;5,9;null;36,9;28,9;21,4;17,5;76,3;45;2;
2015-01-23;2,2;null;0;26,4;21,4;17,4;72,5;56;1;
2015-01-24;2,3;null;15,8;26,3;19,4;17,1;79;50;1,7;
2015-01-25;2,2;null;0;27,3;20,7;16,2;70,8;52;1,3;
2015-01-26;2,2;null;3,2;28,3;22,2;17,8;72,5;47;1,3;
2015-01-27;2,4;null;38,8;27,6;21,2;17,2;73,3;49;1,7;
2015-01-28;1,6;null;0;27,7;21,2;17,8;77,3;51;,7;
2015-01-29;1,9;null;2;29,3;23,3;17,2;68,5;49;1,3;
2015-01-30;3,5;null;0;32;24,1;18,8;65,3;42;,7;
2015-01-31;5,1;null;0;30,2;23,6;20,8;75;50;1,3;
2015-02-01;3;null;19,8;30,1;22,8;17,9;70,5;44;1,3;
2015-02-02;3,1;null;0;30,3;23;19,6;72,8;48;1,7;
2015-02-03;3,1;null;21,4;28,3;21,5;17;71,8;55;1,3;
2015-02-04;3,8;null;0;27,1;21,2;18,1;80,8;62;1;
2015-02-05;2,1;null;11;23,1;19,7;18,2;86,8;78;1,7;
2015-02-06;,7;null;27;22,7;19,6;18;86;75;1,7;
2015-02-07;1,3;null;2,4;26,3;20,2;16,7;81,3;66;1;
2015-02-08;2;null;0;24,1;20,6;18,1;88,8;85;1;
2015-02-09;,7;null;12,3;25,1;21,1;17,9;86,5;76;1,3;
