Nome: CAPARAO
Codigo Estacao: 83639
Latitude: -20.5261111
Longitude: -41.90916666
Altitude: 836.25
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2025-08-27
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;6;11,5;0;33,8;25;18,4;73;44;,5;
2015-01-02;5,5;10,3;,4;35,4;24,6;19;73,5;50;,7;
2015-01-03;4;11,5;53,4;32;24,8;18,4;76,5;57;,3;
2015-01-04;5;,7;0;30,8;24;18,2;78;59;,2;
2015-01-05;2,7;5,3;,8;30,8;24;18,4;69;56;,3;
2015-01-06;3,7;5,3;0;29,8;22,6;19;76;53;,3;
2015-01-07;3,1;9,1;0;29;21,6;17,8;72,5;50;,3;
2015-01-08;3,9;12;0;29,4;21,9;15;62,5;40;,3;
2015-01-09;5,6;11,9;0;29,6;22,5;18,4;67,5;43;,7;
2015-01-10;5,5;12,3;0;31,4;23,5;19;62;44;,5;
2015-01-11;5,4;11,8;0;31;22,5;16,4;68,8;45;1;
2015-01-12;4,9;12,7;0;33;23,8;17,4;62;39;,5;
2015-01-13;6,1;12,2;0;31,6;24;17,2;65;50;,8;
2015-01-14;5,4;7,8;0;30,6;23;18,8;67,8;49;,7;
2015-01-15;4,8;10,3;0;31,4;22,9;17,8;68;42;,5;
2015-01-16;4,8;8,4;0;30,4;22,1;16,4;70,8;52;,7;
2015-01-17;4,8;11,5;0;32,6;23,9;17,4;64,5;50;,2;
2015-01-18;5,3;12,7;0;32,2;23,1;18,4;66,8;40;1;
2015-01-19;6,1;11,9;0;32;23;17,4;63,8;40;1;
