Nome: VICOSA
Codigo Estacao: 83642
Latitude: -20.7625
Longitude: -42.86388888
Altitude: 697.53
Situacao: Fechada
Data Inicial: 2015-01-01
Data Final: 2018-03-07
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3,9;9,7;9,6;33,4;24,3;18,5;75,5;43;1,4;
2015-01-02;3,8;9,7;0;36;25;20,2;72,8;41;,8;
2015-01-03;3,4;10,4;35,6;33,8;24,4;19,5;77,8;47;0;
2015-01-04;3,2;10,1;10,2;32,6;23,8;19,6;75,8;45;,2;
2015-01-05;2,9;7,3;1,1;29,8;23,8;19,6;78,5;65;1,3;
2015-01-06;2,6;5,6;0;30,6;23,2;18,7;67,5;44;,9;
2015-01-07;3;8,5;0;29,8;23,1;18,6;68,5;51;2,7;
2015-01-08;4,1;10,2;0;30,2;22;17;69,8;49;1,6;
2015-01-09;2,9;11,7;0;30,4;22,2;16,2;62,3;36;2,1;
2015-01-10;4,5;11,2;0;31,8;23,2;16,3;64,8;43;1,2;
2015-01-11;4,5;11,8;0;32,4;23,5;16,5;64,3;43;2,5;
2015-01-12;3,9;11,9;0;32,6;23,8;17;64,3;40;1,7;
2015-01-13;4,5;11,7;0;32,6;24,6;17,5;65,3;43;1,6;
2015-01-14;4,2;11,3;0;31,2;24,3;19;66,8;49;1,6;
2015-01-15;3,8;6,5;0;32;23,5;18;68,5;44;1,2;
2015-01-16;3,6;10,3;0;31,2;23,5;17,6;67,3;44;1,2;
2015-01-17;3,6;11,2;0;32;23,4;17,2;61,8;39;1,6;
2015-01-18;4,6;11,8;0;33,6;24,3;16,5;60,3;35;1,8;
2015-01-19;4,7;11,9;0;32,4;23,8;17,4;63,3;43;,8;
2015-01-20;5;11,9;0;32,8;24,3;17;50,3;33;2,2;
2015-01-21;5,4;11,7;0;34,8;25,2;17,5;59,8;33;1,1;
2015-01-22;5,6;8,2;0;34,2;25,5;21,2;60;38;1,2;
2015-01-23;4,7;6,8;0;32;24,1;20,5;66,3;39;1;
2015-01-24;3,4;3,9;0;30,2;22,9;20;73;55;1,6;
2015-01-25;3,2;7,6;0;32,2;23,7;18,3;64,3;37;2,4;
2015-01-26;4;9,2;0;32,4;23,5;18,2;71;34;2,2;
2015-01-27;3,8;3,8;8,3;32;23,1;19,5;81,3;55;,6;
2015-01-28;1,8;4,8;14,6;31,8;24,2;19,2;74,3;51;1,4;
2015-01-29;2,9;11,5;,1;32,6;24,9;19,6;64;42;1,9;
2015-01-30;4,3;8,6;0;33,8;26,1;19;60,3;48;1,5;
2015-01-31;5,1;10,3;0;33,2;25,2;20,8;73,5;47;,8;
2015-02-01;4,8;9,1;,4;31,8;24,9;20,4;65,8;44;1,2;
2015-02-02;3,8;7,9;0;31,8;24,9;19,5;58;44;2;
2015-02-03;4,2;7,5;0;30,4;22,8;18,2;69,3;42;1;
2015-02-04;3,8;3;,3;31,2;22,8;18,2;75,8;49;2,9;
2015-02-05;2,6;,3;10;24;21;19;89,3;79;1,5;
2015-02-06;1,5;0;62,2;22,4;20,8;19,8;91;91;1,8;
2015-02-07;1;2,1;9,1;27,6;22;18,8;81,5;63;1,6;
2015-02-08;1,7;0;4,5;23,2;21;20;92,3;86;1,7;
2015-02-09;,7;,6;38,8;25,4;20,8;19;87;72;2;
2015-02-10;1,1;4,7;13;28,6;22,7;19;80,5;57;1,8;
2015-02-11;2,8;4,8;0;29,4;22,6;20;74,8;53;1,5;
2015-02-12;2,6;10,8;0;31,6;23;17;68,8;39;1,6;
2015-02-13;4,1;12;0;32,2;24,1;17,5;67;52;1,2;
2015-02-14;4,2;9,1;0;31,2;24,6;19;70;57;1,8;
2015-02-15;3,7;8,4;0;31;23,6;19,5;72,8;57;,7;
2015-02-16;4,3;7,8;0;30,4;23,4;19;76,8;72;1,9;
2015-02-17;3,5;8;0;30,2;23,2;18,6;76,8;76;1,7;
2015-02-18;4,1;,6;0;28,6;23,3;20;76;66;1,4;
2015-02-19;2,9;4,6;0;30,4;23;19;80,8;73;1,3;
2015-02-20;2,9;11,1;2,8;30,8;23,3;18;76,3;60;1,4;
2015-02-21;3,8;6,2;0;30,6;23,8;18;69,5;64;,2;
2015-02-22;3,2;10,1;0;31,6;24,5;19,2;65,3;50;1,3;
2015-02-23;3,8;9;0;31;23;18,2;79,5;56;0;
2015-02-24;3;10,4;,4;31;23,7;18,5;72,5;51;1,4;
2015-02-25;3,9;2,9;0;29,2;23,4;20,6;74,5;51;1,2;
2015-02-26;2,2;9;0;31,8;23,9;19,8;79,3;66;1,2;
2015-02-27;3,5;8,7;,3;31,8;23,2;20,2;79,5;49;1,7;
2015-02-28;2,5;10,1;21,8;32;24,1;19,5;74,5;45;,9;
2015-03-01;3,7;9,2;2,7;26,2;23;20;72,8;74;1;
2015-03-02;2,2;7,6;0;27,8;21,2;16,5;80,8;66;1,2;
2015-03-03;2,3;6,2;0;30,6;23,5;17,2;67,5;50;,7;
2015-03-04;2,9;4,2;0;30,2;22,5;18,8;82,3;72;,3;
2015-03-05;2,3;10,6;,5;30,6;21,9;17,5;80,3;50;1;
2015-03-06;2,8;10,4;2,8;31;23,2;17,1;76,5;59;1,2;
2015-03-07;3,4;5,6;0;30,6;23,9;19;69,3;54;1,2;
2015-03-08;2,8;,6;18,2;28;22,3;19;87,5;69;1,1;
2015-03-09;1,2;3,4;0;28;22,8;20,3;82,3;61;2,4;
2015-03-10;2,4;,9;9,5;26,6;22,7;20,8;80,3;64;1,1;
2015-03-11;1,3;3,4;4;29,2;23,5;19,9;81,8;61;1,2;
2015-03-12;2,1;5,8;,2;30,8;23,8;20;73,5;53;2,1;
2015-03-13;2,7;8,5;0;31,8;23,9;18,5;74;51;1,6;
2015-03-14;2,9;5,8;0;30,6;23,7;19;76;55;1,6;
2015-03-15;2,8;1,9;0;28,8;22,9;18,5;81,8;65;1,2;
2015-03-16;2,5;10,1;0;31,5;23,9;19,5;74,8;61;,8;
2015-03-17;3,3;6,5;0;30,2;23,6;20;76,8;59;1,1;
2015-03-18;2,8;9,2;0;30,2;23;19;76,5;58;1,2;
2015-03-19;4,1;6,6;0;30,2;22,7;17,5;73,8;54;1,2;
2015-03-20;3,4;5,4;0;30;22,5;18;80,3;62;,5;
2015-03-21;2,4;0;13,8;23,8;21,2;19,4;82,8;76;,3;
2015-03-22;,4;5,5;2,6;28,4;21,9;19,5;83;57;1,1;
2015-03-23;2,4;2,3;110,4;26;21;18,6;90,8;79;0;
2015-03-24;,6;1,5;45,6;27,2;21,6;19;90,3;76;,1;
2015-03-25;1,2;10,5;1,4;28,6;21,4;18;77;52;,3;
2015-03-26;2,5;9,2;,2;29,6;21,4;16,8;82;68;,8;
2015-03-27;2,5;9,7;0;31;22,4;16;72,8;46;,4;
2015-03-28;3;11;0;31,2;23,6;16,8;75,8;58;1,1;
2015-03-29;3,4;8,8;0;30,2;23,8;20;74,3;53;2,2;
2015-03-30;2,8;5,7;,4;30;24,6;21;60,3;63;1,1;
2015-03-31;2,7;4,6;25;28,6;22,4;18,8;93;55;1,2;
2015-04-01;1,1;7,2;5,6;30,8;23,4;19;84,8;63;0;
2015-04-02;1,8;0;12,6;24,8;20,7;19;84,3;65;,2;
2015-04-03;1,1;4,8;0;27;20,7;17;80,5;64;,1;
2015-04-04;1,8;6,8;0;29,8;21,8;18,4;77,8;46;1,1;
2015-04-05;2,3;2;0;27,8;21,6;18;85;64;1,1;
2015-04-06;1,4;4,6;2,2;29,8;23,5;19,5;83,3;61;,7;
2015-04-07;2,3;7,4;,3;26;19,9;17,5;80,5;60;1,3;
2015-04-08;2,5;0;,4;20;17,8;16,5;85,5;77;,2;
2015-04-09;,5;,5;,9;21,8;19,1;16,5;80,8;80;,6;
2015-04-10;1,1;5,5;0;26,6;19,3;16,5;80,3;61;,5;
2015-04-11;2,6;6,6;0;25,6;18,8;15;86;65;,7;
2015-04-12;,8;6,3;0;27,4;19,2;14,6;80,3;50;,3;
2015-04-13;2;9,5;0;28,4;19,7;13,5;81,3;52;,2;
2015-04-14;2,2;8,9;0;27;20,1;15,5;77,8;56;1,1;
2015-04-15;1,9;9,3;0;28;19,2;15;71,8;35;1,3;
2015-04-16;3,8;8,6;0;29,6;21,4;14,8;70;36;,6;
2015-04-17;3,4;7,4;0;28,8;22,4;20;79,3;59;,5;
2015-04-18;1,9;2,9;0;27,2;21,1;18;82,5;60;1,2;
2015-04-19;2,6;8,5;0;31,4;23;17;78,5;60;,1;
2015-04-20;2,3;9,1;0;30;23,3;18,5;78;55;1,1;
2015-04-21;2,7;4,3;0;29,8;23,2;19,5;81;64;,5;
2015-04-22;1,6;2;0;27,6;23,4;20;81;70;,8;
2015-04-23;1,8;,3;,8;24,4;21,1;19,2;87,5;78;,4;
2015-04-24;2;1,5;0;27,2;22,1;19,5;84,5;67;,9;
2015-04-25;,6;2,3;,3;25,8;20,9;19;75,3;73;,7;
2015-04-26;1,8;10;1,7;25,8;18,5;13,2;75,8;57;1,3;
2015-04-27;2,3;3,1;0;24,6;19,3;15;80;63;1;
2015-04-28;1,8;7,9;3,6;27,6;20,3;17,6;79;47;1;
2015-04-29;2;3,2;0;24;19;15,8;87,3;74;,6;
2015-04-30;1,1;6,5;1,6;25,8;19,9;17;78,8;57;1,1;
2015-05-01;2;4,7;0;24;18,9;16;79,3;67;,5;
2015-05-02;1,7;2,2;5,4;23,4;18,2;16,2;84;63;,7;
2015-05-03;1,2;8,1;0;26,2;17,7;12,8;82,3;50;,5;
2015-05-04;2,1;5,2;0;25,4;20,1;14,4;79;64;2,2;
2015-05-05;2,2;0;0;22,4;19,7;18,4;92,8;86;,5;
2015-05-06;,4;0;28,8;22;19,5;18,2;94;87;,4;
2015-05-07;,6;0;12,9;20;17,3;16,4;95,3;94;,3;
2015-05-08;,4;8,4;,8;23,8;17,9;14,5;80,8;65;,9;
2015-05-09;1,5;5,6;0;24,2;17,2;14,2;84;58;,5;
2015-05-10;1,7;5;0;24;17,4;13;82,8;55;,5;
2015-05-11;1,6;1,6;0;23,6;20,8;15,5;86;71;1,4;
2015-05-12;1,4;9,5;0;26,4;19,8;16,8;77,5;51;,5;
2015-05-13;2,5;1,3;0;22,4;17,7;14,6;82;68;0;
2015-05-14;1,9;,8;0;22,4;17;14,8;82,5;65;0;
2015-05-15;1;6,6;0;22,5;16,6;12,5;77;62;0;
2015-05-16;1,8;4,3;0;22;17,2;13;85;74;0;
2015-05-17;2;3,8;0;24;18,6;15;83;68;,5;
2015-05-18;,9;,5;0;22,4;18,4;16,6;87;75;0;
2015-05-19;1;2,2;0;24,6;19,3;16,2;84,8;72;,2;
2015-05-20;1,3;2,8;0;22,8;18,2;15,4;87,8;72;,2;
2015-05-21;1,2;2,7;0;23;18,9;15,4;84,3;73;,4;
2015-05-22;1,4;3,7;0;24,5;17,9;15,6;83,8;66;0;
2015-05-23;1,7;5,7;,2;24;16,7;13,8;85,3;55;0;
2015-05-24;1,8;6,8;0;24;16,9;12;82;60;1;
