Nome: SAO SIMAO
Codigo Estacao: 83669
Latitude: -21.46111111
Longitude: -47.57944443
Altitude: 620.02
Situacao: Desativada
Data Inicial: 2015-01-01
Data Final: 2024-11-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2015-01-01;3;9,4;0;35,3;27,3;20,5;62,5;41;,7;
2015-01-02;5,8;8,9;0;35,7;28,3;21,3;63,8;45;,7;
2015-01-03;6,6;7,8;0;35,1;25,1;19,3;74,3;48;0;
2015-01-04;2,6;2,2;31,7;29,5;24,4;19,3;73;57;0;
2015-01-05;4,4;2,8;0;32,5;25;21,7;79;63;,3;
2015-01-06;3,7;0;1,7;30,1;24,7;20,2;78,3;67;0;
2015-01-07;3,7;6,9;0;34,5;26,8;21,2;64,8;56;,3;
2015-01-08;6,3;5,5;0;34,7;25,9;19,9;68;47;,7;
2015-01-09;4,5;10,8;14,2;35,7;27;19,6;56,3;36;,7;
2015-01-10;6,8;10,4;0;36,8;28,7;20,4;56,3;39;0;
2015-01-11;7,3;10,4;0;36,9;29,3;23,6;55;38;,3;
2015-01-12;7,4;6,1;0;36,6;28,3;22,5;60,3;37;,7;
2015-01-13;7,4;7,5;3,1;35,6;26,5;20;62,8;34;0;
2015-01-14;7;5,1;0;35,1;27,6;20,9;59,3;52;,3;
2015-01-15;5,8;9;0;35,9;28,1;20,8;60,3;42;,7;
2015-01-16;7,2;10,3;0;35,9;28,4;21,6;52,3;31;,3;
2015-01-17;9,5;10,2;0;37,6;28,9;21,7;48;31;0;
2015-01-18;8,3;9,6;0;37,9;29,2;22,3;50,5;29;,3;
2015-01-19;10,2;10,6;0;38,8;29,9;23;45,3;26;0;
2015-01-20;9,5;10;0;38,3;29,4;22,5;46,8;30;,7;
2015-01-21;9,5;5;4;35,9;27,7;21,1;58,8;43;,3;
2015-01-22;6,8;2,2;,8;32,5;23,9;20,3;75,3;54;,7;
2015-01-23;3,4;3,9;,4;30,5;23,9;18,5;70;56;1,7;
2015-01-24;4,8;8,7;0;33,3;25,2;19,7;64,3;41;,3;
2015-01-25;5;8,1;17,8;31,5;24,7;19;68;50;,7;
2015-01-26;4,6;6;0;31,5;23,2;19,7;80,8;55;,7;
2015-01-27;2,7;7,9;45,2;30,5;24,5;19,5;72;55;1;
2015-01-28;3,7;4,7;0;30,9;25,3;21,8;74,3;59;,3;
2015-01-29;4;3,5;0;31,4;25,4;21,4;71,5;52;0;
2015-01-30;3,5;9,2;0;33,7;26,5;19,9;62,8;46;,3;
2015-01-31;4,7;8,9;0;35,7;27,6;21;61;40;,3;
2015-02-01;6,8;10,4;0;35,3;28;21,3;55,3;41;,3;
2015-02-02;6,5;6,1;5;31,9;24,3;19,8;75,5;62;,3;
2015-02-03;4;10,1;0;33,5;25,6;17,8;60,5;40;,3;
2015-02-04;5;1,3;3;28,2;22,8;18,1;82,3;67;,3;
2015-02-05;2,4;1,7;1,4;25,7;21,7;19,2;87,5;83;,7;
2015-02-06;1,6;4,7;10,7;29,5;22,6;18,2;84;73;,3;
2015-02-07;2,3;8,3;6,8;30,5;23,6;19,1;74;54;,3;
2015-02-08;3,7;8;0;31,1;23,8;18,6;79;55;,3;
2015-02-09;3,6;3;4,7;28,7;23;20,8;88,3;68;0;
2015-02-10;1,4;3,5;2,5;32;24,8;20,9;78,5;52;,7;
2015-02-11;2,5;7,3;37,4;32,1;24,5;19,8;78;52;,3;
2015-02-12;3,5;9,5;,4;34,2;26,7;19,7;69,8;50;,3;
2015-02-13;4,5;8,8;0;32,3;26,5;21,3;69,3;55;0;
2015-02-14;4,5;8,1;0;35,2;27,4;19,8;62,5;38;0;
2015-02-15;5,7;8,2;0;33,7;25;19,8;70,3;48;,7;
2015-02-16;4,3;2,2;,2;30,2;24,7;19,7;74,8;60;,3;
2015-02-17;3,5;2,1;7,4;29,5;25,1;21,2;77,5;64;,7;
2015-02-18;1,9;0;40,6;25,3;22,2;19;87;82;,3;
2015-02-19;1,7;,7;2,9;25,5;22,4;20,2;89,5;79;,7;
2015-02-20;1,3;1,8;31,8;30,3;24,1;19,7;78,8;59;,3;
2015-02-21;3,2;10,3;0;30,4;25;18,9;68,5;59;0;
2015-02-22;6,9;10,3;0;33,3;27;21,3;57;44;,3;
2015-02-23;8;10,6;0;33,3;26,4;21,2;61;44;,3;
2015-02-24;7,3;9,2;0;34,2;25,5;19;65;40;0;
2015-02-25;6,2;7,5;,3;31,9;24,1;18,6;72,5;49;,3;
2015-02-26;4,5;8,6;37,2;31,5;24,7;18,2;75,5;59;,3;
2015-02-27;3,5;3,3;0;31,1;23,6;19,8;81;56;,7;
2015-02-28;3,2;9,2;17,6;31,9;24,2;18;72,3;50;1,3;
2015-03-01;4,6;10,4;0;32,5;25,6;18,8;64;47;,7;
2015-03-02;8,2;10,4;0;31,5;25,2;18,9;66,8;56;,7;
2015-03-03;6,2;8;0;32,3;26,3;22;61,3;48;,3;
2015-03-04;5,6;6,1;0;32,9;24,4;20,2;76,3;60;0;
2015-03-05;3;8,9;7,4;32,3;24,8;18,4;72,8;53;0;
2015-03-06;6,5;5,5;0;31,3;23,8;20,3;79,8;60;0;
2015-03-07;3,1;3,2;0;30,5;24,2;19;77,5;64;,3;
2015-03-08;3,1;1,5;0;29,4;24;19,3;77,5;72;,3;
2015-03-09;2,3;0;19;25,1;22,1;19,4;91,5;81;,3;
2015-03-10;,8;3,4;36,6;29,4;23,2;19;83,3;65;,7;
2015-03-11;1,9;6,8;2,8;31,1;23,8;18,9;75,8;50;,7;
2015-03-12;3,3;0;0;27,4;23,2;18,9;78,5;64;,3;
2015-03-13;3;0;0;27,2;23,3;19,6;80,8;70;,3;
2015-03-14;2;0;0;26,5;22,8;20,4;89,3;87;,3;
2015-03-15;1,2;,4;,7;29,3;23,4;18,8;80,5;65;0;
2015-03-16;4,1;3,2;0;30,8;23,3;18,7;79;58;0;
2015-03-17;3,2;0;31,4;25,9;21,9;18,6;78,5;76;,7;
2015-03-18;3;0;0;24,5;21,6;18,5;84,5;71;,7;
2015-03-19;1,5;0;9,5;23,7;20,8;18,4;90;82;,3;
2015-03-20;1;0;3,8;26;21,6;18,4;84,8;68;0;
2015-03-21;1,8;3,2;6,2;27,7;22,1;17,5;82,3;72;,3;
2015-03-22;2,3;2,6;,1;27;21,3;18,1;89,3;78;,3;
2015-03-23;1,2;5,7;20,3;28,3;22,8;17,3;75;64;1;
2015-03-24;3,3;9,9;0;31,3;23,3;15,8;65,3;46;,3;
2015-03-25;5,3;9,6;0;32,3;24,3;17,8;71,5;52;0;
2015-03-26;4;8,8;0;32,1;24,2;17;73,5;56;0;
2015-03-27;3,5;5,1;0;31,8;23,8;19,3;80,8;60;0;
2015-03-28;1,9;8,9;38,8;32,8;23,9;17,4;79,3;51;0;
2015-03-29;3,1;6,9;0;32,7;25,1;19,8;77,3;54;,3;
